RAZAO_SOCIAL;REGISTRO_ANCINE;CNPJ;MUNICIPIO;UF;CLASSIFICACAO_NIVEL_PRODUTORA
CINEDIÁRIO PRODUÇÕES CULTURAIS LTDA;24346;17.822.593/0001-74;SÃO PAULO;SP;1
CINEFILM PRODUÇÕES CINEMATOGRÁFICAS LTDA-ME;22203;09.193.471/0001-38;SÃO PAULO;SP;2
CINEFLOR PRODUCOES ARTISTICAS E CINEMATOGRAFICAS LTDA;64338;29.719.548/0001-78;RIO DE JANEIRO;RJ;1
CINEGRAMA FILMES LTDA;4965;04.351.082/0001-70;SÃO PAULO;SP;2
CINELANDO PRODUCOES ARTISTICAS LTDA;52380;39.943.141/0001-83;MARINGÁ;PR;1
CINELARI PRODUÇÕES ARTÍSTICAS LTDA;40680;28.019.388/0001-91;RIO DE JANEIRO;RJ;1
CINELERO PRODUCOES AUDIOVISUAIS LTDA;50681;42.536.062/0001-62;SOCORRO;SP;1
CINELIKE FILMES E PUBLICIDADE LTDA;31340;15.475.816/0001-49;SÃO PAULO;SP;1
CINELIMITE DISTRIBUICAO E SERVICOS AUDIOVISUAIS LTDA;63197;61.956.145/0001-55;SÃO PAULO;SP;1
CINELUZ PRODUCOES CINEMATOGRAFICAS LTDA;1053;40.447.906/0001-73;RIO DE JANEIRO;RJ;4
CINEMA 4 LTDA;57220;26.407.782/0001-71;PALMAS;TO;1
CINEMA ANIMADORES PRODUCAO AUDIOVISUAL EIRELI;5589;02.762.890/0001-02;SÃO PAULO;SP;2
CINEMA BRUTO PRODUCAO CINEMATOGRAFICA E CULTURAL LTDA;31367;23.234.999/0001-39;RIO DE JANEIRO;RJ;2
CINEMA CINEMA PRODUCOES ARTISTICAS E CULTURAIS LTDA;21101;10.501.870/0001-06;BRASÍLIA;DF;2
CINEMA DA FEIRA LTDA;53786;42.086.121/0001-48;CARUARU;PE;1
CINEMA INFLAMAVEL PRODUCOES CINEMATOGRAFICAS LTDA;22661;02.174.031/0001-94;FORTALEZA;CE;2
CINEMA NA VEIA PRODUÇÕES LTDA - ME;28314;21.154.983/0001-90;SÃO PAULO;SP;1
CINEMA NO INTERIOR - INSTITUTO DE PESQUISA E PRODUCAO AUDIOVISUAL LTDA;54568;50.429.624/0001-05;PETROLINA;PE;1
CINEMA NO TUCUPI LTDA;56379;51.712.355/0001-44;CASTANHAL;PA;1
CINEMA PETISCO PRODUÇÕES LTDA;19063;09.039.726/0001-02;RIO DE JANEIRO;RJ;5
CINEMA QUATRO COMUNICACAO LTDA;36163;24.821.865/0001-87;BRASÍLIA;DF;1
CINEMA SALA 1 LTDA;57830;50.101.556/0001-42;ITAITUBA;PA;1
CINEMA VIVO PRODUTORA LTDA.;13787;08.236.386/0001-47;SÃO PAULO;SP;1
CINEMACA RIO LTDA;53625;39.546.094/0001-34;SÃO JOÃO DE MERITI;RJ;1
CINEMADA20 - SERVICOS AUDIOVISUAIS LTDA;57887;30.698.383/0001-84;BRASÍLIA;DF;1
CINEMAKERS LTDA;37748;10.933.061/0001-65;SOROCABA;SP;3
CINEMALINK - EDIÇÃO E CRIAÇÃO DE VÍDEO LTDA;12666;08.830.439/0001-53;SÃO PAULO;SP;1
CINEMAPRO PRODUCOES LTDA;58569;34.272.679/0001-90;SÃO PAULO;SP;1
CINEMAQUINA PRODUCOES CINEMATOGRAFICAS LTDA.;33090;23.369.581/0001-39;FLORIANÓPOLIS;SC;1
CINEMAR - W.FAISSAL PRODUÇÕES ARTÍSTICAS E COMUNICAÇÕES LTDA - ME;1451;01.645.618/0001-71;RIO DE JANEIRO;RJ;2
CINEMAROCK PRODUCOES AUDIOVISUAIS LTDA;19592;11.364.937/0001-62;SÃO PAULO;SP;1
CINEMAS POSSÍVEIS LTDA;56753;52.957.508/0001-86;SALVADOR;BA;1
CINEMASCOPIO PRODUCOES CINEMATOGRAFICAS E ARTISTICAS;11954;08.587.501/0001-28;RECIFE;PE;4
CINEMATICOS FILMES LTDA;48058;22.579.768/0001-02;GUARULHOS;SP;1
CINEMATOGRAFICA AMERABA LTDA;28569;10.848.472/0001-52;RIO DE JANEIRO;RJ;1
CINEMATOGRAFICA PRODUCOES LTDA;40196;30.615.996/0001-00;PORTO ALEGRE;RS;1
CINEMATOGRÁFICA PATA NEGRA LTDA;19308;13.622.499/0001-10;PORTO ALEGRE;RS;2
CINEMATOGRÁFICA SUPERFILMES LTDA;125;52.858.982/0001-50;SÃO PAULO;SP;5
CINEMATOGRÁFICA VERA CRUZ LTDA.;1282;59.119.800/0001-79;BRAGANÇA PAULISTA;SP;4
CINEMEDINA PRODUÇÕES ARTÍSTICAS;59938;51.037.145/0001-06;SÃO PAULO;SP;1
CINEMINHA PRODUCOES LTDA;29849;13.840.055/0001-51;SÃO PAULO;SP;1
CINEMIX PRODUCOES LTDA - EPP;1782;06.026.872/0001-05;RIO DE JANEIRO;RJ;1
CINEMOV SERVICOS AUDIOVISUAIS E LOCACOES LTDA;59226;54.550.593/0001-99;FLORIANÓPOLIS;SC;1
CINEMUSIQUE PRODUCOES LTDA;63729;49.224.204/0001-03;SÃO PAULO;SP;1
CINEMÁLIA PRODUÇÕES LTDA;62276;60.910.630/0001-25;SÃO PAULO;SP;1
CINEMÁTICA LTDA;51382;31.474.756/0001-04;FLORIANÓPOLIS;SC;1
CINEOSTRA LTDA.;56314;52.436.804/0001-31;RIO DE JANEIRO;RJ;1
CINEPOESIAS PRODUCOES ARTISTICAS LTDA.EPP;22258;16.479.020/0001-27;RIO DE JANEIRO;RJ;1
CINEPRO BRASIL PRODUCOES LTDA;59124;23.983.793/0001-01;CAMPINAS;SP;1
CINEQUAMAO FILMES LTDA;61066;58.303.419/0001-00;SÃO PAULO;SP;1
CINERAMA PRODUÇÕES AUDIOVISUAIS LTDA;63392;62.086.786/0001-69;SÃO JOSÉ;SC;1
CINERAMABC FILMES E PRODUCOES ARTISTICAS LTDA;19087;13.507.233/0001-27;BALNEÁRIO CAMBORIÚ;SC;1
CINESE AUDIOVISUAL LTDA;41522;23.309.350/0001-30;BRASÍLIA;DF;1
CINESTROIKA PRODUÇÕES CINEMATOGRÁFICAS LTDA.;34521;24.867.084/0001-23;SÃO PAULO;SP;1
CINETRIP ARTE & CULTURA LTDA ME;13037;08.792.340/0001-04;FLORIANÓPOLIS;SC;1
CINEVIBE PRODUCOES LTDA;58208;54.551.331/0001-49;MACEIÓ;AL;1
CINEVIDEO LTDA;30339;06.296.294/0001-27;NATAL;RN;1
CINEVIOLA FILMES E COMUNICAÇÃO LTDA-ME;16619;68.669.787/0001-12;TRÊS RIOS;RJ;1
CINNERGIA PRODUÇÕES LTDA;91;00.287.834/0001-20;FLORIANÓPOLIS;SC;1
CINQUENTA FILMES LTDA;1121;04.524.594/0001-90;RIO DE JANEIRO;RJ;1
CINTHIA DE ASSUMPÇÃO OLIVEIRA AGÊNCIA DE PUBLICIDADE LTDA ME;50344;44.508.146/0001-18;CURITIBA;PR;1
CINTILANTE FILMES LTDA;64504;62.866.103/0001-96;RIO DE JANEIRO;RJ;1
CINTRA PRODUÇÃO IMAGEM E MARKETING LTDA ME;44704;34.969.158/0001-96;RIO DE JANEIRO;RJ;1
CINÉDIA ESTUDIOS CINEMATOGRÁFICOS LTDA;255;33.603.093/0001-06;RIO DE JANEIRO;RJ;4
CINÉTICA FILMES E PRODUÇÕES LTDA.;865;01.946.155/0001-88;RIO DE JANEIRO;RJ;4
CIPO - ARTES E SABERES LTDA;60526;51.954.088/0001-11;CAMPINAS;SP;1
CIPÓ FILMES LTDA. ME.;50064;12.943.399/0001-23;RIO DE JANEIRO;RJ;1
CIRA RAMOS PRODUÇÕES ARTÍSTICAS LTDA;58108;44.812.812/0001-07;JABOATÃO DOS GUARARAPES;PE;1
CIRANDA DE 3 TRUPE PRODUÇÕES ARTÍSTICAS LTDA;18139;07.376.868/0001-30;RIO DE JANEIRO;RJ;1
CIRANDA FILMES E VIDEOS LTDA;13465;09.322.209/0001-46;RIO DE JANEIRO;RJ;3
CIRCLE COLECIONAVEIS LTDA;61084;58.474.807/0001-46;SÃO PAULO;SP;1
CIRCO FILMES LTDA;47718;07.018.098/0001-53;SÃO PAULO;SP;1
CIRCO FLOR LTDA;60039;15.648.155/0001-06;FLORIANÓPOLIS;SC;1
CIRCOLAB PRODUÇÕES CULTURAIS LTDA;56181;21.250.807/0001-52;SÃO PAULO;SP;1
CIRCULAR MEDIA LTDA;60186;57.971.298/0001-02;FORTALEZA;CE;1
CIRCULAR O DESEJO FILMES LTDA;18002;54.958.665/0001-31;SÃO PAULO;SP;1
CIRCUNSTÂNCIA CINEMATOGRÁFICA E PRODUÇÕES ARTÍSTICAS LTDA.;17907;11.400.274/0001-94;SÃO PAULO;SP;1
CIRCUS FILMES E PRODUÇÕES GRÁFICAS LTDA;47989;08.300.679/0001-46;ITAPEVI;SP;1
CIRINEIA LUIZA AZEVEDO SANTOS PRODUCOES;56536;34.462.215/0001-46;SÃO PAULO;SP;1
CIRO NUNES SALES ***********;56397;17.305.234/0001-40;RIO DE JANEIRO;RJ;1
CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA;1708;05.919.250/0001-43;SÃO PAULO;SP;2
CISUP LTDA;12639;03.770.523/0001-05;BELO HORIZONTE;MG;1
CITIZENCRANE - PRODUCOES CINEMATOGRAFICAS LTDA;1021;03.675.713/0001-43;SÃO PAULO;SP;4
CITY WEB PRODUCAO TEATRAL E AUDIOVISUAL LTDA;41212;31.506.656/0001-04;HORTOLÂNDIA;SP;1
CITYTEL ASSESSORIA EM COMUNICACOES LTDA.;52122;57.745.267/0001-25;SÃO PAULO;SP;1
CK FILMES DE IMPACTO LTDA;56897;53.066.828/0001-09;BELÉM;PA;1
CLA FILMES LTDA;62271;39.712.686/0001-89;RIO DE JANEIRO;RJ;1
CLAC STUDIOS ENTRETENIMENTO LTDA;62624;52.255.485/0001-68;BARRA MANSA;RJ;1
CLACKET PRODUCOES AUDIO E VIDEO LTDA;24561;17.967.979/0001-74;GOIÂNIA;GO;1
CLAITON ANTONIO GRANDO LTDA;55298;51.986.758/0001-81;RONDINHA;RS;1
CLAN CONTEUDO LTDA;61647;31.146.126/0001-00;CAMPINA GRANDE;PB;1
CLAN VFX FINALIZAÇÃO DE FILMES LTDA;22009;15.220.662/0001-44;SÃO PAULO;SP;1
CLAPME COMÉRCIO E SERVIÇOS DE INTERNET LTDA;47477;07.775.838/0001-04;SÃO PAULO;SP;1
CLAPSET ENTRETENIMENTO E CONTEÚDO LTDA;62246;60.145.252/0001-30;SÃO PAULO;SP;1
CLAQUE PRODUÇÕES E EVENTOS LTDA;61820;05.829.415/0001-96;SÃO PAULO;SP;1
CLARA ANASTACIA MARINHO DE OLIVEIRA PRODUCOES ARTISTICAS;58709;34.910.038/0001-13;RIO DE JANEIRO;RJ;1
CLARA GRIVICICH CARNEIRO LTDA;64507;34.794.806/0001-10;RIO DE JANEIRO;RJ;1
CLARA SERVIÇOS INTEGRADOS DE VÍDEO, CONTEÚDO E WEB EIRELI;5305;07.660.888/0001-38;BRASÍLIA;DF;2
CLARABOIA FILMES LTDA;43108;29.180.200/0001-55;BRASÍLIA;DF;1
CLARABOIA IMAGEM E COMUNICAÇAO LTDA;56137;34.811.580/0001-19;VITÓRIA;ES;1
CLARALUZ PRODUCOES AUDIOVISUAIS LTDA;22538;16.835.137/0001-04;SÃO PAULO;SP;2
CLAREAR PRODUÇÕES ARTÍSTICAS LTDA - ME;23232;10.648.652/0001-90;SÃO PAULO;SP;2
CLAREIRA FILMES LTDA;24743;13.878.127/0001-50;LONDRINA;PR;1
CLARICE PRODUÇÕES ARTISTICAS LTDA;59653;56.956.187/0001-56;BRASÍLIA;DF;1
CLARIO FILMES LTDA;31586;22.889.475/0001-13;RIO DE JANEIRO;RJ;2
CLARISSA F PARENTE LTDA;58942;33.786.795/0001-64;TERESINA;PI;1
CLARISSA KAHANE LTDA;62334;45.528.257/0001-59;RIO DE JANEIRO;RJ;1
CLAROESCURO STUDIO LTDA;26297;19.192.279/0001-80;BELO HORIZONTE;MG;2
CLARTE SERVIÇOS DE FOTO E CINEMA LTDA ME;19413;12.475.126/0001-00;BELÉM;PA;1
CLARÃO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;13155;01.634.634/0001-69;SÃO PAULO;SP;1
CLASSE DAS CAMPEAS FILMES LTDA;50889;30.498.449/0001-92;SÃO PAULO;SP;1
CLASSIQUE PRODUÇÕES CULTURAIS LTDA - ME;51282;28.125.040/0001-89;RIO DE JANEIRO;RJ;1
CLAUDIA BEATRIZ LISBÔA FAGUNDES;57373;37.168.441/0001-07;PORTO ALEGRE;RS;1
CLAUDIA CASTRO PRODUCOES ARTISTICAS LTDA;55190;35.401.390/0001-96;RIO DE JANEIRO;RJ;1
CLAUDIO A.PEREIRA E CIA LTDA;56146;28.833.117/0001-75;PORTO ALEGRE;RS;1
CLAUDIO ADRIANO BARBOSA SCHENBERGER;60335;58.059.286/0001-60;MAFRA;SC;1
CLAUS STELLFELD ME;37733;22.277.967/0001-58;SÃO PAULO;SP;1
CLAYTON ESTERIZ REZENDE BORGES ME;51836;18.328.007/0001-00;RONDONÓPOLIS;MT;1
CLEIDE FURTADO GUIMARAES;61604;09.508.743/0001-41;MANAUS;AM;1
CLEMENTINA FILMES LTDA - ME;22345;05.944.930/0001-17;SÃO PAULO;SP;1
CLEMENTINA PRODUCAO CULTURAL LTDA.;18430;12.049.893/0001-49;SÃO PAULO;SP;1
CLEMENTINO & MELO LTDA;63837;55.949.706/0001-96;TERESINA;PI;1
CLEMENTINO LUIZ DE JESUS JUNIOR LTDA;59084;13.814.752/0001-38;RIO DE JANEIRO;RJ;1
CLENISTON RIBEIRO SILVA;59284;22.954.043/0001-49;IPATINGA;MG;1
CLEONILDO ANTÔNIO FERREIRA DA CRUZ JÚNIOR;29294;08.381.242/0001-84;RECIFE;PE;1
CLEVA PRODUÇOES ARTISTICAS LTDA;62410;58.492.569/0001-00;RIO DE JANEIRO;RJ;1
CLEVERTON VIEIRA OLIVIERA ME;54194;00.576.088/0001-94;SÃO CRISTÓVÃO;SE;1
CLEVERTON WILLIAM SOARES BORGES LTDA;55211;27.964.035/0001-05;PORTO ALEGRE;RS;1
CLG CARVALHO LAGO E GONDOMAR PROMOÇÕES LTDA.;26348;16.959.513/0001-64;RIO DE JANEIRO;RJ;1
CLIC ENTRETENIMENTO E ARTE LTDA.;59245;09.371.663/0001-97;SÃO PAULO;SP;1
CLIC PRODUÇÕES E EDUCAÇÃO LTDA;55957;18.529.606/0001-84;MACEIÓ;AL;1
CLICK FILMES E VIDEOS LTDA;51464;45.997.812/0001-91;CASCAVEL;PR;1
CLINC SOLUCOES LTDA;57721;34.626.212/0001-09;APARECIDA DE GOIÂNIA;GO;1
CLINT FILMES LTDA;57146;51.071.480/0001-12;SÃO PAULO;SP;1
CLINT STUDIO LTDA;59418;43.806.079/0001-55;SÃO PAULO;SP;1
CLINT STUDIO LTDA ME;28841;12.594.399/0001-65;FLORIANÓPOLIS;SC;1
CLIP PRODUTORA DE CINEMA E VÍDEO LTDA;1985;01.246.684/0001-79;PORTO ALEGRE;RS;2
CLIP PRODUÇÕES LTDA;16018;05.557.413/0001-95;NATAL;RN;1
CLOCKWORK PRODUCOES LTDA;58636;34.064.945/0001-99;SÃO LUÍS;MA;1
CLOSE FILMES LTDA;60869;27.790.536/0001-04;SALVADOR;BA;1
CLOSER PRODUÇÃO AUDIOVISUAL E FOTOGRAFIA LTDA;44784;31.999.793/0001-28;CHAPECÓ;SC;1
CLOVIS PRODUCAO CINEMATOGRAFICA LTDA;35907;14.033.481/0001-46;NOVA FRIBURGO;RJ;1
CLUB AGENCIA DIGITAL LTDA - ME;38327;29.025.156/0001-09;ARACAJU;SE;1
CLUB PRODUÇÕES AUDIO VISUAIS LTDA;57713;49.821.545/0001-58;GAROPABA;SC;1
CLUBE FILMES LTDA;51390;46.401.439/0001-27;SÃO PAULO;SP;1
CLUBSODA PRODUCAO AUDIOVISUAL LTDA;25150;13.694.309/0001-70;RIO DE JANEIRO;RJ;1
CLUBTV PRODUÇÕES E ENTRETENIMENTO LTDA;6126;07.276.440/0001-15;SÃO PAULO;SP;5
CLÃ MÚSICA E VÍDEO LTDA;35775;12.105.994/0001-90;RIO DE JANEIRO;RJ;1
CLÍMAX FILMES LTDA;56620;29.460.168/0001-61;SÃO LUÍS;MA;1
CM HADDAD PRODUCOES LTDA;62186;35.589.110/0001-15;SÃO PAULO;SP;1
CM PRESS PRODUCOES ARTISTICAS LTDA;50500;05.836.134/0001-60;SÃO PAULO;SP;1
CMCP PRODUÇÕES LTDA;57875;14.575.184/0001-22;SÃO PAULO;SP;1
CMEIRELLES PSICOLOGIA E PRODUÇÕES ARTÍSTICAS LTDA;42872;04.113.919/0001-42;RIO DE JANEIRO;RJ;1
CMKT PUBLICIDADE COMERCIO E PRODUCAO DE VIDEOS LTDA;48787;36.705.738/0001-00;TREMEMBÉ;SP;1
CMV FILMS;41228;30.178.699/0001-45;SÃO PAULO;SP;1
CN FILMES E PRODUÇOES ARTÍSTICAS LTDA;52740;14.715.937/0001-58;RIO DE JANEIRO;RJ;1
CNG JORNAL E TELEVISÃO LTDA;3182;06.034.348/0001-86;PASSO FUNDO;RS;1
CNL PRODUÇÕES CULTURAIS LTDA;55658;21.310.391/0001-10;PETRÓPOLIS;RJ;1
CNZ PRODUÇÕES LTDA;55657;46.363.559/0001-87;SÃO PAULO;SP;1
COALA CREATIVE MARKETING DIGITAL E PRODUÇÃO AUDIOVISUAL LTDA;51096;33.113.878/0001-92;VILA VELHA;ES;1
COALA PRODUÇÕES AUDIOVISUAIS LTDA;1579;03.746.956/0001-25;SÃO PAULO;SP;3
COART PRODUÇÕES LTDA;13768;04.493.123/0001-62;SANTANA DE PARNAÍBA;SP;1
COASTAL FILMES LTDA;59002;56.106.139/0001-79;LAURO DE FREITAS;BA;1
COATI INSPIRAÇÃO LTDA;62308;60.664.324/0001-56;SÃO PAULO;SP;1
COBALTO PRODUÇÕES AUDIOVISUAIS LTDA.;45328;33.613.994/0001-70;SÃO PAULO;SP;1
COBRA FILMES LTDA;63557;38.002.717/0001-45;SÃO PAULO;SP;1
COCAIS FILMES LTDA;51280;34.372.784/0001-09;TERESINA;PI;1
COCHILHA PRODUÇÕES CULTURAIS LTDA;55594;48.952.473/0001-15;DOM PEDRITO;RS;1
COCRIATIVA CONTEÚDOS AUDIOVISUAIS LTDA;22340;15.571.863/0001-96;BELO HORIZONTE;MG;2
CODORNA FILMES LTDA-ME;26401;18.512.421/0001-67;SÃO PAULO;SP;1
COELHO BRANCO PRODUCOES FANTASTICAS LTDA;57587;16.718.441/0001-63;SÃO PAULO;SP;1
COELHO FILMES LTDA;59856;28.773.796/0001-34;MOGI DAS CRUZES;SP;1
COELHO PRODUÇÕES AUDIOVISUAIS LTDA.;61247;44.044.207/0001-33;RIO DE JANEIRO;RJ;1
COENTRO PRODUÇÕES LTDA;50882;44.473.145/0001-85;SANTANA DE PARNAÍBA;SP;2
COEVOS FILMES LTDA;216;27.527.464/0001-07;RIO DE JANEIRO;RJ;5
COFFEE CAT PRODUCAO LTDA;61949;13.239.178/0001-31;SÃO BERNARDO DO CAMPO;SP;1
COFFEEMAN PRODUCOES LTDA;36409;14.721.487/0001-06;RIO DE JANEIRO;RJ;1
COHEN MORENO PRODUCOES ARTISTICAS E CINEMATOGRAFICAS LTDA;60976;07.094.411/0001-32;RIO DE JANEIRO;RJ;1
COIOTE PRODUCOES CINEMATOGRAFICAS LTDA;36480;16.751.358/0001-96;SÃO PAULO;SP;2
COISAS ARTÍSTICAS PRODUÇÕES E MARKETING LTDA;55660;34.728.183/0001-88;RIO DE JANEIRO;RJ;1
COLABORA PROJETOS JORNALÍSTICOS, EDITORIAIS E EVENTOS LTDA;64419;40.280.700/0001-00;RIO DE JANEIRO;RJ;1
COLABORACINE FILMES LTDA;55454;29.535.161/0001-61;SÃO PAULO;SP;1
COLABORATIVA FILMES E EVENTOS LTDA;61833;26.786.114/0001-00;RIO DE JANEIRO;RJ;1
COLATERAL FILMES LTDA.;13031;09.059.127/0001-50;PORTO ALEGRE;RS;3
COLCHETE MARKETING DIGITAL LTDA;44043;34.263.476/0001-37;BELO HORIZONTE;MG;1
COLCHÕES CONFORTO LTDA;54420;19.310.638/0001-57;FEIRA DE SANTANA;BA;1
COLETIVA DELAS PRODUCOES ARTISTICAS LTDA;48476;20.194.792/0001-90;RIO DE JANEIRO;RJ;1
COLETIVO CRESCENTE LTDA;56172;29.882.013/0001-13;BRASÍLIA;DF;1
COLETIVO DRONE LTDA;57233;41.740.649/0001-26;SÃO PAULO;SP;1
COLETIVO FORA DA CAIXA PRODUCOES LTDA;53527;16.553.106/0001-52;CAMAÇARI;BA;1
COLETIVO FRONTEIRA LTDA;53475;46.141.269/0001-99;SANTA ROSA;RS;1
COLETIVO FULIGEM DE COMUNICAÇÃO E ARTE LTDA;14240;09.043.474/0001-95;RIBEIRÃO PRETO;SP;1
COLETIVO IMAGINÁRIO COMUNICAÇÃO SOCIAL LTDA;20881;14.123.268/0001-25;BELO HORIZONTE;MG;1
COLETIVO MULHERES EM SERIE LTDA;54395;22.762.663/0001-86;SÃO PAULO;SP;2
COLETIVO ONIBUS PRODUCOES ARTISTICAS LTDA.;64406;63.125.342/0001-58;PETROLINA;PE;1
COLETIVO PONTE CULTURAL PRODUCOES LTDA;42983;22.504.113/0001-67;RIO DE JANEIRO;RJ;1
COLETIVO TÔNUS PRODUÇÕES CULTURAIS LTDA;57469;41.107.849/0001-46;GOIÂNIA;GO;1
COLHENDO FRUTOS PRODUTORA CULTURAL LTDA;56499;22.937.266/0001-06;DUQUE DE CAXIAS;RJ;1
COLLETANEA PRODUCOES ARTISTICAS E AUDIOVISUAIS LTDA;58882;46.687.603/0001-04;RIO DE JANEIRO;RJ;1
COLMEIA AUDIOVISUAL LTDA;50700;40.753.926/0001-72;SÃO PAULO;SP;1
COLMEIA CAPACITACAO, CRIACAO E PRODUCAO DE CONTEUDOS LTDA;13313;09.207.407/0001-69;SÃO PAULO;SP;1
COLMEIA COMUNICACOES LTDA;60293;52.322.214/0001-88;CAXIAS DO SUL;RS;1
COLMEIA CRIATIVA COMERCIO LTDA EPP;59536;57.174.743/0001-03;RIO DE JANEIRO;RJ;1
COLMEIA VÍDEOS LTDA;42234;32.223.852/0001-34;TOLEDO;PR;1
COLOMBINA PRODUÇÃO CINEMATOGRÁFICA LTDA.;62736;14.843.596/0001-04;RIO DE JANEIRO;RJ;1
COLOMBO PRODUÇÕES ARTÍSTICAS LTDA;54597;05.148.240/0001-51;FAZENDA RIO GRANDE;PR;1
COLONOS FILMES;62449;61.182.265/0001-42;CAXIAS DO SUL;RS;1
COLORAU PRODUCOES ARTISTICAS E CINEMATOGRAFICAS LTDA;60472;22.950.532/0001-22;CAMPINAS;SP;1
COLORBAR FILMES LTDA.;52342;34.998.063/0001-09;SÃO PAULO;SP;1
COM ACESSIBILIDADE COMUNICACIONAL LTDA-ME;48420;18.928.157/0001-47;RECIFE;PE;1
COM COMUNICAÇÃO - PROJETOS E PRODUÇÕES LTDA - ME.;32477;04.901.225/0001-70;BELO HORIZONTE;MG;1
COM DOMÍNIO PRODUÇÕES LTDA;16431;09.324.313/0001-70;RIO DE JANEIRO;RJ;3
COMARTE CULTURAL LTDA;48672;22.570.887/0001-96;NATAL;RN;1
COMBO ESTUDIO ANIMACOES LTDA;30261;22.637.845/0001-25;RIO DE JANEIRO;RJ;2
COMCINEPLAY BRASIL LTDA;64329;63.354.134/0001-20;SÃO PAULO;SP;1
COMENTA TUDO PRODUÇÕES LTDA;55668;30.193.682/0001-67;RIO DE JANEIRO;RJ;1
COMERCIAL TALKING LTDA-ME;18260;09.412.731/0001-19;BARRETOS;SP;1
COMMUNICARE SOLUÇÕES DIGITAIS E CONSULTORIA LTDA;60033;47.808.820/0001-78;CASCAVEL;PR;1
COMO SER HUMANO PRODUTORA EDUCACIONAL E AUDIOVISUAL LTDA;61158;42.934.303/0001-21;SÃO PAULO;SP;1
COMPANHIA AMAZONICA DE FILMES S/S LTDA.;2225;05.928.108/0001-62;ANANINDEUA;PA;4
COMPANHIA BOANOVA CINEMA REGIONAL LTDA;33480;23.050.183/0001-55;FLORIANÓPOLIS;SC;1
COMPANHIA BRASILEIRA DE ARTE, CULTURA E ESPORTES LTDA.;62635;19.521.112/0001-16;SANTOS;SP;1
COMPANHIA DAS ARTES PRODUÇÕES ARTÍSTICAS, CULTURAIS E EDUCATIVAS LTDA. ME;23447;00.630.754/0001-25;RIBEIRÃO PIRES;SP;1
COMPANHIA DE CINEMA VERNUMA LTDA;53488;50.264.153/0001-14;BELO HORIZONTE;MG;1
COMPANHIA DE ENGENHARIA E SERVIÇOS DO BRASIL LTDA;58227;02.320.928/0001-89;PORTO VELHO;RO;1
COMPANHIA DOS MÚSICOS LTDA;54467;00.233.869/0001-86;RIO DE JANEIRO;RJ;1
COMPANHIA MOVING STORY DE PRODUCOES CINEMATOGRAFICAS LTDA;54276;51.137.368/0001-37;SÃO PAULO;SP;1
COMPANHIA MULTIPLICAR PRODUÇÕES E EVENTOS LTDA;54280;26.905.472/0001-87;RIO DE JANEIRO;RJ;1
COMPLEXO DUPLO PRODUÇÕES ARTÍSITICAS LTDA;51228;27.613.928/0001-06;RIO DE JANEIRO;RJ;1
COMPLEXO FILMES E PRODUCOES LTDA;54227;46.017.696/0001-60;SÃO PAULO;SP;1
COMPLO PRODUCOES E OFICINAS LTDA - ME;16669;08.035.861/0001-17;SÃO PAULO;SP;3
COMPOTA PRODUTORA AUDIOVISUAL LTDA;48452;32.898.043/0001-22;RECIFE;PE;1
COMTENT COMUNICACAO E CONTEUDO LTDA;34719;16.523.900/0001-53;RIO DE JANEIRO;RJ;1
COMTI COMUNICACAO E TECNOLOGIA LTDA;37166;24.751.379/0001-30;SÃO PAULO;SP;1
COMUNICACAO DE FATO SOCIEDADE LTDA;60225;73.618.415/0001-05;BELO HORIZONTE;MG;1
COMUNICAR OU DIALOGAR STUDIO LTDA;63470;62.695.658/0001-12;RIO DE JANEIRO;RJ;1
COMUNICARTE TREINAMENTOS;41224;20.060.431/0001-50;TAUBATÉ;SP;1
COMUNICATIVA PRODUÇÕES LTDA;25932;02.953.464/0001-48;PORTO ALEGRE;RS;1
COMUNICK PLANEJAMENTO E MARKETING LTDA;3390;07.135.121/0001-90;RIO GRANDE;RS;1
COMUNIQUE PRODUTORA LTDA;54192;50.046.090/0001-20;NOVO HAMBURGO;RS;1
CONAN HOUSE FILMS CORPORATION LTDA;57932;41.432.775/0001-13;SÃO PAULO;SP;1
CONCEITO A PRODUÇÕES LTDA;38846;03.885.313/0001-62;SERTÃOZINHO;SP;1
CONCEITO CINE VIDEO LTDA;63888;43.111.423/0001-91;CURITIBA;PR;1
CONCEITOH PRODUTORA DE FILMES E EVENTOS LTDA;45230;35.796.172/0001-06;CAXIAS DO SUL;RS;1
CONCEITOS PRODUÇÕES LTDA;50331;43.827.536/0001-98;SÃO PAULO;SP;1
CONCEITUAL MEDIA COMPANY EIRELI;19203;10.377.780/0001-47;RIO DE JANEIRO;RJ;1
CONCHA FILMES LTDA;57927;29.405.726/0001-96;GOIÂNIA;GO;1
CONCHA FILMES LTDA ME;38294;14.231.673/0001-67;PORTO ALEGRE;RS;1
CONCHA PRODUCAO E PROJETOS LTDA;62924;52.154.644/0001-38;COTIA;SP;1
CONCHAVO FILMES LTDA;63138;11.300.380/0001-04;RIO DE JANEIRO;RJ;1
CONDADO PRODUÇÕES AUDIOVISUAIS LTDA;6157;04.967.560/0001-70;SÃO PAULO;SP;1
