REGISTRO_ANCINE;RAZAO_SOCIAL;ATIVIDADE_PRINCIPAL;DATA_REGISTRO;REPRESENTANTE;REGISTRO_REPRESENTANTE;CNPJ_REPRESENTANTE;DATA_INICIO_REPRESENTACAO;DATA_FINAL_REPRESENTACAO
27693;UNIVERSAL CITY STUDIOS PRODUCTIONS LLLP;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;15/09/2014;UNIVERSAL STUDIOS INTERNATIONAL TELEVISION DO BRASIL LTDA;5461;43.994.367/0001-80;23/02/2023;22/02/2028
27694;UNIVERSAL STUDIOS LIMITED;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;15/09/2014;UNIVERSAL STUDIOS INTERNATIONAL TELEVISION DO BRASIL LTDA;5461;43.994.367/0001-80;23/03/2023;22/03/2028
49449;VERSATILE SAS;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;06/09/2021;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;27/07/2021;26/07/2026
53385;VISION DISTRIBUTION S.P.A.;;15/05/2023;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;20/03/2023;20/03/2028
49766;VUBIQUITY MANAGEMENT LIMITED;Distribuição cinematográfica, de vídeo e de programas de televisão;15/10/2021;CESNIK, QUINTINO, SALINAS, FITTIPALDI & VALERIO ADVOGADOS;24698;03.281.691/0001-37;13/10/2021;13/10/2024
11769;WARNER BROS ENTERTAINMENT NEDERLAND B.V;Distribuidora para cinema;05/01/2007;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28;26/04/2021;26/04/2026
11763;WARNER BROS INTERNATIONAL TELEVISION DISTRIBUTION, INC.;Programadora de tv por assinatura;28/12/2006;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28;14/02/2025;INDETERMINADO
6218;WARNER BROS. DISTRIBUTING INC.;Outras;28/11/2002;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28;30/07/2024;INDETERMINADO
27045;WARNER BROS. HOME ENTERTAINMENT INC.;Distribuição cinematográfica, de vídeo e de programas de televisão;27/06/2014;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28;30/07/2024;INDETERMINADO
22396;WARNER CHANNEL BRAZIL INC.;Programadoras;18/09/2012;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28;16/03/2021;16/03/2024
53185;WARNERMEDIA DIRECT LATIN AMERICA, LLC;Distribuição cinematográfica, de vídeo e de programas de televisão;17/04/2023;TOPSPORTS VENTURES LTDA.;12248;03.390.444/0001-79;15/12/2022;INDETERMINADO
50864;WTFILMS;Distribuição cinematográfica, de vídeo e de programas de televisão;31/03/2022;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;21/03/2022;21/03/2027
56340;ZINC SAS;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;10/11/2023;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82;07/09/2023;06/09/2028
59097;ZUFFA INTERNATIONAL LLC;Programadoras;23/08/2024;ZUFFA EVENTOS ESPORTIVOS BRASIL LTDA;52479;18.649.446/0001-07;26/03/2024;INDETERMINADO
