ano,cnae_classe,atividade,segmento_ancine,valor_adicionado_brl_milhoes_correntes,valor_adicionado_brl_correntes,unidade_original,incluido_no_total_publicado,metodo_valor,marcador_nota_ancine,nota_ancine,fonte_tabela,status_serie,nota_metodologica,fonte_arquivo,fonte_url,fonte_pagina,hash_fonte
2010,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,280.7,280700000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2011,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,474.1,474100000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2012,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,606.6,606600000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2013,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,667.9,667900000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2014,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,749.1,749100000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2015,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,938.4,938400000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2016,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,1061.0,1061000000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2017,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,1106.4,1106400000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,*,Valor atualizado pelo IBGE e incorporado pela ANCINE no estudo ano-base 2019.,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2018,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,926.1,926100000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2019,59.14-6,Atividades de exibicao cinematografica,Exibicao cinematografica,1136.7,1136700000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2007,60.21-7,Atividades de televisao aberta,Televisao aberta,5514.2,5514200000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2008,60.21-7,Atividades de televisao aberta,Televisao aberta,5818.5,5818500000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2009,60.21-7,Atividades de televisao aberta,Televisao aberta,6307.8,6307800000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2010,60.21-7,Atividades de televisao aberta,Televisao aberta,7146.3,7146300000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2011,60.21-7,Atividades de televisao aberta,Televisao aberta,8436.2,8436200000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2012,60.21-7,Atividades de televisao aberta,Televisao aberta,9611.7,9611700000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2013,60.21-7,Atividades de televisao aberta,Televisao aberta,9829.0,9829000000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2014,60.21-7,Atividades de televisao aberta,Televisao aberta,10173.6,10173600000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2015,60.21-7,Atividades de televisao aberta,Televisao aberta,9988.3,9988300000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2016,60.21-7,Atividades de televisao aberta,Televisao aberta,7892.8,7892800000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2017,60.21-7,Atividades de televisao aberta,Televisao aberta,8092.5,8092500000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2018,60.21-7,Atividades de televisao aberta,Televisao aberta,7811.9,7811900000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2019,60.21-7,Atividades de televisao aberta,Televisao aberta,8359.2,8359200000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2007,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,523.0,523000000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2008,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,738.6,738600000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2009,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,838.4,838400000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2010,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,1172.8,1172800000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2011,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,1549.5,1549500000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2012,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,2076.5,2076500000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2013,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,2715.9,2715900000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2014,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,3298.4,3298400000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2015,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,3520.2,3520200000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2016,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,3698.9,3698900000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2017,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,3468.8,3468800000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2018,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,2869.9,2869900000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2019,60.22-5,Programadoras e atividades relacionadas a televisao por assinatura,Programacao de TV por assinatura,2608.1,2608100000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2007,61.41-8,Operadoras de televisao por assinatura por cabo,Operacao de TV por assinatura por cabo,1526.8,1526800000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2008,61.41-8,Operadoras de televisao por assinatura por cabo,Operacao de TV por assinatura por cabo,1775.0,1775000000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
2009,61.41-8,Operadoras de televisao por assinatura por cabo,Operacao de TV por assinatura por cabo,2525.8,2525800000,R$ 1.000.000 correntes,True,tabulacao_especial_ibge_pas_pac,,,Anexo 1,oficial_ancine_reconstruida_pdf_2007_2019,"Valor adicionado bruto a precos basicos das empresas com 20 ou mais pessoas ocupadas, segundo atividades CNAE. Serie transcrita do Anexo 1 do estudo ANCINE ano-base 2019.",valor-adicionado-pelo-setor-audiovisual-2019.pdf,https://www.gov.br/ancine/pt-br/oca/resolveuid/bd4f7d2608e541608e151c168da6d823,https://www.gov.br/ancine/pt-br/oca/publicacoes-2/outras-publicacoes,466478ca195bae267f19041c5f2ef972c21796e549a462bb808c841452f8afb5
