Listagem de projetos contemplados e valores – Programa Ibermedia 2004 a 2019;;;;;;;;
;;;;;;;;
Ano do Edital;Modalidade;Projeto;Certificado de Produto Brasileiro (CPB);CNPJ;Empresa Brasileira Beneficiária no Ibermedia;UF;Participação Patrimonial;Valor (US$)
2008;Desenvolvimento;Caldo de Cana; -;05.256.465/0001-21;Urca Filmes Ltda;RJ; -;12.000,00
2007;Coprodução;À Margem do Lixo;B0800959200000;06.159.269/0001-00;Casa Azul Produções Artísticas Ltda;SP;Coprodução Brasil Majoritário;60.000,00
2007;Coprodução;A Primeira Missa;B1301902100000;30.510.135/0001-68;Crystal Cinematográfica Ltda;RJ;Coprodução Brasil Majoritário;130.000,00
2007;Coprodução;Call Girl;B0800880800000;00.700.805/0001-48;Lagoa Cultural e Esportiva Ltda;RJ;Coprodução Brasil Minoritário;30.000,00
2007;Coprodução;Beatriz;B1500711400000;27.920.016/0001-79;Mpc & Associados;RJ;Coprodução Brasil Majoritário;130.000,00
2007;Coprodução;Milho;B1001285900000;27.920.016/0001-79;Mpc & Associados;RJ;Coprodução Brasil Minoritário;110.000,00
2007;Coprodução;Estamos Juntos (ex Antes da Noite);B1101415000000;01.605.800/0001-07;Olhar Imaginário Ltda;SP;Coprodução Brasil Majoritário;80.000,00
2007;Coprodução;La Vieja de Atrás (A Velha dos Fundos); -;04.980.287/0001-14;Panda Filmes;RS;Coprodução Brasil Minoritário;12.600,00
2007;Coprodução;Entre os Dedos;B0800956800000;74.425.067/0001-04;Plateau Marketing e Produções Culturais Ltda;SP;Coprodução Brasil Minoritário;120.000,00
2007;Coprodução;Simão Botelho; -;74.425.067/0001-04;Plateau Marketing e Produções Culturais Ltda;SP;Coprodução Brasil Minoritário;20.000,00
2007;Coprodução;Histórias de Amor Duram Apenas 90 Minutos;B0901099200000;31.939.739/0001-97;Tipos e Tempos Produções Ltda;RJ;Coprodução Brasil Majoritário;130.000,00
2007;Coprodução;Leonera (ex Desencuentro); -;31.179.864/0001-46;Videofilmes Produções Artísticas Ltda;RJ;Coprodução Brasil Minoritário;120.000,00
2007;Coprodução;A Guerra dos Vizinhos;B1001236800000;01.712.185/0001-20;XR2 Cinevídeo Ltda ME;SP;Coprodução Brasil Majoritário;80.000,00
2007;Desenvolvimento;O Menino no Espelho;B1402175100000;03.987.306/0001-71;Camisa Listrada Ltda;RJ; -;13.050,00
2007;Desenvolvimento;O Vendedor de Passados;B1402689400000;02.020.661/0001-04;Conspiração Filmes S/A;RJ; -;13.000,00
2007;Desenvolvimento;O Drible; -;73.586.513/0001-08;Luz Mágica Produções;RJ; -;15.000,00
2007;Desenvolvimento;Doce Brasil Holandês;B1001189100000;86.777.331/0001-58;M. Schmiedt Produções Ltda.;RS; -;12.980,00
2007;Desenvolvimento;Moreno Alto; -;08.267.476/0001-03;Okna Produções;RS; -;13.000,00
2007;Desenvolvimento;Demorô; -;04.980.287/0001-14;Panda Filmes;RS; -;12.882,00
2007;Desenvolvimento;Juan e Janaína; -;04.980.287/0001-14;Panda Filmes;RS; -;14.997,00
2007;Desenvolvimento;Descobrindo o Brasil; -;44.154.342/0001-31;Raiz;SP; -;15.000,00
2007;Desenvolvimento;Histórias Que Só Existem Quando Lembradas;B1101414400000;73.947.392/0001-74;Taiga Filmes e Video Eireli;RJ; -;14.000,00
2007;Desenvolvimento;Roubo na Chácara do Céu; -;29.269.719/0001-04;Tambellini Filmes e Produções Audiovisuais Ltda;RJ; -;13.000,00
2006;Coprodução;A Festa da Menina Morta;B0800866000000;02.140.120/0001-10;Bananeira Filmes Ltda;RJ;Coprodução Brasil Majoritário;100.000,00
2006;Coprodução;Olhos Azuis;B0901121700000;27.527.464/0001-07;Coevos Filmes;RJ;Coprodução Brasil Majoritário;100.000,00
2006;Coprodução;Maré, Nossa História de Amor;B0700761400000;73.947.392/0001-74;Taiga Filmes e Video Eireli;RJ;Coprodução Brasil Majoritário;100.000,00
2006;Coprodução;O Mistério da Estrada de Sintra;B0700688200000;05.161.846/0001-27;Teleimage Productions;SP;Coprodução Brasil Minoritário;100.000,00
2006;Coprodução;31 Minutos;B1201568300000;02.863.008/0001-07;Total Entertainment Ltda;RJ;Coprodução Brasil Minoritário;120.000,00
2006;Coprodução;"¿Que Culpa Tiene El
Tomate?"; -;03.360.320/0001-40;TV Zero Cinema Ltda;RJ;Coprodução Brasil Minoritário;100.000,00
2006;Desenvolvimento;Corrida dos Bichos; -;02.140.120/0001-10;Bananeira Filmes Ltda;RJ; -;15.000,00
2006;Desenvolvimento;Amor à Venda; -;66.669.599/0001-69;Casa de Criação Cinema e Artes Ltda;RJ; -;15.000,00
2006;Desenvolvimento;Corpo Presente;B1201590900000;04.351.082/0001-70;Cinegrama Filmes;SP; -;11.313,00
2006;Desenvolvimento;A Virgem do Futebol; -;66.876.707/0001-74;Dezenove Som e Imagens Produções Ltda - EPP;SP; -;15.000,00
2006;Desenvolvimento;Sepé Tiaraju; -;00.613.962/0001-16;Empresa Cinematográfica Pampeana EIRELI;RS; -;14.917,00
2006;Desenvolvimento;Valsa Negra; -;05.167.381/0001-11;Focus Films EIRELI;RJ; -;15.000,00
2006;Desenvolvimento;Fronteiras do Paraíso; -;27.920.016/0001-79;Mpc & Associados;RJ; -;11.992,00
2006;Desenvolvimento;Cabeza de Vaca En Sudamérica; -;44.154.342/0001-31;Raiz;SP; -;15.000,00
2005;Coprodução;Federal;B0800966100000;00.817.115/0001-73;Bsb Cinema;DF; -;110.000,00
2005;Coprodução;Falsa Loura;B0800840400000;66.876.707/0001-74;Dezenove Som e Imagens Produções Ltda - EPP;SP; -;110.000,00
2005;Coprodução;Histórias de Alice;B1301956300000;35.789.569/0001-62;Doc Consultoria e Comunicação;RJ; -;90.000,00
2005;Coprodução;Insônia;B1302053700000;04.980.287/0001-14;Panda Filmes;RS; -;90.000,00
2005;Coprodução;Os 12 Trabalhos;B0600581800000;05.078.128/0001-91;Politheama E Filmes Ltda.;SP; -;80.000,00
2005;Desenvolvimento;Você e Eu; -;01.230.968/0001-77;Bang Filmes;RJ; -;14.895,00
2005;Desenvolvimento;O Homem de Dentro; -;55.084.750/0001-80;Gaya Filmes;DF; -;10.000,00
2005;Desenvolvimento;O Voo do Pequeno Principe; -;07.822.394/0001-02;Linha de Produção;RS; -;14.425,00
2005;Desenvolvimento;Beatriz;B1500711400000;27.920.016/0001-79;Mpc & Associados;RJ; -;10.000,00
2005;Desenvolvimento;Maré, Nossa História de Amor;B0700761400000;73.947.392/0001-74;Taiga Filmes e Video Eireli;RJ; -;15.000,00
2004;Coprodução;É Proibido Proibir;B0600524400000;05.617.531/0001-41;Deserto Filmes;RJ;Coprodução Brasil Majoritário;50.000,00
2004;Coprodução;Mulheres do Brasil;B0600459900000;00.338.948/0001-51;E.H. Produções;RJ;Coprodução Brasil Majoritário;150.000,00
2004;Coprodução;Sonhos e Desejos;B0600535300000;73.619.637/0001-34;Filmes Do Equador Ltda.;RJ;Coprodução Brasil Majoritário;150.000,00
2004;Coprodução;Tapete Vermelho;B0500438700000;54.110.648/0001-40;Lapfilme;SP;Coprodução Brasil Majoritário;150.000,00
2004;Coprodução;Onde Andará Dulce Veiga?;B0700801600000;51.428.977/0001-45;Star Filmes;SP;Coprodução Brasil Majoritário;150.000,00
2004;Desenvolvimento;A Última Operação (ex Utopia Sequestrada); -;02.140.120/0001-10;Bananeira Filmes Ltda;RJ; -;10.000,00
2004;Desenvolvimento;Compassos; -;31.192.578/0001-10;Cena Rio Comunicação Ltda. ME;RJ; -;10.000,00
2004;Desenvolvimento;Praia Brava (Ex Sim, o Filme); -;39.183.983/0001-84;Franco Produções, Filmes, Eventos e Promoções Ltda - ME;RJ; -;10.000,00
;;;;;;;;
Nota: Os valores disponíveis neste arquivo são valores correntes do ano de referência.;;;;;;;;
;;;;;;;;
Fonte: ANCINE.;;;;;;;;
Elaboração: Coordenação de Edição e Publicação de Conteúdo - CEC/SAM/ANCINE. Publicado em 27/02/2020. Republicado em 03/02/2021.;;;;;;;;
