PAIS_ORIGEM;TITULO_ORIGINAL;CPB
BRASIL;CULTURA LIVRE;B2500465300000
BRASIL;CULTURA LIVRE;B2600090100000
BRASIL;CULTURA LIVRE - 2025 - COMPLEMENTO;B2600077300000
BRASIL;CULTURA LIVRE - COMPLEMENTO;B2500439900000
BRASIL;CULTURA MUSICAL;B0500203500000
BRASIL;CULTURA OUTDOOR;B1301884500000
BRASIL;CULTURA POP BRASILEIRA - 1° TEMPORADA;B1301913200000
BRASIL;CULTURA POP BRASILEIRA 10ª TEMPORADA;B1302056800000
BRASIL;CULTURA POP BRASILEIRA 2ª TEMPORADA;B1301939500000
BRASIL;CULTURA POP BRASILEIRA 3ª TEMPORADA;B1301966500000
BRASIL;CULTURA POP BRASILEIRA 4ª TEMPORADA;B1301966600000
BRASIL;CULTURA POP BRASILEIRA 5ª TEMPORADA;B1301966700000
BRASIL;CULTURA POP BRASILEIRA 6ª TEMPORADA;B1301966800000
BRASIL;CULTURA POP BRASILEIRA 7ª TEMPORADA;B1302021700000
BRASIL;CULTURA POP BRASILEIRA 8ª TEMPORADA;B1302021900000
BRASIL;CULTURA POP BRASILEIRA 9ª TEMPORADA;B1302022000000
BRASIL;CULTURA RAIZ, SEMENTE DIGITAL;B1402756600000
BRASIL;CULTURAMA;B2000026900000
BRASIL;CULTURANDO;B1800028900000
BRASIL;CULTURAS DA TERRA – BIOMA AMAZÔNIA;B2400521600000
BRASIL;CULTURINHA;B1800442700000
BRASIL;CUMBUCO: VENTOS QUE MUDAM;B1900094800000
BRASIL;CUMIEIRA;B1500481100000
BRASIL;CUMULUS CIRROS NIMBOS;B1201595200000
BRASIL;CUNA;B2100236700000
BRASIL;CUNHAMBEBE NHAEMBE;B2500479300000
BRASIL;CUORE DE VINCHENZO;B1201700600000
BRASIL;CUPCAKE AND DINOSAUR 2ª TEMPORADA;B1900157500000
BRASIL;CUPCAKE E DINOSSAURO 1ª TEMPORADA;B1800437500000
BRASIL;CUPIDO;B2000430000000
BRASIL;CUPIDO;B2400515800000
BRASIL;CUPIM, O;B0600564500000
BRASIL;CUPINS DE MONTIGUA;B0800906400000
BRASIL;CURA;B2300318200000
BRASIL;CURA;B2600122200000
BRASIL;CURA AO VIVO EM SALVADOR;B2500495000000
BRASIL;CURA DOR;B0500445500000
BRASIL;CURA INTERIOR A LUZ DA BÍBLIA;B0700673600000
BRASIL;CURANDEIRAS;B2500058800000
BRASIL;CURANDEIROS DO JARÊ;B1101362000000
BRASIL;CURE;B2200402300000
BRASIL;CURICA;B2400247000000
BRASIL;CURIMBA MEGA MIX;B1201671500000
BRASIL;CURIMBAMEGAMIX;B0700740600000
BRASIL;CURIOSAMENTE;B2500370300000
BRASIL;CURIOSIDADE ESPORTIVA RÁ TIM BUM!;B1600529700000
BRASIL;CURIOSIDADE MÓRBIDA;B1900542300000
BRASIL;CURIOSIDADES RÁ TIM BUM;B1402124800000
BRASIL;CURIOSOS POR NATUREZA;B1600339400000
BRASIL;CURITIBA EM BUSCA DA IDENTIDADE PERDIDA;B0700662500000
BRASIL;CURITIBA ZERO GRAU;B1201630700000
BRASIL;CURITIBA, MON AMOUR;B1600728800000
BRASIL;CURITIBA, UMA EXPERIÊNCIA EM PLANEJAMENTO URBANO;B0400067400000
BRASIL;CURITIBA: A MAIOR E MELHOR CIDADE DO MUNDO;B1500923700000
BRASIL;CURITIBAS;B1201694000000
BRASIL;CURRAIS;B2000077200000
BRASIL;CURRAL;B2100324700000
BRASIL;CURSO BÁSICO DE TEORIA DA MÚSICA;B0901065600000
BRASIL;CURSO DE FILOSOFIA;B0500417600000
BRASIL;CURSO DE SABONETES ARTESANAIS - POR  MARCIA VANIA;B0800880400000
BRASIL;CURSO DO POETA, O;B0500236500000
BRASIL;CURTA - SE;B0700803100000
BRASIL;CURTA A LAPA;B1201629800000
BRASIL;CURTA A NATUREZA;B0700661500000
BRASIL;CURTA CAQUINHAS;B0900989800000
BRASIL;CURTA CASA ATELIÊ – LURDI BLAUTH;B2200491600000
BRASIL;CURTA CRIATIVO;B0901074900000
BRASIL;CURTA DE ADEUS;B1101429300000
BRASIL;CURTA DESALMADOS O VÍRUS;B1301930600000
BRASIL;CURTA DIAS DE SOBREVIVÊNCIA;B2200109800000
BRASIL;CURTA DIFERENÇAS;B2200306000000
BRASIL;CURTA EM CENA;B1700325300000
BRASIL;CURTA LINGUAGEM;B1800348900000
BRASIL;CURTA MEMÓRIA;B1700009400000
BRASIL;CURTA METRAGEM - A FÓRMULA;B2300259200000
BRASIL;CURTA O BICHO;B2400005200000
BRASIL;CURTA O SOM;B1500868600000
BRASIL;CURTA O SOM - 2ª TEMPORADA;B1900323700000
BRASIL;CURTA OS CONGOS;B2300210200000
BRASIL;CURTA SARAUS;B1001308000000
BRASIL;CURTA SEQUENCIA;B0600531200000
BRASIL;CURTA SÃO PAULO;B0901028600000
BRASIL;CURTA-CURSO DE LIBRAS EM ANIMAÇÃO 01 ALFABETO, NÚMEROS E PRONOMES;B2300201300000
BRASIL;CURTA-METRAGEM DE FICÇÃO LÉO;B1500465500000
BRASIL;CURTA-METRAGEM FELICIDADE;B2500267000000
BRASIL;CURTACINEMA;B1402284600000
BRASIL;CURTADOC - 3ª TEMPORADA;B1402157900000
BRASIL;CURTADOC 1ª TEMPORADA;B0901093800000
BRASIL;CURTADOC 2ª TEMPORADA;B1201551800000
BRASIL;CURTAS IRMÃO DO JOREL - 2º TEMPORADA;B1700024700000
BRASIL;CURTAS IRMÃO DO JOREL - 3ª TEMPORADA;B1900061200000
BRASIL;CURTAS IRMÃO DO JOREL - 4ª TEMPORADA;B2100062700000
BRASIL;CURTAS JORNADAS NOITE ADENTRO;B1900308000000
BRASIL;CURTINDO A BAD;B2200159800000
BRASIL;CURTINDO JACK JOHNSON;B1800453600000
BRASIL;CURTINDO UM R&B;B2500481600000
BRASIL;CURTIR A VIDA - NÃO PODE SER NADA (CLIPE OFICIAL) | FITDANCE SWAG;B1900471800000
BRASIL;CURTIU?;B1700256600000
BRASIL;CURTIÇÃO - JULIA BOSCO;B1301855100000
BRASIL;CURUMIM, O HOMEM QUE QUERIA VOAR;B1600651600000
BRASIL;CURUMINS E CUNHANTÃS;B0900987200000
BRASIL;CURUPIRA;B0500385500000
BRASIL;CURUPIRA;B0600525900000
BRASIL;CURUPIRA - BOTO COR DE ROSA - IARA - A MULA SEM CABEÇA;B1301861000000
BRASIL;CURUPIRA O DEMÔNIO DA FLORESTA;B2100367400000
BRASIL;CURURU E SIRIRI - TRADIÇÃO NO CORAÇÃO;B2400016000000
BRASIL;CURVA DO S CLÁSSICOS;B1500471200000
BRASIL;CURVA DO S HISTÓRICOS, CARROS, MOTOS E COMPETIÇÕES;B1600511600000
BRASIL;CURVA ESCURA;B2400286900000
BRASIL;CURVAS E LADEIRAS;B1301813700000
BRASIL;CURVAS E LADEIRAS - 2ª TEMPORADA;B1301898300000
BRASIL;CUSCUZ;B2500454100000
BRASIL;CUSCUZ NA MÃO COM DADÁ CELHO;B2300482300000
BRASIL;CUSCUZ PEITINHO;B1600547600000
BRASIL;CUSPINDO NO FRACASSO;B1302041700000
BRASIL;CUSTO A ENTENDER;B1301845600000
BRASIL;CUSTO ZERO;B1301784500000
BRASIL;CUSTO ZERO - 2ª TEMPORADA;B1301894000000
BRASIL;CUSTO ZERO - 3ª TEMPORADA;B1402084800000
BRASIL;CUSTOM;B1700119600000
BRASIL;CUSTOM CLUB BRASIL;B1500498300000
BRASIL;CUSTOM FISHING;B1402628700000
BRASIL;CUSTOMIZE!;B2300347000000
BRASIL;CUSTOSO - PAULO PIRES;B2300435900000
BRASIL;CUTBACK;B1402186100000
BRASIL;CUTE CUTE;B2100500900000
BRASIL;CUTE CUTE;B2500512800000
BRASIL;CUTTING;B1600462700000
BRASIL;CWB;B1101534900000
BRASIL;CWMOB OFICIAL AFTERMOVIE;B2300440800000
BRASIL;CYBER ROÇAS;B2000337600000
BRASIL;CYCLE;B1402266400000
BRASIL;CYCLONE;B2500449100000
BRASIL;CYLENE;B1600446800000
BRASIL;CYMANDE;B1800142800000
BRASIL;CYNTIA;B2200315700000
BRASIL;CYPHER 013;B1800284000000
BRASIL;CYPHER KIDZ;B1700221300000
BRASIL;CYPHER PLANO DE VÔO;B2100389500000
BRASIL;CYRO BAPTISTA E BEAT THE DONKEY;B1500113700000
BRASIL;CYTHER PINEAPPEL;B1900464500000
BRASIL;CÁ TE ESPERO NO TUMBENCI SABERES E FAZERES;B2000559700000
BRASIL;CÁPSULAS;B2400007400000
BRASIL;CÁRCERE E A RUA, O;B0400106000000
BRASIL;CÁRCERE PRIVADO;B1402260100000
BRASIL;CÁSSIA ELLER;B1500018400000
BRASIL;CÁSSIA ELLER AO VIVO NO ROCK IN RIO;B0600604700000
BRASIL;CÁSSIA ELLER AO VIVO NO ROCK IN RIO -ESPECIAL PARA TV;B0600618000000
BRASIL;CÁSSIO FARIAS- DO FAROL;B1700400100000
BRASIL;CÂMARA ABERTA;B0700675400000
BRASIL;CÂMARA DE ESPELHOS;B1700227000000
BRASIL;CÂMARA ESCURA;B1301899700000
BRASIL;CÂMARA ESCURA DE ORIFÍCIO;B1402770100000
BRASIL;CÂMARA VIAJANTE;B0800903200000
BRASIL;CÂMARA VIVA;B2100484700000
BRASIL;CÂMBIO MTV;B0500447300000
BRASIL;CÂMERA BAIXA;B0500430700000
BRASIL;CÂMERA COMENTA;B1700092100000
BRASIL;CÂMERA COMPASSO;B2400236900000
BRASIL;CÂMERA LENTA;B2100496000000
BRASIL;CÂMERA MANSFIELD;B2200120000000
BRASIL;CÂMERA MANSFIELD;B2300556700000
BRASIL;CÂMERA MÃE;B1301746400000
BRASIL;CÂMERA NA MALA;B1600727200000
BRASIL;CÂMERA PRÁTICA;B1700091400000
BRASIL;CÂMERA SELVAGEM - COM CRISTIAN DIMITRIUS;B1600421700000
BRASIL;CÂMERA SELVAGEM - COM CRISTIAN DIMITRIUS - VERSÃO REDUZIDA;B1600724100000
BRASIL;CÂMERA, CLOSE!;B0500298100000
BRASIL;CÂMERAS;B1500172400000
BRASIL;CÂNCER;B0500229800000
BRASIL;CÂNCER COM ASCENDENTE EM VIRGEM;B2500028700000
BRASIL;CÂNDIDO PORTINARI - UM PINTOR DE BRODÓSQUI;B1001299600000
BRASIL;CÂNONE PARA 3 MULHERES;B0800854900000
BRASIL;CÂNTICO DE MOISÉS;B2500404100000
BRASIL;CÃES DE RUA;B2500311600000
BRASIL;CÃES DO INFERNO;B1500181500000
BRASIL;CÃES FAMINTOS;B2200226600000
BRASIL;CÃES HERÓIS;B1500406100000
BRASIL;CÃO;B1101446400000
BRASIL;CÃO DE FOGO;B1001138100000
BRASIL;CÃO GUIA;B0300028000000
BRASIL;CÃO LOUCO MÁRIO PEDROSA, O;B0600531500000
BRASIL;CÃO MAIOR;B1900453200000
BRASIL;CÃO SEM DONO;B0700656800000
BRASIL;CÃO SEM PLUMAS;B2000232400000
BRASIL;CÉCI;B1700200300000
BRASIL;CÉDULAS AOS PORCOS;B2200050600000
BRASIL;CÉFIDIQUÊM?;B2500088700000
BRASIL;CÉLIA & ROSITA;B0500312700000
BRASIL;CÉRBERO;B1402781100000
BRASIL;CÉREBRO;B2500369700000
BRASIL;CÉREBRO ELETRÔNICO - LOLLIPOP CHINATOWN;B1500348500000
BRASIL;CÉSAR MENOTTI & FABIANO - CRENÇA OU RELIGIÃO;B1800313700000
BRASIL;CÉSAR MENOTTI & FABIANO - MEMÓRIAS II;B1700158900000
BRASIL;CÉSAR MENOTTI E FABIANO - AO VIVO NO MORRO DA URCA;B1301719200000
BRASIL;CÉSAR MENOTTI E FABIANO AO VIVO;B0500448500000
BRASIL;CÉSAR!;B1101455000000
BRASIL;CÉSIO 137;B0500313500000
BRASIL;CÉSIO 137 O BRILHO DA MORTE;B1101432000000
BRASIL;CÉU;B1500896500000
BRASIL;CÉU;B2400015000000
BRASIL;CÉU - PERFUME DO INVISÍVEL;B1600192000000
BRASIL;CÉU - RODA;B0600629100000
BRASIL;CÉU ABAIXO;B2500446600000
BRASIL;CÉU ABERTO;B0500249800000
BRASIL;CÉU ABERTO;B2300397200000
BRASIL;CÉU ABERTO;B2300470000000
BRASIL;CÉU DA BOCA;B2000070400000
BRASIL;CÉU DA SUA BOCA;B1900153600000
BRASIL;CÉU DE AGOSTO;B2200041300000
BRASIL;CÉU DE ANIL;B1700132500000
BRASIL;CÉU DE AREIA;B2500223100000
BRASIL;CÉU DE ESTRELAS;B2400364300000
BRASIL;CÉU DE ILUSÃO;B2000456000000
BRASIL;CÉU DE INFÂNCIA;B1402758300000
BRASIL;CÉU DE IRACEMA, O;B0500242800000
BRASIL;CÉU DE LUA, CHÃO DE ESTRELAS;B2400176200000
BRASIL;CÉU DE SANTO AMARO;B1301842000000
BRASIL;CÉU DE SUELY, O;B0600587200000
BRASIL;CÉU DO BRASIL NO RIO DE JANEIRO;B0500194400000
BRASIL;CÉU DO BRASIL NO RIO DE JANEIRO II;B0500194500000
BRASIL;CÉU DOS ANCESTRAIS;B2400205400000
BRASIL;CÉU EM CATCH A FIRE;B1600266900000
BRASIL;"CÉU INTERPRETA ""CATCH A FIRE"" DO BOB MARLEY";B1402379300000
BRASIL;CÉU SOBRE ÁGUA;B0901038900000
BRASIL;CÉU, INFERNO E OUTRAS PARTES DO CORPO;B1101518100000
BRASIL;CÉZAR IMPERADOR URBANO;B0901068800000
BRASIL;CÊ FAZ O QUE?;B1301848800000
BRASIL;CÊ MAL ME QUER BEM ESTOU;B2000455200000
BRASIL;CÊ NÂO FAZ IDÉIA;B2000544700000
BRASIL;CÊ QUE SABE;B1500048700000
BRASIL;CÊ TA BEM?;B2000523800000
BRASIL;CÊ TOPA;B1402564800000
BRASIL;CÊ TÁ BEM,EU TÔ INCRÍVEL;B1900145000000
BRASIL;CÊ VAI VIRAR MEU FÃ;B1700600200000
BRASIL;CÊ VIU ?;B2100266200000
BRASIL;CÊPIRA NA RECEITA;B1900620700000
BRASIL;CÍCERO;B2000098200000
BRASIL;CÍCERO DIAS , O COMPADRE DE PICASSO;B1600529400000
BRASIL;CÍLIOS DO RIO;B2000410400000
BRASIL;CÍRCULO DE FOGO, O;B0300041200000
BRASIL;CÍRCULOS;B1600710400000
BRASIL;CÍRCULOS DE LEITURA;B2400020400000
BRASIL;CÍRIO, O;B0500196500000
BRASIL;CÍRIO. OUTRAS PERSPECTIVAS;B2200012800000
BRASIL;CÓDIGO 77;B1900130000000
BRASIL;CÓDIGO ABERTO;B1301995300000
BRASIL;CÓDIGO BROOKLIN - UM DIA;B1900231800000
BRASIL;CÓDIGO DE FAIXA;B0901000900000
BRASIL;CÓDIGO DO ARMAGEDOM;B2300045900000
BRASIL;CÓDIGO MTV;B0900978400000
BRASIL;CÓDIGO PIRATA;B2300126300000
BRASIL;CÓLERA;B0600475800000
BRASIL;CÓPIA COPIADA;B1800275300000
BRASIL;CÓRREGO GRANDE, 13;B1600517200000
BRASIL;CÓSMICO;B2200174400000
BRASIL;CÔMODO;B1101376700000
BRASIL;CÔNEGO BENEDITO GOMES FRANÇA, UMA HISTÓRIA DE AMOR AO PRÓXIMO.;B2500454500000
BRASIL;CÔNEGO CAVALLINI: UM SÓ CORAÇÃO;B1900350000000
BRASIL;CÚMPLICES DE UM RESGATE;B1900164500000
BRASIL;D 'ERICK - TEM QUEM QUEIRA;B1500743800000
BRASIL;D AO VIVO MACEIÓ;B2400152300000
BRASIL;D'ARQUEOLOGIA - A OCUPAÇÃO DO BRASIL;B1900514000000
BRASIL;D'ARTAGNAN E OS TRÊS MOSQUETEIROS;B1402240900000
BRASIL;D'GAJÃO MATA PARA VINGAR;B1001336000000
BRASIL;D'OURO;B1301738100000
BRASIL;D. ON ICE;B1201586600000
BRASIL;D.E.U.S;B1600494800000
BRASIL;D.N.A.;B2000017500000
BRASIL;D.P.A - 21ª TEMPORADA;B2500064900000
BRASIL;D.P.A - 22ª TEMPORADA;B2500198200000
BRASIL;D.P.A - DETETIVES DO PRÉDIO AZUL - 14ª TEMPORADA - EPISÓDIO 1 - O APRENDIZ;B2000312400000
BRASIL;D.P.A - DETETIVES DO PRÉDIO AZUL - 14ª TEMPORADA - EPISÓDIO 2 - GRUDADOS;B2000312600000
BRASIL;D.P.A - DETETIVES DO PRÉDIO AZUL - 14ª TEMPORADA - EPISÓDIO 3 - LOUCOS POR PIZZA;B2000312700000
BRASIL;D.P.A - DETETIVES DO PRÉDIO AZUL 15ª TEMPORADA;B2100136200000
BRASIL;D.P.A - DETETIVES DO PRÉDIO AZUL 16ª TEMPORADA;B2200065500000
BRASIL;D.P.A - DETETIVES DO PRÉDIO AZUL 17ª TEMP;B2200312400000
BRASIL;D.P.A - PÍLULAS EXTRAS 14ª TEMPORADA;B2000257400000
BRASIL;D.P.A - PÍLULAS EXTRAS 22ª TEMPORADA;B2500220100000
BRASIL;D.P.A MINI;B2300250000000
BRASIL;D.P.A. - A MISSÃO AFINADA;B1900216600000
BRASIL;D.P.A. - DE VOLTA AO CLUBINHO;B2200397900000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL;B1700328500000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 10ª TEMPORADA;B1800170300000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 11ª TEMPORADA;B1800468900000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 12ª TEMPORADA;B1900138000000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 13ª TEMPORADA;B1900582900000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 14ª TEMPORADA;B1900584800000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 18ª TEMPORADA;B2200461200000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 1ª TEMPORADA;B1301800300000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 2ª TEMPORADA;B1301800200000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 3ª TEMPORADA;B1301886300000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 4ª TEMPORADA;B1301943200000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 5ª TEMPORADA;B1402066000000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 6ª TEMPORADA;B1402066100000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 7ª TEMPORADA;B1500687500000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 8ª TEMPORADA;B1600309000000
BRASIL;D.P.A. - DETETIVES DO PRÉDIO AZUL - 9ª TEMPORADA;B1700376500000
BRASIL;D.P.A. - O FANTÁSTICO REINO DE ONDION;B2500431400000
BRASIL;D.P.A. - PÍLULAS EXTRAS - 7ª + 8ª TEMPORADAS;B1800129800000
BRASIL;D.P.A. - PÍLULAS EXTRAS 11ª + 12ª TEMPORADAS;B1900282300000
BRASIL;D.P.A. - PÍLULAS EXTRAS 13ª TEMPORADA;B2000258500000
BRASIL;D.P.A. - PÍLULAS EXTRAS 15ª TEMPORADA;B2200265500000
BRASIL;D.P.A. - PÍLULAS EXTRAS 16ª TEMPORADA;B2200103100000
BRASIL;D.P.A. - PÍLULAS EXTRAS 17ª TEMPORADA;B2200309300000
BRASIL;D.P.A. - PÍLULAS EXTRAS 18ª TEMPORADA YEAR 2020;B2300240400000
BRASIL;D.P.A. - PÍLULAS EXTRAS 20ª TEMPORADA;B2400203000000
BRASIL;D.P.A. - PÍLULAS EXTRAS 9ª + 10ª TEMPORADAS;B1800169300000
BRASIL;D.P.A. ESPECIAL 10 ANOS;B2200315600000
BRASIL;D.P.A. O ENIGMA DOS OVOS DE PÁSCOA;B2100118800000
BRASIL;D.U.T.U.M.O.B;B1301983900000
BRASIL;DA ALDEIA À UNIVERSIDADE;B2600044300000
BRASIL;DA ALEGRIA, DO MAR E DE OUTRAS COISAS;B1500335600000
BRASIL;DA ALMADAGENTE;B2300154600000
BRASIL;DA AREIA DA PRAIA À CIDADE DO JAZZ: 20 ANOS DE RIO DAS OSTRAS JAZZ & BLUES FESTIVAL;B2500276000000
BRASIL;DA ARQUIBANCADA;B1402591400000
BRASIL;DA ARQUIBANCADA: PELÉ;B2300263100000
BRASIL;DA BOCA DA NOITE À BARRA DO DIA;B2300474400000
BRASIL;DA BOCA PRA FORA;B2300524100000
BRASIL;DA BOLEIA;B2500129400000
BRASIL;DA CAMA PRO CORAÇÃO;B2100140200000
BRASIL;DA CAPO;B1402181700000
BRASIL;DA CASINHA PARA A VIDA;B2000147300000
BRASIL;DA COR DO CÉU SEM NUVENS;B1800505000000
BRASIL;DA COR DO PECADO;B1301770700000
BRASIL;DA CURVA PRA CÁ;B1900272700000
BRASIL;DA ESTAÇÃO SÃO BENTO AO METRO SANTA CRUZ - RAPPIN' HOOD PART. EMICIDA;B1800046100000
BRASIL;DA FOME AO SONHO;B2500129500000
BRASIL;DA FORÇA HIDRÁULICA À ENERGIA ELÉTRICA;B1001214700000
BRASIL;DA ILHA;B1402145000000
BRASIL;DA INCLUSÃO AO PÓDIO;B2400317100000
BRASIL;DA INVISIBILIDADE À CIDADANIA: OS CAMINHOS DA PESSOA COM DEFICIÊNCIA;B1402208300000
BRASIL;DA JANELA;B1301870700000
BRASIL;DA JANELA;B1700200500000
BRASIL;DA JANELA;B2000555900000
BRASIL;DA JANELA;B2500402700000
BRASIL;DA JANELA;B2600075000000
BRASIL;DA JANELA DO MEU QUARTO;B0500183200000
BRASIL;DA JANELA LATERAL;B1700136300000
BRASIL;DA JANELA PRA CONSOLAÇÃO;B1600311000000
BRASIL;DA JANELA VEJO O MUNDO;B2100282900000
BRASIL;DA JORNADA AO SONHO;B1800561200000
BRASIL;DA LINHA PRA CÁ;B2100191700000
BRASIL;DA MANGA ROSA;B2000059600000
BRASIL;DA MANGA ROSA - SEGUNDA TEMPORADA;B2400457500000
BRASIL;DA MINHA BAG;B2200027500000
BRASIL;DA NADA;B1800254700000
BRASIL;DA NASCENTE AOS CORPOS;B2500461000000
BRASIL;DA NASCENTE À FOZ;B1900352900000
BRASIL;DA NASCENTE À FOZ - SEGUNDA TEMPORADA;B2500200200000
BRASIL;DA ORIGEM;B1101506400000
BRASIL;DA ORIGEM AO FIM DO CÂNCER;B0800912000000
BRASIL;DA PELE PRETA;B1500492500000
BRASIL;DA PORTA PRA FORA;B2300155500000
BRASIL;DA PRÓXIMA VEZ EU FAZIA TUDO DIFERENTE;B1500167700000
BRASIL;DA PÁ VIRADA AO VIVO;B1500351600000
BRASIL;DA PÁ VIRADA AO VIVO - 2A TEMPORADA;B2100053700000
BRASIL;DA SELVA À CORDILHEIRA;B1001183400000
BRASIL;DA SERRA AO MAR;B2400449400000
BRASIL;DA SILVA;B1201569600000
BRASIL;DA SUA, MARIA;B2500253200000
BRASIL;DA TERRA;B0700753100000
BRASIL;DA TERRA DA GAROA SENTIDO AO SUL;B1700129900000
BRASIL;DA TERRA DE VERA CRUZ AO BRASIL DE AMANHÃ;B1001315200000
BRASIL;DA TERRA DOS ÍNDIOS AOS ÍNDIOS SEM TERRA.;B2200374900000
BRASIL;DA VIDA SÓ ESPERO A MORTE;B1600554200000
BRASIL;DA VINCI - UMA BREVE HISTÓRIA;B1500408000000
BRASIL;DA-LHE RIGONI;B0400128000000
BRASIL;DA1LIKE - BANDA UO FEAT KAROL CONKA;B1600037400000
BRASIL;DABOSSA - ESTÁ ESCRITO;B2000041200000
BRASIL;DABOSSA - PENSA BEM;B2000041100000
BRASIL;DABOSSA SESSIONS - AO SEU DISPOR;B2000040900000
BRASIL;DABOSSA SESSIONS - LÁBIA;B2000040800000
BRASIL;DABOSSA SESSIONS - MENTE COM MENTE(FT. ÁUREA MARTINS);B2000041000000
BRASIL;DABOSSA | DILÚVIO;B2100181500000
BRASIL;DADA YUTE - LAVANDA;B2000070000000
BRASIL;DADA YUTE - MA QUEEN;B2000069900000
BRASIL;DADDY KALL - AMOR, CASA COMIGO?;B1800177500000
BRASIL;"DADDY'S LITTLE GIRL - ""GAROTINHA DO PAPAI""";B1001293400000
BRASIL;DADOS E DANOS;B2500368300000
BRASIL;DADOS E DANOS;B2500524500000
BRASIL;DADÁ;B0500389500000
BRASIL;DAFNES;B1800253100000
BRASIL;DAGOBERTO VAI AO PARAÍSO;B1101433000000
BRASIL;DAIANNA GOSTA DE CHUVA;B1101415300000
BRASIL;DAIME SANTA MARIA;B1301945000000
BRASIL;DAISY;B2000078700000
BRASIL;DAISY;B2500124100000
BRASIL;DALE;B1500072900000
BRASIL;DALIA E O LIVRO VERMELHO;B2400354600000
BRASIL;DALILA, LOUCA!;B1402294500000
BRASIL;DALIVINCASSO;B1402194500000
BRASIL;DALL - AURORA MODULANTE (VIDEOCLIPE);B2100028500000
BRASIL;DALL - RENASCER (VIDEOCLIPE);B1900493500000
BRASIL;DALMO SARAIVA, COM A PALAVRA;B1500657200000
BRASIL;DALTO - MUITO ESTRANHO 4.0;B2500253300000
BRASIL;DALUA DOWNHILL;B1201679900000
BRASIL;DALVA;B1001325000000
BRASIL;DALVA & HERIVELTO, UMA CANÇÃO DE AMOR;B1500655300000
BRASIL;DALVA & PERY;B0700687300000
BRASIL;DALVA DA RUA SETE;B2300389700000
BRASIL;DALVA E HERIVELTO ¿ UMA CANÇÃO DE AMOR;B1001161200000
BRASIL;DALVA E HERIVELTO, UMA CANÇÃO DE AMOR;B1500036500000
BRASIL;DALVAN UM NAIF NATO;B0500448900000
BRASIL;DAMA DA MADRUGADA;B2100351800000
BRASIL;DAMA DA NOITE;B0700633900000
BRASIL;DAMA DA ZONA, A;B0500260400000
BRASIL;DAMA DO CINE SHANGHAI, A;B0300027300000
BRASIL;DAMA DO LOTAÇÃO, A;B0400126000000
BRASIL;DAMA HIPÓCRITA - DAYA MORAES;B1800170000000
BRASIL;DAMA INERTE;B2400040300000
BRASIL;DAMAS DA LIBERDADE;B1402602100000
BRASIL;DAMAS DA TV;B1302001800000
BRASIL;DAMAS DO SAMBA;B1500671700000
BRASIL;DAMAS DO SAMBA;B1500810600000
BRASIL;DAMAS DO SAMBA - PILOTO;B1301970800000
BRASIL;DAMAS E CAVALHEIROS;B1001342100000
BRASIL;DAMAS.DOC;B2300480100000
BRASIL;DAMAZZCO - FLERTE;B2500181800000
BRASIL;DAME LA HORA;B1101400100000
BRASIL;DAMN! YOU KNOW I'M A MAN;B1301997600000
BRASIL;DAN & MISAEL - ESQUEÇA TUDO;B2100367100000
BRASIL;DAN LELLIS - CATUABA;B1800145500000
BRASIL;DAN NAKAGAWA CONVIDA NEY MATOGROSSO;B1301784600000
BRASIL;DAN SANTOS - ORGÂNICO (VIDEOCLIPE OFICIAL);B2000294000000
BRASIL;DAN SANTOS - SAFIRA (VIDEOCLIPE OFICIAL);B2000411400000
BRASIL;DANADAS;B2100445900000
BRASIL;DANADO DE BOM;B1700258100000
BRASIL;DANAE;B0800838200000
BRASIL;DANCA DIFERENTE - MAGLORE;B1600172900000
BRASIL;DANCE;B1700099100000
BRASIL;DANCE AGORA;B0901074300000
BRASIL;DANCE COM BUBU;B2100283300000
BRASIL;DANCE DANCE ALL NIGHT;B2300437400000
BRASIL;DANCE O CLIPE;B0500397100000
BRASIL;DANCE O CLIPE COM DANIELLA CICARELLI;B0500443800000
BRASIL;DANCE OF REVOLUTION;B1301968300000
BRASIL;DANCE PARADISE;B1402215100000
BRASIL;DANCE PARADISE - 2² TEMPORADA;B1500180700000
BRASIL;DANCE PARADISE - 3° TEMPORADA;B1600192100000
BRASIL;DANCE PARADISE - 4ª TEMPORADA;B1700167700000
BRASIL;DANCE PARADISE - 5° TEMPORADA;B1800353800000
