PAIS_ORIGEM;TITULO_ORIGINAL;CPB
ARGENTINA;OLHOS AZUIS - FILME (OLHOS AZUIS);B0901121700000
ARGENTINA;OUTRA HISTÓRIA DO MUNDO;B1700431000000
ARGENTINA;PAULINA;B1600294100000
ARGENTINA;PELA JANELA;B1700088100000
ARGENTINA;PENDULAR;B1700104200000
ARGENTINA;PERIGOSA OBSESSÃO;B0600460000000
ARGENTINA;PORNO PARA PRINCIPIANTES;B1900435600000
ARGENTINA;PORNOMELANCOLIA;B2300165900000
ARGENTINA;PRAÇA PARIS;B1700405200000
ARGENTINA;PUAN;B2300527400000
ARGENTINA;RAZÕES PARA NÃO SER MÃE;B1900582500000
ARGENTINA;REZA;B1900138100000
ARGENTINA;SANGRE;B2200417400000
ARGENTINA;SETE ANOS EM MAIO;B1900217400000
ARGENTINA;SUBMERSOS;B1900429200000
ARGENTINA;SUEÑO FLORIANÓPOLIS;B1800307200000
ARGENTINA;TARDE PARA MORIR JOVEN;B1900363400000
ARGENTINA;UMA ESPÉCIE DE FAMÍLIA;B1700462900000
ARGENTINA;UMA VIAGEM INESPERADA;B1800215300000
ARGENTINA;UN CRIMEN COMÚN;B2000533500000
ARGENTINA;VENENO DA MADRUGADA;B0500265400000
ARGENTINA;VERGEL;B1700600300000
ARGENTINA;VERMELHO SOL;B1800458600000
ARGENTINA;VIDA DE ESTAGIÁRIO - 2ª TEMPORADA;B1500769700000
ARGENTINA;VINCHUCA;B2400336300000
ARGENTINA;WANDERING HEART;B2100259600000
ARGENTINA;ZAMA;B1700480900000
ARGENTINA;ÁGUAS SELVAGENS;B1900245500000
BOLÍVIA;LOS DE ABAJO;B2500325400000
BRASIL;ORIENTAÇÕES PARA OS PACIENTES SUBMETIDOS À CIRURGIA METABÓLICA PARA DIABETES TIPO 2 NO HRAN;B2300198200000
BRASIL;!;B0500367900000
BRASIL;!SLAMA - TIROTEIO;B1402830700000
BRASIL;""" A PRIMEIRA MISSA""";B1301902100000
BRASIL;""" DA INDEPENDÊNCIA AO STREAMING"" - A HISTÓRIA DAS MUSICISTAS NA MÚSICA BRASILEIRA";B2400366200000
