PAIS_ORIGEM;TITULO_ORIGINAL;ROE
ALEMANHA;ANDRE RIEU - FALLING IN LOVE IN MAASTRICHT;E1600641200000
ALEMANHA;ANDRE RIEU - FIESTA MEXICANA;E1300000100000
ALEMANHA;ANDRE RIEU - HOME FOR CHRISTMAS;E1300000100000
ALEMANHA;ANDRE RIEU - I LOST MY HEART IN HIDELBERG;E1500640900000
ALEMANHA;ANDRE RIEU - LA VIE EST BELLE;E1500683200000
ALEMANHA;ANDRE RIEU - LIVE AT THE ROYAL ALBERT HALL;E1500640800000
ALEMANHA;ANDRE RIEU - LIVE IN AUSTRALIA;E1600129000000
ALEMANHA;ANDRE RIEU - LIVE IN DUBLIN;E1500640700000
ALEMANHA;ANDRE RIEU - LIVE IN MAASTRICHT 3;E1300000100000
ALEMANHA;ANDRE RIEU - LIVE IN MAASTRICHT 3;E1600369500000
ALEMANHA;ANDRE RIEU - LIVE IN MAASTRICHT II;E1300000100000
ALEMANHA;ANDRE RIEU - LIVE IN MAASTRICHT II;E1600369400000
ALEMANHA;ANDRE RIEU - LIVE IN VIENNA;E1300000100000
ALEMANHA;ANDRE RIEU - LIVE IN VIENNA;E1500129600000
ALEMANHA;ANDRE RIEU - LOVE AROUND THE WORLD;E1300000100000
ALEMANHA;ANDRE RIEU - LOVE IN VENICE - THE 10TH ANNIVERSARY CONCERT;E1402397500000
ALEMANHA;ANDRE RIEU - MAGIC OF THE MUSICALS;E1402629200000
ALEMANHA;ANDRE RIEU - MAGIC OF THE VIOLIN;E1500250900000
ALEMANHA;ANDRE RIEU - MAGIC OF THE WALTZ;E1600131400000
ALEMANHA;ANDRE RIEU - MY AFRICAN DREAM;E1300000100000
ALEMANHA;ANDRE RIEU - NEW YORK MEMORIES;E1402629300000
ALEMANHA;ANDRE RIEU - ROMAN HOLIDAY;E1500803700000
ALEMANHA;ANDRE RIEU - ROMANCE;E1300000100000
ALEMANHA;ANDRE RIEU - ROMANTIC PARADISE;E1300000100000
ALEMANHA;ANDRE RIEU - ROSES FROM THE SOUTH;E1300000100000
ALEMANHA;ANDRE RIEU - ROSES FROM THE SOUTH;E1600347500000
ALEMANHA;ANDRE RIEU - THE FLYING DUTCH MAN;E1300000100000
ALEMANHA;ANDRE RIEU - UNDER THE STARS - LIVE IN MAASTRICHT V;E1300000100000
ALEMANHA;ANDRE RIEU - WEIHNACHTEN RUND UM DIE WELT;E1300000100000
ALEMANHA;ANDRE RIEU - WELCOME TO MY WORD - DVD 1;E1600328700000
ALEMANHA;ANDRE RIEU - WELCOME TO MY WORD - DVD2;E1600328800000
ALEMANHA;ANDRE RIEU - WELCOME TO MY WORLD - DVD 3;E1600328900000
ALEMANHA;ANDRE RIEU - WONDERFUL WORLD - LIVE IN MAASTRICHT;E1500784000000
ALEMANHA;ANDREAS GURSKY - LONG SHOT CLOSE UP;E1800412800000
ALEMANHA;ANDRÉ RIEU & FRIENDS - LIVE IN MAASTRICHT;E1300000100000
ALEMANHA;ANDRÉ RIEU - DANCING THROUGH THE SKIES;E1700525800000
ALEMANHA;ANDRÉ RIEU - FIESTA MEXICANA;E1700525200000
ALEMANHA;ANDRÉ RIEU - I LOST MY HEART IN HEIDELBERG;E1300000100000
ALEMANHA;ANDRÉ RIEU - LIVE IN AUSTRALIA;E1300000100000
ALEMANHA;ANDRÉ RIEU - LIVE IN BRAZIL;E1300000100000
ALEMANHA;ANDRÉ RIEU - LIVE IN MAASTRICHT II;E1300000100000
ALEMANHA;ANDRÉ RIEU - LOVE SONGS;E1300000100000
ALEMANHA;ANDRÉ RIEU - NEW YORK MEMORIES;E1300000100000
ALEMANHA;ANDRÉ RIEU AT SCHÖNBRUNN, VIENNA;E1300000100000
ALEMANHA;ANDRÉ RIEU AT SCHÖNBRUNN, VIENNA;E1500260800000
ALEMANHA;ANDRÉ RIEU CHRISTMAS AROUND THE WORLD AND CHRISTMAS I LOVE;E1300000100000
ALEMANHA;ANDRÉ RIEU IN WONDERLAND;E1300000100000
ALEMANHA;ANDRÉ RIEU ON HIS WAY TO NEW YORK;E1300000100000
ALEMANHA;ANDRÉ RIEU, JOHANN STRAUSS ORQUESTRA - LOVE IN MAASTRICHT;E1900158200000
ALEMANHA;ANGELA MERKEL, THE UNEXPECTED;E1700036200000
ALEMANHA;ANGRY INDIAN GODDESSES;E1800031000000
ALEMANHA;ANIMALS UNITED;E1300000100000
ALEMANHA;ANIMALS UNITED;E1600247500000
ALEMANHA;ANNA BOLEYN;E2000345300000
ALEMANHA;ANNA KARENINA 2022;E2400320100000
ALEMANHA;ANNA NETREBKO - MOZART: DON GIOVANNI;E1500716300000
ALEMANHA;ANONIMOUS;E1300000100000
ALEMANHA;ANONYMOUS;E1600208600000
ALEMANHA;ANTBOY 2;E1500136000000
ALEMANHA;ANTICHRIST;E1600168100000
ALEMANHA;APOLLO'S TALL TALES;E2200082100000
ALEMANHA;APPLE ON A TREE;E1300000100000
ALEMANHA;ARCHITECTURES: VITRAHAUS;E1800375600000
ALEMANHA;ARDIENTE PACIENCIA;E1402646000000
ALEMANHA;ARLBERG THE HIDDEN PARADISE;E1300000100000
ALEMANHA;AROUND THE WORLD IN 80 DAYS;E2000154600000
ALEMANHA;ARTIFFIC ATTACKS;E1300000100000
ALEMANHA;AS MIL E UMA NOITES -  VOLUME 2 O DESOLADO;E1600794100000
ALEMANHA;AS MIL E UMA NOITES -  VOLUME 3 O ENCANTADO;E1600794200000
ALEMANHA;AS MIL E UMA NOITES: VOLUME 1, O INQUIETO;E1500806100000
ALEMANHA;ATTACK OF THE MUTANTS GENETIC DOPING;E1300000100000
ALEMANHA;AUF DAS LEBEN!;E1500785400000
ALEMANHA;AUF DER ANDEREN SEITE;E1300000100000
ALEMANHA;AUF DER ANDEREN SEITE;E1600424800000
ALEMANHA;AUFZICHNUNGNE ZU KLEIDERN UND STADTEN (AKA NOTEBOOK ON CITIES AND CLOTHES);E1300000100000
ALEMANHA;AUTUMN GOLD;E1300000100000
ALEMANHA;AVALANCHE (AKA: ENTSCHEIDUNG IM EIS - EINE FRAU JAGT DEN MORDER);E1300000100000
ALEMANHA;AVICII TRIBUTE CONCERT;E2000044400000
ALEMANHA;AYKA;E1900112500000
ALEMANHA;BABYLON BERLIN;E1900499000000
ALEMANHA;BACH 300 - TRIBUTE TO BACH;E2400248400000
ALEMANHA;BACK TO GAYA;E1300000100000
ALEMANHA;BACKBEAT;E1800020700000
ALEMANHA;BAGHDAD IN MY SHADOW;E2100115200000
ALEMANHA;BAL;E1600552500000
ALEMANHA;BALLON;E1900477900000
ALEMANHA;BANGERS ¿ SNOWBOARDING & FREESKI MAGAZINE;E1300000100000
ALEMANHA;BARBARA;E1300000100000
ALEMANHA;BARBARA;E1500788200000
ALEMANHA;BARENBOIM AND THE BERLINER PHILARMONIKER - MOZART PIANO CONCERTO;E1300000100000
ALEMANHA;BARENBOIM AND THE BERLINER PHILHARMONIKER - MOZART PIANO CONCERTO;E1300000100000
ALEMANHA;BARENBOIM ON BEETHOVEN;E2300032400000
ALEMANHA;BARENBOIM OR THE POWER OF MUSIC;E1800377400000
ALEMANHA;BARNYARD;E1300000100000
ALEMANHA;BARNYARD;E1402396700000
ALEMANHA;BASIC;E1700078200000
ALEMANHA;BASIC INSTINCT 2;E1300000100000
ALEMANHA;BASIC INSTINCT 2 : RISK ADDICTION;E1300000100000
ALEMANHA;BASTARDEN;E2400293700000
ALEMANHA;BAYER LEVERKUSEN: A DREAM COMES TRUE;E2400523300000
ALEMANHA;BEADY EYE - LIVE FROM BERLIN;E1300000100000
ALEMANHA;BEATING THE BIG WAVE;E1900035300000
ALEMANHA;BEETLES FOR BREAKFAST;E1300000100000
ALEMANHA;BEND IT LIKE BECKHAM;E1600265900000
ALEMANHA;BERGMAN ISLAND;E2200041200000
ALEMANHA;BERLIN ALEXANDERPLATZ;E2000531100000
ALEMANHA;BERLIN LIVE;E1700628100000
