DIRETOR;TITULO_ORIGINAL;ROE
AARON A.;ALESSIA CARA - NOT TODAY;E1900010300000
AARON A.;ALESSIA CARA - TRUST MY LONELY;E1800574500000
AARON ARCHER;NELLY FURTADO - BUCKET LIST;E1300000100000
AARON ARCHER;TRANSFORMERS - CYBER MISSIONS;E1300000100000
AARON B. KOONTZ;CAMERA OBSCURA;E1800334100000
AARON BLAISE;BROTHER BEAR;E1402794300000
AARON BLAISE & ROBERT WALKER;BROTHER BEAR;E1300000100000
AARON BROWN;FOUR OUT OF FIVE -ARCTIC MONKEYS;E1800234400000
AARON CHAMPION;WILD SPIRITS 2013;E1300000100000
AARON COURSEAULT;MOTIVES 2: RETRIBUTION;E1300000100000
AARON DENNIS;THE PEOPLE AND THE OLIVE;E1300000100000
AARON EDSON;DAVID AND GOLIATH;E1300000100000
AARON ERNST;PLANET A;E2200150800000
AARON FAULLS;INTO THE DRINK;E1300000100000
AARON FAULLS;INTO THE DRINK - SEASON 2;E1300000100000
AARON GATEWOOD;BIG TIME RUSH - CAN'T GET ENOUGH;E2300111500000
AARON GROSKY;THIS IS THE SOUND OF CHANGE CONCERT HIGHLIGHTS;E1300000100000
AARON GROSKY;THIS IS THE SOUND OF CHANGE CONCERT LIVE;E1300000100000
AARON HAMMERSLEY;KUNG FU PANDA: LEGENDS OF AWESOMENESS;E1402345500000
AARON HARNICK;30 DAYS;E1300000100000
AARON HARVEY;CATCH. 44;E1300000100000
AARON HARVEY;CATCH. 44;E1402600100000
AARON HARVEY;CATCH.44;E1300000100000
AARON HARVEY;INTO THE ASHES;E1900531000000
AARON HORVATH;TEEN TITANS GO! 3;E1800139400000
AARON HORVATH;TEEN TITANS GO! 4;E1800146300000
AARON HORVATH;TEEN TITANS GO! 5;E2000365700000
AARON HORVATH;TEEN TITANS GO! 6;E2100083500000
AARON HORVATH;TEEN TITANS GO! 7;E2100554300000
AARON HORVATH;TEEN TITANS GO! TO THE MOVIES;E1800215000000
AARON HORVATH;THE SUPER MARIO BROS. MOVIE;E2300052300000
AARON HORVATH;THE SUPER MARIO GALAXY MOVIE;E2600038400000
AARON HYMES;IMAGINE DRAGONS - WHATEVER IT TAKES;E1800022000000
AARON HYMES;SILVERSUN PICKUPS - TOY SOLDIERS;E2000334100000
AARON JAMES HORVATH;OS JOVENS TITÃS EM AÇÃO! 8;E2400139700000
AARON JOSEPH;PARAMORE - TOLD YOU SO;E1700290300000
AARON KAUFMAN;URGE;E1700610700000
AARON KORSH;SUITS;E1402618200000
AARON KORSH;SUITS LA - SEASON 1;E2500522600000
AARON LEONG;NOTORIOUS NICK;E2100328200000
AARON LIEBER;THE PURSUIT;E1300000100000
AARON LIEBER;ZERO TO 100: THE LAKEY PETERSON STORY;E1800064000000
