TITULO_PROJETO;CHAMADA_PUBLICA;ANO_EDITAL;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_PROGRAMADORA;RAZAO_SOCIAL_PROGRAMADORA;DATA_EXTRATO_CONTRATO_DOU;VALOR_CONTRATO_DOU;DATA_PRIMEIRO_DESEMBOLSO;VALOR_TOTAL_LIBERADO
A LUZ DO TOM;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;42.164.699/0001-75;REGINA FILMES LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;23/02/2010;R$ 138.450,00;;R$ 0,00
ALUCINADOS;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;01.071.967/0001-27;PANORAMA FILMES LTDA.;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;20/10/2010;R$ 92.585,00;;R$ 0,00
DE PERNAS PRO AR;PRODECINE 02;2008;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;42.473.256/0001-66;MORENA FILMES EIRELI - ME;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;08/12/2009;R$ 3.000.000,00;21/12/2009;R$ 3.000.000,00
SOMOS TÃO JOVENS;PRODECINE 01;2008;39.507.140/0001-96;CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA;39.507.140/0001-96;CANTO CLARO PRODUÇÕES ARTÍSTICAS LTDA;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;06/08/2010;R$ 500.000,00;29/07/2011;R$ 500.000,00
O VENDEDOR DE PASSADOS;PRODECINE 02;2008;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;02.020.661/0001-04;CONSPIRAÇÃO FILMES S/A;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;12/03/2010;R$ 2.000.000,00;15/04/2010;R$ 2.000.000,00
ONDE A CORUJA DORME;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;03.360.320/0001-40;TV ZERO CINEMA LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;19/07/2010;R$ 138.450,00;04/08/2010;R$ 138.450,00
UMA HISTÓRIA DE AMOR E FÚRIA;PRODECINE 02;2008;72.672.017/0001-04;CANNES PRODUÇÕES S/A;02.238.621/0001-33;BURITI FILMES LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;30/04/2010;R$ 400.000,00;02/09/2010;R$ 400.000,00
MINHOCAS;PRODECINE 01;2008;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;28/04/2010;R$ 1.614.780,00;13/05/2010;R$ 1.614.780,00
31 MINUTOS;PRODECINE 03;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;02.863.008/0001-07;TOTAL ENTERTAINMENT LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;23/02/2010;R$ 486.080,00;;R$ 0,00
A HORA E A VEZ DE AUGUSTO MATRAGA;PRODECINE 01;2008;00.020.648/0001-20;PRODIGO FILMS LTDA;00.020.648/0001-20;PRODIGO FILMS LTDA;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;29/11/2010;R$ 500.000,00;11/02/2011;R$ 500.000,00
CINCO VEZES FAVELA 2 - AGORA POR NÓS MESMOS;PRODECINE 02;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;73.586.513/0001-08;LUZ MÁGICA PRODUÇÕES AUDIOVISUAIS LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;18/01/2010;R$ 1.000.000,00;03/02/2010;R$ 1.000.000,00
DESENROLA;PRODECINE 02;2008;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;72.062.029/0001-09;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;08/12/2009;R$ 2.000.000,00;21/12/2009;R$ 2.000.000,00
TEIMOSIA DA IMAGINAÇÃO;PRODAV 01;2008;03.382.581/0001-61;POLO DE IMAGEM LTDA (BAIXADO);03.382.581/0001-61;POLO DE IMAGEM LTDA (BAIXADO);61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;20/07/2010;R$ 1.169.080,00;01/10/2010;R$ 1.169.080,00
O PAÍS DO DESEJO;PRODECINE 01;2008;02.140.120/0001-10;BANANEIRA FILMES LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;14/04/2010;R$ 500.000,00;30/04/2010;R$ 500.000,00
VAI QUE DÁ CERTO;PRODECINE 01;2008;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;00.538.914/0001-00;FRAIHA PRODUCOES DE EVENTOS E EDITORA EIRELI;72.672.017/0001-04;CANNES PRODUÇÕES S/A;22/12/2010;R$ 700.000,00;03/05/2011;R$ 700.000,00
OS CUPINS;PRODAV 01;2008;09.299.923/0001-60;AIUPA BRASIL PRODUÇÕES LTDA;09.299.923/0001-60;AIUPA BRASIL PRODUÇÕES LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;20/07/2010;R$ 421.674,80;28/09/2010;R$ 421.674,80
CHICO XAVIER;PRODECINE 01;2008;02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;02.605.295/0001-55;LEREBY PRODUÇÕES LTDA;00.979.601/0001-98;COLUMBIA TRISTAR FILMES DO BRASIL LTDA;12/02/2010;R$ 1.800.000,00;25/02/2010;R$ 1.800.000,00
BOM DIA, ARQUEOLOGIA;PRODAV 01;2008;32.056.954/0001-02;HKAUFFMANN PRODUÇÃO DE IMAGENS LTDA;32.056.954/0001-02;HKAUFFMANN PRODUÇÃO DE IMAGENS LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;13/05/2013;R$ 492.284,00;21/06/2013;R$ 492.284,00
BESOURO;PRODECINE 01;2008;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;06.998.046/0001-28;RT2A PRODUÇÕES CINEMATOGRÁFICAS LTDA.;00.637.277/0001-20;ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.;19/11/2010;R$ 1.563.392,00;22/12/2010;R$ 1.563.392,00
CORAÇÕES SUJOS;PRODECINE 01;2008;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;26/03/2010;R$ 1.500.000,00;15/04/2010;R$ 1.500.000,00
CACO E DADO;PRODAV 01;2008;07.477.471/0001-34;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;07.477.471/0001-34;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;11/08/2010;R$ 442.840,00;29/09/2010;R$ 442.840,00
DO COMEÇO AO FIM;PRODECINE 01;2008;03.838.776/0001-73;HARE FILMES PRODUCOES LTDA - ME;03.838.776/0001-73;HARE FILMES PRODUCOES LTDA - ME;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;29/12/2009;R$ 461.740,00;13/01/2010;R$ 461.740,00
EU E MEU GUARDA-CHUVA;PRODECINE 01;2008;02.020.661/0001-04;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;CONSPIRAÇÃO FILMES S/A;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;08/06/2010;R$ 1.000.000,00;19/07/2010;R$ 1.000.000,00
EU RECEBERIA AS PIORES NOTÍCIAS DOS SEUS LINDOS LÁBIOS;PRODECINE 01;2008;02.902.219/0001-01;DRAMA FILMES LTDA.;02.902.219/0001-01;DRAMA FILMES LTDA.;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;06/07/2010;R$ 700.000,00;19/07/2010;R$ 700.000,00
BEATRIZ;PRODECINE 02;2008;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;27.920.016/0001-79;MEIOS DE PRODUÇÃO E COMUNICAÇÃO LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;17/06/2010;R$ 500.000,00;15/05/2013;R$ 500.000,00
ESTAÇÃO LIBERDADE;PRODECINE 01;2008;00.020.648/0001-20;PRODIGO FILMS LTDA;00.020.648/0001-20;PRODIGO FILMS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;25/08/2010;R$ 500.000,00;06/01/2011;R$ 500.000,00
FEBRE DO RATO;PRODECINE 01;2008;09.240.833/0001-02;BELAVISTA RIO CINEMA E PRODUÇÃO ARTÍSTICA LTDA;09.240.833/0001-02;BELAVISTA RIO CINEMA E PRODUÇÃO ARTÍSTICA LTDA;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;16/04/2010;R$ 500.000,00;19/07/2010;R$ 500.000,00
O PALHAÇO;PRODECINE 02;2008;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;12/02/2010;R$ 800.000,00;22/02/2010;R$ 800.000,00
HISTÓRIAS DE AMOR DURAM APENAS 90 MINUTOS;PRODECINE 01;2008;31.939.739/0001-97;TIPOS E TEMPOS PRODUÇÕES LTDA;31.939.739/0001-97;TIPOS E TEMPOS PRODUÇÕES LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;24/12/2009;R$ 300.000,00;13/01/2010;R$ 300.000,00
INSOLAÇÃO;PRODECINE 01;2008;05.919.250/0001-43;CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA;05.919.250/0001-43;CISMA PRODUÇÕES CINEMATOGRÁFICAS, EVENTOS E TEATRO LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;24/12/2009;R$ 500.000,00;15/01/2010;R$ 500.000,00
CILADA.COM;PRODECINE 02;2009;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;09.558.964/0001-24;CASÉ FILMES LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;31/03/2011;R$ 2.000.000,00;11/04/2011;R$ 2.000.000,00
CORPO PRESENTE;PRODECINE 03;2009;08.331.280/0001-22;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;04.351.082/0001-70;CINEGRAMA FILMES LTDA;08.331.280/0001-22;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;06/06/2012;R$ 109.050,00;29/07/2013;R$ 109.050,00
CARA OU COROA;PRODECINE 01;2009;59.190.843/0001-40;SP FILMES DE SÃO PAULO LTDA;59.190.843/0001-40;SP FILMES DE SÃO PAULO LTDA;01.216.636/0001-38;SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA);19/05/2011;R$ 700.000,00;10/06/2011;R$ 700.000,00
O MENINO E O MUNDO;PRODECINE 01;2009;67.006.775/0001-45;ALÊ ABREU PRODUÇÕES LTDA;67.006.775/0001-45;ALÊ ABREU PRODUÇÕES LTDA;01.216.636/0001-38;SPECTATEUR-COMÉRCIO E GERENCIAMENTO LTDA (BAIXADA);29/12/2011;R$ 404.400,00;29/02/2012;R$ 404.400,00
EXPEDIÇÕES BURLE MARX;PRODAV 01;2009;03.987.306/0001-71;CAMISA LISTRADA LTDA;03.987.306/0001-71;CAMISA LISTRADA LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;14/12/2011;R$ 400.000,00;19/01/2012;R$ 400.000,00
MEUS DOIS AMORES;PRODECINE 01;2009;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;00.291.470/0001-51;DILER & ASSOCIADOS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;02/02/2012;R$ 1.000.000,00;10/05/2012;R$ 1.000.000,00
FAROESTE CABOCLO;PRODECINE 01;2009;08.427.088/0001-34;DE FELIPPES FILMES E PRODUÇÕES LTDA;08.427.088/0001-34;DE FELIPPES FILMES E PRODUÇÕES LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;30/05/2011;R$ 1.000.000,00;17/06/2011;R$ 1.000.000,00
HÁ MUITAS NOITES NA NOITE;PRODAV 01;2009;27.651.181/0001-72;CALIBAN PRODUÇÕES CINEMATOGRÁFICAS LTDA.;27.651.181/0001-72;CALIBAN PRODUÇÕES CINEMATOGRÁFICAS LTDA.;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;15/09/2011;R$ 500.000,00;12/03/2013;R$ 500.000,00
FLORES RARAS;PRODECINE 01;2009;73.619.637/0001-34;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;FILMES DO EQUADOR LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;07/11/2011;R$ 2.500.000,00;01/06/2012;R$ 2.500.000,00
GUERRA DOS VIZINHOS;PRODECINE 03;2009;08.331.280/0001-22;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;01.712.185/0001-20;XR2 CINEVÍDEO LTDA ME;08.331.280/0001-22;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;09/01/2013;R$ 100.000,00;;R$ 0,00
ATÉ QUE A SBÓRNIA NOS SEPARE;PRODECINE 01;2009;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;87.435.368/0001-60;OTTO DESENHOS ANIMADOS LTDA;30/03/2011;R$ 791.000,00;12/04/2011;R$ 791.000,00
ANITA E GARIBALDI;PRODECINE 01;2009;80.816.838/0001-97;LAZ AUDIOVISUAL LTDA.;80.816.838/0001-97;LAZ AUDIOVISUAL LTDA.;80.816.838/0001-97;LAZ AUDIOVISUAL LTDA.;04/11/2011;R$ 518.146,00;04/01/2012;R$ 518.146,00
GODOFREDO;PRODAV 01;2009;02.231.569/0001-93;UM FILMES LTDA;02.231.569/0001-93;UM FILMES LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;14/09/2011;R$ 1.000.000,00;23/01/2013;R$ 1.000.000,00
HISTÓRIAS DE ALICE;PRODECINE 03;2009;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;35.789.569/0001-62;OSWALDO CALDEIRA PRODUCOES CINEMATOGRFICAS LTDA;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;09/01/2013;R$ 104.151,00;25/06/2013;R$ 104.151,00
HISTORIETAS ASSOMBRADAS;PRODAV 01;2009;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;02.140.164/0001-40;GLAZ ENTRETENIMENTO S.A.;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;21/03/2012;R$ 650.000,00;24/04/2012;R$ 650.000,00
HELENO;PRODECINE 01;2009;05.840.498/0001-14;RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.;05.840.498/0001-14;RT COMÉRCIO E SERVIÇOS DE CRIAÇÃO E PRODUÇÃO DE OBRAS COM DIREITOS AUTORAIS LTDA - EPP.;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;30/03/2011;R$ 1.000.000,00;13/04/2011;R$ 1.000.000,00
TERRA PROMETIDA;PRODAV 01;2009;09.180.984/0001-04;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;09.180.984/0001-04;CONSPIRAÇÃO FILMES ENTRETENIMENTO 3º MILÊNIO LTDA.;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;20/08/2013;R$ 500.000,00;05/08/2014;R$ 500.000,00
BILLI PIG;PRODECINE 02;2009;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;02.140.120/0001-10;BANANEIRA FILMES LTDA.;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;06/04/2011;R$ 1.500.000,00;14/04/2011;R$ 1.500.000,00
TRANSEUNTE;PRODECINE 01;2009;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;31.179.864/0001-46;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;07/06/2011;R$ 200.000,00;22/07/2011;R$ 198.806,60
TRINTA;PRODECINE 01;2009;06.137.016/0001-27;PRIMO FILMES LTDA;06.137.016/0001-27;PRIMO FILMES LTDA;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;10/08/2012;R$ 1.150.000,00;03/09/2013;R$ 1.150.000,00
UM HOMEM SÓ;PRODECINE 01;2009;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;01/08/2011;R$ 886.146,00;15/07/2014;R$ 886.146,00
PEIXONAUTA: O FILME;PRODECINE 02;2009;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;01.161.933/0001-23;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;11/07/2013;R$ 1.800.000,00;20/08/2013;R$ 1.800.000,00
UNIDADE BÁSICA;PRODAV 01;2009;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;01.378.559/0001-12;GULLANE ENTRETENIMENTO S.A.;01.253.766/0001-40;NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A;10/06/2013;R$ 1.500.000,00;09/06/2015;R$ 1.500.000,00
QUASE MEMÓRIA;PRODECINE 01;2009;02.282.322/0001-04;KINOSSAURUS FILMES LTDA.;02.282.322/0001-04;KINOSSAURUS FILMES LTDA.;07.819.481/0001-00;FILM CONNECTION DISTRIBUIDORA DE FILMES LTDA;12/12/2012;R$ 1.000.000,00;31/07/2013;R$ 1.000.000,00
QUE É QUE VOU FAZER DA MINHA VIDA?;PRODAV 01;2009;32.056.954/0001-02;HKAUFFMANN PRODUÇÃO DE IMAGENS LTDA;32.056.954/0001-02;HKAUFFMANN PRODUÇÃO DE IMAGENS LTDA;09.168.704/0001-42;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;23/01/2013;R$ 500.000,00;03/05/2013;R$ 500.000,00
QUEBRADEIRAS;PRODECINE 03;2009;08.331.280/0001-22;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;06.159.269/0001-00;CASA AZUL PRODUÇÕES ARTISTICAS LTDA;08.331.280/0001-22;RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.;23/05/2012;R$ 52.250,00;;R$ 0,00
TOTALMENTE INOCENTES;PRODECINE 02;2009;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;04.551.480/0001-30;ATITUDE PRODUÇÕES E EMPREENDIMENTOS LTDA;68.610.302/0001-15;DISTRIBUIDORA DE FILMES S/A RIOFILME;15/07/2013;R$ 1.000.000,00;;R$ 0,00
GETÚLIO;PRODECINE 01;2009;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;28.026.565/0001-67;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;21/12/2011;R$ 1.500.000,00;22/04/2013;R$ 1.500.000,00
OS ÚTIMOS CANGACEIROS;PRODECINE 01;2009;04.761.874/0001-12;CORTE SECO FILMES LTDA;04.761.874/0001-12;CORTE SECO FILMES LTDA;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;21/09/2011;R$ 200.000,00;03/10/2011;R$ 200.000,00
OSMAR, A PRIMEIRA FATIA DO PÃO DE FORMA;PRODAV 01;2009;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;61.914.891/0001-86;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;14/09/2011;R$ 999.000,00;28/03/2012;R$ 999.000,00
OXIGÊNIO;PRODAV 01;2009;04.980.287/0001-14;PANDA FILMES LTDA;04.980.287/0001-14;PANDA FILMES LTDA;68.737.857/0001-22;RBS PARTICIPACOES S A;14/06/2012;R$ 363.000,00;14/01/2013;R$ 363.000,00
PRAIA DO FUTURO;PRODECINE 02;2009;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;03/01/2012;R$ 1.000.000,00;27/02/2012;R$ 1.000.000,00
RITOS DE PASSAGEM;PRODECINE 02;2009;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;14.372.650/0001-72;LIBERATO PRODUÇÕES CULTURAIS LTDA;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;22/08/2011;R$ 365.700,00;19/10/2011;R$ 365.700,00
A MEMÓRIA QUE ME CONTAM;PRODECINE 01;2009;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;73.947.392/0001-74;TAIGA FILMES E VIDEO EIRELI;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;16/05/2011;R$ 700.000,00;27/05/2011;R$ 700.000,00
MEU PAÍS;PRODECINE 01;2009;04.687.576/0001-20;SOMBUMBO FILMES LTDA - ME;04.687.576/0001-20;SOMBUMBO FILMES LTDA - ME;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;23/05/2011;R$ 500.000,00;09/06/2011;R$ 500.000,00
O FIM E OS MEIOS;PRODECINE 01;2009;68.317.445/0001-33;CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA;68.317.445/0001-33;CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA;14.589.221/0001-51;NOSSA DISTRIBUIDORA DE CONTEÚDO AUDIOVISUAL LTDA.;07/06/2011;R$ 1.150.000,00;22/06/2011;R$ 1.150.000,00
O GRANDE KILAPY;PRODECINE 01;2009;44.154.342/0001-31;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;44.154.342/0001-31;RAIZ PRODUÇÕES CINEMATOGRÁFICAS LTDA. ME.;08.346.733/0001-94;RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.;13/10/2011;R$ 696.747,00;31/10/2011;R$ 696.747,00
O HOMEM QUE NÃO DORMIA;PRODECINE 01;2009;16.487.027/0001-90;TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA;16.487.027/0001-90;TRUQUE PRODUTORA DE CINEMA TV E VÍDEO LTDA;08.656.129/0001-64;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;26/05/2011;R$ 300.000,00;01/07/2011;R$ 300.000,00
O OLHO E A FACA;PRODECINE 02;2009;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;71.733.695/0001-69;OLHOS DE CÃO PRODUÇÕES CINEMATOGRÁFICAS LTDA;02.668.665/0001-01;ANTONIO FERNANDES FILMES LTDA;12/04/2011;R$ 1.000.000,00;26/08/2015;R$ 1.000.000,00
ATRAVÉS DA SOMBRA;PRODECINE 02;2009;72.672.017/0001-04;CANNES PRODUÇÕES S/A;04.864.145/0001-91;CINELÂNDIA BRASIL PRODUÇÕES ARTÍSTICAS LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;18/07/2012;R$ 1.240.000,00;05/03/2013;R$ 1.240.000,00
O TABLADO DE MARIA CLARA MACHADO;PRODECINE 03;2009;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;10.441.893/0001-64;GRAVINART PRODUÇÕES ARTÍSTICAS LTDA;05.933.574/0001-36;PIPA NATIVA PRODUÇÃO CULTURAL LTDA;10/08/2012;R$ 30.000,00;;R$ 0,00
O TEMPO E O VENTO;PRODECINE 02;2009;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;53.976.478/0001-18;NEXUS CINEMA E VÍDEO LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;26/05/2011;R$ 2.250.000,00;18/08/2011;R$ 2.250.000,00
ONDE ESTÁ A FELICIDADE?;PRODECINE 01;2009;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;05.508.188/0001-05;CORAÇÃO DA SELVA TRANSMÍDIA S.A.;33.110.420/0001-80;FOX FILM DO BRASIL LTDA;10/08/2012;R$ 600.000,00;27/08/2012;R$ 600.000,00
UMA HISTÓRIA DE AMOR E FÚRIA;PRODECINE 01;2009;02.238.621/0001-33;BURITI FILMES LTDA;02.238.621/0001-33;BURITI FILMES LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;18/11/2011;R$ 500.000,00;21/12/2011;R$ 500.000,00
UMA HISTÓRIA DE AMOR E FÚRIA;PRODECINE 03;2009;72.672.017/0001-04;CANNES PRODUÇÕES S/A;02.238.621/0001-33;BURITI FILMES LTDA;72.672.017/0001-04;CANNES PRODUÇÕES S/A;23/10/2012;R$ 388.500,00;09/01/2013;R$ 388.500,00
NISE: O CORAÇÃO DA LOUCURA;PRODECINE 01;2009;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.918.609/0001-32;WMIX DISTRIBUIDORA LTDA.;16/07/2012;R$ 500.000,00;01/11/2012;R$ 500.000,00
MINUTO NA TV - ESPORTES;PRODAV 01;2009;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;66.708.900/0001-04;UM MINUTO PRODUÇÕES CULTURAIS EIRELI;60.628.369/0001-75;RADIO E TELEVISAO RECORD S.A;01/08/2011;R$ 200.000,00;09/09/2011;R$ 200.000,00
JULIE E OS FANTASMAS;PRODAV 01;2009;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;RADAR CINEMA E TELEVISÃO LTDA;60.509.239/0001-13;RADIO E TELEVISAO BANDEIRANTES S.A.;29/08/2011;R$ 2.000.000,00;15/09/2011;R$ 2.000.000,00
MUITOS HOMENS NUM SÓ;PRODECINE 01;2009;29.269.719/0001-04;TAMBELLINI FILMES E PRODUÇÕES AUDIOVISUAIS LTDA;29.269.719/0001-04;TAMBELLINI FILMES E PRODUÇÕES AUDIOVISUAIS LTDA;07.616.202/0001-01;FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.;29/12/2011;R$ 1.000.000,00;06/07/2012;R$ 1.000.000,00
