TITULO_PROJETO;CHAMADA_PUBLICA;ANO_EDITAL;CNPJ_PROPONENTE;RAZAO_SOCIAL_PROPONENTE;CNPJ_PRODUTORA;RAZAO_SOCIAL_PRODUTORA;CNPJ_PROGRAMADORA;RAZAO_SOCIAL_PROGRAMADORA;DATA_EXTRATO_CONTRATO_DOU;VALOR_CONTRATO_DOU;DATA_PRIMEIRO_DESEMBOLSO;VALOR_TOTAL_LIBERADO
HAYDEE E O PEIXE VOADOR;PRODAV 01;2013;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;00.000.000/0000-0-;-;10/01/2018;R$ 133.000,00;15/01/2018;R$ 133.000,00
FREQUÊNCIA POSITIVA;PRODAV 01;2013;09.107.296/0001-19;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;09.107.296/0001-19;3 TABELA FILMES E PRODUÇÕES ARTÍSTICAS LTDA;00.000.000/0000-0-;-;16/05/2018;R$ 2.125.035,00;21/05/2018;R$ 2.125.035,00
G.I.B.I.S.;PRODAV 01;2013;09.059.127/0001-50;COLATERAL FILMES LTDA.;09.059.127/0001-50;COLATERAL FILMES LTDA.;00.000.000/0000-0-;-;17/10/2018;R$ 339.900,00;22/10/2018;R$ 339.900,00
GABRIEL E A MONTANHA;PRODECINE 05;2013;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.360.320/0001-40;TV ZERO CINEMA LTDA;03.360.320/0001-40;TV ZERO CINEMA LTDA;15/07/2015;R$ 1.778.000,00;03/08/2015;R$ 1.778.000,00
GALERA DA PRAIA;PRODAV 01;2013;03.250.728/0001-60;TAKAPY DIGITAL ART LTDA;03.250.728/0001-60;TAKAPY DIGITAL ART LTDA;00.000.000/0000-0-;-;22/05/2019;R$ 1.345.000,00;30/05/2019;R$ 1.345.000,00
GAME BROS;PRODAV 01;2013;08.346.159/0001-74;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;08.346.159/0001-74;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;00.000.000/0000-0-;-;17/07/2015;R$ 1.000.000,00;23/07/2015;R$ 1.000.000,00
GEEK - OS AMADOS NERDS;PRODAV 01;2013;08.346.159/0001-74;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;08.346.159/0001-74;MEDIALAND PRODUÇÃO E COMUNICAÇÃO LTDA;00.000.000/0000-0-;-;07/08/2015;R$ 768.000,00;19/08/2015;R$ 768.000,00
GEOGRAFIA DA ARTE;PRODAV 01;2013;07.988.992/0001-56;PLANET POP MÍDIA E EDITORAÇÕES LIMITADA ME;07.988.992/0001-56;PLANET POP MÍDIA E EDITORAÇÕES LIMITADA ME;00.000.000/0000-0-;-;25/01/2017;R$ 643.789,50;15/02/2017;R$ 643.789,50
CABEÇA DE NÊGO;PRODAV 01;2013;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;04.661.796/0001-84;GIROS PROJETOS AUDIOVISUAIS LTDA;00.000.000/0000-0-;-;18/07/2016;R$ 844.000,00;28/07/2016;R$ 844.000,00
GILDA (FICÇÃO CANAL BRASIL);PRODAV 02 - PROJETO DERIVADO;2013;15.318.729/0001-88;BALEIA FILMES LTDA ME;15.318.729/0001-88;BALEIA FILMES LTDA ME;02.608.224/0001-06;CANAL BRAZIL S/A;23/12/2016;R$ 1.000.000,00;18/01/2017;R$ 1.000.000,00
GORDURINHA - O BOM BAIANO;PRODAV 01;2013;23.315.965/0001-79;JPL PRODUÇÕES LTDA -ME;23.315.965/0001-79;JPL PRODUÇÕES LTDA -ME;00.000.000/0000-0-;-;13/02/2019;R$ 400.000,00;18/02/2019;R$ 400.000,00
GOSTOSAS, LINDAS & SEXIES;PRODECINE 02;2013;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;15.479.865/0001-50;SANTA RITA FILMES EIRELI - ME;08.257.054/0001-49;SM DISTRIBUIDORA DE FILMES LTDA;03/02/2017;R$ 3.000.000,00;03/03/2017;R$ 3.000.000,00
GRUPO DE BAGÉ;PRODAV 01;2013;10.780.165/0001-87;BRITO E SANTOS PRODUCOES LTDA - ME;10.780.165/0001-87;BRITO E SANTOS PRODUCOES LTDA - ME;00.000.000/0000-0-;-;10/02/2016;R$ 255.000,00;07/04/2016;R$ 255.000,00
