TITULO_ORIGINAL;CPB;NUMERO_CONTRATO_FSA
BAHIA DA FÉ AO PROFANO;B2200360000000;02985
BAHIA DE FÉ;B2000064800000;02865
BAILE DE MÁSCARAS;B1800088900000;01107
BAILES BLACK;B2400258000000;04067
BAILÃO - 1ª TEMPORADA;B1700348300000;1549
BAILÃO - SÉRIE ESPECIAL;B1900173600000;02486
BAIXO CENTRO;B1900223700000;00813
BAKA & BOKO - CONTOS DA PTE;B2500233600000;03664
BALACLAVA;B2100366200000;02255
BALANÇO BLACK;B2100139800000;1305
BALEIAS EM ABROLHOS;B2400088800000;04397
BANALIDADE DO MAL;B1900588100000;1247
BANDIDA;B2400093000000;04617
BANQUETE COUTINHO;B2000139000000;02005
BAR BRASIL;B2300474100000;03981
BAR BRASIL - EPISÓDIO PILOTO;B1800311000000;00123
BARATA RIBEIRO;B2500248600000;04228
BARCOS DE FOGO;B2400479900000;04391
BARRAGEM;B2200250500000;02145
BARÃO VERMELHO - POR QUE A GENTE É ASSIM?;B1700145800000;00815
BATE CORAÇÃO;B1900498800000;00432
BATE CORAÇÃO;B1900498800000;01358
BATE CORAÇÃO;B1900498800000;01853
BATUCADA – A VIDA E A MORTE DE ASSIS VALENTE;B2500129100000;04329
BEATRIZ;B1500711400000;0210031200
BEATRIZ;B1500711400000;0213025200
BECO;B1900045700000;02059
BEDUÍNO;B1600752300000;00363
BEIJA-FLOR DA CAPOEIRA;B2500445800000;04656
BEIRA: ALÉM DAS MARGENS DO RIO URUGUAI;B2400373000000;04195
BEIÇO DE ESTRADA;B1800494000000;00979
BELA CRIATIVA;B1700071900000;00470
BELA RAÍZES;B1900137800000;02190
BELATRIX - 1ª TEMPORADA;B2000321700000;1573
BELATRIX - EPISÓDIO PILOTO;B1500877100000;004540
BELCHIOR - APENAS UM CORAÇÃO SELVAGEM;B2200344300000;03189
BELEZA S/A;B1301931900000;00015
BEM VINDOS DE NOVO;B2200132800000;02576
BEM VINDOS DE NOVO;B2200132800000;02577
BEM-VINDA A QUIXERAMOBIM;B2200285200000;02979
BEM-VINDA VIOLETA;B2300147900000;04300
BEM-VINDA VIOLETA;B2300147900000;04301
BENTO;B1900300800000;1756
BENVINDOS;B2500476600000;04220
BENZINHO;B1800106900000;00824
BERENICE PROCURA;B1700353800000;00266
BERENICE PROCURA;B1700353800000;1338
BERNARDO SAYÃO E A ESTRADA PARA BELÉM;B2400466300000;03881
BESOURO;B0901080700000;0210053100
BIA DESENHA;B1800348100000;01126
BICHO DO SOL &SEUS AMIGOS;B2400043900000;1320
BICHO MONSTRO;B2400002100000;03834
BICHO MONSTRO;B2400002100000;03835
BICHO MONSTRO;B2400002100000;03836
BICOS;B1900189200000;02519
BIKE AMOR;B1700361000000;00163
BIKE SP;B2300270100000;04610
BIKERS NO FIM DO MUNDO;B2300280900000;04296
BILL, O TOURO;B1600324600000;602
BILLI PIG;B1101537800000;0211005800
BILLI PIG;B1101537800000;0212015100
BILLY E CATARINA;B1900505800000;1797
BIMI SHU IKAYA;B1800550600000;01084
BINGO - O REI DAS MANHÃS;B1700330100000;00109
BIO;B1700509000000;1435
BIOCÊNTRICOS;B2200244600000;02445
BIOGRAFIAS URBANAS - OLINDA  RECIFE;B1900117900000;02525
BIRDWATCHING - APRECIADORES DE AVES;B2100357600000;02965
BIW, SAL E SOM;B1900450400000;00874
BIXA TRAVESTY;B1800213800000;1476
BIZARROS PEIXES DAS FOSSAS ABISSAIS;B2300031800000;01444
BLACKOUT;B2400266300000;04529
BLINK;B2000437800000;02346
BLITZ;B1700402100000;00407
BLITZ, O FILME;B1900595100000;1851
BLOG DA MARI;B1700448900000;00534
BOA NOITE;B1900376800000;01423
BOA NOITE;B1900376800000;1422
BOA NOITE, MARTHA;B1402217000000;0211023200
BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE;B2100017700000;00000766
BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE;B2100017700000;00884
BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE;B2100017700000;00885
BOBOLÂNDIA MONSTROLÂNDIA;B1101369300000;0213002500
BOBOLÂNDIA MONSTROLÂNDIA - 1ª TEMPORADA;B1700401300000;0213002500
BOCA;B1201623700000;0211017200
BOCA FECHADA;B2100298400000;02494
BODOQUENA;B2400260100000;04510
BOI BANDIDO;B2200215800000;01921
BOIS, RAPOSAS E CROCODILOS;B1900160800000;1242
BOLA PRA FRENTE;B2400260800000;03896
BOLHA;B2400087400000;03434
BOM DIA ARQUEOLOGIA;B1402213800000;0213008900
BONITINHA MAS ORDINÁRIA;B1301739100000;0211017300
BOOMIES;B2500061500000;03802
BORBOLETAS E SEREIAS;B1900166300000;1090
BORIS E RUFUS- TEMPORADA 03;B1900591800000;03544
BOTECAM;B1800394600000;00718
BOTO;B2000008800000;01082
BOTO FÉ;B1700122800000;00403
BOYCÓPTERO;B1600644900000;00216
BR 21;B2300109000000;02465
BR 3 - AMORES MIGRANTES;B1600773300000;00521
BR 716;B1600405900000;00048
BR CANADÁ;B2300180000000;03976
BRASIL A GALOPE;B2400322500000;04565
BRASIL ADENTRO - MÚSICA DE PERNAMBUCO;B1600382200000;00118
BRASIL DA PAZ;B2500287400000;230349
BRASIL DE ORIGEM;B2500460400000;05041
BRASIL DE TODOS OS RITMOS;B2100217400000;02289
BRASIL FOLCLORE;B1800136400000;00607
BRASIL JOIADO;B2000028000000;01832
BRASIL MIGRANTE;B1700229000000;00485
BRASIL PARA PRINCIPIANTES - VENTURAS E DESVENTURAS DE UM BRASILEIRO NATURALIZADO;B2400142500000;2512
BRASIL RAIZ – OS SONS DA TERRA;B2400114200000;04407
BRASIL TUPINAMBÁ;B2100120800000;02825
BRASIL VISUAL - 2ª TEMPORADA;B2400151000000;02995
BRASIL, 500 ANOS DE ECONOMIA;B2300452900000;00395
BRASIL, TRAVESSIAS;B1900038500000;00406
BRASILEIRINHO;B2500009400000;03469
BRASILEIROS S/A;B1800502200000;00524
BRASILIANA – O MUSICAL NEGRO QUE APRESENTOU O BRASIL AO MUNDO;B2500302700000;04402
BRASÍLIA, A HISTÓRIA DA HISTÓRIA;B1900504800000;01882
BRAZIL, MADE IN PARANÁ;B1700620000000;00918
BREVE HISTÓRIA DO PLANETA VERDE;B1900541900000;02570
BREVE MIRAGEM DE SOL;B1900263400000;00854
BRICHOS - SÉRIE DE TV - PRIMEIRA TEMPORADA;B1402062600000;0211022500
BRICHOS 3 - MEGAVIRUS;B2200451700000;02863
BRINCANDO COM A CIÊNCIA!;B1700055500000;00497
BRINQUEDONAUTAS;B1900066100000;01083
BRIZOLA;B2400234600000;03984
BRUNA SURFISTINHA;B1101347100000;0211037900
BRUSCKY - UM AUTORRETRATO;B2400219900000;02133
BRUXARIAS;B1500464600000;00028
BUGIGANGUE NO ESPAÇO;B1600041000000;00026
BUGIGANGUE NO ESPAÇO;B1600041000000;0211016700
BUSCANDO BUSKERS - TEMPORADA 3;B2300191700000;03797
BUSTUS E RANHOSSÉS;B2500086300000;04481
C.I.C - CENTRAL DE INTELIGÊNCIA CEARENSE;B2500056900000;05159
CABEÇA DE NÊGO;B2000386800000;01863
CABRAS DA PESTE;B1900468300000;02593
CABRAS DA PESTE;B1900468300000;02594
CABRAS DA PESTE;B1900468300000;02621
CACO & DADO;B1201544800000;0210041000
CADERNOS NEGROS;B2500480300000;04987
CAFÉ COM CANELA;B1700013000000;00619
CAFÉ, PEPI E LIMÃO;B2000152800000;1706
CAIAM AS ROSAS BRANCAS!;B2500112300000;04678
CAIAM AS ROSAS BRANCAS!;B2500112300000;04984
CAIAM AS ROSAS BRANCAS!;B2500112300000;05009
CAINDO NA REAL;B2400344000000;05227
CAINÃ;B2300142500000;02783
CAIXA POSTAL;B2400314000000;04398
CAIXA PRETA;B1700467500000;00723
CAIXAS MÁGICAS;B2000145400000;02292
CALE-SE - A CENSURA MUSICAL;B1500309600000;120318
CAMINHO DA RENDA - A HISTÓRIA DOS IMPOSTOS NO BRASIL;B2100266100000;01998
CAMINHO DE VOLTA;B2000495400000;02554
CAMPO DE QUEM?;B2300464100000;02811
CAMPO GRANDE;B1500344800000;00083
CAMPUS SANTO;B1700578900000;00540
CANADÁ RADICAL;B2300208600000;04009
CANAL 60;B1900426000000;00861
CANAL DA QUEBRADA;B2200266300000;04019
CANAL TELEVISÃO: UM MORRO DO BARULHO;B1700561400000;542
CANDEIA;B1800282400000;00796
CANECÃO, TANTAS EMOÇÕES;B2500435000000;04550
CANELA DE EMA – O MISTÉRIO DOS MUIRAQUITÃS;B2400175100000;03580
CANO SERRADO;B1800375900000;1337
CANTADA DE MINA;B2100199000000;01911
CANTOS DE TRABALHO: BOIS, BATAS E CANTIGAS;B2000413400000;03155
CANTOS DO MAR;B2400114100000;033182
CANÇÃO AO LONGE;B2200004100000;00199
CANÇÃO AO LONGE;B2200004100000;02162
CANÇÃO AO LONGE;B2200004100000;02355
CAPITU E O CAPITULO;B2300180300000;1448
CAPITÃES DA AREIA;B1101496800000;0211027400
CAPITÃO ASTÚCIA;B1900561100000;1562
CAPOEIRA, UM PASSO A DOIS;B1500883200000;00104
CARA OU COROA;B1201586300000;0211015200
CARAVELLE 114;B2500535800000;03833
CARCEREIRAS;B2500203300000;04890
CARLINHOS E CARLÃO;B1900409100000;01649
CARNAVAL - O GRANDE NEGÓCIO;B2500230600000;04446
CARNEIRO DE OURO;B1700581400000;00711
CARRAPATOS E CATAPULTAS - 1A TEMPORADA;B1001293000000;0213003300
CARRAPATOS E CATAPULTAS - 2A TEMPORADA;B1402798600000;0213003300
CARRAPATOS E CATAPULTAS - 3A TEMPORADA;B1700567900000;00160
CARRO REI;B2100433800000;02400
CARRO REI;B2100433800000;03024
CARROÇA E A CULTURA POPULAR;B2300334900000;03937
CARTAS PARA ...;B2400073500000;02553
CARTAS PARA ...;B2400073500000;04333
CARTAS PARA...A SÉRIE, ESCRITORAS BAIANAS;B1900032600000;1634
CARTOGRAFIAS DO CORPO;B2400339200000;03822
CARTÓRIO DAS ALMAS;B2300422000000;03554
CARVANA;B1800264200000;00965
CARVÃO;B2200312700000;03173
CARVÃO;B2200312700000;04025
CARVÃO;B2200312700000;04146
CASA;B1900381200000;01426
CASA DA MÃE JOANA 2;B1301910300000;0212036200
CASA DE ANTIGUIDADES;B2000429100000;2572
CASA GRANDE;B1402131600000;0212030200
CASA IZABEL;B2000073200000;02342
CASA VAZIA;B2200295300000;02081
CASALTOPIA;B1900268200000;00949
CASARÃO;B2500453600000;03503
CASSIMIRO E FLOR DA DONA FLOR;B2300563000000;03888
CATÁLOGO BRASIL;B1500151700000;00101
CAUSANDO NA RUA;B1600559000000;00425
CAUSANDO NA RUA - 2ª TEMPORADA;B1900272200000;1576
CAVALO;B2000130600000;1252
CAVALO DE SANTO - O FILME;B1600726200000;00500
CAVERNA DO CARUSO;B2000136800000;02595
CAZUZA: BOAS NOVAS;B2500016100000;04572
CAÇADA FULNI-Ô;B2600017600000;04911
CAÇADORAS DE TALENTOS;B2500408500000;04431
CAÇADORES DA ALMA - 2A TEMPORADA;B1700215800000;00291
CAÇADORES DE CAVERNAS;B2400063100000;03926
CAÇADORES DE MARÉS;B2500078400000;03068
CEDO DEMAIS;B2300486200000;02273
CELSO ANTÔNIO, BRASILEIRO;B2000173800000;1715
CENTRO ILUSÃO;B2500183500000;4788
CENTRO LIBERDADE;B2400225400000;03759
CENÁRIOS FUTUROS;B1900420500000;1180
CHABADABADÁ;B2400347900000;3265
CHABADABADÁ;B2400347900000;5027
CHACRINHA, O VELHO GUERREIRO;B1800482700000;1300
CHAMA A BEBEL;B2300502400000;04497
CHAPADA DOS GUIMARÃES: DESTINO ECOTURISMO;B2400092400000;04365
CHAPADAS DO BRASIL;B2500315100000;04457
CHAPE! MEMÓRIAS DO OESTE;B2500298600000;04696
CHAPEUZINHO DE TODAS AS CORES;B1700463100000;01114
CHEF JACK, O COZINHEIRO AVENTUREIRO;B2200143600000;03132
CHEFLINGS;B2500218000000;00782
CHEFLINGS;B2500218000000;03564
CHICO - MEU AMIGO INVISÍVEL;B2200087600000;03430
CHICO MARIO, A MELODIA DA LIBERDADE;B2100113400000;02006
CHICO PARA SEMPRE;B2200375000000;04041
CHICO PARA SEMPRE;B2200375000000;4042
CHICO XAVIER;B1001148600000;0210001800
CHOCANTE;B1700422600000;01283
CHOQUE DE CULTURA - A SÉRIE;B2500370400000;05092
CHORAR DE RIR;B1800556100000;2211
CHORÃO: MARGINAL ALADO;B2000158900000;03026
CHUTEIRA PRETA;B1900215700000;01890
CHUTEIRA PRETA - JOGOS ILEGAIS;B2300184700000;04034
CHUVA NEGRA;B2300018300000;02884
CHUVA É CANTORIA NA ALDEIA DOS MORTOS;B1800515000000;00958
CHÃO;B1900203000000;00973
CHÃO DE ESTRELAS;B2100301600000;02509
CHÃO DE FÁBRICA;B1600739700000;00364
CIDADE DAS MEIAS;B2400262700000;00187
CIDADE INVISÍVEL;B1700261300000;00480
CIDADE PÁSSARO;B1900583200000;03107
CIDADE PÁSSARO;B1900583200000;03115
CIDADE PÁSSARO;B1900583200000;03138
CIDADE PÁSSARO;B1900583200000;1455
CIDADE SUBMERSA;B2000344400000;1788
CIDADE, CAMPO;B2400323700000;02851
CIDADE, CAMPO;B2400323700000;04275
CIDADES DE CINEMA;B2100141800000;02908
CIENTISTAS BRASILEIROS;B2300132000000;2817
CIENTISTAS BRASILEIROS ENTRE OS MELHORES;B1800387200000;01105
CILADA.COM;B1101406900000;0211008100
CINCO DA TARDE;B2400144100000;04054
CINCO MULHERES;B2300472300000;03898
CINCO TIPOS DE MEDO;B2600037800000;04553
CINCO TIPOS DE MEDO;B2600037800000;04698
CINCO TIPOS DE MEDO;B2600037800000;04842
CINCO VEZES FAVELA, AGORA POR ELES MESMOS;B1001180900000;0210000600
CINDERELA POP;B1900048500000;01499
CINE BARATO;B1800563700000;00938
CINE BARATO;B1800563700000;01604
CINE BARATO;B1800563700000;01605
CINE COACHING;B2200239600000;02730
CINE HOLLIÚDY 2 - A CHIBATA SIDERAL;B1800441300000;1065
CINE MARROCOS;B1800607100000;01944
CINE TERROR;B2200349100000;03131
CINEASTAS;B1700472700000;00631
CINEASTAS - 2ª TEMPORADA;B2500424200000;04940
CINEMA CAFÉ;B2100282000000;02240
CINEMA DE ENREDO;B2200462400000;02569
CINEMA DIVERSIDADE;B1700558300000;00937
CINEMA DO INTERIOR;B2400407700000;04349
CINEMA EM TRANSE;B1800541600000;1153
CINÉTICAS;B2400229900000;33096
"CIRCO SOCIAL ""OS KACO""";B1900210300000;1241
CIÊNCIA NA MIRA;B2500285800000;5109
CIÊNCIA PARA CRIANÇAS;B1700145300000;00509
CLANDESTINO;B1900452000000;00898
CLARA ESTRELA;B1700625600000;00888
CLARICE NISKIER - TEATRO DOS PÉS À CABEÇA;B2400340100000;04571
CLAUDE - ALÉM DA COZINHA;B1800608100000;02409
CLEMENTINA;B1900131500000;01359
CODINOME BRENO;B1900433000000;1478
COLAPSO - A SÉRIE;B2500008800000;04011
COLECIONADORES;B1700088700000;00283
COLEGAS E O HERDEIRO;B2500340500000;04902
COLETIVO DE MULTIDÃO;B2000157600000;01260
COLETIVOS;B2300095100000;00748
COLETIVOS;B2300095100000;02721
COLÔNIA;B2000127000000;1533
COM A PALAVRA, ARNALDO ANTUNES;B1800542400000;1555
COM AS PRÓPRIAS MÃOS;B2300363300000;03807
COMBINAMOS NÃO MORRER;B2400041100000;04075
COMBOIO DE SAL E AÇÚCAR;B1700249500000;00828
COMER, BEBER E APRENDER;B2500254900000;05064
COMIDA AQUI É MATO!;B2000099000000;02905
COMIDA DE SANTO;B2400115600000;04368
COMIDA É ARTE TERROIR BRASIL;B2000173400000;02060
COMO NASCEM OS HERÓIS;B2500262600000;00137
COMO NOSSOS PAIS;B1700119200000;00434
COMO SE TORNAR O PIOR ALUNO DA ESCOLA;B1700386500000;00845
COMO SE TORNAR O PIOR ALUNO DA ESCOLA;B1700386500000;99999
COMO É  CRUEL VIVER ASSIM;B1700468400000;1333
COMPANHIAS DO TEATRO BRASILEIRO - 1A TEMPORADA;B2300056300000;01894
COMPRO LIKES;B2300270400000;02784
COMPRO LIKES;B2300270400000;02785
CON LIBERTAD NI OFENDO NI TEMO;B2200358600000;02879
CONDOMINIO JAQUELINE;B1600003800000;0213002000
CONDOR;B2300443400000;03929
CONEXÃO BRASIL SENEGAL: A CULTURA EM NÓS;B2300004200000;02533
CONEXÕES E HASHTAGS;B2300181500000;02898
CONFISSÕES DE MULHERES DE 50;B2000230800000;1791
CONSCIÊNCIA³;B1900529300000;01965
CONSTRUINDO PONTES;B1700449500000;00387
CONTA COMIGO;B1900363700000;00158
CONTACTADO;B2000151700000;02925
CONTACTADO;B2000151700000;03086
CONTINENTE;B2400330900000;03504
CONTINENTE;B2400330900000;04737
CONTINENTES PARTILHADOS - A DESCOLONIZAÇÃO DA ÁFRICA;B2400098300000;03145
CONTOS DO MESTRE DOS MAGOS;B2400276600000;04018
CONTRACAPA;B1800212300000;01110
COPAN;B2500457200000;04970
CORA;B1900148000000;1442
CORAÇÃO DAS TREVAS;B1700597100000;00069
CORAÇÕES SUJOS;B1101420100000;0210005600
CORAÇÕES SUJOS;B1101420100000;0212027600
CORDIALMENTE TEUS;B2200299300000;03035
CORDÉLICOS;B2100166300000;01978
CORPO A CORPO;B2400119100000;03974
CORPO BONITO;B2500089000000;03144
CORPO ELÉTRICO;B1700112000000;00272
CORPO PRESENTE;B1201590900000;0212017400
CORPO PRESENTE;B2300512000000;03339
CORRENDO ATRÁS;B1800216200000;00811
CORRENDO ATRÁS;B1800216200000;00812
CORRENDO POR UM SONHO;B2000102800000;00072
CORRENDO POR UM SONHO;B2000102800000;01880
COSMO - O COSMONAUTA;B2400171600000;04403
COSMOVISÕES;B2200306500000;02933
COSTA DOS CORAIS;B2400073800000;04381
COSTELA DE EVA;B2500519500000;05028
CRAVOS;B1900005600000;01904
CRIADAS;B2500191400000;02579
CRIADAS;B2500191400000;04334
CRIADORES ORIGINAIS;B2600025400000;04073
CRIANÇA DE RAIZ;B2400379400000;03973
CRIAS DE DULCINA;B1900268600000;01095
CRIATIVOS EM FOCO;B2200226700000;02166
CRIATIVOS.BR - MODA E IDENTIDADE;B1700625800000;1162
CRIATURAS - UMA AVENTURA ENTRE DOIS MUNDOS;B2400372000000;04079
CRIATURAS - UMA AVENTURA ENTRE DOIS MUNDOS;B2400372000000;04910
CRISÁLIDA;B1800569200000;1628
CRISÁLIDA - 2º TEMPORADA;B2400214700000;04237
CRUA;B1800566100000;00990
CRÍTICA;B2000240200000;02149
CULTURAMA;B2000026900000;00929
CULTURANDO;B1800028900000;1112
CURRAL;B2100324700000;03027
CURRAL;B2100324700000;03160
CURTA O BICHO;B2400005200000;02530
CURTA O SOM - 2ª TEMPORADA;B1900323700000;1352
CURTAS JORNADAS NOITE ADENTRO;B1900308000000;01848
CURTAS JORNADAS NOITE ADENTRO;B1900308000000;30706
CURUMIM, O HOMEM QUE QUERIA VOAR;B1600651600000;00857
CUSTOMIZE!;B2300347000000;02399
CYCLONE;B2500449100000;05105
CÂNCER COM ASCENDENTE EM VIRGEM;B2500028700000;04369
CÂNCER COM ASCENDENTE EM VIRGEM;B2500028700000;04895
CÉU ABERTO;B2300397200000;03485
CÉU DE AREIA;B2500223100000;04459
CÍCERO;B2000098200000;02616
D'ARQUEOLOGIA - A OCUPAÇÃO DO BRASIL;B1900514000000;1658
D.P.A. - O FANTÁSTICO REINO DE ONDION;B2500431400000;05202
D.P.A. - O FANTÁSTICO REINO DE ONDION;B2500431400000;05203
D.P.A. - O FANTÁSTICO REINO DE ONDION;B2500431400000;05371
DA BOLEIA;B2500129400000;4354
DA FOME AO SONHO;B2500129500000;04290
DA MANGA ROSA;B2000059600000;1809
DA NASCENTE À FOZ;B1900352900000;02161
DA NASCENTE À FOZ - SEGUNDA TEMPORADA;B2500200200000;230667
DANIEL SENISE - NEM TUDO TEM QUE SER SOBRE ALGUMA COISA.;B2100460500000;01999
DANÇA ANFÍBIA;B2500366600000;04303
DANÇAS DO MUNDO;B2000430200000;02932
DAVISSAURO;B2400294400000;03531
DE FRENTE PRO MAR;B2300212000000;03052
DE LONGE TODA SERRA É AZUL;B2300282000000;02202
DE LONGE TODA SERRA É AZUL;B2300282000000;03032
DE MALA E CUIA;B1600765400000;520
DE MENOR - A SÉRIE;B2500002500000;03030
DE PERNAS PRO AR;B1001305900000;0209055700
DE PERTO ELA NÃO É NORMAL;B2000006000000;02115
DE PERTO ELA NÃO É NORMAL;B2000006000000;2253
DE QUEBRADA EM QUEBRADA;B1900245400000;01086
DE REPENTE DRAG;B2200202000000;02914
DE REPENTE, MISS!;B2300374700000;04282
DE SHOW A SHOW COM YAMANDU COSTA;B1800393400000;00902
DE UM TUDO;B2400480300000;04618
DE VOCÊ FIZ MEU SAMBA;B2300376600000;03123
DE VOLTA AO JOGO;B2400342400000;04471
DE VOLTA AO MARACANÃ;B1800422000000;1462
DE VOLTA AO RIO BAKER;B2400094800000;04347
DECOLA;B2300000500000;1679
DEFENSORES;B1700204000000;00501
DELEGADO;B2500330800000;04309
DELEGADO;B2500330800000;04372
DENSIDADE DAS COISAS;B2400083600000;03116
DENTE POR DENTE;B2000440700000;02280
DENTE POR DENTE;B2000440700000;02336
DENTRO DA CAIXINHA;B2300289500000;3479
DENTRO DA MINHA PELE;B2000325100000;01958
DENTRO DE MIM;B2300433200000;04516
DEPENDENTES;B1900452200000;00608
DEPENDENTES;B1900452200000;02497
DEPOIS A LOUCA SOU EU;B2000078000000;02623
DEPOIS A LOUCA SOU EU;B2000078000000;03001
DEPOIS A LOUCA SOU EU;B2000078000000;03412
DEPOIS DA PRIMAVERA;B2100142100000;02743
DEPOIS DE SER CINZA;B1900379100000;00914
DEPOIS DE SER CINZA;B1900379100000;02737
DEPOIS DE TUDO;B1500344400000;47
DEPOIS DO TREM;B2600020300000;03174
DERRAPADA;B2300201100000;1793
DESAFIO SHOW;B2500505800000;04683
DESAPEGA;B2200504100000;04264
DESARQUIVANDO ALICE GONZAGA;B1700261200000;00421
DESCOBRINDO TRILHAS;B1800490800000;00853
DESCUBRA-SE;B2300295800000;04120
DESDE JUNHO;B1700107000000;00559
DESEJO DE VIVER - MUTATIS MUTANDIS;B2400478000000;04575
DESEJOS DA TERRA;B2500362800000;4879
DESENROLA;B1001315900000;0209055800
DESERTO;B1600287300000;00023
DESERTO PARTICULAR;B2100408300000;03449
DESERTO PARTICULAR;B2100408300000;1717
DESIGNERS DO BRASIL;B1700221100000;00349
DESIGNERS DO BRASIL - 2ª TEMPORADA;B2300364900000;03975
DESLEMBRO;B1800411600000;00090
DESOBEDIENCIA DE GENERO;B2400459000000;03885
DESPEDIDA;B2100262500000;01033
DESPEDIDA;B2100262500000;01973
DESTERRO;B1900545200000;01277
DESTINO DAS SOMBRAS;B1900298300000;00870
DESTINO DAS SOMBRAS;B1900298300000;02732
DESTINO INCOMUM - 2ª TEMPORADA;B1800315500000;00931
DESTINO INCOMUM - CIVILIZAÇÕES PERDIDAS;B2000562700000;01872
DESTINO: FICÇÃO - 2ª TEMPORADA;B2300148800000;02906
DESTINOS DA FÉ;B2300565300000;04201
DESVENDANDO MUSEUS;B2400231500000;04604
DESVIO;B2000230900000;1558
DETETIVES DO PRÉDIO AZUL 3 - UMA AVENTURA NO FIM DO MUNDO;B2100018500000;9999
DEUS TEM AIDS;B2200073000000;03122
DIAMANTINO;B1800445100000;1751
DIAS DE LUTA;B2400273500000;03900
DIAS DE TEMPESTADE;B2300529200000;02373
DIAS VAZIOS;B1700596400000;00409
DIGA MEU NOME;B2000112200000;01864
DINOS DO BRASIL;B2400451000000;04959
DIRETAS JÁ;B2000056100000;00968
DIRETORES DE ARTE;B2300404500000;04633
DISFORIA;B1900090000000;1591
DIVAS DO BRASIL;B2300441800000;03557
DIVERSIDADE;B1800159100000;00783
DIVINO AMOR;B1900232700000;01969
DIVINO AMOR;B1900232700000;1587
DIVINO AMOR;B1900232700000;1589
DIVINO AMOR;B1900232700000;1590
DIVÃ A 2;B1500335800000;00108
DIZ A ELA QUE ME VIU CHORAR;B1900357900000;01479
DIZ A ELA QUE ME VIU CHORAR;B1900357900000;02413
DIÁRIO DA PRIMAVERA;B2300147000000;02040
DIÁRIO DE LULI;B1900280000000;01120
DIÁRIO DE VIAGEM;B2100103100000;02082
DIÁRIO DE VIAGEM;B2100103100000;02450
DIÁRIO DO FOGO;B2500426800000;05310
DIÁRIOS DA FLORESTA;B1700342300000;00642
DIÁRIOS DE INTERCÂMBIO;B2100260000000;2378
DIÁRIOS SOBRE O CORPO;B1700354400000;00518
DJUNUÁ;B2400187100000;02744
DO COMEÇO AO FIM;B0901103700000;0209061400
DO JAZZ AO SAMBA;B1700518900000;00760
DO PORTÃO PARA DENTRO;B2500466800000;03613
DO SOM À ARTE;B2200127600000;02813
DOCUMENTANDO O INVISÍVEL;B2400215200000;04539
DOIDAS E SANTAS;B1500812200000;00022
DOIDAS E SANTAS;B1500812200000;304
DOIS MAIS DOIS;B2000070300000;02977
DOIS SERTÕES;B2300525400000;03156
DOIS TEMPOS;B1900423900000;01857
DOIS TEMPOS;B2100227200000;01896
DOIS É DEMAIS EM ORLANDO;B2400052600000;02261
DOLORES;B2500405800000;04832
DOLORES - UMA MULHER, DOIS AMORES;B1700045100000;00738
DOLORES DURAN - O CORAÇÃO DA NOITE;B2200257000000;02899
DOMINGO;B1800502000000;00322
DONA FLOR E SEUS DOIS MARIDOS;B1700477300000;1339
DONAS DO BABA;B2100080600000;02756
DORA E GABRIEL;B2000468500000;02442
DORIVAL CAYMMI – UM HOMEM DE AFETOS;B2000459900000;1631
DORIVANDO SARAVÁ;B2000452700000;02037
DORMIR DE OLHOS ABERTOS;B2400318700000;04342
DORMIR DE OLHOS ABERTOS;B2400318700000;04343
DOSSIÊ DA LAMA;B2300276500000;04363
DOUTOR GAMA;B2100299900000;01928
DOUTORA QUERIDA;B2300381600000;04552
DOVAL: O GRINGO MAIS CARIOCA DO FUTEBOL;B2400388000000;4602
DOWNWIND NAS FILIPINAS;B1800138800000;01292
DOÇARIA BRASILEIRA;B1800548900000;00525
DR. OCRIDE;B1900288400000;1698
DRAG ATAQUE;B2500296500000;04439
DRAMATURGIAS;B2400052300000;3874
DUAS DE MIM;B1700395900000;114
DUAS DE MIM;B1700395900000;420
DUELO DE GUITARRAS;B2600022100000;05385
DUETTO;B2100271600000;00911
DUETTO;B2100271600000;03945
DUNAS DO BARATO;B1700207800000;00251
E AÍ, COMEU?;B1201586000000;0212015200
E AÍ... COMEU?;B1600358700000;00204
E AÍ... COMEU?;B1600358700000;00688
ECOLOUCOS - UMA COMÉDIA INSUSTENTÁVEL;B2600013900000;02664
ECOLOUCOS - UMA COMÉDIA INSUSTENTÁVEL;B2600013900000;02899
ECOLOUCOS - UMA COMÉDIA INSUSTENTÁVEL;B2600013900000;04810
ECOS DO SILÊNCIO;B2400402900000;02350
ECOS DO TEATRO EXPERIMENTAL NEGRO;B2500383300000;04245
EDIFICANTE;B2400094000000;00765
EDIFICANTE;B2400094000000;03552
EDIFÍCIO BONFIM;B2500208200000;04159
EDIFÍCIO BONFIM;B2500208200000;04760
EDNA;B2100265500000;01939
EDUARDO E MÔNICA;B2000096200000;1312
EDUCAÇÃO SENTIMENTAL;B1301968400000;00068
EGLÊ;B2400089800000;04066
EIKE, TUDO OU NADA;B2200250300000;02835
EIKE, TUDO OU NADA;B2200250300000;04578
EL AUGE DEL HUMANO 3;B2400244500000;04786
EL EMPLEADO Y EL PATRÓN;B2100271900000;02874
ELA E EU;B2000081700000;1607
ELE ERA ASSIM: ARY BARROSO;B1900390100000;1595
