TITULO_ORIGINAL;TITULO_BRASIL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;SITUACAO_CRT;CPB_ROE;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO;PAIS;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO;REDUCAO_ISENCAO;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""55S4"" - A VIRADA";;2015062660000009;03/12/2015;04/12/2015;EXPIRADO;B1301847300000;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;26;2013;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL INCLUÍDA NA PROGRAMAÇÃO INTERNACIONAL DE QUE TRATA O INCISO XIV DO ART. 1º DA MEDIDA PROVISÓRIA 2228-1/01;SYNAPSE PRODUÇÕES LTDA;278;40.271.140/0001-19;RJ;RIO DE JANEIRO
"""A VIDA NÃO BASTA""";;2015025929000009;11/05/2015;20/05/2015;EXPIRADO;B1402073000000;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;85;2013;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;VILA PRODUCOES AUDIOVISUAIS LTDA ME;22608;11.968.533/0001-88;SP;SÃO PAULO
"""BRASIL CLÁSSICO CAIPIRA""";;05040076041020121;25/01/2012;06/08/2015;EXPIRADO;B1101503500000;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;SERIADA;130;2010;2010;OUTROS MERCADOS;OBRA AUDIOVISUAL BRASILEIRA;MERCADO CULTURAL LTDA EPP;1133;03.093.490/0001-06;DF;BRASÍLIA
"""HIV, E DAÍ ?""";;03030098143520132;16/12/2013;25/06/2015;EXPIRADO;B1302035100000;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;13,3;2013;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);OBRA AUDIOVISUAL BRASILEIRA;QUERO FILMES LTDA - ME;15100;09.350.378/0001-90;SP;SANTOS
"""MALDITO ZÉ DO CAIXÃO""";;2015023356000003;29/04/2015;07/05/2015;EXPIRADO;B1402240600000;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;5,7;2014;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;STUDIO CONTRA PRODUCOES LTDA -ME;26226;19.406.672/0001-20;RJ;RIO DE JANEIRO
"""MULTISHOW AO VIVO - DOIS AMIGOS, UM SÉCULO DE MÚSICA - CAETANO VELOSO E GILBERTO GIL""";;2015065599000000;18/12/2015;22/12/2015;EXPIRADO;B1500928500000;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;103;2015;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
"""RAIO DE SOL"" - VIDEOCLIPE OFICIAL - BANDA JAMIRULUS (MOTIOM PV)";;2015060818000006;18/11/2015;25/11/2015;EXPIRADO;B1500843100000;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;4,2;2015;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;MOTIOM PRODUCOES VISUAIS LTDA;25067;18.726.393/0001-80;SP;SÃO PAULO
"""RAIO DE SOL"" - VIDEOCLIPE OFICIAL - BANDA JAMIRULUS (MOTIOM PV)";;2015060819000000;18/11/2015;25/11/2015;EXPIRADO;B1500843100000;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;4,2;2015;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);OBRA AUDIOVISUAL BRASILEIRA;MOTIOM PRODUCOES VISUAIS LTDA;25067;18.726.393/0001-80;SP;SÃO PAULO
"""TCHAU MEU BEM""";;2015008221000000;05/02/2015;25/02/2015;EXPIRADO;B1500099300000;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;3,5;2014;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""TOCA AÍ UM JOÃO MINEIRO E MARCIANO""";;2015031760000000;11/06/2015;19/06/2015;EXPIRADO;B1500455500000;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;3,9;2015;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A;;27.865.757/0056-78;RJ;RIO DE JANEIRO
