TITULO_ORIGINAL;CPB;NUMERO_SALIC
BESOURO;B0901080700000;060405
BETIM VIVA;B2500256000000;210103
BETINHO-A ESPERANÇA EQUILIBRISTA;B1500712100000;140242
BETÂNIA;B2500122000000;240137
BICHO DE SETE CABEÇAS;B0500309800000;984908
BICHO DÁ. O BICHO TOMA, O;B0500279500000;011890
BICHO PAPÃO;B1101348200000;060466
BIKINI REVOLUTION;B1101522700000;060341
BILLI PIG;B1101537800000;100151
BINGO - O REI DAS MANHÃS;B1700330100000;120395
BIO;B1700509000000;150148
BIOCÊNTRICOS;B2200244600000;170189
BIOGRAFIAS I;B1101401000000;070246
BIOGRAFIAS II;B1201556300000;070263
BIOGRAFIAS III;B1201556200000;070398
BIOGRAFIAS ÍNTIMAS;B2400328500000;220297
BIZARROS PEIXES DAS FOSSAS ABISSAIS;B2300031800000;150217
BLACK TO BLACK;B2300418300000;210049
BLITZ;B1700402100000;120292
BOA NOITE;B1900376800000;150199
BOA SORTE;B1402300400000;120254
BOA SORTE, MEU AMOR;B1301899900000;080125
BOB BURNQUIST - A LENDA DO SKATE;B2400185200000;170119
BOB CUSPE - NÓS NÃO GOSTAMOS DE GENTE;B2100017700000;130359
BOBOLÂNDIA MONSTROLÂNDIA - 1ª TEMPORADA;B1700401300000;130413
BOCA;B1201623700000;050256
BOCA DE OURO;B1900180000000;170664
BOCAGE O TRIUNFO DO AMOR;B0400052500000;950135
BODAS DE PAPEL;B0800855500000;030154
BODE DE NATAL;B1600780800000;160240
BODY BY BETH;B2400331700000;210086
BOI NEON;B1500798600000;119155
BOLEIROS 2;B0600475100000;030055
BOLEIROS, ERA UMA VEZ O FUTEBOL;B0600556000000;950775
BOM DIA ARQUEOLOGIA;B1402213800000;090138
BONITINHA MAS ORDINÁRIA;B1301739100000;060329
BOOKABOO;B2400119600000;220293
BORA, O PÓDIO É NOSSO!;B2400170500000;200016
BORIS E RUFUS;B1700473700000;160211
BORIS E RUFUS- BIT STOP;B1800054500000;160342
BORN TO FASHION;B2000067200000;180384
BORN TO FASHION 2ª TEMPORADA;B2400322400000;210045
BOSSA NOSSA;B2200085600000;200056
BOSSA NOVA;B0500386700000;973450
BR 14 - A ROTA DOS IMIGRANTES;B1402181500000;130099
BR 716;B1600405900000;110506
BR230: MUITO ALEM DA TRANSAMAZÔNICA;B2400227400000;210312
BRASIL 2050 - 1A. TEMPORADA;B1301981400000;090397
BRASIL 2050 - 2ª TEMPORADA;B1500704800000;120465
BRASIL 2050 - 3ª TEMPORADA;B2300532700000;210051
BRASIL 2050 - 4ª TEMPORADA;B2500476700000;230660
BRASIL ADENTRO - MÚSICA DE PERNAMBUCO;B1600382200000;130315
BRASIL ANIMADO;B1101348300000;090022
BRASIL DE IMIGRANTES;B1900374400000;180899
BRASIL DE IMIGRANTES ESPECIAL;B1900489800000;180206
BRASIL DESAFIOS DE UM PAÍS QUE VOCÊ NÃO CONHECE;B1301755900000;100489
BRASIL E ALEMANHA: 200 ANOS DE HISTÓRIA;B2400491900000;220755
BRASIL E CHINA;B2500208500000;240358
BRASIL ESTRADEIRO;B1700362200000;110483
BRASIL OCEÂNICO;B0500260600000;011942
BRASIL SOMOS NÓS;B1301934600000;099143
BRASIL VISTO DE CIMA - TEMPORADA 6;B2500150500000;220829
BRASIL VISTO DE CIMA À NOITE;B2400241000000;220519
BRASIL VS DUNGA - FUTEBOL EM PÉ DE GUERRA;B2400471100000;230559
BRASIL X BRASIL;B1500584100000;140430
BRASIL ÁFRICA - UM ELO NATURAL;B2000110400000;120500
BRASIL, 500 ANOS DE ECONOMIA;B2300452900000;157153
BRASIL, DNA ÁFRICA;B1600342000000;140058
BRASILEIRINHO;B0600578400000;030224
BRASILEIRINHO;B0600578400000;050350
BRASILEIRINHO;B0600578400000;079011
BRASILEIRÍSSIMA;B2200042500000;160589
BRASILIANA – O MUSICAL NEGRO QUE APRESENTOU O BRASIL AO MUNDO;B2500302700000;220837
BRASÍLIA;B2500036100000;230994
BRASÍLIA 18 POR CENTO;B0600490100000;030216
BRAVA GENTE BRASILEIRA;B0700637600000;972000
BRAVA GENTE ITALIANA;B1500562900000;070136
BRAVA MENTE;B2300527200000;220350
BRAVOS VALENTES: VAQUEIROS DO BRASIL;B2100415100000;150003
BRICHOS;B0600602300000;040121
BRICHOS;B0600602300000;070184
BRICHOS - A FLORESTA É NOSSA;B1201627800000;070184
BRICHOS - SÉRIE DE TV - PRIMEIRA TEMPORADA;B1402062600000;110344
BRINCANTE;B1402203900000;090337
BRODER;B1001298800000;023925
BRUNA SURFISTINHA;B1101347100000;070091
BRUSQUE 92;B1800452400000;160723
BUBU E AS CORUJINHAS - 1ª TEMPORADA;B1700598200000;170339
BUBU E AS CORUJINHAS - 2°TEMPORADA;B1900461100000;170339
BUCK, O MONSTRO DA LAGOA;B1600368200000;150625
BUDAPESTE;B0900988600000;050009
BUENA SORTE;B0500313900000;960424
BUGIGANGUE NO ESPAÇO;B1600041000000;080331
BUZUM;B2400013000000;150361
BUZZU NA ESCOLA INTERGALÁCTICA;B1700487800000;140352
BUZZU NA ESCOLA INTERGALÁCTICA - 2A TEMPORADA;B1800348700000;160605
C.I.C - CENTRAL DE INTELIGÊNCIA CEARENSE;B2500056900000;230119
CABEÇA A PRÊMIO;B1001260400000;070333
CABRAS DA PESTE;B1900468300000;180318
CACHAÇA, O ESPÍRITO BRASILEIRO;B2600007700000;240853
CADARÇO;B1700371900000;140355
CADUCANDO DE AMOR;B2500059400000;231038
CAFUNÉ;B0500431600000;050287
CAFÉ DOS MAESTROS;B0800935300000;060263
CAINDO NA REAL;B2400344000000;210151
CAINDO NA REAL;B2400344000000;240403
CAIS;B2500295100000;180161
CAIXA DOIS;B0700648000000;060107
CALEUCHE, O CHAMADO DO MAR;B1301815500000;080112
CALIFÓRNIA;B1500340300000;060182
CALL GIRL;B0800880800000;069021
CALLADO;B1900390400000;160072
CAMERA ENTRE BALAS;B2400282400000;180797
CAMINHO DAS NUVENS, O;B0300007900000;993565
CAMINHO DO MAR;B1700349900000;140502
CAMINHO DOS SONHOS;B0700724300000;962425
CAMINHOS DO ALIMENTO;B2400220400000;170646
CAMINHOS MAGNÉTICOS;B1900057300000;155203
CAMISA OFICIAL;B1402830300000;140044
CAMPO DE BATALHA - OS MUNDIAIS E A GUERRA FRIA;B1800288500000;170421
CAMPO GRANDE;B1500344800000;120191
CAMPUS SANTO;B1700578900000;140184
CANASTRA SUJA;B1800073300000;160658
CANELA DE EMA – O MISTÉRIO DOS MUIRAQUITÃS;B2400175100000;231339
CANHOTAS;B1900350800000;180071
CANO SERRADO;B1800375900000;140140
CANSEI DE SER NERD;B2500397900000;160323
CANTA MARIA;B0600509100000;000201
CANTANDO COM PING E PONG;B1800435500000;160279
CANÇÃO DA VOLTA;B1500542500000;100335
CAOS;B1201659200000;110452
CAPARAÓ;B0700659300000;050314
CAPITU E O CAPITULO;B2300180300000;170687
CAPITÃES DA AREIA;B1101496800000;060426
CAPIVARA - ARTE RUPESTRE NO SUL DO PIAUÍ;B2300295600000;130535
CARA A CARA;B2300565500000;220374
CARA OU COROA;B1201586300000;060003
CARANDIRU;B0300006200000;000206
CARANDIRU. DOC;B0300004300000;013646
CARANGAS ABSURDAS;B2100403800000;150642
CARAVANA NO AR;B1600203800000;140283
CARLINHOS BROWN EM MEIA LUA INTEIRA;B2500013000000;210077
CARLINHOS E CARLÃO;B1900409100000;160428
CARLOS;B1402244100000;130256
CARLOS - SÉRIE ANIMADA - TERCEIRA TEMPORADA;B2500534100000;200119
CARLOS SEGUNDA TEMPORADA;B1800203300000;150032
CARMO;B0800891600000;050418
CARNAVAL EM LÁ MENOR;B1700204300000;130090
CAROL LEVY CONTAROLANDO;B1500245000000;140311
CAROL LEVY CONTAROLANDO - SEGUNDA TEMPORADA;B1600613000000;160158
CAROS AMIGOS;B1800247700000;150122
CARRAPATOS E CATAPULTAS - 1A TEMPORADA;B1001293000000;120086
CARRAPATOS E CATAPULTAS - 2A TEMPORADA;B1402798600000;120086
CARREIRAS;B0600490200000;050241
CARROSSEL - O FILME;B1500453100000;140437
CARROSSEL 2 - O SUMIÇO DE MARIA JOAQUINA;B1600352700000;150696
CARTAS PARA DEUS;B2500427000000;220455
CARTAS PARA UM LADRÃO DE LIVROS;B1700560500000;160306
CARTOLA;B0700653100000;000319
CASA DA MÃE JOANA;B0800899200000;030012
CASA DA MÃE JOANA 2;B1301910300000;100545
CASA DE AREIA;B0500250700000;030325
CASA DE PEDRA;B1402062500000;040314
CASA GRANDE;B1402131600000;080374
CASAMENTO DE LOUISE, O;B0500309700000;961355
CASAMENTO DE ROMEU E JULIETA, O;B0400168800000;030108
CASAS FLUTUANTES COM AMYR KLINK;B2500127200000;230005
CASTELO RA-TIM-BUM;B0500313700000;972953
CATIVAS - PRESAS PELO CORAÇÃO;B1402144900000;110166
CATIVAS - PRESAS PELO CORAÇÃO;B1402750200000;110166
CATÁSTROFES AÉREAS;B1201704500000;100588
CAUSA E EFEITO;B1402148600000;139123
CAXIAS - QUE CIDADE É ESSA?;B1900189600000;100405
"CAZUZA ""O TEMPO NÃO PARA""";B0400081100000;011978
CAÇA -TEMPESTADES : AMAZÔNIA;B2500374400000;210275
CAÇADORES DOS VENTOS - NO LIMITE;B2300289200000;181001
CEDO DEMAIS;B2300486200000;150015
CEGO QUE GRITAVA LUZ, O;B0600547500000;950179
CENA A DOIS;B2400304800000;180947
CENTRAL DO BRASIL;B2500426700000;210261
CENTRO DO RIO;B0400069700000;012051
CERRADO;B2600125600000;230438
CERRO DO JARAU;B0500440200000;024003
CHACRINHA O VELHO GUERREIRO;B2000000500000;170716
CHACRINHA, EU VIM PARA CONFUNDIR NÃO PARA EXPLICAR;B2000183900000;170426
CHACRINHA, O VELHO GUERREIRO;B1800482700000;140124
CHAMADA A COBRAR;B1201671000000;090427
CHAPE! MEMÓRIAS DO OESTE;B2500298600000;170249
CHAPÉU DE BICO;B1600400300000;150495
CHARLIE, O ENTREVISTADOR DE COISAS;B1800605500000;180275
CHEFS DO BRASIL;B2400333800000;220643
CHEGA DE SAUDADE;B0800826700000;040267
CHIBATA;B1700436300000;070002
CHICO - ARTISTA BRASILEIRO;B1500777500000;120433
CHICO BENTO E A GOIABEIRA MARAVIOSA;B2400475500000;220772
CHICO E AS CIDADES;B0700759900000;993534
CHICO SCIENCE, UM CARANGUEJO ELÉTRICO;B1600115500000;150243
CHICO VENTANA TAMBÉM QUERIA TER UM SUBMARINO;B2000433100000;145006
CHICO XAVIER;B1001148600000;080280
CHITÃOZINHO & XORORÓ, UMA HISTÓRIA DE SUCESSO;B2400411600000;220551
CHOCANTE;B1700422600000;160149
CHOQUE TÉRMICO;B1700025900000;160168
CHORAR DE RIR;B1800556100000;130373
CHORÃO: MARGINAL ALADO;B2000158900000;140269
CHUTEIRA PRETA - JOGOS ILEGAIS;B2300184700000;190087
CHUVA DE LIKES - 1ª TEMPORADA;B2500025700000;220321
CIDADE BAIXA;B0500265000000;000387
CIDADE CINZA;B1301984500000;110073
CIDADE DE DEUS;B0300002800000;993264
CIDADE DE PLÁSTICO;B1001133500000;060418
CIDADE DOS HOMENS;B0700691900000;050127
CIDADE MARAVILHOSA - A FUNDAÇÂO DA CIDADE DO RIO DE JANEIRO;B2200104100000;130165
CIDADE PÁSSARO;B1900583200000;120381
CIDADE SECRETA;B1001162600000;080377
CIDADE, CAMPO;B2400323700000;180151
CIDADES FANTASMAS;B1700172000000;150655
CIDADES INVENTADAS;B1101481500000;040204
CIDADES POSSÍVEIS;B2000454900000;180768
CILADA.COM;B1101406900000;100282
CINCO VEZES CHICO O VELHO E SUA GENTE;B1500723200000;130189
CINCO VEZES FAVELA, AGORA POR ELES MESMOS;B1001180900000;070082
CINDERELA POP;B1900048500000;170070
CINDERELAS, LOBOS E UM PRÍNCIPE ENCANTADO;B0901013900000;060385
CINE HOLLIÚDY 2 - A CHIBATA SIDERAL;B1800441300000;160138
CINE MARCIAL;B2500078500000;220369
CINE MARROCOS;B1800607100000;160747
CINE ROOFTOP;B1600649600000;150607
CINE SÃO PAULO;B1700435100000;160726
CINELAB APRENDIZ;B1800102900000;160826
CINEMA, ASPIRINAS E URUBUS;B0500255500000;000440
CINZENTO E NEGRO;B1600340900000;145042
CIRCO VOADOR - A NAVE;B1500743500000;120073
CIÊNCIA, SUBSTANTIVO FEMININO (EX MULHERES BRASILEIRAS NA CIÊNCIA);B2400011800000;220298
CLASSICOMANIACO;B1600595900000;150553
CLEÓPATRA;B0800842100000;040144
CLICK EXPEDIÇÕES FOTOGRÁFICAS;B2500416200000;220363
CLUBE DA ANITTINHA - SEGUNDA TEMPORADA;B1900572300000;180930
CLUBE DA ANITTINHA - TERCEIRA TEMPORADA;B2100414300000;190258
CLUBE SPELUNCA;B2500244900000;210346
CLUBVERSÃO 2;B1500863000000;150027
CLUBVERSÃO LATINO;B1800266200000;160125
CLÁSSICOS DO FUTEBOL;B1800266700000;170392
COBRA NORATO;B1402795400000;012044
CODINOME CLEMENTE;B1800458000000;00622
CODINOME CLEMENTE;B1800458000000;090220
CODINOME CLEMENTE;B1800458000000;1929
COISA DE MENINO;B2300103400000;180723
COISA DE MULHER;B0500281700000;040232
COISA MAIS LINDA;B0500277500000;024144
COLEGAS;B1201660900000;060322
COLEGAS E O HERDEIRO;B2500340500000;170622
COM CAUSA;B2500271400000;210150
COMADRES;B2300043900000;190355
COMEBACK;B1700046100000;120117
COMER BEM, QUE MAL TEM?;B1500583400000;140365
COMIDA DE SANTO;B2400115600000;187836
COMO ELA FAZ?;B2100062500000;170534
COMO ESQUECER;B1001214400000;050168
COMO FAZER UM FILME DE AMOR;B0400096900000;024284
COMO NOSSOS PAIS;B1700119200000;119039
COMO NOSSOS PAIS;B1700119200000;120367
COMO NOSSOS PAIS;B1700119200000;129153
COMO SE TORNAR O PIOR ALUNO DA ESCOLA;B1700386500000;140300
COMO SER SOLTEIRO NO RIO DE JANEIRO;B0500272900000;951083
COMO SÃO PRODUZIDOS OS ALIMENTOS?;B2500190100000;210094
COMO É  CRUEL VIVER ASSIM;B1700468400000;160530
CONDENADO A LIBERDADE;B0500312000000;960673
CONDOMINIO JAQUELINE;B1600003800000;130528
CONDOR;B0700799500000;013764
CONDOR;B0700799500000;070462
CONEXÕES;B1900542000000;160244
CONFIA EM MIM;B1301902700000;060232
CONFISCO;B2000323600000;160226
CONFISSÕES DE ADOLESCENTE - O FILME;B1301999100000;100584
CONFISSÕES MÉDICAS;B1800482600000;170334
CONSELHO TUTELAR;B1402246700000;130361
CONSELHO TUTELAR - 2A TEMPORADA;B1500922400000;150129
CONSELHO TUTELAR 3ª TEMPORADA;B1700625000000;150233
CONSTANTINO;B1201564400000;080023
CONSTRUINDO PONTES;B1700449500000;140042
CONSTRUÇÃO;B1201613900000;100236
CONTRA TODOS;B0400066300000;030155
CONTRAPONTO 2;B1900500400000;080212
CONVERSAS COM PAULO JOSÉ;B1500471100000;109081
COP30;B2600069700000;241306
COPA DE ELITE;B1402145700000;110243
COPACABANA;B0500310000000;993984
CORA;B1900148000000;150727
CORA CORALINA - TODAS AS VIDAS;B1500559900000;120352
CORAGEM;B1600685500000;140279
CORAGEM! AS MUITAS VIDAS DO CARDEAL DOM PAULO EVARISTO ARNS;B1700537400000;130209
CORAÇÃO DE LEÃO;B1302055400000;129152
CORAÇÃO DO BRASIL;B1201622100000;110144
CORAÇÃO VAGABUNDO;B0901043200000;080399
CORAÇÕES E MENTES - ESCOLAS QUE TRANSFORMAM;B1800469100000;160011
CORAÇÕES SUJOS;B1101420100000;070217
CORAÇÕES SUJOS;B1101420100000;110031
COROANDO;B2000290500000;180141
CORONEL E O LOBISOMEM, O;B0500370500000;030313
CORPO;B0500431500000;050280
CORPO DO RIO;B0900979600000;050150
CORPO ELÉTRICO;B1700112000000;120330
CORPO PRESENTE;B1201590900000;079031
CORPOS CELESTES;B0901102500000;050238
CORPOS PERIFÉRICOS;B2000201900000;170452
CORRE ATRÁS: O DESAFIO DE VIVER DO SURFE;B2400334200000;220344
CORRENDO ATRÁS;B1800216200000;120385
CORRENDO POR UM SONHO;B2000102800000;120394
CORTA! ANIMAÇÃO;B1700167100000;110415
CORTE SECO;B1402227100000;080515
COSMOS SORRIR;B2500208100000;1112024
CRAQUES PARA SEMPRE;B1900319200000;150395
CREDO, QUE DELÍCIA!;B1900077800000;180707
CRIADAS;B2500191400000;200106
CRIADOR DE CELEBRIDADES;B1800130200000;160055
CRIADORES DE MITOS;B0800913100000;070531
CRIATURAS - UMA AVENTURA ENTRE DOIS MUNDOS;B2400372000000;187832
CRIATURAS - UMA AVENTURA ENTRE DOIS MUNDOS;B2400372000000;190069
CRIATURAS - UMA AVENTURA ENTRE DOIS MUNDOS;B2400372000000;237011
CRIATURAS DA MENTE;B2400452300000;210106
CRIME DELICADO;B0500324300000;030186
CRIMES.COM;B1900153200000;170661
CRISTINA QUER CASAR;B0300004100000;993262
CRISTO REDENTOR;B1402087200000;040223
CRISÁLIDA - 2º TEMPORADA;B2400214700000;230614
CRONICAMENTE INVIÁVEL;B0700686200000;950607
CRUSH ANIMAL- 1ª TEMPORADA;B2500115900000;230689
CRUSH ANIMAL- 2ª TEMPORADA;B2500426300000;230690
CRYSTAL;B2500275700000;160173
CRÔ - O FILME;B1302000200000;130068
CRÔ EM FAMILIA;B1800340300000;170740
CRÔNICA DE UMA CIDADE PARTIDA;B1900247200000;150464
CUICA DE SANTO AMARO;B1301990000000;060327
CURITIBA ZERO GRAU;B1201630700000;090242
CURRAL;B2100324700000;180417
CURUMIM, O HOMEM QUE QUERIA VOAR;B1600651600000;120274
CYCLONE;B2500449100000;160800
CÁSSIA ELLER;B1500018400000;100579
CÂNCER COM ASCENDENTE EM VIRGEM;B2500028700000;220021
CÃES HERÓIS;B1500406100000;140079
CÃO SEM DONO;B0700656800000;030278
CÉU DE SUELY, O;B0600587200000;040035
CÍRCULOS;B1600710400000;160169
D.P.A. - DETETIVES DO PRÉDIO AZUL;B1700328500000;160460
D.P.A. - O FANTÁSTICO REINO DE ONDION;B2500431400000;220355
DA INCLUSÃO AO PÓDIO;B2400317100000;230880
DA MANGA ROSA - SEGUNDA TEMPORADA;B2400457500000;210179
DALIA E O LIVRO VERMELHO;B2400354600000;210160
DANADO DE BOM;B1700258100000;080661
DANDO UMA GERAL;B1302060700000;070108
DANIEL - TRINTA ANOS NA ESTRADA;B1900049300000;120386
DARCY RIBEIRO - O GUERREIRO SONHADOR;B0700773900000;040276
DAS PROFUNDEZAS;B1500614800000;110119
DAVISSAURO;B2400294400000;207177
DAWSON ISLA 10;B1001303400000;070031
DE CARONA COM OS ÓVNIS;B1800435600000;160653
DE CORPO E ALMA;B2500059500000;220368
DE CRIANÇA PARA CRIANÇA;B1700182800000;150629
DE ONDE EU TE VEJO;B1600192300000;110309
DE PAI PARA FILHO;B2300222400000;160284
DE PASSAGEM;B0300040300000;023523
DE PERNAS PRO AR;B1001305900000;080329
DE PERNAS PRO AR 2;B1201676800000;110131
DE PERNAS PRO AR 3;B1900104200000;170596
DE PERTO ELA NÃO É NORMAL;B2000006000000;170055
DE PERTO ELA NÃO É NORMAL;B2000006000000;190291
DE REPENTE 30+;B2500500400000;241393
DE REPENTE, MISS!;B2300374700000;180895
DE VOLTA AO PARAÍSO;B2400284000000;220326
DE VOLTA À BAHIA;B2500531300000;180586
DE VOLTA À BIKINI;B0901000100000;060443
DELICADEZA É AZUL;B1800381100000;160387
DEMOCRACIA EM PRETO E BRANCO;B1402183000000;110330
DENTE POR DENTE;B2000440700000;170387
DENTRO DA CAIXINHA;B1600648800000;150268
DEPOIS A LOUCA SOU EU;B2000078000000;160831
DEPOIS DAQUELE BAILE;B0600467200000;030366
DEPOIS DE TUDO;B1500344400000;110145
DEPOIS DO FOGO - TECNOLOGIAS QUE MUDARAM E VÃO MUDAR O MUNDO;B2200246400000;170230
DERRAPADA;B2300201100000;160277
DESAFIO CELEBRIDADES;B1600530400000;150321
DESAFIO DE TALENTOS;B1900336100000;180375
DESAFIOS E OPORTUNIDADES DA ECONOMIA CIRCULAR;B2500417200000;220648
DESAPARECIDOS - 2ª TEMPORADA;B1700457200000;160531
DESAPEGA;B2200504100000;190187
DESCALÇO SOBRE A TERRA VERMELHA;B1402284400000;110477
DESCAMINHOS;B0800953200000;050409
DESCARBONIZAÇÃO;B2600104400000;220838
DESCOBRIR;B0500438800000;971090
DESCOLADOS;B1001151400000;070366
DESCOSTURANDO COM HERCHCOVITCH;B2300442700000;190045
DESCULPE O TRANSTORNO;B1600454400000;090460
DESENROLA;B1001315900000;040227
DESENVOLVIMENTO SUSTENTÁVEL;B2500458500000;170292
DESERTO;B1600287300000;110505
DESERTO AZUL;B1402086800000;060283
DESERTO FELIZ;B0700758900000;024059
DESIGN THINKING;B2500320300000;170217
DESLEMBRO;B1800411600000;120106
DESMUNDO;B0200001300000;984739
DESNUDE;B1800072000000;170091
DESTINO;B1500199100000;984842
DESTINO BRASIL CINEMA;B1500350300000;080310
DESTINO BRASIL DANÇA;B1402189000000;120147
DESTINO LUA DE MEL;B1201550400000;060060
DESTINO MÁGICO;B1500112600000;117344
DESTINO RIO DE JANEIRO;B1301977600000;120363
DESTINO SALVADOR;B1500657300000;140155
DESTINO SÃO PAULO;B1201667300000;110425
DETETIVES DA HISTÓRIA;B1001190000000;080435
DETETIVES DA HISTÓRIA 2ª TEMPORADA;B1302001100000;100194
DETETIVES DO PRÉDIO AZUL 2 - O MISTÉRIO ITALIANO;B1800561400000;170825
DETETIVES DO PRÉDIO AZUL 3 - UMA AVENTURA NO FIM DO MUNDO;B2100018500000;190142
DEU MATCH - 2º TEMPORADA;B1700621700000;160171
DEU MATCH!;B1500877500000;150270
DEUS ME LIVRE MAS QUEM ME DERA;B2400388400000;210132
DEUS É BRASILEIRO;B0300001600000;993620
DEVOÇÃO;B0800841700000;060238
DEZESSEIS;B2500259500000;220554
DIA DE REIS;B1800600000000;180382
DIA EM QUE O BRASIL ESTEVE AQUI, O;B0600496100000;040353
DIA UM;B1700148400000;150276
DIABO A QUATRO, O;B0400129500000;993415
DIAMANTINO;B1800445100000;139100
DIAS E NOITES;B0800934800000;024045
DIAS VAZIOS;B1700596400000;140473
DIDI QUER SER CRIANÇA;B0400102600000;040065
DIDI, O CAÇADOR DO TESOURO;B0500444600000;040236
DIMINUTA;B2100185000000;120076
DINHEIRO NOSSO - ORÇAMENTO PÚBLICO E PARTICIPAÇÃO;B2000115000000;150617
DIOGO NA COZINHA;B2400502600000;230692
DIOGO NA COZINHA - 2ª TEMPORADA;B2600008800000;241333
DISPAROS;B1201652600000;090048
DISSONANTES;B2200184200000;170108
DISTRITO CULTURAL;B1500637800000;150202
DISTRITO CULTURAL - QUARTA TEMPORADA;B1800479200000;180324
DISTRITO CULTURAL - QUINTA TEMPORADA;B1900454100000;190255
DISTRITO CULTURAL - SEGUNDA TEMPORADA;B1600651700000;160181
DISTRITO CULTURAL - TERCEIRA TEMPORADA;B1700483200000;170253
DIVALDO – O MENSAGEIRO DA PAZ;B1900386800000;150424
DIVINO AMOR;B1900232700000;170834
DIVÃ;B0901003500000;070463
DIVÃ A 2;B1500335800000;120083
DIVÓRCIO;B1700244500000;130044
DIÁLOGOS COM RUTH DE SOUZA;B2100449500000;160568
DIÁRIO DE UM NOVO MUNDO;B0500294600000;023990
DIÁRIO DE UMA BUSCA;B1101413800000;070280
DIÁRIO DE UMA ONÇA;B2300517000000;180867
DIÁRIO DE VIAGEM;B2100103100000;160430
DIÁRIO DO FOGO;B2500426800000;220205
DIÁRIOS DE INTERCÂMBIO;B2100260000000;160734
DJON ÁFRICA;B1800422100000;155202
DNA ABDELMASSIH;B2000312500000;170376
DO ALTO DO SEU CONHECIMENTO;B2500054800000;230702
DO AMOR E DE LUTA;B2300200500000;220314
DO COMEÇO AO FIM;B0901103700000;040360
DO JIU JITSU AO MMA;B1700339400000;160181
DO JIU JITSU AO MMA - SEGUNDA TEMPORADA;B1800187500000;170411
DO LADO DE FORA;B1402150700000;110229
DO MEU JEITO;B1500777200000;120235
DO NEBLINA AO ATLÂNTICO;B1402732100000;060228
DO OUTRO LADO - A CONQUISTA DE MATHEUS RHEINE;B1600534700000;150709
DO PÓ DA TERRA;B1600012800000;130558
DOCE BRASIL HOLANDÊS;B1001189100000;060351
DOCE DE COCO;B0901078400000;060025
DOCUMENTÁRIO SAMBA & JAZZ: RIO DE JANEIRO - NEW ORLEANS;B1500740900000;130264
DOIDAS E SANTAS;B1500812200000;110491
DOIDAS E SANTAS;B1500812200000;120138
DOIS;B1900212200000;140495
DOIS CÓRREGOS;B0500286100000;961865
DOIS MAIS DOIS;B2000070300000;150358
DOIS PERDIDOS NUMA NOITE SUJA;B0400145800000;000375
DOIS É DEMAIS EM ORLANDO;B2400052600000;140566
DOM;B0300020800000;011870
DOM HELDER CAMARA - O SANTO REBELDE;B0500376500000;993730
DOMINGO;B1800502000000;160678
DOMINGOS;B1001205900000;080137
DOMINGUINHOS;B1402161500000;090125
DONA ELZA;B2400497100000;231043
DONA FLOR E SEUS DOIS MARIDOS;B1700477300000;110233
DONA ONETE - MEU CORAÇÃO NESTE PEDACINHO AQUI;B2600022700000;220830
DONO DO MAR, O;B0600588700000;971920
DORA E GABRIEL;B2000468500000;150206
DORES & AMORES;B2100413100000;040340
DORES DE AMORES;B1201682700000;100331
DORINA - OLHAR PARA O MUNDO;B1600308400000;140272
DORIVAL CAYMMI – UM HOMEM DE AFETOS;B2000459900000;160133
DORMIR DE OLHOS ABERTOS;B2400318700000;190089
DOS SAMURAIS AO MMA 500 ANOS DE LUTA;B2300338100000;220009
DOT.COM;B0700752700000;049001
DOUTOR MONSTRO;B2500447000000;210037
DOUTOR MONSTRO;B2500447000000;241031
DOUTORA DARCI - 1° TEMPORADA;B1800216700000;170538
DOUTORES DA ALEGRIA;B0500282100000;000177
DR. PALHAÇO;B2500414300000;220204
DRA. DARCI - 2ª TEMPORADA;B2000172800000;190197
DRA. DARCI - 3ª TEMPORADA;B2000383500000;190198
DRA. DARCI - 4ª TEMPORADA;B2400092200000;200070
DRA. DARCI - 5ª TEMPORADA;B2400373900000;200071
DRAG ME AS A QUEEN;B1700469600000;160316
DRAG ME AS A QUEEN - SEGUNDA TEMPORADA;B1900030000000;180053
DRAG ME AS A QUEEN – QUARTA TEMPORADA;B2200306200000;180412
DRAG ME AS A QUEEN – TERCEIRA TEMPORADA;B2100302700000;180411
DRAMA DA PAIXÃO - UM DOCUMENTÁRIO;B1600445900000;140119
DUAS DE MIM;B1700395900000;120451
DUAS MULHERES;B1001192900000;089001
DUAS MULHERES;B1600648900000;140273
DUAS PÁTRIAS, DOIS AMORES;B1402368100000;100617
DUETTO;B2100271600000;110443
DUETTO;B2100271600000;140130
DURVAL DISCOS;B0200001000000;973937
DZI CROQUETTES;B1001211600000;080317
DÊ LEMBRANÇAS A TODOS;B1800202200000;130217
DÚDÚ E O LÁPIS COR DA PELE;B1800134700000;150229
E A TERRA SE FEZ VERBO;B1201643500000;060043
E AGORA? O TRÁFICO DE ANIMAIS SILVESTRES NO BRASIL;B1700488400000;090321
E AÍ, COMEU?;B1201586000000;100493
ECLIPSE;B2600041700000;220779
ECOLOUCOS - UMA COMÉDIA INSUSTENTÁVEL;B2600013900000;241410
ECONOMIA BRASILEIRA - A HISTÓRIA CONTADA POR QUEM A FEZ.;B1500903800000;130522
ECONOMIA CIRCULAR;B2200247300000;170232
ECOS DE UM FUTURO BRASIL;B1402111600000;070162
ECOS DO TEATRO EXPERIMENTAL NEGRO;B2500383300000;170009
EDUARDO E MÔNICA;B2000096200000;140425
EDUCAÇÃO FINANCEIRA EM UM MUNDO EM TRANSFORMAÇÃO;B2400115700000;180983
