TITULO_ORIGINAL;CPB;NUMERO_SALIC
A HORA E A VEZ DE AUGUSTO MATRAGA;B1201643000000;060305
A ILHA DA MORTE;B0700701800000;012081
A ILHA DOS ILÚS;B2200405700000;140381
A IMAGEM DA TOLERÂNCIA;B1800033200000;160880
A IRMANDADE;B1900148100000;170271
A JAULA;B1600509800000;100517
A JAULA;B2100498100000;170677
A LASANHA ASSASSINA - A REVOLTA DAS MASSAS;B2200291400000;120337
A LENDA DO GATO PRETO;B1500710900000;100278
A LINHA FRIA DO HORIZONTE;B1402126900000;100348
A LOUCA DAS PLANTAS - 1ª TEMPORADA;B1800572900000;180016
A LOUCURA ENTRE NÓS;B1600296800000;110322
A LUNETA DO TEMPO;B1402307700000;030174
A LUTA DE UM HOMEM SÓ;B1600364000000;150670
A LUZ DO TOM;B1101405200000;050155
A MANSÃO MALUCA DO PROFESSOR AMBRÓSIO - TEMPORADA 2;B1402260400000;120536
A MARGEM DA LINHA;B0800937100000;070043
A MARGEM DA LINHA;B0800937100000;070295
A MATA ATLANTICA E OS CICLOS DA VIDA;B1201672700000;040325
A MENINA ÍNDIGO;B1700428000000;120183
A MENSAGEM TA NA PALAVRA;B2500264100000;210141
A MORTE HABITA À NOITE;B2000096300000;160485
A MULHER DO MEU AMIGO;B0800902000000;050359
A MULHER DO MEU AMIGO;B0800902000000;060455
A MULHER DO MEU AMIGO;B0800902000000;060456
A MULHER INVISÍVEL;B0901010800000;070231
A MÁFIA DO APITO;B2500323600000;231222
A MÁQUINA;B0500377400000;040075
A MÃE;B2100364800000;160776
A MÚSICA SEGUNDO TOM JOBIM;B1101537900000;050153
A NAVE - UMA VIAGEM COM A JAZZ SINFÔNICA DE SÃO PAULO;B1302047400000;99212
A NOITE DA VIRADA;B1402723400000;090328
A NOITE DOS COBRAS CRIADAS UMA HOMENAGEM A BEZERRA DA SILVA;B0700640400000;060267
A NOVELA DAS OITO;B1201572300000;090150
A OESTE DO FIM DO MUNDO;B1301910400000;090393
A OESTE DO FIM DO MUNDO;B1301910400000;119115
A OLIMPÍADA PASSOU POR AQUI;B1600765300000;150482
A ONDA;B2300352800000;210343
A OUTRA MARGEM;B0700764700000;059004
A PLANTA;B2500354600000;220126
A PONTE;B1700467200000;160634
A PONTE DE BAMBU;B2000234700000;150257
A PORTA AO LADO;B2200325000000;180769
A PRESEPADA;B1800584800000;180685
A PRIMEIRA MORTE DE JOANA;B2100282100000;160297
A PRINCESA DA YAKUZA;B2100271200000;140400
A PROCURA DE MARTINA;B2500132800000;120025
A PROSPERIDADE É VERDE - MUDANÇAS CLIMÁTICAS E ECONOMIA;B2500480800000;230670
A PRÓXIMA JOGADA;B2500050800000;240592
A REAÇÃO BRASILEIRA;B1900188300000;140091
A REDE CONDOR;B1301738200000;100589
A REINVENÇÃO DO FLAMENGO;B2400530300000;231312
A REINVENÇÃO DO FUTEBOL ARTE;B1800170400000;150294
A REPARTIÇÃO DO TEMPO;B1600543700000;150164
A RETOMADA DO PORTO;B1600774200000;130067
A ROUPA IDEAL;B1800122600000;160756
A SAGA DA ALMA DE UM POETA;B1600180400000;110230
A SECRETÁRIA DO PRESIDENTE;B1600650300000;150332
A SEGUNDA VEZ;B1402282800000;130551
A SERPENTE;B1700499100000;140032
A SOGRA PERFEITA;B2000484000000;181009
A SOGRA PERFEITA 2;B2500192800000;210176
A SOMBRA DO PAI;B1700307900000;120251
A SORTE EM SUAS MÃOS;B1301971700000;110198
A SORTE EM SUAS MÃOS;B1301971700000;119113
A SUPERFÍCIE DA SOMBRA;B1700248900000;120388
A SUPREMA FELICIDADE;B1001283500000;070456
A SUSPEITA;B2100432000000;160643
A TATUAGEM MALDITA;B1500384200000;070532
A TORRE;B1800145300000;130410
A TROPA DE TRAPO - NA SELVA DO ARCO-ÍRIS;B1800131200000;110185
A TURMA DA MÔNICA EM UMA AVENTURA NO TEMPO;B0700641700000;050248
A TURMA DO PERERÊ.DOC;B1800547100000;100441
A VAGA;B1402237200000;130272
A VAGA - 2ª TEMPORADA;B1500630200000;140436
A VAGA: EPISÓDIO ESPECIAL;B1600466400000;160054
A VERDADE DA MENTIRA;B2000202000000;180467
A VERDADE NÃO EXISTE;B2600040300000;170600
A VIA LÁCTEA;B0700746500000;040290
A VIAGEM DE PEDRO;B2100263400000;140069
A VIAGEM DE YOANI;B1500265900000;100317
A VIDA DE CADA UM;B2500331100000;190065
A VIDA INVISÍVEL;B1900366600000;170803
A VIDA PRIVADA DOS HIPOPÓTAMOS;B1402781000000;140215
A VIGÉSIMA COLHEITA;B2500179400000;160680
A VILÃ DAS NOVE;B2400339600000;140419
A VIRADA;B2300149300000;230092
A VIZINHANÇA DO TIGRE;B1500404600000;130514
A VOZ DO SILÊNCIO;B1800262800000;120135
A VOZ MARCANTE (EX TESTEMUNHA OCULAR);B2400176600000;220367
A ÁGUA QUE FALTA;B1900251700000;170669
A ÚLTIMA ABOLIÇÃO;B1800473500000;160248
A ÚLTIMA BANDA DE ROCK;B2400467300000;220356
A ÚLTIMA ESTAÇÃO;B1201614400000;050143
A ÚLTIMA FESTA;B2200343300000;170290
ABAIXO A GRAVIDADE;B1700222300000;140151
ABANDONADOS;B1101509900000;080275
ABDIAS NASCIMENTO;B1201616000000;070050
ABE;B2000497700000;110420
ABERTO PARA COMPRAS;B2300472000000;200012
ABERTO PARA COMPRAS - 2ª TEMPORADA;B2500372200000;230541
ABESTALHADOS 2;B2200124400000;170013
ABOIO;B0600514100000;050100
ABRACADABRA (PÉ DE CABRA);B0300046000000;023995
ABRINDO O ARMÁRIO;B1700362500000;150563
ABÁ E SUA BANDA;B2400235800000;160739
ACADEMIA DE GIUSEPPE;B2000499400000;190410
ACADEMIA DE GIUSEPPE - TEMPORADA 2;B2400315800000;210029
ACENDE A LUZ;B2300403800000;220357
ACHADOS E PERDIDOS;B0500323500000;012070
ACONTECE LÁ EM CASA. VIVENDO MELHOR EM FAMÍLIA;B1600744600000;150028
ACQUA MOVIE;B2000096500000;140447
ACQUARIA;B0400152400000;023977
ACÁCIO;B0800935800000;080365
ADEMÃ - A VIDA E AS NOTAS DE IBRAHIM SUED;B2200398000000;150547
ADONIRAN, MEU NOME É JOÃO RUBINATO;B1900262200000;160602
ADVOGADO DE DEUS;B2600068800000;160112
ADVOGADOS CONTRA A DITADURA;B1402281100000;120148
AEROPORTO - ÁREA RESTRITA;B1700180400000;160183
AEROPORTO - ÁREA RESTRITA (2A TEMPORADA);B1800007200000;170109
AEROPORTO - ÁREA RESTRITA (3ª TEMPORADA);B1900564100000;180673
AEROPORTO - ÁREA RESTRITA (4A TEMPORADA);B2200292500000;190416
AEROPORTO - ÁREA RESTRITA (5A TEMPORADA);B2300457700000;200030
AEROPORTO - ÁREA RESTRITA (6A TEMPORADA);B2400268000000;210047
AEROPORTO - ÁREA RESTRITA (7A TEMPORADA);B2500209100000;220375
AFROFLUXO: O SOM DA MÚSICA PRETA;B2400289000000;220351
AFROFLUXO: O SOM DA MÚSICA PRETA - 2ª TEMPORADA;B2500036200000;220352
AGENDA 2100;B2600031000000;180165
AGENDA ESG;B2500050200000;220771
AGENTES MUITO ESPECIAIS;B2500453200000;230261
AGORA SIM;B1301935700000;110532
AGRESTE;B2300247700000;150167
AGUÁPOLIS;B1600472600000;120537
ALBATROZ;B1900019800000;160064
ALDO BALDIN - UMA VIDA PELA MÚSICA;B2400467800000;140033
ALEGRES COMADRES, AS;B0300039900000;984674
ALEGRIA DO AMOR;B2400088900000;150007
ALEMÃO;B1402081900000;130091
ALEMÃO 2;B2200048000000;140180
ALGUMA COISA ASSIM;B1700548300000;160652
ALGUÉM COMO EU;B1800130000000;120480
ALICE;B1301756900000;050130
ALICE;B1301756900000;070134
ALICE & SÓ;B1800613100000;070250
ALICE ESPECIAL;B1301757000000;090432
ALIMENTANDO O MUNDO;B1900371100000;170645
ALMA IMORAL;B1900314100000;100474
ALMA NEGRA - DO QUILOMBO AO BAILE;B2400212900000;150151
ALMA NEGRA - DO QUILOMBO AO BAILE;B2400212900000;230773
ALMANAQUE DOS ESPORTES;B1402148800000;130029
ALMANAQUE DOS ESPORTES - 2A TEMPORADA;B1600098700000;150030
ALMANAQUE DOS ESPORTES - 3A TEMPORADA;B2100239900000;160218
ALMAS CANINAS;B1302041300000;120202
ALTA ESTIMA;B2300319100000;180848
ALTA ESTIMA - 2ª TEMPORADA;B2500431200000;230834
ALTA FIDELIDADE;B2500262200000;210180
ALTAS EXPECTATIVAS;B1700162000000;140276
ALTO LEBLON;B1700255200000;150462
ALTO LEBLON - 2A TEMPORADA;B1900124500000;170494
ALUCINADAS;B1402278700000;00017
ALUCINAÇÃO;B2500180000000;180531
ALÉM DA CIDADE;B2400090400000;210092
ALÉM DA ESTRADA;B1001308900000;090072
ALÉM DA RIMA;B2500467900000;210074
ALÉM DE NÓS;B2200146300000;180501
ALÉM DO APOSENTO;B2300204800000;170516
ALÉM DO HOMEM;B1800166700000;090502
ALÉM DO SALTO;B2500420900000;241255
AMANHA NUNCA MAIS;B1101460800000;080111
AMANHÃ CHEGOU;B1800470600000;130441
AMARAÇÃO;B1700623000000;140304
AMARELO MANGA;B0300010000000;000376
AMARRAÇÃO DO AMOR;B2000454300000;170120
AMAZING RIDERS;B2300561600000;210233
AMAZON ADVENTURE;B1800223100000;150389
AMAZÔNIA;B2500425000000;220834
AMAZÔNIA;B2500521700000;230988
AMAZÔNIA;B2600113200000;230248
AMAZÔNIA - A ÚLTIMA FRONTEIRA;B1201623800000;100032
AMAZÔNIA DESCONHECIDA;B1301761800000;080217
AMAZÔNIA ETERNA;B1201629200000;100132
AMAZÔNIA GROOVE;B1800459400000;110376
AMAZÔNIA PLANETA VERDE;B1402080700000;080643
AMAZÔNIA, A NOVA MINAMATA?;B2400267700000;200122
AMAZÔNIA, O DESPERTAR DA FLORESTANIA;B1800598100000;130398
AMAZÔNIA: NOVAS HISTÓRIAS;B2400109100000;220136
AMEAÇAS DO CÉU;B1800112900000;140555
AMIGAS DE SORTE;B1900594800000;150059
AMIGO ARRIGO;B2000163700000;130364
AMIGO DE ALUGUEL - 1ª TEMPORADA;B1800380000000;160212
AMIGO DE ALUGUEL - 2ª TEMPORADA;B1900048900000;160255
AMO TE IMENSO;B2300526900000;220229
AMOR AO QUADRADO;B1600759000000;160265
AMOR DE COZINHA;B1700359600000;150317
AMOR E CIA;B0500312600000;961562
AMOR EM MOVIMENTO;B2600007300000;241346
AMOR EM SAMPA;B1600032100000;100209
AMOR LIVRE AMOR;B2500376100000;160713
AMOR RADICAL;B2400387800000;240099
AMOR REBELDE;B2300240900000;197219
AMOR SEM MEDIDA;B2100401000000;180177
AMOR.COM;B1700175000000;130212
AMOR?;B1101362100000;090380
AMORES;B0500261200000;983504
AMORES LIVRES - SEGUNDA TEMPORADA;B2400041600000;210220
AMORES POSSÍVEIS;B0500309600000;973131
AMÁLGAMA BRASIL - PONTOS DE CULTURA;B0800942700000;070413
AMÉRICA;B1201604900000;079049
AMÉRICA ARMADA;B1900303600000;150500
ANAHY DE LAS MISIONES;B0600520300000;951255
ANDANÇA - OS ENCONTROS E AS MEMÓRIAS DE BETH CARVALHO;B2300008100000;190157
ANDARILHO;B0800839000000;050286
ANDES EXTREMO;B2300041400000;200020
ANDRÉ MIDANI - DO VINIL AO DOWNLOAD;B1500118400000;140009
ANGELA;B2300345600000;170551
ANGELI THE KILLER;B1600690700000;130238
ANIMAIS DO BRASIL;B0600520200000;030007
ANIMATV - ZICA E OS CAMALEÕES;B1001208600000;100439
ANIMAZOO - SÉRIE TELEVISIVA;B2000097000000;160002
ANISTIA 79;B2600098100000;230138
ANITA E GARIBALDI;B1301738800000;011995
ANITA E GARIBALDI;B1700452100000;973935
ANITA E GARIBALDI;B1700452100000;973941
ANJOS DA ESTRADA;B1600310800000;140080
ANJOS DO SOL;B0600461400000;050385
ANJOS E ARCANJOS;B2400094400000;160729
ANTES O TEMPO NÃO ACABAVA;B1600245600000;120144
ANTES QUE EU ME ESQUEÇA;B1700306100000;130404
ANTES QUE O MUNDO ACABE;B0901121200000;040043
ANTONIA;B0600527900000;023930
ANTONIA;B0600527900000;039005
ANTONIO CANDIDO, ANOTAÇÕES FINAIS;B2400294100000;210127
ANTÁRTICA - O CONTINENTE GELADO COM AMYR KLINK;B0600498800000;040067
ANÉSIA - UM VÔO NO TEMPO;B0500254900000;983545
AO SOM DO CHAMAMÉ;B1600464000000;130004
AO SOM DO MAR, À LUZ DO CÉU;B1201605200000;100158
AO SUL DE SETEMBRO;B0500378700000;030365
AOS NOSSOS FILHOS;B2100115300000;140017
AOS OLHOS DE ERNESTO;B1900448200000;130019
AOS TEUS OLHOS;B1700416900000;160468
AOS VENTOS QUE VIRÃO;B1301732600000;030331
APAIXONADA;B2400036500000;200114
APAIXONADOS O FILME;B1600096000000;120374
APARECIDA, O MILAGRE;B1001319100000;070020
APENAS 3 MENINAS;B2600141300000;231211
APENAS MENINAS;B1900609700000;170204
APNEIA;B1402480200000;090518
APOPCALIPSE SEGUNDO BABY;B2500298300000;160505
APRENDER A SONHAR;B2400368600000;230520
APRENDI A JOGAR COM VOCÊ;B1402089600000;030159
AQUALOUCOS;B1700255500000;150544
AQUARIUS;B1600478600000;140206
