REGISTRO_ANCINE;DATA_REGISTRO;RAZAO_SOCIAL;CNPJ;DATA_CONSTITUICAO;UF;MUNICIPIO;CODIGO_MUNICIPIO_IBGE;CLASSIFICACAO_AGENTE_ECONOMICO;NATUREZA_JURIDICA;BRASILEIRO_INDEPENDENTE
54919;14/09/2023;40.182.205 GILSON MOREIRA DA SILVA;40.182.205/0001-50;22/12/2020;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
59216;30/08/2024;40.190.940 RAFAEL NEVES DE VASCONCELOS;40.190.940/0001-05;23/12/2020;MG;BELO HORIZONTE;3106200;Brasileiro independente;Empresário (Individual);SIM
55174;25/09/2023;40.216.543 MARCIA CRISTINA DE ASSUMPCAO;40.216.543/0001-65;29/12/2020;RJ;PARATY;3303807;Brasileiro independente;Empresário (Individual);SIM
62829;11/08/2025;40.229.573 MILLENA YUMI SUZUKI KOBAYASHI;40.229.573/0001-06;01/01/2021;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
61414;25/03/2025;40.241.094 CRISTIANO ALVES DE OLIVEIRA;40.241.094/0001-05;04/01/2021;DF;BRASILIA;5300108;Brasileiro independente;Empresário (Individual);SIM
47581;21/01/2021;40.247.106 GERSON FERNANDES DA COSTA JUNIOR;40.247.106/0001-09;04/01/2021;SP;LENCOIS PAULISTA;3526803;Brasileiro independente;Empresário (Individual);SIM
55113;22/09/2023;40.254.771 GABRIEL MANES XAVIER PEREIRA;40.254.771/0001-20;05/01/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
59623;25/09/2024;40.281.425 PAULO SERGIO DOS SANTOS;40.281.425/0001-30;16/01/2021;SC;NAVEGANTES;4211306;Brasileiro independente;Empresário (Individual);SIM
59301;05/09/2024;40.294.280 GIOVANNA COLACICCO;40.294.280/0001-02;07/01/2021;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
62886;15/08/2025;40.295.816 MARIO BITTENCOURT FERREIRA;40.295.816/0001-04;07/01/2021;SP;SAO PAULO;3550308;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
53646;13/06/2023;40.310.089 RONALDO ALVES DE OLIVEIRA;40.310.089/0001-07;08/01/2021;RJ;ANGRA DOS REIS;3300100;Brasileiro independente;Empresário (Individual);SIM
58974;13/08/2024;40.319.525 MARLON PEREIRA DA SILVA;40.319.525/0001-09;08/01/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
55767;19/10/2023;40.325.472 THIAGO FORECCHI GIOVANNI;40.325.472/0001-39;10/01/2021;ES;ARACRUZ;3200607;Brasileiro independente;Empresário (Individual);SIM
57007;21/12/2023;40.328.305 MAURICIO SOUZA JUNIOR;40.328.305/0001-41;10/01/2021;PE;OLINDA;2609600;Brasileiro independente;Empresário (Individual);SIM
53898;28/06/2023;40.337.796 NATHALIA LEITE GOMES;40.337.796/0001-97;11/01/2021;RJ;MARICA;3302700;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
57029;26/12/2023;40.364.801 CAROLINE CAVALCANTI DA SILVA;40.364.801/0001-50;12/01/2021;MG;LAGOA SANTA;3137601;Brasileiro independente;Empresário (Individual);SIM
55275;28/09/2023;40.384.764 PAMELA HELLEN MARTINHO;40.384.764/0001-42;13/01/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
62190;28/05/2025;40.385.666 JOSE EDUARDO ANGELINI MILANI;40.385.666/0001-20;13/01/2021;SP;AMERICANA;3501608;Brasileiro independente;Empresário (Individual);SIM
55445;05/10/2023;40.395.799 ALEXANDRA VASCONCELOS CAMPOS;40.395.799/0001-87;14/01/2021;RJ;ANGRA DOS REIS;3300100;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
62701;30/07/2025;40.415.306 NATALIA CAMPOS LOPES;40.415.306/0001-23;15/01/2021;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
54895;13/09/2023;40.469.999 RODRIGO ALESSANDER BARBOSA;40.469.999/0001-37;19/01/2021;BA;SAO FELIX DO CORIBE;2929057;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
63520;21/10/2025;40.502.319 PEDRO HENRIQUE RAMOS;40.502.319/0001-30;21/01/2021;SC;ITAPEMA;4208302;Brasileiro independente;Empresário (Individual);SIM
56011;25/10/2023;40.512.450 DANIEL DOUGLAS DIOGENES PEIXOTO;40.512.450/0001-88;22/01/2021;CE;JAGUARIBE;2306900;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
56072;30/10/2023;40.563.947 BRUNA DE ARAUJO CAMPOS;40.563.947/0001-25;26/01/2021;PB;CABEDELO;2503209;Brasileiro independente;Empresário (Individual);SIM
63065;02/09/2025;40.601.788 HERALDO PEREIRA DE SOUZA;40.601.788/0001-06;28/01/2021;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
62720;01/08/2025;40.639.541 GABRIEL RIBEIRO COELHO;40.639.541/0001-89;30/01/2021;PE;RECIFE;2611606;Brasileiro independente;Empresário (Individual);SIM
53948;03/07/2023;40.654.070 JOSE FRANCISCO DA SILVA CASTRO;40.654.070/0001-88;01/02/2021;RJ;BELFORD ROXO;3300456;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
62797;07/08/2025;40.670.840 VINICIUS GARCIA DA SILVA;40.670.840/0001-86;02/02/2021;SP;SAO JOSE DOS CAMPOS;3549904;Brasileiro independente;Empresário (Individual);SIM
61021;14/02/2025;40.710.259 LUCAS VINICIUS DINIZ DE MELO;40.710.259/0001-40;04/02/2021;RN;NATAL;2408102;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
55263;28/09/2023;40.765.388 BIANKA VITORINO CARRILHO;40.765.388/0001-36;08/02/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
56168;03/11/2023;40.799.072 FABIANO COSTA CHAVES JUNIOR;40.799.072/0001-65;10/02/2021;RN;PASSA E FICA;2409100;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
55742;19/10/2023;40.813.681 ELVANIO CREIDE LIMA CABRAL;40.813.681/0001-21;11/02/2021;PB;SANTA LUZIA;2513406;Brasileiro independente;Empresário (Individual);SIM
57015;22/12/2023;40.831.010 INA ZOE FERNANDES DOS SANTOS;40.831.010/0001-93;12/02/2021;GO;TRINDADE;5221403;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
54954;15/09/2023;40.959.974 PEDRO ANTONIO CORDEIRO SANTOS;40.959.974/0001-11;23/02/2021;MG;CAPELINHA;3112307;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
60373;06/12/2024;40.975.365 RAQUEL SANTANA DE OLIVEIRA;40.975.365/0001-56;24/02/2021;SP;CAMPINAS;3509502;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
54479;21/08/2023;40.990.623 CAROLINA NOVAES LEMKE;40.990.623/0001-73;25/02/2021;PR;CURITIBA;4106902;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
61518;02/04/2025;40.997.885 LUIZ CLAUDIO RODRIGUES OLIVEIRA;40.997.885/0001-60;25/02/2021;SP;JUNDIAI;3525904;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
13350;08/01/2008;400 FILMES - SERVIÇOS DE PRODUÇÃO LTDA ME;09.065.789/0001-33;06/09/2007;DF;BRASILIA;5300108;Brasileiro independente;Sociedade Empresária Limitada;SIM
58023;22/04/2024;40354924 ANA LUIZA DINIZ DE CARVALHO;40.354.924/0001-00;12/01/2021;MG;SARZEDO;3165537;Brasileiro independente;Empresário (Individual);SIM
40378;03/07/2018;404 PRODUCOES AUDIOVISUAIS LTDA;30.483.521/0001-08;17/05/2018;DF;BRASILIA;5300108;Brasileiro independente;Sociedade Empresária Limitada;SIM
50819;25/03/2022;405 FILMES PRODUCOES AUDIOVISUAIS LTDA;44.771.209/0001-24;06/01/2022;SP;SAO PAULO;3550308;Brasileiro independente;Sociedade Empresária Limitada;SIM
61686;15/04/2025;41.011.378 ANDRE LUIS DE SOUZA ADAMI SANTOS;41.011.378/0001-78;26/02/2001;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
53096;29/03/2023;41.026.971 ELTON JUNIOR VICENTE;41.026.971/0001-98;28/02/2021;PR;MARINGA;4115200;Brasileiro independente;Empresário (Individual);SIM
54095;17/07/2023;41.038.965 DANIELLE SILVA DE OLIVEIRA;41.038.965/0001-50;01/03/2021;RJ;NOVA IGUACU;3303500;Brasileiro independente;Empresário (Individual);SIM
54477;21/08/2023;41.039.013 CLAUDINEI DA SILVA BEZERRA;41.039.013/0001-51;01/03/2021;PE;BUIQUE;2602803;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
56267;08/11/2023;41.049.301 JULIANO PIRES SANTIAGO;41.049.301/0001-97;02/03/2021;SP;BARUERI;3505708;Brasileiro independente;Empresário (Individual);SIM
59376;10/09/2024;41.118.950 CELESTE MATHEI SOARES FERREIRA;41.118.950/0001-00;06/03/2021;SC;SAO FRANCISCO DO SUL;4216206;Brasileiro independente;Empresário (Individual);SIM
55714;18/10/2023;41.134.353 JULIA ULIANA PELLEGRINI;41.134.353/0001-61;08/03/2021;ES;VILA VELHA;3205200;Brasileiro independente;Empresário (Individual);SIM
54461;18/08/2023;41.195.381 GERALDO JOSE DE OLIVEIRA JUNIOR;41.195.381/0001-99;12/03/2021;BA;JUAZEIRO;2918407;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
56706;04/12/2023;41.225.511 DEYSE MARIA BARBOSA ROSENDO;41.225.511/0001-99;15/03/2021;RN;NATAL;2408102;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
60735;17/01/2025;41.252.325 ANTONIO MARTINS RODRIGUES;41.252.325/0001-49;17/03/2021;CE;VARJOTA;2313955;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
61989;14/05/2025;41.272.236 BRUNA O DONNELL AYRES;41.272.236/0001-64;18/03/2021;RS;PORTO ALEGRE;4314902;Brasileiro independente;Empresário (Individual);SIM
59736;04/10/2024;41.305.209 BRUNO TEIXEIRA DE SOUSA;41.305.209/0001-40;22/03/2021;SP;CARAPICUIBA;3510609;Brasileiro independente;Empresário (Individual);SIM
60771;22/01/2025;41.326.856 RODRIGO DA CUNHA SILVEIRA;41.326.856/0001-39;23/03/2021;RS;CANOAS;4304606;Brasileiro independente;Empresário (Individual);SIM
60130;22/11/2024;41.412.023 PAULA ANDRESSA MARQUES CUNHA;41.412.023/0001-90;30/03/2021;RS;CAXIAS DO SUL;4305108;Brasileiro independente;Empresário (Individual);SIM
64228;04/02/2026;41.430.555 TANIA REGINA GOLLNICK;41.430.555/0001-50;01/04/2021;SC;NAVEGANTES;4211306;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
58993;14/08/2024;41.478.221 JORGE RODRIGO DE OLIVEIRA;41.478.221/0001-57;06/04/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
52914;03/03/2023;41.516.889 DAVI MADUREIRA RABELO DA COSTA;41.516.889/0001-41;09/04/2021;SE;ARACAJU;2800308;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
54409;15/08/2023;41.555.488 PAULO HENRIQUE MARTINS CORREA;41.555.488/0001-09;13/04/2021;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
56148;01/11/2023;41.565.940 TIAGO SCHOENFELD;41.565.940/0001-05;14/04/2021;RS;CACHOEIRA DO SUL;4303004;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
64240;05/02/2026;41.583.608 DANIELA FERNANDES BRISTOT;41.583.608/0001-73;15/04/2021;SC;FLORIANOPOLIS;4205407;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
59305;06/09/2024;41.642.999 JANE CARMEN OLIVEIRA DA SILVA;41.642.999/0001-50;20/04/2021;MG;PEDRO LEOPOLDO;3149309;Brasileiro independente;Empresário (Individual);SIM
55132;22/09/2023;41.648.365 JOAO ARTHUR LOURENCO SOARES;41.648.365/0001-04;20/04/2021;RJ;NITEROI;3303302;Brasileiro independente;Empresário (Individual);SIM
57305;29/01/2024;41.667.731 RAFAEL GUSTAVO SPUDEIT;41.667.731/0001-72;22/04/2021;SC;CONCORDIA;4204301;Brasileiro independente;Empresário (Individual);SIM
56223;07/11/2023;41.698.277 LILIANE LIMA MENDES;41.698.277/0001-17;26/04/2021;MT;RONDONOPOLIS;5107602;Brasileiro independente;Empresário (Individual);SIM
55324;02/10/2023;41.706.587 ADRIA GEOVANIA FERNANDES VIEIRA;41.706.587/0001-36;26/04/2021;PB;BREJO DO CRUZ;2502805;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
61868;07/05/2025;41.729.950 JOSE ROMERO DA SILVA OLIVEIRA;41.729.950/0001-39;28/04/2021;RN;MOSSORO;2408003;Brasileiro independente;Empresário (Individual);SIM
63051;01/09/2025;41.738.418 ELENILDO CONCEICAO LOPES;41.738.418/0001-88;28/04/2021;RJ;NITEROI;3303302;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
54925;14/09/2023;41.811.880 MADSON NEY LEITE DANTAS BEZERRA;41.811.880/0001-63;04/05/2021;RN;MOSSORO;2408003;Brasileiro independente;Empresário (Individual);SIM
64042;14/01/2026;41.815.526 BRUNO MELLO MACHADO;41.815.526/0001-07;04/05/2021;PR;SARANDI;4126256;Brasileiro independente;Empresário (Individual);SIM
53877;27/06/2023;41.830.078 LIDIA MELLO E CODO;41.830.078/0001-10;05/05/2021;SP;SAO PAULO;3550308;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
54295;03/08/2023;41.835.264/0001-42;41.835.264/0001-42;05/05/2021;PB;JOAO PESSOA;2507507;Brasileiro independente;Empresário (Individual);SIM
53578;06/06/2023;41.849.577 FELIPE ALMEIDA ZAD;41.849.577/0001-50;06/05/2021;SP;SAO PAULO;3550308;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
57028;26/12/2023;41.849.921 THAIS VINHAS DA SILVA;41.849.921/0001-00;06/05/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
57157;12/01/2024;41.931.660 EDIVANIO BRANDAO DE SOUZA;41.931.660/0001-73;13/05/2021;BA;SEABRA;2929909;Brasileiro independente;Empresário (Individual);SIM
56122;31/10/2023;41.968.956 MARIA EDUARDA DOS REIS E SOUZA;41.968.956/0001-69;17/05/2021;RJ;DUQUE DE CAXIAS;3301702;Brasileiro independente;Empresário (Individual);SIM
55416;04/10/2023;41.983.341 MAURICIO GARCIA CUNHA;41.983.341/0001-01;18/05/2021;PB;CABEDELO;2503209;Brasileiro independente;Empresário (Individual);SIM
63685;10/11/2025;41726326VINICIUS FREITAS DE SOUZA;41.726.326/0001-88;27/04/2021;DF;BRASILIA;5300108;Brasileiro independente;Empresário (Individual);SIM
47849;03/03/2021;42 CRIATIVA LTDA;30.908.200/0001-08;11/07/2018;BA;SALVADOR;2927408;Brasileiro independente;Sociedade Empresária Limitada;SIM
56422;16/11/2023;42.008.840 AMANDA NASCIMENTO SZTYBE;42.008.840/0001-40;19/05/2021;SE;ARACAJU;2800308;Brasileiro independente;Empresário (Individual);SIM
60914;04/02/2025;42.010.695 JAYNE LUCAS PEREIRA;42.010.695/0001-32;19/05/2021;RN;NATAL;2408102;Brasileiro independente;Empresário (Individual);SIM
63588;29/10/2025;42.053.016 MATHEUS DA SILVA HOFFMAN;42.053.016/0001-02;23/05/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
56984;20/12/2023;42.167.669 UESLEI VIEIRA ARAUJO;42.167.669/0001-12;01/06/2021;AC;RIO BRANCO;1200401;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
54213;28/07/2023;42.208.635 CAROLINA MADURO COSTA;42.208.635/0001-29;04/06/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
62699;30/07/2025;42.314.653 YURIE LOPES YAGINUMA;42.314.653/0001-95;14/06/2021;ES;VITORIA;3205309;Brasileiro independente;Empresário (Individual);SIM
56306;10/11/2023;42.327.897 ILMA REGINA BARRETO DO VALLE;42.327.897/0001-02;15/06/2021;RJ;NILOPOLIS;3303203;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
53980;05/07/2023;42.341.049 CAROLINA BARBALHO PORTO;42.341.049/0001-58;15/06/2021;RN;NATAL;2408102;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
57635;05/03/2024;42.379.407 MARCOS VINICIUS DA SILVA OLIVEIRA;42.379.407/0001-11;18/06/2021;PR;UMUARAMA;4128104;Brasileiro independente;Empresário (Individual);SIM
61530;03/04/2025;42.488.243 RAPHAELLA DE SA LOPES;42.488.243/0001-60;27/06/2021;GO;GOIANIA;5208707;Brasileiro independente;Empresário (Individual);SIM
59157;27/08/2024;42.501.175 RODOLFO ABARCA RODRIGUES;42.501.175/0001-22;28/06/2021;SP;RIBEIRAO PRETO;3543402;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
59639;26/09/2024;42.516.649 LEONARDO FERREIRA DE SOUZA;42.516.649/0001-00;29/06/2021;RS;PORTO ALEGRE;4314902;Brasileiro independente;Empresário (Individual);SIM
59166;27/08/2024;42.526.736 TARSILA COURY SILVA;42.526.736/0001-48;30/06/2021;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
55245;27/09/2023;42.528.344 MARIA LUCIA FERREIRA DA SILVA;42.528.344/0001-18;30/06/2021;PB;CAMPINA GRANDE;2504009;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
58893;05/08/2024;42.528.457 LUAN MONTEIRO DE LIMA;42.528.457/0001-13;30/06/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
62659;28/07/2025;42.544.179 ANA PAULA SOARES ROLA;42.544.179/0001-98;01/07/2021;PR;CAMPO MOURAO;4104303;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
56094;30/10/2023;42.604.350 JORDY LAMARKE SA TORRES;42.604.350/0001-07;06/07/2021;PB;JOAO PESSOA;2507507;Brasileiro independente;Empresário (Individual);SIM
58180;09/05/2024;42.608.520 RAPHAEL DE ALMEIDA ALVES;42.608.520/0001-21;06/07/2021;BA;SALVADOR;2927408;Brasileiro independente;Empresário (Individual);SIM
56515;21/11/2023;42.609.402 WAGNER SILVA DO BRASIL BROCHARDT;42.609.402/0001-38;06/07/2021;PE;RECIFE;2611606;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
64012;08/01/2026;42.655.160 GUSTAVO TANUS MARTINS;42.655.160/0001-19;09/07/2021;SC;PORTO BELO;4213500;Brasileiro independente;Empresário (Individual);SIM
56370;13/11/2023;42.660.833 FILIPE FREITAS DA SILVA;42.660.833/0001-29;09/07/2021;TO;PARAISO DO TOCANTINS;1716109;Brasileiro independente;Empresário (Individual);SIM
62961;21/08/2025;42.666.194 NIELY DE ARAUJO MEIRELES;42.666.194/0001-09;11/07/2021;MG;BELO HORIZONTE;3106200;Brasileiro independente;Empresário (Individual);SIM
61453;27/03/2025;42.672.710 BRUNA BARON;42.672.710/0001-08;12/07/2021;RS;VENANCIO AIRES;4322608;Brasileiro independente;Empresário (Individual);SIM
59294;05/09/2024;42.678.838 JESSE ANDERSON MAXIMIANO DA FONSECA;42.678.838/0001-89;12/07/2021;SP;SOROCABA;3552205;Brasileiro independente;Empresário (Individual);SIM
54845;11/09/2023;42.717.047 GABRIEL FERNANDES CHAGAS;42.717.047/0001-10;14/07/2021;SP;INDAIATUBA;3520509;Brasileiro independente;Empresário (Individual);SIM
60301;04/12/2024;42.727.357 JILLIAN GABRIELLE ANDRE PEREIRA;42.727.357/0001-16;15/07/2021;SP;SAO PAULO;3550308;Brasileiro independente;Empresário (Individual);SIM
59443;16/09/2024;42.743.588 ITALO COELHO ZACCARON;42.743.588/0001-13;16/07/2021;SC;FLORIANOPOLIS;4205407;Brasileiro independente;Empresário (Individual);SIM
54979;18/09/2023;42.756.955 FELIPE HAUA BRAUN DE MENEZES;42.756.955/0001-13;17/07/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
63236;18/09/2025;42.776.121 EVER MARIA TOBIAS FERREIRA;42.776.121/0001-70;19/07/2021;SP;JUNDIAI;3525904;Brasileiro independente;Empresário (Individual);SIM
56038;26/10/2023;42.802.720 DULHO RAFAEL DE OLIVEIRA PRADO;42.802.720/0001-10;21/07/2021;ES;SAO MATEUS;3204906;Brasileiro independente;Empresário (Individual);SIM
56533;22/11/2023;42.825.584 BRUNA FERNANDES MACHADO;42.825.584/0001-84;22/07/2021;PR;PONTA GROSSA;4119905;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
54810;08/09/2023;42.916.169 GLEICE QUELLE TENORIO DE CASTRO;42.916.169/0001-36;29/07/2021;RJ;MAGE;3302502;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
53118;03/04/2023;42.917.343 MARUAN EDSON BELLO;42.917.343/0001-65;29/07/2021;MT;CUIABA;5103403;Brasileiro independente;Empresário (Individual);SIM
53655;14/06/2023;42.979.645 REINALDO LUPO PARRA;42.979.645/0001-68;03/08/2021;SP;VOTUPORANGA;3557105;Brasileiro independente;Empresário (Individual);SIM
59760;07/10/2024;42.997.661 ANA LAURA BALDO DOS SANTOS;42.997.661/0001-83;04/08/2021;SC;DESCANSO;4204905;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
61862;07/05/2025;42966578 AMALLIA BRANDOLFF;42.966.578/0001-47;03/08/2021;RS;CANELA;4304408;Brasileiro independente;Empresário (Individual);SIM
58643;08/07/2024;43.028.549 YNARA DA SILVA NORONHA DE SOUZA;43.028.549/0001-05;06/08/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
56493;20/11/2023;43.054.134 ANNA VIANA SALVIATO;43.054.134/0001-06;10/08/2021;SC;FLORIANOPOLIS;4205407;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
62155;26/05/2025;43.058.060 ANA CAROLINA DA SILVA BOECHAT FERNANDES;43.058.060/0001-78;10/08/2021;ES;VITORIA;3205309;Brasileiro independente;Empresário (Individual);SIM
58808;25/07/2024;43.098.271 ISABEL ACOSTA ALVES;43.098.271/0001-34;12/08/2021;RJ;PETROPOLIS;3303906;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
60177;26/11/2024;43.110.151 FRANK HUDSON PEREIRA DA SILVA;43.110.151/0001-05;13/08/2021;MA;SAO LUIS;2111300;Brasileiro independente;Empresário (Individual);SIM
58301;20/05/2024;43.118.484 JULIANO RAMOS WURDIG;43.118.484/0001-80;13/08/2021;RS;LAJEADO;4311403;Brasileiro independente;Empresário (Individual);SIM
57914;09/04/2024;43.131.741 GEOLACIS VELOSO MOREIRA;43.131.741/0001-14;16/08/2021;PE;PETROLINA;2611101;Brasileiro independente;Empresário (Individual);SIM
54673;04/09/2023;43.149.881 ANA PAULA PACHECO DE OLIVEIRA;43.149.881/0001-10;17/08/2021;RJ;IGUABA GRANDE;3301876;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
59955;29/10/2024;43.152.913 JAINE FREITAS BOUQUARD;43.152.913/0001-36;17/08/2021;MG;CONTAGEM;3118601;Brasileiro independente;Empresário (Individual);SIM
53955;03/07/2023;43.157.298 GABRIEL APARECIDO RIBEIRO LIMA;43.157.298/0001-50;17/08/2021;SP;GAVIAO PEIXOTO;3516853;Brasileiro independente;Empresário (Individual);SIM
54250;31/07/2023;43.165.726 RAPHAEL OLIVEIRA MEDEIROS;43.165.726/0001-97;17/08/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
54982;18/09/2023;43.171.179 MARCOS ANTONIO LUIZ;43.171.179/0001-52;18/08/2021;MG;CAETE;3110004;Brasileiro independente;Empresário (Individual);SIM
59784;09/10/2024;43.239.909 LUZIMARIA DE LUCENA GONCALVES;43.239.909/0001-00;23/08/2021;PB;SAO JOSE DE PIRANHAS;2514503;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
60953;07/02/2025;43.244.934 SOLANGE DE LIMA MUNHOZ;43.244.934/0001-81;23/08/2021;PR;MARINGA;4115200;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
55332;02/10/2023;43.268.565 LUCAS MELGES VARGAS ORDONHO;43.268.565/0001-67;25/08/2021;SP;SAO CARLOS;3548906;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
60647;09/01/2025;43.381.761 CAROLINA ABREU;43.381.761/0001-43;02/09/2021;SC;ITAJAI;4208203;Brasileiro independente;Empresário (Individual);SIM
60134;22/11/2024;43.413.470 VICTOR MELO DO COUTO;43.413.470/0001-90;01/11/2024;RJ;RIO DE JANEIRO;3304557;Brasileiro de capital nacional nos termos do art. 1º, inciso III da IN 91;Empresário (Individual);NÃO
50370;27/01/2022;43.417.016 FLAVIO DOS REIS DOS SANTOS;43.417.016/0001-07;04/09/2021;BA;MURITIBA;2922300;Brasileiro independente;Empresário (Individual);SIM
54514;23/08/2023;43.417.164 SERGIO DIAS;43.417.164/0001-21;04/09/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
55783;20/10/2023;43.431.615 JULIA PEROVANO DA SILVA;43.431.615/0001-85;07/09/2021;ES;LINHARES;3203205;Brasileiro independente;Empresário (Individual);SIM
56179;06/11/2023;43.441.015 BEETHOVEN NICOLAU PINTO;43.441.015/0001-06;08/09/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
60824;28/01/2025;43.444.060 MARCOS GABRIEL FARIA CARRERA;43.444.060/0001-06;08/09/2021;RJ;RIO DE JANEIRO;3304557;Brasileiro independente;Empresário (Individual);SIM
61704;16/04/2025;43.502.754 WANESSA JULIANA DE LIMA GALVAO PIMENTEL;43.502.754/0001-52;13/09/2021;PE;CARUARU;2604106;Brasileiro independente;Empresário (Individual);SIM
