NUMERO_SALIC;TITULO_PROJETO;DATA_PUB_APROVACAO_PROJETO;DATA_PRIMEIRA_LIBERACAO;SITUACAO_ATUAL;MECANISMO;CAPTADO_ART1;CAPTADO_ART1A;CAPTADO_ART3;CAPTADO_ART3A;CAPTADO_ART18;CAPTADO_ART25;CAPTADO_ART39;CAPTADO_FUNCINES;CAPTADO_EDITAL_ANCINE;CAPTADO_PAR;CAPTADO_PAQ;CAPTADO_OUTROS_EDITAIS;CAPTADO_LEI_ESTADUAL;CAPTADO_LEI_MUNICIPAL;CAPTADO_OUTRAS_FONTES;CAPTADO_CONTRAPARTIDA;CAPTADO_CONVERSAO;TOTAL_CAPTADO;PROPONENTE;CNPJ_PROPONENTE;MUNICIPIO_PROPONENTE;UF_PROPONENTE
00-0040;Somos Amigos (Ex- Eliana em Somos Amigos);15/03/2000;;105    - CEA Projeto cancelado;Fomento Indireto;R$ 44.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 44.000,00;CPC CENTRO DE PRODUÇÀO E COMUNICAÇÃO LTDA.;42.592.741/0001-59;RIO DE JANEIRO;RJ
00-0061;Banda de Ipanema - Folia de Albino;07/06/2000;;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 221.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 221.000,00;SHATER PRODUÇÕES ARTÍSTICAS LTDA;32.096.794/0001-25;RIO DE JANEIRO;RJ
00-0075;O Cupido Trapalhão;21/08/2000;10/06/2003;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 1.475.535,00;R$ 0,00;R$ 1.800.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.275.535,00;DILER & ASSOCIADOS LTDA;00.291.470/0001-51;RIO DE JANEIRO;RJ
00-0077;TVE/BRASIL - Uma Rede de Difusão Cultural;10/04/2000;10/11/2000;P60    - PC FINAL - Análise Diretoria Colegiada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.000.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.000.000,00;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;02.196.013/0001-03;RIO DE JANEIRO;RJ
00-0115;Programa Alternativo;04/09/2000;31/07/2002;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 656.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 656.000,00;TV ALTERNATIVA CINEMA E VIDEO PRODUCAO EIRELI;03.419.940/0001-08;BRASILIA;DF
00-0117;Gente de Cavalo;07/07/2000;18/12/2001;P77    - Tomada de Contas Especial Instaurada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 336.255,74;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 336.255,74;A NOVA CDI - CASA DOS INDEPENDENTES LTDA;02.913.172/0001-81;SAO PAULO;SP
00-0131;Sorria Jesus te Ama;15/06/2000;;P77    - Tomada de Contas Especial Instaurada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 80.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 80.000,00;REFLEXO CINEMA E TV - PRODUTORA E DISTRIBUIDORA LTDA;03.909.063/0001-53;BRASILIA;DF
00-0148;Naufrágio - Mistério e Morte na Catástrofe do Príncipe das Astúrias (Ex: Naufrágio do...);18/09/2000;13/05/2004;U24    - RPC - PC FINAL - Aprovada;Fomento Indireto;R$ 374.990,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 142.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 516.990,00;MASTER SHOT PRODUCOES EIRELI - ME.;02.625.405/0001-40;SAO PAULO;SP
00-0177;Documentário Doutores da Alegria.;01/11/2000;28/02/2002;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 500.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 890.520,15;R$ 222.723,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.613.243,15;MAMO FILMES LTDA;57.643.793/0001-84;SAO PAULO;SP
00-0193;Xuxa Pop Star (Ex Xuxa Kid);22/09/2000;04/10/2000;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 212.354,00;R$ 0,00;R$ 1.600.000,00;R$ 0,00;R$ 0,00;R$ 90.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.902.354,00;DILER & ASSOCIADOS LTDA;00.291.470/0001-51;RIO DE JANEIRO;RJ
00-0201;Canta Maria  (ex: Os Desvalidos);24/07/2000;24/11/2004;P09    - PC FINAL - REVISÃO DE FLUXO;Fomento Indireto;R$ 2.522.000,00;R$ 50.000,00;R$ 237.438,95;R$ 0,00;R$ 0,00;R$ 1.395.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.204.438,95;FRANCISCO RAMALHO JUNIOR FILMES LTDA;52.308.558/0001-32;SAO PAULO;SP
00-0202;MADEIREIROS (EX MADEIREIRAS);26/07/2000;16/08/2002;P81    - AFC - PC FINAL - COMUNICADO  RDC;Fomento Indireto;R$ 561.246,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 561.246,00;ZAZEN PRODUÇÕES AUDIOVISUAIS LTDA.;01.803.185/0001-35;RIO DE JANEIRO;RJ
00-0206;Carandiru;28/07/2000;21/12/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 2.121.000,00;R$ 0,00;R$ 879.000,00;R$ 0,00;R$ 0,00;R$ 1.800.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.800.000,00;HECTOR BABENCO FILMES LTDA;46.848.701/0001-86;SAO PAULO;SP
00-0221;Jorge Amado o Menino Grapiúna;18/01/2001;23/09/2003;P75    - PC FINAL - Cobrança Extrajudicial;Fomento Indireto;R$ 168.697,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 168.697,00;VERONA FILMES LTDA;33.714.593/0001-07;RIO DE JANEIRO;RJ
00-0231;Eu Amo Meu Coração - Filme Por Um Fio  -  (Ex: O Coração pede Socorro - Parte III);31/08/2000;12/12/2003;P75    - PC FINAL - Cobrança Extrajudicial;Fomento Indireto;R$ 880.717,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 375.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.255.717,00;GEORGE JONAS INTERNACIONAL COMUNICATIONS LTDA;61.658.951/0001-47;SAO PAULO;SP
00-0245;Três Marias (AS);10/10/2000;30/01/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 1.373.482,00;R$ 0,00;R$ 38.005,62;R$ 0,00;R$ 0,00;R$ 600.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.011.487,62;HARE FILMES PRODUCOES LTDA - ME;03.838.776/0001-73;RIO DE JANEIRO;RJ
00-0250;Zico o filme;13/10/2000;26/12/2003;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 334.750,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 961.750,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.296.500,00;DILER & ASSOCIADOS LTDA;00.291.470/0001-51;RIO DE JANEIRO;RJ
00-0261;Margem da Imagem (A);14/07/2000;19/02/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 110.336,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 110.336,00;SP FILMES DE SÃO PAULO LTDA;59.190.843/0001-40;SAO PAULO;SP
00-0274;Mortos na Água;10/10/2000;28/06/2000;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.513.901,43;R$ 1.513.901,43;E.H. FILMES LTDA;00.338.948/0001-51;RIO DE JANEIRO;RJ
00-0285;Brasil ?... Só Rindo !;28/09/2000;09/01/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 200.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 200.000,00;YPEARTS AUDIOVISUAL LTDA;00.101.698/0001-31;RIO DE JANEIRO;RJ
00-0298;BELA NOITE PARA VOAR (EX - JK - BELA NOITE PARA VOAR) (EX - DE NONÔ A JK );24/11/2000;22/09/2004;P30    - PC FINAL - Análise Técnica;Fomento Indireto;R$ 1.769.299,00;R$ 0,00;R$ 2.468.500,00;R$ 0,00;R$ 0,00;R$ 182.395,38;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.420.194,38;CARIBE PRODUÇÕES LTDA;32.267.676/0001-32;RIO DE JANEIRO;RJ
00-0301;Urbania (O Retorno);09/10/2000;24/07/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 88.782,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 88.782,00;CINEMATOGRÁFICA SUPERFILMES LTDA;52.858.982/0001-50;SAO PAULO;SP
00-0310;Espelho D'água - Uma Viagem no Rio São Francisco;19/10/2000;27/06/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 1.820.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.920.000,00;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;28.026.565/0001-67;RIO DE JANEIRO;RJ
00-0319;Cartola;20/11/2000;04/07/2003;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 670.874,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 890.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.560.874,00;RACCORD PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA;72.062.029/0001-09;RIO DE JANEIRO;RJ
00-0320;Cidade das Mulheres;10/11/2000;30/05/2003;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 397.529,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 397.529,00;X FILMES DA BAHIA LTDA ME;74.144.403/0001-40;SALVADOR;BA
00-0327;Seja o Que Deus Quiser;27/11/2000;05/02/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 230.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 174.942,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 404.942,00;CINEMA BRASIL DIGITAL - ESCRITÓRIO DE PLANEJ. EMPR. AUD. LTDA;68.317.445/0001-33;RIO DE JANEIRO;RJ
00-0333;Tainá Uma Aventura na Amazônia - Distribuição;26/09/2000;15/02/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 1.330.434,00;R$ 0,00;R$ 859.632,64;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.190.066,64;TIETÊ PRODUÇÕES CINEMATOGRÁFICAS LTDA;96.274.915/0001-64;SAO PAULO;SP
00-0336;Um Crime Nobre (Ex: O Filho Predileto);27/10/2000;30/10/2000;P59    - PC FINAL - Análise  Financeira em conferência;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.664.347,28;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.664.347,28;TOTAL ENTERTAINMENT LTDA;02.863.008/0001-07;RIO DE JANEIRO;RJ
00-0349;Viva Voz;08/12/2000;27/07/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 1.312.442,00;R$ 0,00;R$ 790.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.102.442,00;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;COTIA;SP
00-0352;Em Trânsito (Ex - Terra em Trânsito);25/01/2001;13/10/2003;P67    - PC FINAL - Reprovada - Concluída;Fomento Indireto;R$ 368.259,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 368.259,00;ALO VIDEO LTDA - ME;31.390.347/0001-11;RIO DE JANEIRO;RJ
00-0353;Quando o Computador Sobe o Morro;30/08/2001;14/04/2004;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100.000,00;FILMES DO EQUADOR LTDA.;73.619.637/0001-34;RIO DE JANEIRO;RJ
00-0359;GATÃO DE MEIA IDADE;05/12/2000;25/02/2003;P63    - PC FINAL - Reprovada;Fomento Indireto;R$ 2.890.681,00;R$ 0,00;R$ 543.750,00;R$ 0,00;R$ 0,00;R$ 201.839,63;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.636.270,63;YPEARTS AUDIOVISUAL LTDA;00.101.698/0001-31;RIO DE JANEIRO;RJ
00-0361;Onde anda você (ex-Os Piadistas);01/11/2000;10/04/2001;U14    - RPC - PC FINAL - COLETA DE DADOS EM CONF. C/ RACO;Fomento Indireto;R$ 1.072.681,00;R$ 0,00;R$ 423.448,55;R$ 0,00;R$ 0,00;R$ 1.513.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.009.129,55;MORENA FILMES EIRELI - ME;42.473.256/0001-66;RIO DE JANEIRO;RJ
00-0362;Procuradas;26/12/2000;29/08/2002;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 150.000,00;R$ 0,00;R$ 0,00;R$ 224.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 374.000,00;JOSE MIGUEL ELISEO CACERES ME;00.985.204/0001-29;FLORIANOPOLIS;SC
00-0370;Aventuras de Pedro Rita e Bentinho (As);25/01/2001;10/05/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 56.715,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 56.715,00;TRES TEMPOS FILMES LTDA;00.360.459/0001-04;RIO DE JANEIRO;RJ
00-0373;Houve Uma Vez Dois Verões;30/10/2000;23/05/2002;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 173.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 173.000,00;CASA DE CINEMA DE PORTO ALEGRE LTDA.;94.625.829/0001-23;PORTO ALEGRE;RS
00-0374;Rua Seis Sem Número (2);30/10/2000;18/06/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 140.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 110.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 250.000,00;OESTE FILMES BRASILEIROS LTDA-BAIXADO;03.074.644/0001-12;SAO PAULO;SP
00-0375;Dois Perdidos Numa Noite Suja;27/10/2000;24/01/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 240.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 240.000,00;COEVOS FILMES LTDA;27.527.464/0001-07;RIO DE JANEIRO;RJ
00-0376;Amarelo Manga Ou Alugam-se Vagas;13/11/2000;27/04/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 211.830,00;R$ 0,00;R$ 66.938,00;R$ 0,00;R$ 0,00;R$ 122.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 400.768,00;OLHOS DE CÃO PRODUÇÕES CINEMATOGRÁFICAS LTDA;71.733.695/0001-69;SAO PAULO;SP
00-0377;Celeste & Estrela;27/10/2000;25/07/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 215.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 215.000,00;BPP PRODUÇÕES AUDIOVISUAIS LTDA-ME;02.229.175/0001-09;ITACARE;BA
00-0378;Vidas de Maria (As);29/03/2001;22/06/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 430.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 430.000,00;GAYA PRODUCOES CINEMATOGRAFICAS LTDA;55.084.750/0001-80;BRASILIA;DF
00-0379;Avassaladoras  Mulheres em Crise de Amor;06/11/2000;09/08/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 270.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 270.000,00;TOTAL ENTERTAINMENT LTDA;02.863.008/0001-07;RIO DE JANEIRO;RJ
00-0380;ESTÓRIAS DE TRANCOSO;27/10/2000;05/02/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 576.192,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 370.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 946.192,00;ALBATROZ CINEMATOGRÁFICA LTDA;01.111.024/0001-80;SAO PAULO;SP
00-0381;Wood & Stock Sexo Orégano e Rock´n Roll;30/10/2000;19/06/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 384.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 384.000,00;OTTO DESENHOS ANIMADOS LTDA;87.435.368/0001-60;PORTO ALEGRE;RS
00-0382;Invasor;27/10/2000;05/02/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 330.000,00;R$ 0,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 430.000,00;DRAMA FILMES LTDA.;02.902.219/0001-01;SAO PAULO;SP
00-0387;Cidade Baixa (Ex:Tristão e Isolda);26/12/2000;15/08/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 1.822.000,00;R$ 0,00;R$ 290.452,75;R$ 0,00;R$ 0,00;R$ 926.129,98;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.038.582,73;VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA;31.179.864/0001-46;RIO DE JANEIRO;RJ
00-0388;Benguelê;15/10/2001;06/07/2005;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 285.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 345.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 630.000,00;HELENA MARTINHO DA ROCHA;03.609.622/0001-00;RIO DE JANEIRO;RJ
00-0402;Taça do Mundo é Nossa Casseta & Planteta O Filme (A);19/06/2001;28/01/2003;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 1.768.000,00;R$ 0,00;R$ 2.744.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.512.000,00;CONSPIRAÇÃO FILMES S/A;02.020.661/0001-04;RIO DE JANEIRO;RJ
00-0405;Nina;20/02/2001;24/10/2002;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 1.139.614,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 900.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.039.614,00;GULLANE ENTRETENIMENTO S.A.;01.378.559/0001-12;SAO PAULO;SP
00-0412;Heróis da Liberdade (Os);06/07/2001;26/07/2004;P66    - PC FINAL - Aprovada com ressalvas - concluída;Fomento Indireto;R$ 224.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 224.000,00;NOMADE AMBERG FILMES EIRELI;01.533.833/0001-80;SAO PAULO;SP
00-0415;Separações;18/12/2000;31/05/2001;P61    - PC FINAL - Aprovada;Fomento Indireto;R$ 215.060,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 750.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 965.060,00;CARADECÃO PRODUÇÕES LTDA;03.011.536/0001-09;RIO DE JANEIRO;RJ
