NUMERO_SALIC;TITULO_PROJETO;DATA_PUB_APROVACAO_PROJETO;DATA_PRIMEIRA_LIBERACAO;SITUACAO_ATUAL;MECANISMO;CAPTADO_ART1;CAPTADO_ART1A;CAPTADO_ART3;CAPTADO_ART3A;CAPTADO_ART18;CAPTADO_ART25;CAPTADO_ART39;CAPTADO_FUNCINES;CAPTADO_EDITAL_ANCINE;CAPTADO_PAR;CAPTADO_PAQ;CAPTADO_OUTROS_EDITAIS;CAPTADO_LEI_ESTADUAL;CAPTADO_LEI_MUNICIPAL;CAPTADO_OUTRAS_FONTES;CAPTADO_CONTRAPARTIDA;CAPTADO_CONVERSAO;TOTAL_CAPTADO;PROPONENTE;CNPJ_PROPONENTE;MUNICIPIO_PROPONENTE;UF_PROPONENTE
24-0475;OS SALTIMBANCOS;08/05/2024;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.629.495,56;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.629.495,56;MAR FILMES LTDA;16.871.935/0001-83;RIO DE JANEIRO;RJ
24-0519;Antes do Esquecimento;27/05/2024;17/12/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 1.060.347,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.060.347,00;AVILA PRODUÇÕES LTDA;15.129.442/0001-00;SAO PAULO;SP
24-0560;Légua Tirana;04/06/2024;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 550.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 550.000,00;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;COTIA;SP
24-0569;O Caçador de Malassombros;11/06/2024;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 292.467,98;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 292.467,98;PRIMAVERA FILMES LTDA;36.282.484/0001-56;PRIMAVERA DO LESTE;MT
24-0583;A MÁQUINA;04/06/2024;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.528.846,74;R$ 983.607,27;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.512.454,01;AMAIA PRODUCOES AUDIOVISUAIS E MUSICAIS LTDA;07.419.227/0001-15;SAO PAULO;SP
24-0591;Pool Party do Italo;04/06/2024;29/01/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 570.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 570.000,00;CB FILMS PRODUCOES ARTISTICAS LTDA;23.397.007/0001-94;RIO DE JANEIRO;RJ
24-0592;A PRÓXIMA JOGADA;04/06/2024;04/10/2024;P01    - Encerrado Prazo de Captação - Encaminhado à CPC;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.000.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.000.000,00;BEYOND FILMES LTDA;26.851.408/0001-60;SAO PAULO;SP
24-0601;DRA. CAROL BRANDÃO - A RAINHA DO BISTURI;04/06/2024;13/06/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.000.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.295.585,29;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.295.585,29;RMG & DAVI COMUNICAÇÕES LTDA;07.904.474/0001-07;SANTANA DE PARNAIBA;SP
24-0608;Suape: 45 Anos de Progresso em Foco - O Documentário Histórico Eternizando o Coração Econômico de Pe;04/06/2024;31/07/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 42.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 42.000,00;3M EDITORA, ARTES GRAFICAS E PRODUTORA LTDA;24.929.247/0001-55;RECIFE;PE
24-0614;Marido de Aluguel;27/06/2024;12/12/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.085.726,14;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.085.726,14;INANA LTDA;47.720.299/0001-12;BELO HORIZONTE;MG
24-0615;PLACA-MÃE;11/06/2024;27/11/2024;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 200.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 200.000,00;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;67.431.718/0001-03;COTIA;SP
24-0620;Tudo Por Um Feriado;19/06/2024;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 9.000.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9.000.000,00;PANORAMICA COMUNICACAO LTDA.;05.565.485/0001-84;RIO DE JANEIRO;RJ
24-0628;Golpe do Amor;11/06/2024;16/12/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.450.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.118.386,89;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.568.386,89;DELICATESSEN - PRODUÇÃO DE FILMES LTDA.;08.440.376/0001-29;SAO PAULO;SP
24-0645;Padre Cícero;19/06/2024;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 1.025.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.025.000,00;POPCON PRODUÇÕES LTDA;09.281.789/0001-70;SAO PAULO;SP
24-0652;PALAVRA CANTADA;11/06/2024;08/01/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 278.568,84;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 278.568,84;GALERIA DISTRIBUIDORA AUDIOVISUAL LTDA;32.656.607/0001-10;SAO PAULO;SP
24-0656;Love Taste Segunda Temporada;24/06/2024;14/01/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.250.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3.250.000,00;MOVIOCA PRODUÇÕES ARTÍSTICAS LTDA - ME;15.743.170/0001-33;SAO PAULO;SP
24-0668;Menos é Demais - 6a Temporada;24/06/2024;15/04/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.700.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.694.766,93;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.394.766,93;FJ PRODUCOES LTDA;01.894.553/0001-06;SAO PAULO;SP
24-0670;NO MEIO DO CAMINHO TINHA UMA ESCOLA;19/06/2024;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 100.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 100.000,00;MAMO FILMES LTDA;57.643.793/0001-84;SAO PAULO;SP
24-0682;Rouge;24/06/2024;12/08/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.498.452,99;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2.991.921,90;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.490.374,89;PLANET POP MÍDIA E EDITORAÇÕES LIMITADA ME;07.988.992/0001-56;SAO PAULO;SP
24-0685;Bruna Surfistinha 2;19/06/2024;17/11/2025;109    - CPG Proj em exec - liber recurs incentiv efetuada;Fomento Indireto;R$ 0,00;R$ 0,00;R$ 1.000.000,00;R$ 3.000.000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 4.000.000,00;TV ZERO CINEMA LTDA;03.360.320/0001-40;RIO DE JANEIRO;RJ
24-0701;Lacerda - Documentário;19/06/2024;;102    - CEA Projeto em captação;Fomento Indireto;R$ 0,00;R$ 37.300,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 37.300,00;MASSANGANA PRODUÇÕES ARTÍSTICAS LTDA;72.047.608/0001-82;RIO DE JANEIRO;RJ
