Programa de Apoio a Participação de Filmes Brasileiros em Festivais Internacionais - 2010 a 2019;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano do Apoio;Festival;País do Festival;Mês;Filme ;Mostra;Direção;Produtora Brasileira Majoritária *;UF;Metragem;CPB;"Confecção
cópia";"Envio
da cópia";"Apoio
Financeiro"
2012;Donostia - Festival de San Sebastian;Espanha;Setembro;"""Cores""";Novos Diretores;Francisco Garcia;Kinoosfera Filmes;SP;Longa;B1301794500000;X; ;X
2012;Festival Internacional de Cinema de Punta del Este;Uruguai;Março;"""Capitães da Areia""";Competição Oficial;Cecília Amado;Lagoa Cultural/Maga Filmes;RJ;Longa;B1101496800000;X;X;
2012;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""Rânia""";Bright Future;Roberta Marques;Latitude Sul Filmes;CE;Longa;B1101519300000;X;X;
2012;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Rânia""";Competição Ópera Prima;Roberta Marques;Latitude Sul Filmes;CE;Longa;B1101519300000;X;X;X
2012;Festival Internacional de Cinema de Guadalajara;México;Março;"""Corações Sujos""";Competição Oficial Longa-metragens de ficção iberoamericanos;Vicente Amorim;Mixer Films;SP;Longa;B1101420100000;;X;
2012;Festival Internacional de Cinema de Punta del Este;Uruguai;Março;"""Corações Sujos""";Competição Oficial;Vicente Amorim;Mixer Films;SP;Longa;B1101420100000;X;X;
2012;Festival de Cinema de Bogotá;Colômbia;Outubro;"""No Fundo Nem Tudo é Memória""";Competição Documental Ambiental;Carlos Segundo;O Sopro do Tempo;MG;Longa;B1201576300000;; ;X
2012;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Xingu""";Panorama special;Cao Hamburger;O2 Filmes;SP;Longa;B1201547400000;X; ;X
2012;Festival de Cinema de Locarno;Suíça;Agosto;"""Boa Sorte, Meu Amor""";Competição Cineasta do Presente ;Daniel Aragão;Orquestra Cinema Estúdios;PE;Longa;B1301899900000;; ;X
2012;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Boa Sorte, Meu Amor""";Competição Longas-Metragens;Daniel Aragão;Orquestra Cinema Estúdios;PE;Longa;B1301899900000;; ;X
2012;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Boa Sorte, Meu Amor""";Competição Ópera Prima;Daniel Aragão;Orquestra Cinema Estúdios;PE;Longa;B1301899900000;X;X;X
2012;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Olhe pra mim de novo""";Panorama dokumente;Claudia Priscilla/Kiko Goifman;Paleo TV;SP;Longa;B1101505000000;X;X;X
2012;Festival de Cinema de Roma;Itália;Novembro;"""Meu Pé de Laranja lima""";Competição Internacional: Alice nella Città;Marcos Bernstein;Passaro Films;RJ;Longa;B1301743100000;X;X;X
2012;Donostia - Festival de San Sebastian;Espanha;Setembro;"""Era uma Vez Eu, Verônica""";Horizontes Latinos;Marcelo Gomes;Rec Produtores Associados;PE;Longa;B1201642000000;X;X;X
2012;Festival Internacional de Cinema de Toronto - TIFF;Canadá;Setembro;"""Era uma Vez Eu, Verônica""";Contemporary World Cinema;Marcelo Gomes;Rec Produtores Associados;PE;Longa;B1201642000000;X;X;X
2012;Festival de Cannes;França;Maio;"""A Música Segundo Tom Jobim""";Special Screenings;Dora Jobim/Nelson Pereira dos Santos;Regina Filmes;RJ;Longa;B1101537900000;; ;X
2012;Festival de Cinema de Cartagena;Colômbia;Fevereiro;"""Heleno""";Competição oficial de ficção;José Henrique Fonseca;RT Features/Zola Filmes;SP/RJ;Longa;B1201553500000;X;X;
2012;Encontros de Cinema da América Latina de Toulouse;França;Março/Abril;"""Histórias Que Só Existem Quando Lembradas""";Competição Oficial;Julia Murat;Taiga Filmes e Vídeo;RJ;Longa;B1101414400000;X;X;X
2012;Festival de Cinema de Cartagena;Colômbia;Fevereiro;"""Histórias Que Só Existem Quando Lembradas""";Competição oficial de ficção;Julia Murat;Taiga Filmes e Vídeo;RJ;Longa;B1101414400000;;X;X
2012;Festival Internacional de Cinema do Uruguai;Uruguai;Março/Abril;"""Histórias Que Só Existem Quando Lembradas""";Competencia Largometrajes iberoamericanos;Julia Murat;Taiga Filmes e Vídeo;RJ;Longa;B1101414400000;;X;X
2012;New Directors New Films;Estados Unidos;Março/Abril;"""Histórias Que Só Existem Quando Lembradas""";Competição Oficial;Julia Murat;Taiga Filmes e Vídeo;RJ;Longa;B1101414400000;; ;X
2012;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Hoje""";Competição de Longa-metragem de ficção;Tata Amaral;Tangerina Entretenimento;SP;Longa;B1201582200000;X; ;X
2012;ATLANTIDOC - Festival Internacional de Cinema Documentário do Uruguai;Uruguai;Dezembro;"""Referendo""";Competição Internacional Principal;Jaime Lerner;Usina Ideias;RS;Longa;B1301797400000;; ;X
2012;Encontros de Cinema da América Latina de Toulouse;França;Março/Abril;"""As Hiper Mulheres""";Competição de Documentários;Carlos Fausto/Leonardo Sette/Takumã Kuikuro;Vídeo nas Aldeias;PE;Longa;B1101473600000;X;X;X
2012;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""As Hiper Mulheres""";Bright Future;Carlos Fausto/Leonardo Sette/Takumã Kuikuro;Vídeo nas Aldeias;PE;Longa;B1101473600000;X;X;
2012;Festival Internacional de Cinema de Guadalajara;México;Março;"""Transeunte""";Competição Oficial Longa-metragens de ficção iberoamericanos;Eryk Rocha;Videofilmes;RJ;Longa;B1101425400000;X;X;X
2012;Festival Internacional de Cinema do Uruguai;Uruguai;Março/Abril;"""Transeunte""";Competencia Largometrajes internacionales;Eryk Rocha;Videofilmes;RJ;Longa;B1101425400000;; ;X
2012;Festival de Cinema de Bogotá;Colômbia;Outubro;"""Marcelo Yuka no Caminho das Setas""";Competição Documental de Arte;Daniela Broitman;Videoforum Filmes;SP;Longa;B1201673600000;; ;X
2012;Festival de Cinema e Cultura da América Latina de Biarritz;França;Setembro;"""Estonia""";Competição de Documentários;Lucas Bonolo; - ; - ;Média; -;X; ;X
2012;Festival Internacional de Mar del Plata;Argentina;Novembro;"""Abelardo""";Competição Latino-americana de Curtas-Metragens;Ane Siderman;Accorde Filmes;RS;Média; -;; ;X
2012;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Odete""";Competição Curtas-Metragens;Clarissa Campolina/Ivo Lopes/Luiz Pretti;Alumbramento;CE;Média;B1201628400000;; ;X
2012;Festival Internacional de Filmes de Curta-metragem de Oberhausen;Alemanha;Abril/Maio;"""Odete""";International Competition;Clarissa Campolina/Ivo Lopes/Luiz Pretti;Alumbramento;CE;Média;B1201628400000;X;X;X
2012;Curtas Vila do Conde;Portugal;Julho;"""Os Mortos-Vivos""";Competição Internacional;Anita Rocha da Silveira;Anita Rocha da Silveira;RJ;Média;B1201634900000;; ;X
2012;Festival de Cinema de Tampere;Finlândia;Março;"""Praça Walt Disney""";Competição Internacional Principal;Renata Pinheiro/Sérgio Oliveira;Aroma Filmes;PE;Média;B1101406600000;;X;
2012;IndieLisboa - Festival Internacional de Cinema Independente;Portugal;Abril/Maio;"""Praça Walt Disney""";Competição Internacional - Curtas-metragens;Renata Pinheiro/Sérgio Oliveira;Aroma Filmes;PE;Média;B1101406600000;; ;X
2012;Festival de Cinema de Huesca;Espanha;Junho;"""Aphasia""";Concurso Iberoamericano de curta-metragens;Cainan Baladez;Ato Produções/Arte In Vitro Filmes;SP;Média;B1201573100000;X;X;X
2012;Festival Internacional de Cinema de Melbourne;Austrália;Agosto;"""O Duplo""";Competitiva internacional de curta- metragem;Juliana Rojas;Avoa Filmes;SP;Média;B1201652100000;X; ;X
2012;Festival de Cinema de Cracóvia;Polônia;Maio/Junho;"""Desacerto""";Competição internacional;Eduardo Consonni /Rodrigo T. Marques;Complô;SP;Média;B1201606300000;X;X;
2012;Festival de Cinema de Bogotá;Colômbia;Outubro;"""À Sombra de um Delírio Verde""";Competição Documental Ambiental;Cristiano Navarro/Anna Baccaert/Jorge Nicolas Muñoz;Cristiano Navarro Peres;SP;Média;B1201656500000;; ;X
2012;Festival de Cinema de Bogotá;Colômbia;Outubro;"""Da Origem""";Competição Documental Social;Fábio Baldo;Fábio Eduardo Baldo;SP;Média;B1101506400000;; ;X
2012;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro/Fevereiro;"""Dona Sônia Pediu uma Arma para seu Vizinho Alcides""";Lab competition;Gabriel Martins;Filmes de Plástico;MG;Média;B1402191900000;;X;X
2012;Festival Internacional Nueva Mirada para a Infância e Juventude;Argentina;Agosto/Setembro;"""Lápis-de-Cor""";Competição Oficial;Alice Gomes;Glaz Video Digital;RJ;Média;B1101465600000;; ;X
2012;Curtas Vila do Conde;Portugal;Julho;"""A Fábrica""";Competição Internacional;Aly Muritiba;Grafo Audiovisual;PR;Média;B1101490200000;; ;X
2012;Festival de Cinema de Cartagena;Colômbia;Fevereiro;"""A Fábrica""";Competição oficial de curta-metragem;Aly Muritiba;Grafo Audiovisual;PR;Média;B1101490200000;;X;X
2012;Festival de Cinema de Cracóvia;Polônia;Maio/Junho;"""A Fábrica""";Competição internacional;Aly Muritiba;Grafo Audiovisual;PR;Média;B1101490200000;;X;
2012;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Janeiro/Fevereiro;"""A Fábrica""";International Competion;Aly Muritiba;Grafo Audiovisual;PR;Média;B1101490200000;;X;X
2012;Festival de Cinema de Huesca;Espanha;Junho;"""A Dama do Estácio""";Concurso Iberoamericano de curta-metragens;Eduardo Ades;Imagem-Tempo;RJ;Média;B1201637100000;X;X;X
2012;Festival de Cinema de Bogotá;Colômbia;Outubro;"""Metrô""";Competição Documental Social;Guilherme Hoffmann;JLM Produções Artísticas;RJ;Média;B1301869900000;; ;X
2012;Festival de Cinema de Huesca;Espanha;Junho;"""O Brasil de Pero Vaz Caminha""";Concurso Iberoamericano de curta-metragens documental;Bruno Laet;Kinossaurus Filmes/Bruno Laet/TC Produções;RJ;Média;B1101515500000;X;X;X
2012;Encontros de Cinema da América Latina de Toulouse;França;Março/Abril;"""Testemunha 4""";Competição de Documentários;Marcelo Grabowsky;Mirada Filmes;RJ;Média;B1201659300000;X; ;X
2012;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Dia Estrelado""";Competição de Animação;Nara Normande;Nara Barreto Campello Normande;PE;Média;B1201600700000;;X;
2012;Festival Internacional de Cinema de Karlovy Vary ;República Tcheca;Junho/Julho;"""Barbeiros""";Competição Oficial Internacional de Documentário;Guilherme Aguilar/Luiz Ferraz;Olé Produções;SP;Média;B1201611500000;X;X;
2012;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Púrpura""";Competição Curtas-Metragens;Tavinho Teixeira;Pigmento Cinematográfico;PB;Média; -;; ;X
2012;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""L""";Generation Kplus kurzfilm;Thais Fujinaga;Thais Fujinaga;SP;Média;B1101470000000;X;X;X
2012;Festival de Cinema Iberoamericano de Huelva;Espanha;Novembro;"""O Fim do Filme""";Competição de curtas-metragens;André Dib;Universidade de São Paulo;SP;Média;B1201658600000;X;X;X
2012;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Diário do Não Ver""";Competição Curtas-Metragens;Joana Oliveira/Cristina Maure;Vaca Amarela Filmes;MG;Média;B1301760100000;; ;X
2012;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""Menino do Cinco""";Competição Curtas-Metragens;Marcelo Matos de Oliveira/Wallace Nogueira;Vogal Imagem ;BA;Média;B1201610100000;; ;X
2013;Festival Internacional de Cinema Latino de Los Angeles;Estados Unidos;Outubro;"""Phoenix""";Seções Competitivas;Stefano Capuzzi Lapietra;Alfa Filmes & Produções;SP;Curta;B1201608200000;;;X
2013;Festival de Cinema de Tampere;Finlândia;Março;"""Dizem que os Cães Veem Coisas""";Competição Internacional Principal;Guto Parente;Alumbramento;CE;Curta;B1201659500000;;;X
2013;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""Dizem que os Cães Veem Coisas""";Spectrum Shorts;Guto Parente;Alumbramento;CE;Curta;B1201659500000;;x;
2013;Festival de Cinema Iberoamericano de Huelva;Espanha;Novembro;"""O Afinador""";Competição de curtas-metragens;Fernando Camargo/Matheus Parizi;Antítese Produção Midiática;SP;Curta;B1201649800000;;;X
2013;Festival Internacional de Cinema Latino de Los Angeles;Estados Unidos;Outubro;"""O Afinador""";Seções Competitivas;Fernando Camargo/Matheus Parizi;Antítese Produção Midiática;SP;Curta;B1201649800000;;;X
2013;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""O Pacote""";Generation 14Plus kurzfilm;Rafael Aidar;Aurora Filmes;SP;Curta;B1301841000000;;;X
2013;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Novembro;"""O Pacote""";Competição Latinoamericana de Curta-metragens;Rafael Aidar;Aurora Filmes;SP;Curta;B1301841000000;;;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""O Pacote""";Competição de Média-metragem e Curta-metragem de ficção;Rafael Aidar;Aurora Filmes;SP;Curta;B1301841000000;;x;
2013;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Novembro;"""A Mulher no Alto do Morro""";Competição Latinoamericana de Curta-metragens;Cássio Pereira dos Santos;Cassio Pereira dos Santos;MG;Curta;B1201633700000;;;X
2013;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Novembro;"""Qual Queijo Você Quer?""";Competição Latinoamericana de Curta-metragens;Cíntia Domit Bittar;Cíntia Domit Bittar;SC;Curta;B1101450700000;;;X
2013;IndieLisboa - Festival Internacional de Cinema Independente;Portugal;Abril;"""Desterro""";Competição Internacional - Curtas-metragens;Cláudio Marques;Coisa de Cinema;BA;Curta;B1101465300000;;;X
2013;Festival Internacional de Mar del Plata;Argentina;Novembro;"""Aja por Instinto""";Competição Latino-americana de Curtas-Metragens;Paulo de Tarso Disca;Disca Filmes;SP;Curta;B1302000900000;;;X
2013;Festival de Cinema de Locarno;Suíça;Agosto;"""Tremor""";Competição Leopards of Tomorrow;Ricardo Alves Junior;Entre Filmes;MG;Curta;B1402280200000;;;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Confete""";Latinoamerica em Perspectiva - Arte y tradición;Jo Serfaty/Mariana Kaufman;Fagulha Filmes;RJ;Curta;B1201647500000;;x;
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Meu amigo Nietzsche""";Competição de Média-metragem e Curta-metragem de ficção;Fáuston da Silva;Fauston Pereira da Silva;DF;Curta;B1402094500000;;;X
2013;DocLisboa - Festival Internacional de Cinema;Portugal;Outubro/Novembro;"""Mauro em Caiena""";Competição Internacional Curtas;Leonardo Mouramateus;Leonardo Moura Mateus;CE;Curta; -;;;X
2013;Festival de Cinema de Huesca;Espanha;Junho;"""O Caminhão do Meu Pai""";Competição Internacional de Curta-metragem;Mauricio Osaki;Lupi Films;SP;Curta; -;;;X
2013;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""O Caminhão do Meu Pai""";Generation Kplus kurzfilm;Mauricio Osaki;Lupi Films;SP;Curta; -;;;X
2013;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Destimação""";Generation 14Plus kurzfilm;Ricardo de Podestá;Mandra Filmes;GO;Curta;B1001247000000;;;X
2013;Chicago Children - Festival de Cinema Infantil de Chicago;Estados Unidos;Outubro/Novembro;"""O Retrato da Lua""";Seleção Oficial;Cláudio Bitencourt/Diego Lopes;Oger Sepol Produções;PR;Curta;B1402079800000;;;X
2013;Festival de Cinema de Cartagena;Colômbia;Março;"""Canção para Minha Irmã""";Competição oficial de curta-metragem;Pedro Loureiro Severien;Orquestra Cinema Estúdios;PE;Curta;B1301782400000;;x;X
2013;Festival de Filmes de Curta-metragem de Clermont-Ferrand;França;Fevereiro;"""Canção para Minha Irmã""";International Competion;Pedro Loureiro Severien;Orquestra Cinema Estúdios;PE;Curta;B1301782400000;;;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Histórias Curtas - Uma Vida Feita De Outras""";Latinoamerica em Perspectiva - La Hora del corto;Denise S. Marchi;RBS TV;RS;Curta;B1301780700000;;x;
2013;Festival Internacional de Cinema de Miami;Estados Unidos;Março;"""De Outros Carnavais""";University of Miami Shorts Competition;Paulo Miranda;SW-VG 94;SP;Curta;B1201645300000;;;X
2013;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""O Sol Pode Cegar""";Competição Curtas-Metragens;Thomas Loureiro;Thomas Loureiro;SP;Curta; -;;;X
2013;Festival Internacional de Animação de Annecy;França;Junho;"""O Rei Gastão""";Competição oficial;Diogo Viegas;Viegas Estudio;RJ;Curta; -;;;X
2013;Chicago Children - Festival de Cinema Infantil de Chicago;Estados Unidos;Outubro/Novembro;"""Thomás Tristonho""";Seleção Oficial;André Hayato Saito;Vitrine Filmes;SP;Curta;B1301766900000;;;X
2013;Festival de Cinema e Cultura da América Latina de Biarritz;França;Setembro/Outubro;"""Thomás Tristonho""";Competição de curtas-metragens;André Hayato Saito;Vitrine Filmes;SP;Curta;B1301766900000;;x;X
2013;Festival de Cinema Luso Brasileiro de Santa Maria da Feira;Portugal;Dezembro;"""A Ultima Fronteira""";Competição Curtas-Metragens;Diogo Faggiano;Yuri Amaral;SP;Curta;B1402158500000;;;X
2013;Festival Internacional de Cinema do Uruguai;Uruguai;Março/Abril;"""Nove Crônicas para um Coração aos Berros""";Competencia Largometrajes nuevos realizadores;Gustavo Galvão;8U Produtora/400 Filmes;SP/DF;Longa;B1301906100000;X;;X
2013;DocLisboa - Festival Internacional de Cinema;Portugal;Outubro/Novembro;"""Os Dias com Ele""";Competição Portuguesa Longas;Maria Clara Escobar;Aeroplano Produções/Filmes de Abril;SP;Longa;B1402150900000;;x;
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Os Dias com Ele""";Competição de Documentários;Maria Clara Escobar;Aeroplano Produções/Filmes de Abril;SP;Longa;B1402150900000;;;X
2013;Festival de Cinema de Shangai;China;Junho;"""A Última Estação""";Images of Brazil;Márcio Curi;Asacine Produções;DF;Longa;B1201614400000;;x;
2013;ATLANTIDOC - Festival Internacional de Cinema Documentário do Uruguai;Uruguai;Dezembro;"""Revelando Sebastião Salgado""";Competição Internacional Principal;Betse de Paula;Aurora Cinematográfica;RJ;Longa;B1301769600000;;;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Revelando Sebastião Salgado""";Latinoamerica em Perspectiva - Arte y tradición;Betse de Paula;Aurora Cinematográfica;RJ;Longa;B1301769600000;;x;
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""São Silvestre""";Competição de Documentários;Lina Chamie;Bossa Nova Films;SP;Longa;B1301963900000;;;X
2013;Festival Internacional de Animação de Annecy;França;Junho;"""Uma História de Amor e Fúria""";Competição oficial;Luiz Bolognesi;Buriti Filmes;SP;Longa;B1201580500000;;;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Uma História de Amor e Fúria""";Competição de Animação;Luiz Bolognesi;Buriti Filmes;SP;Longa;B1201580500000;X;x;X
2013;Festival Internacional de Cinema de Guadalajara;México;Março;"""Elena""";Competição Oficial Longa-metragens de documentário iberoamericanos;Petra Costa;Busca Vida Filmes;SP;Longa;B1201704900000;;;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Elena""";Competição de Documentários;Petra Costa;Busca Vida Filmes;SP;Longa;B1201704900000;X;x;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Olho nu""";"""Latinoamerica em Perspectiva - Música, cámara, acción""";Joel Pizzini;Canal Brasil/Paloma Cinematográfica;RJ/DF;Longa;B1302060500000;;x;
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Raça""";Latinoamerica em Perspectiva - Los colores de la diversidad;Joel Zito Araújo;Casa de Criação Cinema;RJ;Longa;B1301784200000;;x;
2013;Festival de Cinema de Cartagena;Colômbia;Março;"""Otto""";Competição oficial de documentários;Cao Guimarães;Cinco em Ponto;MG;Longa;B1402211500000;;x;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""À Beira do Caminho""";Latinoamerica em Perspectiva - A Sala Llena;Breno Silveira;Conspiração Filmes;RJ;Longa;B1201605900000;;x;
2013;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""O Uivo da Gaita""";Spectrum;Bruno Safadi;Daza Filmes;RJ;Longa;B1301871900000;;x;
2013;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""O Rio nos Pertence""";Spectrum;Ricardo Pretti;Daza Filmes;RJ;Longa;B1301872000000;;x;
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""O Rio nos Pertence""";Latinoamerica em Perspectiva - Vanguardia;Ricardo Pretti;Daza Filmes;RJ;Longa;B1301872000000;;x;
2013;Festival de Cinema de Cartagena;Colômbia;Março;"""Doméstica""";Competição oficial de documentários;Gabriel Mascaro;Desvia;PE;Longa;B1201686600000;X;x;
2013;IndieLisboa - Festival Internacional de Cinema Independente;Portugal;Abril;"""Doméstica""";Pulsar do Mundo;Gabriel Mascaro;Desvia;PE;Longa;B1201686600000;;;X
2013;Encontros de Cinema da América Latina de Toulouse;França;Março;"""O Que Se Move""";Competição Oficial;Caetano Gotardo;Dezenove Som e Imagens;SP;Longa;B1201636000000;;;X
2013;Festival Internacional de Cinema de Miami;Estados Unidos;Março;"""O Que Se Move""";Knight Ibero-American Competition;Caetano Gotardo;Dezenove Som e Imagens;SP;Longa;B1201636000000;;;X
2013;Festival Internacional de Cinema de Rotterdam;Holanda;Janeiro/Fevereiro;"""Avanti Popolo""";Bright Future;Michael Wahrmann;Dezenove Som e Imagens;SP;Longa;B1301880900000;;x;
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""O Menino e o Mundo""";Competição de Animação;Alê Abreu;Filme de Papel;SP;Longa;B1301989000000;;x;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Flores Raras""";Seção Oficial - Fora de Concurso;Bruno Barreto;Filmes do Equador;RJ;Longa;B1201696900000;X;x;
2013;Festival de Cinema de Bogotá;Colômbia;Outubro;"""Faroeste Caboclo""";Cine Competencia;René Sampaio;Fogo Cerrado Filmes/Gávea Filmes;RJ;Longa;B1301803100000;X;;
2013;Festival de Cinema Iberoamericano de Huelva;Espanha;Novembro;"""Faroeste Caboclo""";Competição de Longas-Metragens;René Sampaio;Fogo Cerrado Filmes/Gávea Filmes;RJ;Longa;B1301803100000;;;X
2013;Festival Internacional de Cinema de Toronto - TIFF;Canadá;Setembro;"""Faroeste Caboclo""";Contemporary World Cinema;René Sampaio;Fogo Cerrado Filmes/Gávea Filmes;RJ;Longa;B1301803100000;X;;X
2013;Mostra Internacional de Arte Cinematográfica de Veneza;Itália;Agosto/Setembro;"""Amazônia""";Hors Compétition;Marcos Schechtman;Globo Filmes;RJ;Longa;B0700760200000;;;X
2013;Festival Internacional de Documentários e Animação de Leipzig - DOK Leipzig;Alemanha;Outubro/Novembro;"""A Gente""";Young Cinema Competition;Aly Muritiba;Grafo Audiovisual;PR;Longa;B1402263600000;;;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Aprender a Ler pra Ensinar Meus Camaradas""";"""Latinoamerica em Perspectiva - Música, cámara, acción""";João Marques Guerra;Griot Filmes;BA;Longa;B1402180000000;;x;
2013;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Hélio Oiticica""";Forum;Cesar Oiticica Filho;Guerrilha Filmes;RJ;Longa;B1402146400000;;;X
2013;Festival Internacional de Cinema do Uruguai;Uruguai;Março/Abril;"""Hélio Oiticica""";Competencia Largometrajes iberoamericanos;Cesar Oiticica Filho;Guerrilha Filmes;RJ;Longa;B1402146400000;;;X
2013;Festival de Cinema Mundial de Montreal;Canadá;Agosto;"""Cidade Cinza""";Documentaries of the World;Guilherme Valiengo/Marcelo Mesquita;Guilherme Valiengo/Marcelo Mesquita/Peppe Siffredi/Raphael Bottino; -;Longa;B1301984500000;;x;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Cidade Cinza""";Latinoamerica em Perspectiva - Arte y tradición;Guilherme Valiengo/Marcelo Mesquita;Guilherme Valiengo/Marcelo Mesquita/Peppe Siffredi/Raphael Bottino; -;Longa;B1301984500000;;x;
2013;Donostia - Festival de San Sebastian;Espanha;Setembro;"""O Lobo atrás da porta""";Horizontes Latinos;Fernando Coimbra;Gullane;SP;Longa;B1301926100000;;;X
2013;Festival Internacional de Cinema de Toronto - TIFF;Canadá;Setembro;"""O Lobo atrás da porta""";Contemporary World Cinema;Fernando Coimbra;Gullane;SP;Longa;B1301926100000;;X;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""O Lobo atrás da porta""";Competição Ópera Prima;Fernando Coimbra;Gullane;SP;Longa;B1301926100000;;x;X
2013;Festival Internacional de Cinema de Toronto - TIFF;Canadá;Setembro;"""Amazônia Planeta Verde""";TIFF Kids;Thierry Ragobert;Gullane;SP;Longa;B1402080700000;;;X
2013;Festival Internacional de Cinema Latino de Los Angeles;Estados Unidos;Outubro;"""Meu País""";Seções Competitivas;André Ristum;Gullane/Sombumbo Filmes;SP;Longa;B1101490400000;X;x;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Sinais De Cinza: A Peleja De Olney Contra O Dragão Da Maldade""";Latinoamerica em Perspectiva - Cinemateca Latinoamericana;Henrique Dantas;Hamaca Filmes/Henrique Gilberto Mendes Dantas;BA;Longa;B1402740400000;;x;
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""SIMULACRUM PRAECIPITII - a visão do abismo""";Latinoamerica em Perspectiva - Ciudades y otros paisajes;Humberto Bassanelli Jr.;ID AV Identidade Audiovisual;SP;Longa;B1301774900000;;x;
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""A Arte do Renascimento""";Latinoamerica em Perspectiva - Cinemateca Latinoamericana;Noilton Nunes;Imagine Filmes;RJ;Longa;B1301962400000;;x;
2013;Encontros de Cinema da América Latina de Toulouse;França;Março;"""Ouvir o Rio: Uma Escultura Sonora de Cildo Meireles""";Competição de Documentários;Marcela Lordy;Instituto Itaú Cultural;SP;Longa;B1301727300000;;;X
2013;Festival de Cinema de Bogotá;Colômbia;Outubro/Novembro;"""Ouvir o Rio: Uma Escultura Sonora de Cildo Meireles""";Competição Documental de Arte;Marcela Lordy;Instituto Itaú Cultural;SP;Longa;B1301727300000;;;X
2013;Festival Internacional do Novo Cinema Latino-americano (Festival de Havana);Cuba;Dezembro;"""Jards""";Competição de Documentários;Eryk Rocha;Instituto Itaú Cultural;SP;Longa;B1301989100000;;x;
