Programa de Apoio a Participação de Filmes Brasileiros em Festivais Internacionais - 2010 a 2019;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ano do Apoio;Festival;País do Festival;Mês;Filme ;Mostra;Direção;Produtora Brasileira Majoritária *;UF;Metragem;CPB;"Confecção
cópia";"Envio
da cópia";"Apoio
Financeiro"
2010;Chicago Children - Festival de Cinema Infantil de Chicago;Estados Unidos;Outubro;"""Enciclopédia""";Seleção Oficial;Bruno Gularte Barreto;Okna Produções;RS;Curta;B0901049800000;X;X;X
2010;Festival Internacional de Filmes de Curta-metragem de Uppsala;Suécia;Outubro;"""Volto Logo""";International Competition;Eduardo Wannmacher;Okna Produções;RS;Curta;B1101361400000; ;X;
2010;Festival de Cinema de Locarno;Suíça;Agosto;"""Nem Marcha Nem Chouta""";Competição Leopards of Tomorrow;Helvécio Marins Jr.;Orobó Filmes;MG;Curta;B1101364900000;X;X;
2010;Festival Internacional de Cinema de Miami;Estados Unidos;Março;"""Nem Marcha Nem Chouta""";Shorts Competion;Helvécio Marins Jr.;Orobó Filmes;MG;Curta;B1101364900000;X;X;X
2010;Festival Internacional de Cinema de San Francisco;Estados Unidos;Abril/Maio;"""Enquanto Isso...""";Golden Gate Award Competition for Narrative Short;Daniel Landau;Outra Mídia;RS;Curta;B0600499300000;X;X;X
2010;Festival Internacional de Filmes de Curta-metragem de Oberhausen;Alemanha;Abril/Maio;"""Cinema""";International Competition;Luiz Rosemberg Filho;Palmares Produções e Jornalismo;RJ;Curta;B0600505500000; ; ;X
2010;Festival Internacional de Cinema de Berlim;Alemanha;Fevereiro;"""Avós""";Generation Kplus;Michael Wahrmann;Preta Portê Filmes;SP;Curta;B1001151600000;X; ;X
2010;Festival Internacional de Cinema de Vina del Mar (FICVIÑA);Chile;Novembro;"""Projeto Silêncio""";Competencia Internacional de Cortometrajes;Bruno Caticha;Raiz Produções;SP;Curta;B1001200500000;X;X;X
2010;Festival de Cinema de Locarno;Suíça;Agosto;"""Ensolarado""";Competição Leopards of Tomorrow;Ricardo Targino;Ricardo Targino Campos;RJ;Curta;B1201576500000;X;X;X
2010;Festival Internacional de Mar del Plata;Argentina;Novembro;"""Ensolarado""";Competição Latino-americana de Curtas-Metragens;Ricardo Targino;Ricardo Targino Campos;RJ;Curta;B1201576500000;X;X;X
