ano,territorio_tipo,territorio_nome,uf,regiao,origem_filme,publico,renda_brl_nominal,lugares_oferecidos,fonte_documento,confiabilidade,indicador,valor,unidade_original,mes,mes_nome
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,1769393.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,1769393.0,CRUZADO,11.0,NOVEMBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,8923481.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,8923481.0,CRUZADO,11.0,NOVEMBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,33968571.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,33968571.0,CRUZADO,11.0,NOVEMBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,803115.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,803115.0,CRUZADO,12.0,DEZEMBRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,2689144.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,2689144.0,CRUZADO,12.0,DEZEMBRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,11442795.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,11442795.0,CRUZADO,12.0,DEZEMBRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,36107454.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,36107454.0,CRUZADO,12.0,DEZEMBRO
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,8526341.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,8526341.0,CRUZADO,,
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,17277002.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,17277002.0,CRUZADO,,
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,72766568.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,72766568.0,CRUZADO,,
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,297986350.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,297986350.0,CRUZADO,,
1987,brasil,Brasil,,,nacionais_e_estrangeiros,,180903710.0,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,180903710.0,CRUZADO,,
1983,brasil,Brasil,,,nacionais_e_estrangeiros,,250540.89,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,250540.89,CRUZADO,1.0,JANEIRO
1984,brasil,Brasil,,,nacionais_e_estrangeiros,,162143.42,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,162143.42,CRUZADO,1.0,JANEIRO
1985,brasil,Brasil,,,nacionais_e_estrangeiros,,127022.94,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,127022.94,CRUZADO,1.0,JANEIRO
1986,brasil,Brasil,,,nacionais_e_estrangeiros,,195713.02,,arrecadacao-de-filmes-nacionais-e-estrangeiros-nas-capitais-no-interior-e-nos-municipios-embrafilme.pdf,oficial_compilado,renda_brl_nominal,195713.02,CRUZADO,1.0,JANEIRO
