TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""EL HOMBRE QUE CUIDA""";B1800115900000;14/03/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;85;;2017;;SALAS DE EXIBIÇÃO;SIM;TEMPERO FILMES LTDA;15.745.495/0001-55;MG;BELO HORIZONTE
"""OFERTÓRIO"" CAETANO, MORENO, ZECA, TOM VELOSO";B1800127400000;21/03/2018;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;102,8;;2018;;OUTROS MERCADOS;NÃO;UNS E OUTROS PRODUCOES E FILMES LTDA;04.595.226/0001-33;RJ;RIO DE JANEIRO
#MECHAMADEBRUNA - 3ª TEMPORADA;B1800489100000;16/10/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;480;8;2018;2018;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TV ZERO CINEMA LTDA;03.360.320/0001-40;RJ;RIO DE JANEIRO
#MECHAMADEBRUNA - TELEFILME;B1800072200000;15/02/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;90;;2018;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TV ZERO CINEMA LTDA;03.360.320/0001-40;RJ;RIO DE JANEIRO
#NUDES;B1800244200000;30/05/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;104,3;;2018;;SALAS DE EXIBIÇÃO;NÃO;LINCE ART EXPERIENCE LTDA;13.565.238/0001-06;GO;ALTO PARAISO DE GOIAS
#UBERXTÁXIS;B1800354400000;03/08/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;109,4;;2017;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;MAURICIO ALVES DA COSTA;PESSOA FÍSICA;;
(DES)ENCONTROS - 2A TEMPORADA;B1800301000000;04/07/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;223,3;8;2018;2018;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CHOCOLATE FILMES LTDA;11.503.567/0001-05;SP;SAO PAULO
(IN)CONFIDÊNCIAS;B1800202400000;07/05/2018;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;78;6;2017;2017;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;UNIVERSIDADE FEDERAL DE OURO PRETO;23.070.659/0001-10;MG;OURO PRETO
+ PRÓXIMO;B1800453700000;25/09/2018;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;88,6;;2018;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;OQUELATÁ QUELATEJE PRODUÇÕES ARTÍSTICAS LTDA.;04.455.849/0001-00;PR;CURITIBA
+ SAÚDE;B1800251300000;05/06/2018;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;600;20;2018;2018;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TRADE MARKETING DIGITAL E COMUNICAÇÃO LTDA;24.322.005/0001-07;SP;BARUERI
02 DE JULHO, O ANO QUE CHEGUEI;B1800575300000;10/12/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;73,3;;2018;;SALAS DE EXIBIÇÃO;NÃO;STUDIO CINE-VIDEO LTDA;11.167.701/0001-36;BA;SALVADOR
1 BRASILEIRO;B1800053900000;30/01/2018;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,8;;2017;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CHRISTIANO LIMA MACHADO;PESSOA FÍSICA;RJ;TERESOPOLIS
1 PA PA PA;B1800045600000;24/01/2018;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2017;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CALIFORNIA FILMES E PUBLICIDADE LTDA - ME;19.437.976/0001-54;BA;SALVADOR
10 ANOS DE TRIUNFO;B1800225500000;22/05/2018;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;137,9;;2017;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LABORATORIO FANTASMA PRODUÇÕES EIRELI - ME;12.823.922/0001-88;SP;SAO PAULO
10 SEGUNDOS PARA VENCER;B1800380700000;17/08/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;121,8;;2018;;SALAS DE EXIBIÇÃO;NÃO;TAMBELLINI FILMES E PRODUÇÕES AUDIOVISUAIS LTDA;29.269.719/0001-04;RJ;RIO DE JANEIRO
10 SEGUNDOS PARA VENCER SÉRIE;B1800611900000;27/12/2018;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;135,2;4;2018;2018;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TAMBELLINI FILMES E PRODUÇÕES AUDIOVISUAIS LTDA;29.269.719/0001-04;RJ;RIO DE JANEIRO
10 X 10;B1800324800000;13/07/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;520;20;2018;2018;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;OVO EM PE CRIACAO DE CONTEUDOS LTDA-ME;14.215.157/0001-49;SP;SAO PAULO
11 MIL ANOS DEPOIS;B1800500600000;22/10/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,5;;2018;;NENHUMA DAS OPÇÕES;NÃO;PAULO MARTIN SOUTO MAIOR;PESSOA FÍSICA;PE;RECIFE
120 SEGUNDOS;B1800267400000;12/06/2018;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2018;;OUTROS MERCADOS;NÃO;RAFAEL DOS SANTOS CRUZ;PESSOA FÍSICA;RJ;RIO DE JANEIRO
13 ANDARES;B1800340000000;25/07/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;100,6;;2018;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;UNIVERSIDADE DE SÃO PAULO;63.025.530/0001-04;SP;SAO PAULO
13 CANÇÕES PARA ENTENDER O SAMBA;B1800416100000;06/09/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;338;13;2018;2018;VIDEO DOMÉSTICO;NÃO;NEOPLASTIQUE ENTRETENIMENTO LTDA;08.296.780/0001-70;SP;SAO PAULO
137;B1800314700000;10/07/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;26;1;2017;2017;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FLO PROJETOS LTDA;04.979.293/0001-51;GO;GOIANIA
14.831 - 44130 MEMÓRIAS DE QUASE UM SÉCULO DE CRIME E LOUCURA NO HEITOR CARRILHO;B1800447300000;21/09/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;35,7;;2016;;NENHUMA DAS OPÇÕES;NÃO;FRANCISCO RAMOS DE FARIAS;PESSOA FÍSICA;RJ;RIO DE JANEIRO
1798 REVOLTA DOS BÚZIOS;B1800307800000;05/07/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;72;;2018;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PORTFOLIUM LABORATÓRIO DE IMAGENS LTDA;63.190.623/0001-94;BA;SALVADOR
18 QUILATES;B1800444700000;20/09/2018;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2018;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;FIORAVANTI PRODUÇÕES DE FILMES LTDA;13.045.177/0001-56;DF;BRASILIA
1972;B1800464300000;02/10/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;9,9;;2016;;SALAS DE EXIBIÇÃO;NÃO;ASSOCIAÇÃO CULTURAL KINOFORUM;00.571.159/0001-66;SP;SAO PAULO
1987 - PROMETA;B1800535200000;08/11/2018;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,0;;2018;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;JESSICA CRISTINA ZARDI CAMACHO;PESSOA FÍSICA;SP;BEBEDOURO
200 MINUTOS (DE ALGO QUE NÃO SENTI);B1800153100000;09/04/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;82,1;;2016;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;AFEBRIL FILMES LTDA - ME;24.483.245/0001-85;PR;SAO JOSE DOS PINHAIS
22 SEGUNDOS;B1800186900000;27/04/2018;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,3;;2014;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;JOAO EDUARDO ALVES COSTA;PESSOA FÍSICA;SP;TABOAO DA SERRA
29º PRÊMIO DA MÚSICA BRASILEIRA - HOMENAGEM A LUIZ MELODIA;B1800515300000;30/10/2018;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;116,2;;2018;;VIDEO DOMÉSTICO;NÃO;GIONVA PRODUÇÃO E EVENTOS - EIRELI;05.100.097/0001-28;RJ;RIO DE JANEIRO
2DE1 - CASAL 72;B1800029000000;11/01/2018;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2017;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FELIPE AMADOR SOARES;PESSOA FÍSICA;SP;SANTOS
3 REFEIÇÕES;B1800497500000;19/10/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;52;;2018;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;IMAGEM NO AR PRODUÇÕES E EVENTOS EIRELI;21.927.758/0001-40;DF;BRASILIA
302 – 5ª TEMPORADA;B1800174300000;19/04/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;169;13;2018;2018;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CANAL BRAZIL S/A;02.608.224/0001-06;RJ;RIO DE JANEIRO
360 - KAFÉ;B1800213000000;14/05/2018;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,9;;2017;;SALAS DE EXIBIÇÃO;NÃO;CINNAMON COMUNICAÇÃO E AUDIO VISUAL LTDA;05.207.056/0001-35;SP;SAO PAULO
3EM3;B1800564500000;04/12/2018;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;1649,3;267;2016;2024;OUTROS MERCADOS;NÃO;3EM3 PRODUCOES AUDIOVISUAIS LTDA;31.362.816/0001-99;SP;SAO PAULO
3X+ESTILO;B1800457800000;27/09/2018;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;676;26;2018;2018;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CUBO FILMES PRODUÇÕES E EVENTOS LTDA - ME;01.541.247/0001-88;RS;PORTO ALEGRE
45 DIAS SEM VOCÊ;B1800586000000;11/12/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;96,0;;2018;;SALAS DE EXIBIÇÃO;NÃO;SUBSTÂNCIA FILMES LTDA;10.825.824/0001-54;SP;SAO PAULO
4XSK8 2ª TEMPORADA;B1800299000000;03/07/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;375;15;2017;2017;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);00.811.990/0001-48;RJ;RIO DE JANEIRO
5 PARA UM;B1800548500000;16/11/2018;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;64,0;;2018;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LUZ VERMELHA FILMES - PRODUTORA DE CINEMA E VÍDEO LTDA;09.152.063/0001-38;SP;SAO PAULO
500 ANOS - O BRASIL COLÔNIA NA TV;B1800356200000;07/08/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;104;8;2000;2000;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;02.196.013/0001-03;RJ;RIO DE JANEIRO
500 ANOS - O BRASIL IMPÉRIO NA TV;B1800356100000;07/08/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;104;8;2000;2000;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;02.196.013/0001-03;RJ;RIO DE JANEIRO
500 ANOS - O BRASIL REPÚBLICA NA TV;B1800356400000;07/08/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;104;8;2000;2000;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;02.196.013/0001-03;RJ;RIO DE JANEIRO
500 ANOS - UM NOVO MUNDO NA TV;B1800356300000;07/08/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;78;6;2000;2000;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ASSOCIACAO DE COMUNICACAO EDUCATIVA ROQUETTE PINTO;02.196.013/0001-03;RJ;RIO DE JANEIRO
502;B1800174200000;19/04/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;169;13;2018;2018;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CANAL BRAZIL S/A;02.608.224/0001-06;RJ;RIO DE JANEIRO
5X UPP;B1800594900000;13/12/2018;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;25,3;;2014;;OUTROS MERCADOS;NÃO;MULTIPHOCUS & CASANOVA ARTE & COMUNICACAO LTDA;14.892.714/0001-66;RJ;RIO DE JANEIRO
7 LINHAS;B1800360800000;08/08/2018;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,9;;2014;;SALAS DE EXIBIÇÃO;NÃO;BENZA DEUS FILMES LTDA;09.634.005/0001-40;GO;GOIANIA
