TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
""" DA INDEPENDÊNCIA AO STREAMING"" - A HISTÓRIA DAS MUSICISTAS NA MÚSICA BRASILEIRA";B2400366200000;16/09/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;33,0;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;GROOVE LAB PRODUÇÕES ARTÍSTICAS E MUSICAIS LTDA;31.294.308/0001-10;RJ;RIO DE JANEIRO
"""DESCOSTURANDO COM HERCHCOVITCH"" TEMPORADA 2";B2400134000000;04/04/2024;DEFERIDO;REALITY-SHOW;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;460;10;2024;2024;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MOOD HUNTER PRODUÇÕES LTDA;06.177.126/0001-12;SP;SAO PAULO
"""HOJE NÃO É MAIS"" ORIENTE FT. L7NNON";B2400487800000;28/11/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,2;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ORIENTE MAKTUB LTDA.;51.950.371/0001-75;RJ;RIO DE JANEIRO
"""O LADO B DA PANDEMIA – OS HERÓIS INVISÍVEIS""";B2400406000000;14/10/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;26,0;;2024;;VIDEO DOMÉSTICO;NÃO;WESLEY GUILHERME DE MORAES GARCIA;24.480.190/0001-50;SP;PROMISSAO
"""ORAÇÃO"" ORIENTE FT. ALEXANDRE CARLO";B2400487700000;28/11/2024;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,2;;2024;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ORIENTE MAKTUB LTDA.;51.950.371/0001-75;RJ;RIO DE JANEIRO
"""PITÁGORAS DE SAMOS""";B2400376300000;23/09/2024;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;89,0;;2024;;OUTROS MERCADOS;NÃO;ANDERSEN VIANA;PESSOA FÍSICA;MG;LAGOA SANTA
#NINFAS;B2400364600000;13/09/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,8;;2024;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;TECHNOSCOPE FILMES LTDA;12.911.377/0001-81;MG;UBERABA
#NOIR;B2400364500000;13/09/2024;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;13,6;;2024;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;TECHNOSCOPE FILMES LTDA;12.911.377/0001-81;MG;UBERABA
#TÁTUDOBEM?;B2400480000000;25/11/2024;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;7,3;;2024;;OUTROS MERCADOS;NÃO;RODRIGO CESAR VULCANO DOS SANTOS;34.389.878/0001-82;SP;ARARAQUARA
(IN)CONFIDENCIAS;B2400151600000;15/04/2024;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;104;8;2023;2023;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;UNIVERSIDADE FEDERAL DE OURO PRETO;23.070.659/0001-10;MG;OURO PRETO
