TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
10.000 RPM;B2600012200000;14/01/2026;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;720;24;2025;2025;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;NIRVANA TECNOLOGIA DIGITAL LTDA;24.815.120/0001-05;SP;SAO PAULO
126;B2600059200000;24/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;18,9;;2025;;SALAS DE EXIBIÇÃO;NÃO;ANA CAROLINA RESENDE LEITE;PESSOA FÍSICA;DF;BRASILIA
40º GRAUS;B2600030100000;03/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;65,5;;2025;;SALAS DE EXIBIÇÃO;NÃO;AQUARELLA CINE LTDA;43.419.148/0001-78;RJ;RIO DE JANEIRO
A ANTIFÁBULA DO PAPAI NOEL;B2600023600000;27/01/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;23,7;;2026;;NENHUMA DAS OPÇÕES;NÃO;39.402.196 NATALIA FERREIRA CARUSO;39.402.196/0001-86;RJ;RIO DE JANEIRO
A ARTE DE SER;B2600037400000;09/02/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;21,6;;2026;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;PEDRO AUGUSTO ALVES TEIXEIRA;PESSOA FÍSICA;RJ;BARRA DO PIRAI
A BAÍA QUE NOS CONECTA;B2600038600000;09/02/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;39,4;4;2025;2025;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;MASH UP AGENCIA DE PUBLICIDADE COMUNICACAO E EVENTOS LTDA;05.166.886/0001-61;RJ;RIO DE JANEIRO
A CONSPIRAÇÃO CONDOR;B2600061700000;26/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;113,5;;2026;;SALAS DE EXIBIÇÃO;NÃO;LEP LUGAR DE ENCONTROS E PRODUCOES LTDA;07.716.572/0001-10;SP;SAO PAULO
A DESLUMBRANTE VINGANÇA DE MARA E LADY;B2600010400000;13/01/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15,8;;2025;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;LUCCAS E QUINT PRODUCOES AUDIOVISUAIS LTDA;15.248.246/0001-54;SC;SAO JOSE
A FELICIDADE É UMA ARMA QUENTE;B2600011900000;14/01/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;60;4;2026;2026;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;FOGUEIRA DOCE FILMES PRODUCOES LTDA;37.486.556/0001-40;ES;VILA VELHA
A FLOR AZUL DO TIBETE;B2600022400000;26/01/2026;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,5;;2026;;SALAS DE EXIBIÇÃO;NÃO;PRISCILA ANDREONI RIBEIRO;PESSOA FÍSICA;SP;SAO PAULO
A FORÇA DO AGRO;B2600045600000;19/02/2026;DEFERIDO;JORNALÍSTICA;;COMUM;SERIADA DE DURAÇÃO INDETERMINADA;7950;265;2026;2026;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;EDITORA TIPUANA LTDA.;19.608.677/0001-35;SP;SAO PAULO
A LASCA;B2600013400000;15/01/2026;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15;;2026;;SALAS DE EXIBIÇÃO;NÃO;VALDETE SOUSA SILVA;PESSOA FÍSICA;RO;VILHENA
A LENDA DE ZAMU;B2600009300000;12/01/2026;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,5;;2026;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;INDEPENDENTE FILMES LTDA;48.660.793/0001-00;SP;SAO PAULO
A MENSAGEM POR ELAS;B2600015900000;19/01/2026;DEFERIDO;RELIGIOSA;;COMUM;SERIADA DE DURAÇÃO INDETERMINADA;1508;52;2026;2026;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TELEVISAO CACHOEIRA DO SUL LTDA;89.784.037/0001-61;RS;CACHOEIRA DO SUL
A METAMORFOSE;B2600009400000;12/01/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;78,3;;2026;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;UTOPIA FILMES LTDA;46.343.097/0001-36;ES;SERRA
A NOITE DE ALAIDE;B2600000100000;02/01/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;100,7;;2025;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TOCA FILMES LTDA;05.913.319/0001-21;BA;SALVADOR
A NOTÍCIA;B2600062100000;26/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,7;;2026;;OUTROS MERCADOS;NÃO;63.409.572 ANNA BEATRIZ CAVALCANTE DE ANDRADE;63.409.572/0001-49;CE;FORTALEZA
A RAIZ CANGULEIRA DO CORES DO NOSSO SAMBA - 10 ANOS;B2600028300000;31/01/2026;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;21,3;;2026;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;GREEN POINT ASSESSORIA LTDA;40.757.734/0001-34;RN;NATAL
A TRADUTORA;B2600034600000;05/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15,1;;2026;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;UNIVERSIDADE DE SÃO PAULO;63.025.530/0001-04;SP;SAO PAULO
A VERDADE NÃO EXISTE;B2600040300000;10/02/2026;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;132,5;;2026;;SALAS DE EXIBIÇÃO;NÃO;ADVERTAINMENT3 FILMES LTDA - EPP;02.955.512/0001-37;MS;CAMPO GRANDE
