TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""MEETING SÃO PAULO""";B1600473300000;20/07/2016;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;130;13;2015;2015;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;BDT PLANEJAMENTO E COMUNICAÇÃO LTDA;67.138.560/0001-88;SP;SAO PAULO
"""SEM DENTES"" BANGUELA RECORDS E A TURMA DE 94";B1600348200000;23/05/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;116;;2015;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TUDO CERTO CONTEUDO EDITORIAL LTDA - ME;13.303.759/0001-95;SP;JUNDIAI
"""SÃO PAULO NEGRA""";B1600473400000;20/07/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;90;5;2015;2015;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;BDT PLANEJAMENTO E COMUNICAÇÃO LTDA;67.138.560/0001-88;SP;SAO PAULO
#3DICAS;B1600146500000;07/03/2016;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;6,7;8;2015;2015;OUTROS MERCADOS;NÃO;MOARA ROCHA CARDIAL / +1!FILMES;18.942.689/0001-39;BA;LAURO DE FREITAS
#AOVIVO MAIS DE 100 MIL PESSOAS JÁ ESTÃO NA AVENIDA PAULISTA NO ATO QUE PEDE #FORATEMER E #DIRETASJÁ;B1600657700000;03/10/2016;DEFERIDO;JORNALÍSTICA;Registro de Eventos;COMUM;NÃO SERIADA;51,4;;2016;;NENHUMA DAS OPÇÕES;NÃO;PABLO SANTIAGO CAPILE MENDES;PESSOA FÍSICA;RJ;RIO DE JANEIRO
#EUFAÇOPORQUEAMO;B1600224200000;30/03/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,5;;2015;;SALAS DE EXIBIÇÃO;NÃO;SKYLAB FILMES LTDA ME;22.666.056/0001-12;RS;PORTO ALEGRE
#FALAPRAGENTE;B1600457500000;13/07/2016;DEFERIDO;JORNALÍSTICA;;COMUM;SERIADA EM TEMPORADA ÚNICA;60;1;2015;2015;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ISABELA LINO CHATORET;PESSOA FÍSICA;RJ;RIO DE JANEIRO
#IGUALDADE;B1600017600000;11/01/2016;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2015;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;CAVALCANTE & PEREIRA DE JESUS LTDA ME;18.686.995/0001-51;SP;SANTOS
#KIANMARTIN;B1600326000000;10/05/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;368;16;2016;2016;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PEDRA RISCADA ESTUDIO DE CRIACAO LTDA;16.611.936/0001-99;RJ;NITEROI
#MECHAMADEBRUNA;B1600534500000;23/08/2016;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;353,4;9;2016;2016;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TV ZERO CINEMA LTDA;03.360.320/0001-40;RJ;RIO DE JANEIRO
#VAMOQVAMO;B1600299700000;28/04/2016;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;77,8;;2016;;VIDEO DOMÉSTICO;NÃO;GLOBO COMUNICAÇÃO E PARTICIPAÇÕES S/A;27.865.757/0056-78;RJ;RIO DE JANEIRO
+1! NO INTERIOR;B1600151400000;09/03/2016;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;27,4;8;2013;2013;OUTROS MERCADOS;NÃO;MOARA ROCHA CARDIAL / +1!FILMES;18.942.689/0001-39;BA;LAURO DE FREITAS
+1!FILMES VS 10OCUPADOS;B1600223000000;30/03/2016;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;11,1;2;2014;2014;OUTROS MERCADOS;NÃO;MOARA ROCHA CARDIAL / +1!FILMES;18.942.689/0001-39;BA;LAURO DE FREITAS
.ONION;B1600492000000;01/08/2016;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15;;2015;;OUTROS MERCADOS;NÃO;CAROLINA BERNARDO FERNANDES VIEIRA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
1,20 NÃO!;B1600199600000;22/03/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14;;2005;;NENHUMA DAS OPÇÕES;NÃO;DENISE DA SILVA SANTOS ME;11.348.748/0001-04;BA;VITORIA DA CONQUISTA
10 ANOS DE CORRIDA DE AVENTURA;B1600067300000;03/02/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;25,3;;2015;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);00.811.990/0001-48;RJ;RIO DE JANEIRO
10 DIAS DE ORAÇÃO;B1600070700000;04/02/2016;DEFERIDO;RELIGIOSA;;COMUM;NÃO SERIADA;1;;2016;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;REDE NOVO TEMPO DE COMUNICACAO;01.385.423/0001-30;SP;JACAREI
100 SONHO;B1600061600000;29/01/2016;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;6,8;;2012;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;AGUAS DE MARCO FILMES LTDA ME;13.535.692/0001-14;BA;SALVADOR
1932: A MEDALHA ESQUECIDA;B1600703900000;25/10/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;57;;2016;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;BIZUM COMUNICAÇÃO LTDA;03.279.751/0001-87;RJ;RIO DE JANEIRO
1942 - O BRASIL E SUA GUERRA QUASE DESCONHECIDA;B1600119600000;26/02/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;75;;2015;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);00.811.990/0001-48;RJ;RIO DE JANEIRO
1942 - O BRASIL E SUA GUERRA QUASE DESCONHECIDA;B1600119500000;26/02/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;120;4;2015;2015;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);00.811.990/0001-48;RJ;RIO DE JANEIRO
1976 - O ANO DA INVASÃO CORINTHIANA;B1600603300000;13/09/2016;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;90;;2016;;SALAS DE EXIBIÇÃO;NÃO;CANAL AZUL PRODUÇÕES CULTURAIS LTDA;01.613.170/0001-04;SP;SAO PAULO
1992;B1600164100000;11/03/2016;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,3;;2016;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;THAIS PIMENTA BOSSI;PESSOA FÍSICA;SP;GUARUJA
200 GRAUS;B1600679000000;11/10/2016;DEFERIDO;REALITY-SHOW;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;390;13;2016;2016;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SIM;FILMES MAIS LTDA;03.435.290/0001-94;SP;SAO PAULO
2051 CHUVA DOS FRACOS;B1600397400000;16/06/2016;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;86,2;;2015;;SALAS DE EXIBIÇÃO;NÃO;EDILBERTO ROCHA MENEZES;PESSOA FÍSICA;CE;MARANGUAPE
220 VOLTS - 5ª TEMPORADA;B1600530600000;19/08/2016;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;234;9;2016;2016;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);00.811.990/0001-48;RJ;RIO DE JANEIRO
