TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
24 HORAS PARA REDECORAR – 3ª TEMPORADA;B2300290700000;19/07/2023;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;376,1;8;2023;2023;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CASA DE VÍDEO E CRIAÇÃO LTDA;63.053.185/0001-12;SP;SAO PAULO
2MENINAS;B2300267200000;04/07/2023;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;13,7;;2023;;SALAS DE EXIBIÇÃO;NÃO;INQUIETO CRIACAO DE CONTEUDO LTDA;26.461.622/0001-00;RJ;RIO DE JANEIRO
3% DELAS NO CINEMA;B2300023500000;23/01/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;75,7;;2023;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;WASHINGTON CARVALHO FILMS;21.446.395/0001-20;SP;SAO PAULO
30 DIAS (ACÚSTICO) - RAFA VALLE (FEAT BELL LINS);B2300265200000;02/07/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,0;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;RAFAEL ROSSI DO VALLE;PESSOA FÍSICA;DF;BRASILIA
37 PRIMAVERAS;B2300518000000;17/11/2023;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;47,6;;2023;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ANIMAL FILMES PRODUÇÕES ENTRETENIMENTOS LTDA ME;24.524.666/0001-07;RJ;RIO DE JANEIRO
38º;B2300203100000;25/05/2023;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;0,8;;2023;;OUTROS MERCADOS;NÃO;ARICA PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA ME;22.667.716/0001-80;SP;SAO PAULO
4 VERBOS;B2300524900000;22/11/2023;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,0;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;JOÃO LUIZ GIANONNI PRADO;PESSOA FÍSICA;SP;CAMPINAS
4.MIND;B2300226900000;14/06/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,2;;2023;;SALAS DE EXIBIÇÃO;NÃO;RUI CARLOS SANTOS DUTRA JUNIOR ***********;34.874.781/0001-65;SP;SAO JOSE DOS CAMPOS
4AMIGOS - TE APRESENTO MINHA AMIGA;B2300318500000;02/08/2023;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;69,7;;2023;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;4 AMIGOS PRODUCOES ARTISTICAS LTDA;31.679.238/0001-19;SP;GUARUJA
4K;B2300340400000;14/08/2023;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,9;;2023;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WAVES SOUND RECORD EDITORA E GRAVADORA LTDA;22.155.359/0001-70;RJ;RIO DE JANEIRO
