TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
""" IRAL """;B2500233900000;29/05/2025;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,6;;2024;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;DIOGO MARLON DE ANDRADE MONTEIRO;PESSOA FÍSICA;SP;COTIA
"""AION""";B2500083300000;27/02/2025;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,8;;2025;;OUTROS MERCADOS;NÃO;FLCM SILVA PRODUCOES;14.367.222/0001-51;RJ;RIO DE JANEIRO
"""NANOVÍDEO ANTROPOZOIDE""";B2500083100000;27/02/2025;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,6;;2025;;OUTROS MERCADOS;NÃO;FLCM SILVA PRODUCOES;14.367.222/0001-51;RJ;RIO DE JANEIRO
"""OPINIÃO"" (1964): POÉTICAS DA VOZ, POÉTICAS QUE DÃO VOZ";B2500094300000;10/03/2025;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,9;;2025;;OUTROS MERCADOS;NÃO;SYLVIA CRISTINA TOLEDO GOUVEIA;PESSOA FÍSICA;DF;BRASILIA
"""OS CALO""";B2500060700000;17/02/2025;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2025;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;FORRO CORE PRODUCOES LTDA;54.966.545/0001-86;RJ;RIO DE JANEIRO
#EOF MIXTAPE - EPISÓDIO 01: MATÉRIA DE HOJE;B2500397600000;20/09/2025;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA DE DURAÇÃO INDETERMINADA;14,2;1;2025;2025;OUTROS MERCADOS;NÃO;VIVA BRASIL;04.461.155/0001-86;RJ;RIO DE JANEIRO
#FALASÉRIO!;B2500287100000;08/07/2025;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;338;13;2025;2025;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;OFICINA DE CRIACAO DE FILMES LTDA;02.825.596/0001-94;MG;BELO HORIZONTE
#SALVEROSA;B2500337500000;13/08/2025;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;95,9;;2025;;SALAS DE EXIBIÇÃO;NÃO;PANORAMICA COMUNICACAO LTDA.;05.565.485/0001-84;RJ;RIO DE JANEIRO
(DES)CONTROLE;B2500365100000;28/08/2025;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;97,0;;2025;;SALAS DE EXIBIÇÃO;NÃO;MIGDAL PRODUÇÕES CINEMATOGRÁFICAS LTDA.;10.645.895/0001-75;RJ;RIO DE JANEIRO
(ERA) BOM DEMAIS;B2500156600000;10/04/2025;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,6;;2025;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;EDUARDO RANGEL DA SILVA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
