TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""NINFA""";B1201681000000;31/10/2012;DEFERIDO;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,2;;2012;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""SEM SE ENTREGAR""";B1201683400000;06/11/2012;DEFERIDO;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,0;;2012;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""TUDO QUE EU SINTO""";B1201599500000;21/05/2012;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;2,8;;2011;;INDEFINIDO;NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
#;B1201631800000;17/07/2012;DEFERIDO;ANIMAÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;8,8;;2011;;INDEFINIDO;NÃO;DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP;66.876.707/0001-74;SP;SAO PAULO
1 SUB ENTENDIDO;B1201635300000;19/07/2012;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;9,7;;2012;;INDEFINIDO;NÃO;MARIA TERESA PICCOLI;PESSOA FÍSICA;SC;FLORIANOPOLIS
1, 2 E...;B1201559200000;16/02/2012;DEFERIDO;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,1;;2006;;INDEFINIDO;NÃO;VIATV CINEMA LTDA;66.174.244/0001-07;SP;SAO PAULO
1, 2, 3 AGORA É SUA VEZ;B1201691400000;22/11/2012;DEFERIDO;VARIEDADES;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;642,5;52;2008;2008;INDEFINIDO;NÃO;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;61.914.891/0001-86;SP;SAO PAULO
100 LIMITES;B1201708000000;14/12/2012;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;84,7;7;2012;2012;INDEFINIDO;NÃO;LUIZ VICTOR DE SOUZA NEVES;PESSOA FÍSICA;RJ;NOVA FRIBURGO
13 DE MAIO;B1201606600000;31/05/2012;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;35,1;;2012;;INDEFINIDO;NÃO;TABOCA PRODUÇÕES ARTÍSTICAS LIMITADA;07.139.963/0001-10;RJ;TERESOPOLIS
180º;B1201623200000;03/07/2012;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5;;2011;;INDEFINIDO;NÃO;GATA CINE PRODUÇÕES LTDA;03.863.923/0001-65;SP;SAO PAULO
