TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""SÃO JOÃO VIVO""";B0600625300000;14/12/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;180;;2006;;INDEFINIDO;NÃO;WARNER MUSIC BRASIL LTDA.;42.470.112/0001-56;RJ;RIO DE JANEIRO
# 26;B0600566100000;07/08/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;3;1;2006;2006;INDEFINIDO;NÃO;ZEPPELIN PRODUÇÕES DE CINEMA E TELEVISÃO LTDA.;94.100.302/0001-85;RS;PORTO ALEGRE
(IN)UTENSÍLIOS B(U)Y HELIO LEITES;B0600607200000;08/11/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;15;;2006;;INDEFINIDO;NÃO;ZOOM ELEFANTE PRODUÇÃO CINEMATOGRÁFICA LTDA;06.768.153/0001-60;PR;CURITIBA
...ANTES. UMA VIAGEM PELA PRÉ-HISTÓRIA DO BRASIL;B0600587500000;22/09/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;30;;2001;;INDEFINIDO;NÃO;COMUNICAÇÃO ALTERNATIVA LTDA;31.399.272/0001-30;RJ;RIO DE JANEIRO
0 KM;B0600613400000;23/11/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;86;;2006;;INDEFINIDO;NÃO;SIGLA SISTEMA GLOBO DE GRAVAÇÕES AUDIOVISUAIS LTDA;28.114.122/0001-28;RJ;RIO DE JANEIRO
007 1/2 NO CARNAVAL;B0600533500000;23/06/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;102;1;1966;1966;INDEFINIDO;NÃO;COPACABANA FILMES LTDA;97.373.658/0001-80;RJ;RIO DE JANEIRO
10 CONTO;B0600552400000;18/07/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;13;1;2006;2006;INDEFINIDO;NÃO;RHASSAN BITTAR GONCALVES;PESSOA FÍSICA;SP;SAO PAULO
100% DP BRASIL - PRAZER EM DOBRO;B0600573900000;24/08/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;100;1;2006;2006;INDEFINIDO;NÃO;AMAZONAS FILMES LTDA.;62.017.553/0001-04;SP;ARUJA
1972;B0600599800000;19/10/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;104;;2006;;SALAS DE EXIBIÇÃO;NÃO;GNCTV - PRODUCOES DE CINEMA E TV LTDA;16.592.099/0001-06;RJ;RIO DE JANEIRO
1ª VEZ DE CAROL;B0600575300000;29/08/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;120;;2006;;INDEFINIDO;NÃO;FALLMS DISTRIBUIÇÃO DE FITAS LTDA;02.341.697/0001-90;SP;BARUERI
2 AMANTES PARA UMA DEVASSA COM AGATA;B0600590600000;29/09/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;140;;2006;;INDEFINIDO;NÃO;AMAZONAS FILMES LTDA.;62.017.553/0001-04;SP;ARUJA
2 HOMENS;B0600596000000;09/10/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;5;;2001;;INDEFINIDO;NÃO;HELVECIO NEVES MARINS JUNIOR;PESSOA FÍSICA;MG;BELO HORIZONTE
20 A 20;B0600498100000;19/04/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;8;1;2005;2005;INDEFINIDO;NÃO;GOMA FILMES LTDA;03.351.961/0001-39;SP;SAO PAULO
20 E POUCOS ANOS;B0600526200000;13/06/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;SERIADA;30;10;2000;2000;INDEFINIDO;NÃO;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;SP;SAO PAULO
2084;B0600617400000;29/11/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;1;;2006;;INDEFINIDO;NÃO;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;SP;SAO PAULO
220 VOLTS # 3;B0600558300000;31/07/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;110;1;2005;2005;INDEFINIDO;NÃO;ATLAS DISTRIBUIDORA DE FILMES LTDA - EPP;06.130.896/0001-00;SP;INDAIATUBA
2700KM;B0600494600000;07/04/2006;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;38;1;2001;2001;INDEFINIDO;NÃO;REFINARIA PRODUÇÕES LTDA.;05.436.489/0001-62;RJ;RIO DE JANEIRO
3 IRMÃOS DE SANGUE;B0600536500000;03/07/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;3;1;2005;2005;INDEFINIDO;NÃO;NO AR COMUNICAÇÃO LTDA;68.593.466/0001-81;RJ;RIO DE JANEIRO
4X4 TANGO;B0600497700000;19/04/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;51;1;2006;2006;INDEFINIDO;NÃO;CENA RIO COMUNICAÇÃO LTDA. ME;31.192.578/0001-10;RJ;RIO DE JANEIRO
5 NA MULTIDÃO;B0600485100000;24/03/2006;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;72;1;2003;2003;INDEFINIDO;NÃO;GIROS PRODUÇÕES LTDA (BAIXADA);02.403.567/0001-34;RJ;RIO DE JANEIRO
5678 QUE TAL MOLHAR O BISCOITO;B0600469100000;20/02/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;80;1;2003;2003;INDEFINIDO;NÃO;COAST EDITORA LTDA EPP;05.000.127/0001-24;SP;SAO PAULO
99% MORENA;B0600479400000;15/03/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;90;1;2005;2005;INDEFINIDO;NÃO;FALLMS DISTRIBUIÇÃO DE FITAS LTDA;02.341.697/0001-90;SP;BARUERI
A BATALHA DA ANCINAV;B0600547300000;11/07/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;54;1;2005;2005;INDEFINIDO;NÃO;IMAGINE ARTE CULTURA E PAZ LTDA;05.606.268/0001-95;RJ;RIO DE JANEIRO
A CASA DA FLORESTA;B0600625400000;14/12/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;24;;1992;;INDEFINIDO;NÃO;TAMBORO PRODUÇÕES AUDIOVISUAIS LTDA;08.471.931/0001-80;RJ;RIO DE JANEIRO
A DIARISTA MELHORES MOMENTOS DE 2006;B0600612800000;23/11/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA;475;17;2006;2006;INDEFINIDO;NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
A DOMICÍLIO;B0600601300000;23/10/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;11;;2006;;INDEFINIDO;NÃO;RAINER CINE LTDA;07.088.828/0001-92;RS;PORTO ALEGRE
A ERA DO PECADO;B0600627300000;18/12/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;95;;2003;;INDEFINIDO;NÃO;INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA;02.740.650/0001-07;SP;BARUERI
A ERVA BRUXA;B0600501400000;28/04/2006;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;13;1;1969;1969;INDEFINIDO;NÃO;THOMAZ J. FARKAS (BAIXADA);60.509.841/0001-50;SP;COTIA
A ESCADA;B0600531700000;21/06/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5;1;1996;1996;INDEFINIDO;NÃO;PHILIPPE BARCINSKI;PESSOA FÍSICA;SP;SAO PAULO
A FABULOSA AMAZÔNIA;B0600551600000;17/07/2006;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;10;1;1982;1982;INDEFINIDO;NÃO;COEVOS FILMES LTDA;27.527.464/0001-07;RJ;RIO DE JANEIRO
A FAMÍLIA;B0600540300000;06/07/2006;DEFERIDO;ANIMAÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;2;1;1989;1989;INDEFINIDO;NÃO;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;01.161.933/0001-23;SP;SAO PAULO
A FERRO E FOGO - TEMPO DE SOLIDÃO;B0600596300000;10/10/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;90;;2006;;INDEFINIDO;NÃO;TELEVISÃO GAÚCHA S/A;92.735.877/0001-49;RS;PORTO ALEGRE
A FESTA DE MARGARETTE;B0600500500000;25/04/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;80;1;2002;2002;INDEFINIDO;NÃO;RENATO FALCÃO;03.810.696/0001-00;RS;PORTO ALEGRE
A GIRAFA;B0600503600000;05/05/2006;DEFERIDO;ANIMAÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;2;1;2005;2005;INDEFINIDO;NÃO;ROCAMBOLE PRODUÇÕES AUDIOVISUAIS LTDA.;05.738.800/0001-28;SP;SAO CARLOS
A GRADE;B0600523900000;09/06/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;8;1;1997;1997;INDEFINIDO;NÃO;PHILIPPE BARCINSKI;PESSOA FÍSICA;SP;SAO PAULO
A GRANDE FAMÍLIA - O FILME;B0600628300000;20/12/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;89;;2006;;INDEFINIDO;NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
A GRANDE FEIRA;B0600467900000;15/02/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;94;1;1962;1962;INDEFINIDO;NÃO;REX SCHINDLER FILMES E SERVIÇOS LTDA - ME;01.383.734/0001-60;BA;SALVADOR
A HISTÓRIA DA ETERNIDADE;B0600548700000;13/07/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;10;1;2003;2003;INDEFINIDO;NÃO;SET PRODUÇÕES AUDIOVISUAIS E COMUNICAÇÃO EIRELI;02.763.518/0001-02;PE;RECIFE
A HOMENAGEM;B0600488600000;28/03/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;13;1;2005;2005;INDEFINIDO;NÃO;BOSSA PRODUÇÕES LTDA;04.876.666/0001-69;RJ;RIO DE JANEIRO
A ILHA;B0600524100000;09/06/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;4;1;2006;2006;INDEFINIDO;NÃO;VR BENEFICIOS E SERVICOS DE PROCESSAMENTO S.A;02.535.864/0001-33;SP;BARUERI
A LEI E A VIDA;B0600561600000;03/08/2006;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;35;1;1992;1992;INDEFINIDO;NÃO;CECIP - CENTRO DE CRIAÇÃO DE IMAGEM POPULAR;29.260.676/0001-04;RJ;RIO DE JANEIRO
A MURALHA;B0400174900000;30/03/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;810;1;2000;2000;INDEFINIDO;NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
A PESSOA É PARA O QUE NASCE - CURTA;B0600573000000;24/08/2006;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;6;1;1999;1999;INDEFINIDO;NÃO;TV ZERO PRODUÇÕES AUDIOVISUAIS LTDA;31.337.942/0001-93;RJ;RIO DE JANEIRO
A PRAIA;B0600540200000;06/07/2006;DEFERIDO;ANIMAÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;1;1;1990;1990;INDEFINIDO;NÃO;PG - PRODUÇÕES DE CINEMA VÍDEO E TV LTDA;01.161.933/0001-23;SP;SAO PAULO
A PRIMEIRA VEZ DE RITA CADILLAC;B0600553600000;21/07/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;90;1;2006;2006;INDEFINIDO;NÃO;FALLMS DISTRIBUIÇÃO DE FITAS LTDA;02.341.697/0001-90;SP;BARUERI
A RECEPCIONISTA;B0600628700000;21/12/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;31,1;;2006;;INDEFINIDO;NÃO;FANTASY COMERCIO E PRODUÇÕES CINEMATOGRÁFICAS LTDA ME;08.386.818/0001-04;RJ;RIO DE JANEIRO
A REPÚBLICA DAS CANETAS PERDIDAS;B0600489000000;29/03/2006;DEFERIDO;ANIMAÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;12;1;2005;2005;INDEFINIDO;NÃO;INTERNACIONAL - PRODUÇÕES DE CINEMA E VÍDEO LTDA;04.964.663/0001-87;RJ;RIO DE JANEIRO
A REVISTA;B0600563000000;03/08/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;4;1;1995;1995;INDEFINIDO;NÃO;DIAMANTE FILMES - PRODUÇÕES CINEMATOGRÁFICAS E AUDIOVISUAIS DO BRASIL LTDA;05.772.658/0001-35;PR;MARINGA
A SEITA;B0600527600000;19/06/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;180;1;2006;2006;INDEFINIDO;NÃO;ATLAS DISTRIBUIDORA DE FILMES LTDA - EPP;06.130.896/0001-00;SP;INDAIATUBA
A VIDA É PRA VIVER;B0600561700000;03/08/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;25;1;1997;1997;INDEFINIDO;NÃO;CECIP - CENTRO DE CRIAÇÃO DE IMAGEM POPULAR;29.260.676/0001-04;RJ;RIO DE JANEIRO
A VIRGEM # 2;B0600492000000;05/04/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;120;1;2005;2005;INDEFINIDO;NÃO;AMAZONAS FILMES LTDA.;62.017.553/0001-04;SP;ARUJA
A VIÚVA;B0600575400000;29/08/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;100;;2006;;INDEFINIDO;NÃO;AMAZONAS FILMES LTDA.;62.017.553/0001-04;SP;ARUJA
A VOLTA DE CRIS BEL;B0600481400000;15/03/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;120;1;2006;2006;INDEFINIDO;NÃO;FALLMS DISTRIBUIÇÃO DE FITAS LTDA;02.341.697/0001-90;SP;BARUERI
A ÚLTIMA LENDA;B0600535200000;28/06/2006;DEFERIDO;ANIMAÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;11;1;2006;2006;INDEFINIDO;NÃO;ALEXANDRE DOS SANTOS BERSOT;PESSOA FÍSICA;RJ;NITEROI
A.M.A CEARÁ;B0600469300000;20/02/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;15;1;2000;2000;INDEFINIDO;NÃO;PEDRO MARTINS RODRIGUES;PESSOA FÍSICA;RJ;MARICA
ABC DA GREVE;B0600523200000;05/06/2006;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;75;1;1979;1979;INDEFINIDO;NÃO;MARIA LAFAYETTE AURELIANO HIRSZMAN;PESSOA FÍSICA;SP;SAO PAULO
ABISMO;B0600452600000;11/01/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;21;1;2005;2005;INDEFINIDO;NÃO;MARCELO GIL IKEDA;PESSOA FÍSICA;CE;FORTALEZA
ABISMO DA ALMA;B0600597800000;11/10/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;13;;2006;;INDEFINIDO;NÃO;ANDRE SCUCATO;PESSOA FÍSICA;RJ;RIO DE JANEIRO
ABOIO;B0600514100000;23/05/2006;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;73;1;2005;2005;SALAS DE EXIBIÇÃO;NÃO;ANAVILHANA FILMES LTDA - ME;07.525.577/0001-66;MG;BELO HORIZONTE
ABOLIÇÃO;B0600485500000;24/03/2006;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;153;1;1988;1988;INDEFINIDO;NÃO;JORGE DA SILVA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
ABRINDO O PRÓPRIO NEGÓCIO;B0600612400000;23/11/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;90;;2006;;INDEFINIDO;NÃO;VAN BLAD COMUNICAÇÃO E ENTRETENIMENTO LTDA.;04.604.233/0001-54;SP;SAO PAULO
ABRY;B0600613800000;24/11/2006;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;30;;2003;;INDEFINIDO;NÃO;PALOMA ROCHA PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICA LTDA;05.752.246/0001-33;DF;BRASILIA
ACENDA O FAROL;B0600454500000;17/01/2006;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;5;1;2005;2005;INDEFINIDO;NÃO;VR BENEFICIOS E SERVICOS DE PROCESSAMENTO S.A;02.535.864/0001-33;SP;BARUERI
ACONTECEU NO CARNAVAL;B0600474400000;03/03/2006;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;110;1;2006;2006;INDEFINIDO;NÃO;ATLAS DISTRIBUIDORA DE FILMES LTDA - EPP;06.130.896/0001-00;SP;INDAIATUBA
ACOSSADO;B0600610500000;22/11/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;6;;1995;;INDEFINIDO;NÃO;INDUSTRIA IMAGINARIA LTDA;30.120.265/0001-94;RJ;RIO DE JANEIRO
ACREDITE, UM ESPÍRITO BAIXOU EM MIM;B0600459600000;24/01/2006;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;90;1;2005;2005;INDEFINIDO;NÃO;FAM PRODUÇÕES LTDA - ME - (BAIXADO);01.219.300/0001-29;MG;BELO HORIZONTE
ACÚSTICO MTV BANDAS GAÚCHAS;B0600615400000;24/11/2006;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;60;;2005;;INDEFINIDO;NÃO;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;SP;SAO PAULO
ACÚSTICO MTV BARÃO VERMELHO;B0600583600000;19/09/2006;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;26;;1992;;INDEFINIDO;NÃO;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;SP;SAO PAULO
ACÚSTICO MTV CIDADE NEGRA;B0600630300000;27/12/2006;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;60;;2002;;INDEFINIDO;NÃO;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;SP;SAO PAULO
ACÚSTICO MTV GAL COSTA;B0600630800000;27/12/2006;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;60;;2006;;INDEFINIDO;NÃO;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;SP;SAO PAULO
ACÚSTICO MTV LENINE;B0600582000000;12/09/2006;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;100;;2006;;INDEFINIDO;NÃO;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;SP;SAO PAULO
ACÚSTICO MTV LULU SANTOS;B0600630400000;27/12/2006;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;60;;2000;;INDEFINIDO;NÃO;ABRIL RADIODIFUSAO S.A.;03.555.171/0001-75;SP;SAO PAULO
