TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
!SLAMA - TIROTEIO;B1402830700000;18/12/2014;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,7;;2014;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;ARTHUR BENFICA SENRA;PESSOA FÍSICA;DF;BRASILIA
"""A VIDA NÃO BASTA""";B1402073000000;21/01/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;85;;2013;;INDEFINIDO;NÃO;VILA PRODUCOES AUDIOVISUAIS LTDA ME;11.968.533/0001-88;SP;SAO PAULO
"""ESSA SOU EU"" VIDEOCLIPE";B1402080600000;30/01/2014;DEFERIDO;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,8;;2014;;INDEFINIDO;NÃO;REAL FILMES & PRODUCOES LTDA;10.368.669/0001-94;SP;ITAPEVI
"""MALDITO ZÉ DO CAIXÃO""";B1402240600000;21/07/2014;DEFERIDO;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,7;;2014;;INDEFINIDO;NÃO;STUDIO CONTRA PRODUCOES LTDA -ME;19.406.672/0001-20;RJ;RIO DE JANEIRO
"""MAS HOJE NÃO É QUINTA-FEIRA""";B1402363800000;24/09/2014;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;62;;2014;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;EDISON DE FARIAS;PESSOA FÍSICA;SP;SAO PAULO
"""O AMOR NÃO MORRE""";B1402564600000;29/10/2014;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,7;;2014;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;LIBERTÀ FILMES LTDA (BAIXADA);09.109.643/0001-42;SP;SAO PAULO
"""VIDA QUE SEGUE...""";B1402191800000;28/05/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;46,4;;1991;;INDEFINIDO;NÃO;SELVA FILMES LTDA.;14.334.992/0001-06;RJ;RIO DE JANEIRO
# APAIXONADINHO;B1402206700000;13/06/2014;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;13,5;;2014;;INDEFINIDO;NÃO;ALEXANDRE VINICIUS ESTEVANATO;PESSOA FÍSICA;SP;SAO JOSE DO RIO PRETO
#PROJETOEMPREENDER;B1402260300000;11/08/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;780;26;2014;2014;INDEFINIDO;NÃO;FUNDAÇÃO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
#PROJETOEMPREENDER INTERPROGRAMAS;B1402249300000;31/07/2014;DEFERIDO;VARIEDADES;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA;26;26;2014;2014;INDEFINIDO;NÃO;FUNDAÇÃO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
+ BRASILEIROS - 2ª TEMPORADA;B1402389700000;30/09/2014;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;338;13;2014;2014;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PUBLYTIME COMUNICAÇÃO LTDA;27.052.323/0001-85;RJ;RIO DE JANEIRO
+DIREITOS +HUMANOS;B1402386400000;29/09/2014;DEFERIDO;PROGRAMA DE AUDITÓRIO ANCORADO POR APRESENTADOR;NÃO INFORMADO;COMUM;SERIADA DE DURAÇÃO INDETERMINADA;715;13;2014;2014;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;09.168.704/0001-42;DF;BRASILIA
...EU SOU MUITO BOM... E MUITO RUIM;B1402739500000;27/11/2014;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;13,3;;2013;;NENHUMA DAS OPÇÕES;NÃO;SUMA FILMES PRODUÇÕES CINEMATOGRÁFICAS LTDA.;09.230.926/0001-48;RJ;RIO DE JANEIRO
.ESPERA.;B1402591300000;03/11/2014;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2008;;NENHUMA DAS OPÇÕES;NÃO;TRÓPICO AUDIOVISUAL LTDA - ME;17.223.211/0001-96;PR;CURITIBA
0010111 DIGITAL;B1402228300000;09/07/2014;DEFERIDO;ANIMAÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;1;;2011;;INDEFINIDO;NÃO;LUCCA DEL CARLO;PESSOA FÍSICA;SP;SAO PAULO
1 REAL;B1402239900000;21/07/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;10,3;;2003;;INDEFINIDO;NÃO;R A 2 PRODUCOES CINEMATOGRAFICAS LTDA;14.790.107/0001-95;RJ;RIO DE JANEIRO
100 ANOS DE SAMBA;B1402069000000;13/01/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA;286;13;2013;2013;INDEFINIDO;NÃO;B2 PRODUÇÕES CINEMATOGRÁFICAS LTDA;02.993.488/0001-20;RJ;RIO DE JANEIRO
100 ANOS DE SELEÇÃO BRASILEIRA;B1402149500000;09/04/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA;220;5;2014;2014;INDEFINIDO;NÃO;CANAL AZUL CONSULTORIA AUDIOVISUAL LTDA;04.350.398/0001-47;SP;SAO PAULO
100 ANOS LUZ;B1402188700000;26/05/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;70;;2012;;INDEFINIDO;NÃO;INSTITUTO ARTECIDADANIA;08.310.056/0001-54;SP;SAO PAULO
100RAP;B1402151500000;10/04/2014;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,7;;2013;;INDEFINIDO;NÃO;PROCESSO MULTIARTES LTDA;05.930.707/0001-10;PR;CURITIBA
12 DE JUNHO DE 1993 ¿ O DIA PAIXÃO PALMEIRENSE;B1402089200000;10/02/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;93;;2013;;INDEFINIDO;NÃO;CANAL AZUL CONSULTORIA AUDIOVISUAL LTDA;04.350.398/0001-47;SP;SAO PAULO
1958 O ANO EM QUE O MUNDO DESCOBRIU O BRASIL;B1402106500000;24/02/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA;260;5;2010;2010;INDEFINIDO;NÃO;PALMARES PRODUÇÕES E JORNALISMO LTDA;35.792.621/0001-30;RJ;RIO DE JANEIRO
1962 O ANO DO SAQUE;B1402546100000;27/10/2014;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;45,5;;2014;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;RODRIGO DA SILVA DUTRA;PESSOA FÍSICA;RJ;DUQUE DE CAXIAS
1ª CONCLAT - CONFERÊNCIA NACIONAL DA CLASSE TRABALHADORA;B1402447000000;10/10/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;29;;1981;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TATU FILMES LTDA;47.095.641/0001-30;SP;SAO PAULO
1º RETIRO NACIONAL EVANGELIZAR É PRECISO - PADRE REGINALDO MANZOTTI;B1402068300000;10/01/2014;DEFERIDO;RELIGIOSA;NÃO INFORMADO;COMUM;NÃO SERIADA;3;;2013;;INDEFINIDO;NÃO;COMERCIAL E EDITORA EVANGELIZAR É PRECISO LTDA - ME;09.577.712/0001-42;PR;CURITIBA
2 BELAS CAIPIRAS;B1402227200000;08/07/2014;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;92,3;;2005;;INDEFINIDO;NÃO;R2 MUSIC GRAVAÇÕES E EVENTOS LTDA.;32.044.091/0001-53;RJ;RIO DE JANEIRO
20 ANOS, ORQUÍDEA;B1402243800000;24/07/2014;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,5;;2014;;INDEFINIDO;NÃO;PATRICIA LOBO FERRAZ DE ANDRADE;PESSOA FÍSICA;SP;SAO PAULO
20 CENTAVOS;B1402173500000;07/05/2014;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;53;;2014;;INDEFINIDO;NÃO;LENTE VIVA FILMES LTDA - EPP;05.572.253/0001-53;SP;SAO PAULO
20 DE NOVEMBRO;B1402127900000;18/03/2014;DEFERIDO;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,3;;2002;;INDEFINIDO;NÃO;MOSQUITO VIDEO E DESIGN LTDA;04.727.439/0001-71;MG;BELO HORIZONTE
2132 KM;B1402166400000;29/04/2014;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;20,4;;2014;;INDEFINIDO;NÃO;SOLO FILMES EIRELI ­ ME;14.151.128/0001-60;MG;BELO HORIZONTE
