TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""A DRAG A GOZAR""";B0800827000000;21/02/2008;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;5,0;;2007;;INDEFINIDO;NÃO;ARTE ANIMADA LTDA;61.652.830/0001-98;SP;SAO PAULO
"""A TRADIÇÃO DO BARÁ DO MERCADO - OS CAMINHOS INVISÍVEIS DO NEGRO EM PORTO ALEGRE.""";B0800827800000;25/02/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;55;;2007;;INDEFINIDO;NÃO;OCUSPOCUS PRODUÇÕES E IMAGENS LTDA.;05.340.606/0001-90;RS;PORTO ALEGRE
"""ASMQ UMA PARCERIA INOVADORA CONTRA A MALÁRIA""";B0800962200000;12/12/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;17,4;;2008;;INDEFINIDO;NÃO;2K CINEMA REPORTER LTDA;09.201.241/0001-73;SP;SAO PAULO
"""EMERGÊNCIA""";B0800942600000;10/11/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;15,2;;1994;;INDEFINIDO;NÃO;2K CINEMA REPORTER LTDA;09.201.241/0001-73;SP;SAO PAULO
"""JANELA DA FAVELA""";B0800818000000;18/01/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;3,9;;2008;;INDEFINIDO;NÃO;VSRM ARTES GRAFICAS LTDA;05.855.758/0001-25;RJ;RIO DE JANEIRO
"""POVO LINDO, POVO INTELIGENTE!"" - O SARAU DA COOPERIFA";B0800957900000;04/12/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;50;;2007;;INDEFINIDO;NÃO;DGT FILMES LTDA;03.021.799/0001-90;SP;SAO PAULO
"""SEU CUCA AO VIVO""";B0800909300000;28/08/2008;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;69;;2008;;INDEFINIDO;NÃO;TIBET FILME LTDA;02.660.748/0001-46;RJ;RIO DE JANEIRO
"""SONHOS CONTRÁRIOS""";B0800831800000;04/03/2008;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;5,0;;2008;;INDEFINIDO;NÃO;CARMELA CONTÉUDOS PRODUÇÕES LTDA;02.882.274/0001-87;SP;SAO PAULO
"""UM PROFESSOR BRASILEIRO NO IRAQUE""";B0800942800000;11/11/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;27,5;;2008;;INDEFINIDO;NÃO;2K CINEMA REPORTER LTDA;09.201.241/0001-73;SP;SAO PAULO
"""UMA ELEIÇÃO PARA INGLÊS VER""";B0800942300000;10/11/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;48;;2008;;INDEFINIDO;NÃO;2K CINEMA REPORTER LTDA;09.201.241/0001-73;SP;SAO PAULO
05:28;B0800924400000;29/09/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;5;;2007;;INDEFINIDO;NÃO;BARBARA JUSSARA DE AZEVEDO PINHEIRO;PESSOA FÍSICA;SP;SAO PAULO
1 METRO E MEIO DE BUNDA;B0800943700000;12/11/2008;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;100;;2006;;INDEFINIDO;NÃO;A.S. BRASIL DISTRIBUIDORA DE FILMES LTDA - EPP;06.938.292/0001-94;SP;POA
100 ANOS ESTA NOITE;B0800960300000;11/12/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;22;;2006;;INDEFINIDO;NÃO;IMÁGICA AUDIO VISUAL LTDA;04.291.410/0001-90;SP;ITATIBA
100% VADIA;B0800915700000;05/09/2008;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;90;;2006;;INDEFINIDO;NÃO;A.S. BRASIL DISTRIBUIDORA DE FILMES LTDA - EPP;06.938.292/0001-94;SP;POA
1000 ESPORTES;B0800816300000;11/01/2008;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;SERIADA;2580;43;1992;1992;INDEFINIDO;NÃO;ESTÚDIO J PRODUÇÃO DE ÁUDIO VISUAIS LTDA;27.691.666/0001-90;RJ;RIO DE JANEIRO
