TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
""" DO JEITO QUE EU FALO"" - 2009";B0901092600000;29/09/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;SERIADA;2,5;40;2009;2009;INDEFINIDO;NÃO;FUNDAÇÃO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
"""EVOLUÇÃO, A FESTA DA VIDA""";B0901116200000;18/11/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;SERIADA;312;6;2009;2009;INDEFINIDO;NÃO;VÍDEO CIÊNCIA PRODUÇÕES LTDA.;31.247.679/0001-41;RJ;RIO DE JANEIRO
"""MINAS PORTUGUESA""";B0901065200000;10/08/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;21;;2006;;INDEFINIDO;NÃO;BEMVINDAFILMES LTDA;08.835.874/0001-70;MG;BELO HORIZONTE
"""SOLO""";B0901120600000;01/12/2009;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;72;;2009;;INDEFINIDO;NÃO;SP FILMES DE SÃO PAULO LTDA;59.190.843/0001-40;SP;SAO PAULO
"""TANGO""";B0901074000000;21/08/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;35,7;;2009;;INDEFINIDO;NÃO;INTERNACIONAL - PRODUÇÕES DE CINEMA E VÍDEO LTDA;04.964.663/0001-87;RJ;RIO DE JANEIRO
(F);B0901007900000;16/04/2009;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;16,5;;2008;;INDEFINIDO;NÃO;FELIPE DALL ANESE CANGA;PESSOA FÍSICA;SP;SAO CAETANO DO SUL
1,2,3! ÊXTASE!;B0900987500000;18/02/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;5;;2009;;INDEFINIDO;NÃO;CORTEX DIGITAL LTDA;04.104.225/0001-49;RJ;RIO DE JANEIRO
10 ADVERTÊNCIAS E 01 BENÇÃO;B0901017100000;08/05/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;7,5;;2005;;INDEFINIDO;NÃO;KM70 CULTURA, ARTE E COMUNICAÇÃO LTDA;06.307.256/0001-22;SP;SAO PAULO
100 ANOS DE FREVO DO SERTÃO AO CAIS;B0900994700000;06/03/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;17,7;;2007;;INDEFINIDO;NÃO;ATELIE PRODUCOES LTDA;04.149.422/0001-84;PE;RECIFE
100 ANOS DE IMIGRAÇÃO JUDAICA NO RS;B0901008400000;20/04/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;43,4;;2004;;INDEFINIDO;NÃO;TURNING POINT PRODUCOES EIRELI;00.325.903/0001-42;RS;PORTO ALEGRE
100% DUPLA PENETRAÇÃO;B0901056100000;21/07/2009;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;120;;2005;;INDEFINIDO;NÃO;AMAZONAS FILMES LTDA.;62.017.553/0001-04;SP;ARUJA
13 MINUTOS;B0901088500000;18/09/2009;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;80;;2005;;INDEFINIDO;NÃO;BIG BONSAI BRASILIS PRODUÇÕES ARTÍSTICAS CULTURAIS E CINEMATOGRÁFICAS LTDA;06.323.379/0001-57;SP;SAO PAULO
16060 DEZESSEIS ZERO SESSENTA;B0900986300000;16/02/2009;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;85;;1998;;INDEFINIDO;NÃO;BROTHERS IN PICTURES PRODUÇÕES LTDA;00.166.244/0001-49;SP;SAO PAULO
1983.. O ANO AZUL;B0901024500000;29/05/2009;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;89,7;;2009;;INDEFINIDO;NÃO;INVÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;90.130.634/0001-51;RS;PORTO ALEGRE
1ª EXPERIÊNCIA BI;B0901076000000;27/08/2009;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;120;;2009;;INDEFINIDO;NÃO;FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA;06.987.687/0001-87;SP;SAO PAULO
1° FESTIVAL DE TEATRO DE RUA DE PORTO ALEGRE;B0901108400000;11/11/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;41,1;;2009;;INDEFINIDO;NÃO;FREDERICO AUGUSTO RUAS DOS SANTOS;PESSOA FÍSICA;RS;PORTO ALEGRE
20 ANOS SEM RAUL;B0901029000000;09/06/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;26;;2009;;INDEFINIDO;NÃO;MZA MÚSICA E PRODUÇÕES LTDA;32.162.919/0001-78;RJ;RIO DE JANEIRO
23 ANOS EM 7 SEGUNDOS: 1977 - O FIM DO JEJUM CORINTHIANO;B0901028800000;09/06/2009;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;84;;2009;;SALAS DE EXIBIÇÃO;NÃO;CANAL AZUL CONSULTORIA AUDIOVISUAL LTDA;04.350.398/0001-47;SP;SAO PAULO
27 JANELA;B0901005200000;07/04/2009;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15;;2008;;INDEFINIDO;NÃO;CHRISTIAN STAIGER SCHNEIDER;04.464.531/0001-96;RS;PORTO ALEGRE
2º MOVIMENTO DE ABERTURA DA SINFONIA PANAMÉRICA;B0901086700000;16/09/2009;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;17;;1988;;INDEFINIDO;NÃO;ARMAZÉM MÍDIA ARTES - EIRELI;07.221.126/0001-35;SP;SAO PAULO
3 HORAS COM A ESTRELA JÚLIA PAES;B0901021700000;15/05/2009;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;188;;2009;;INDEFINIDO;NÃO;FALLMS ENTRETENIMENTO DISTRIBUIDORA DE FILMES LTDA;06.987.687/0001-87;SP;SAO PAULO
3 PÉS ACIMA DA TERRA;B0900997600000;12/03/2009;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;6,5;;2005;;INDEFINIDO;NÃO;GERAÇÃO CONTEÚDO LTDA (BAIXADA);03.518.730/0001-77;SP;SAO PAULO
4 DESTINOS;B0900971600000;13/01/2009;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;96;4;2008;2008;INDEFINIDO;NÃO;RBS PARTICIPACOES S A;68.737.857/0001-22;RS;PORTO ALEGRE
