TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""AO VIVO QUANDO A TERRA ERA REDONDA""";B2100543200000;16/12/2021;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;146,1;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SUPERCOMBO PRODUÇÕES LTDA;33.935.010/0001-78;SP;SAO PAULO
#EAGORAOQUE;B2100243500000;14/06/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;70,4;;2021;;SALAS DE EXIBIÇÃO;NÃO;CONFEITARIA DE CINEMA COMUNICAÇÕES LTDA;58.496.571/0001-49;SP;SAO PAULO
#MOVIMENTOUBUNUTU;B2100268600000;28/06/2021;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;564,2;7;2021;2021;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;LABORATORIO FANTASMA PRODUÇÕES EIRELI - ME;12.823.922/0001-88;SP;SAO PAULO
#PROVOCA;B2100227100000;30/05/2021;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;2181,9;40;2021;2021;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;61.914.891/0001-86;SP;SAO PAULO
#SANEAMENTOÉBÁSICO | PRA ONDE VAI O SEU COCÔ?;B2100461800000;21/10/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,6;;2019;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;QUIPROCÓ FILMES LTDA;19.409.664/0001-37;RJ;RIO DE JANEIRO
(DES)CONEXA;B2100370000000;01/09/2021;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;10,2;;2021;;OUTROS MERCADOS;NÃO;JULIANE DOS SANTOS ROSA ***********;32.621.037/0001-23;PR;CURITIBA
(DES)CONGELAR;B2100282400000;08/07/2021;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,6;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;WILLIAM ESTEVES DE OLIVEIRA;PESSOA FÍSICA;SP;SANTOS
(DES)ENCONTRO;B2100373800000;02/09/2021;DEFERIDO;FICÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,9;;2021;;OUTROS MERCADOS;NÃO;JULIANE DOS SANTOS ROSA ***********;32.621.037/0001-23;PR;CURITIBA
(RE)COMEÇO;B2100094500000;04/03/2021;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;40,8;;2021;;OUTROS MERCADOS - VÍDEO POR DEMANDA;NÃO;ARON MATSCHULAT AGUIAR - ME;19.653.380/0001-91;SP;SAO PAULO
-10 A VIDA NÃO É UM JOGO;B2100423700000;01/10/2021;DEFERIDO;VARIEDADES;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;165;11;2018;2018;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;REDE NOVO TEMPO DE COMUNICACAO;01.385.423/0001-30;SP;JACAREI
1, 2, 3;B2100401700000;15/09/2021;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,4;;2021;;OUTROS MERCADOS;NÃO;ROBERTO TOSHIO DE SOUSA HIROYAMA;PESSOA FÍSICA;SP;SAO PAULO
10 ANOS DA POLÍTICA NACIONAL DE RESÍDUOS SÓLIDOS;B2100185400000;04/05/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;27,8;;2020;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SENADO FEDERAL;00.530.279/0001-15;DF;BRASILIA
10 LUAS;B2100145700000;08/04/2021;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;12,4;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;PAJE PRODUCOES CULTURAIS LTDA;08.988.410/0001-02;RJ;RIO DE JANEIRO
100 ANOS DE ELIZETH CARDOSO;B2100388000000;08/09/2021;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;60,0;;2020;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRACAO REGIONAL NO ESTADO DE SAO PAULO;03.667.884/0001-20;SP;SAO PAULO
100 MIL MOTIVOS ( ACÚSTICA);B2100382000000;06/09/2021;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,0;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;VITOR MOREIRA FABRICIO;PESSOA FÍSICA;RJ;ARARUAMA
100MEDOS;B2100422200000;30/09/2021;DEFERIDO;ANIMAÇÃO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;8;8;2021;2021;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;JULIO CESAR GONCALVES QUINAN;PESSOA FÍSICA;GO;ITUMBIARA
12 ESTAÇÕES;B2100401600000;15/09/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;74,1;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
1317;B2100019000000;15/01/2021;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,1;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;THALES ANTONIO APOLINARIO DA SILVA RAMOS;PESSOA FÍSICA;RJ;RIO DE JANEIRO
1325 QUILÔMETROS 227 DIAS;B2100193200000;11/05/2021;DEFERIDO;ANIMAÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,1;;2021;;SALAS DE EXIBIÇÃO;NÃO;VITOR TEIXEIRA DE OLIVEIRA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
1492;B2100077700000;25/02/2021;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;5,0;;2021;;NENHUMA DAS OPÇÕES;NÃO;MARTINA MATTAR BASILE DE DONNO;PESSOA FÍSICA;SP;SAO PAULO
15 ANOS APÓS O CENTENÁRIO/VAPOR DA PARAÍBA;B2100134800000;30/03/2021;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,2;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;BRUNO DE CASTRO SOUZA;PESSOA FÍSICA;RJ;RIO DE JANEIRO
1964: 40 ANOS DEPOIS;B2100215600000;21/05/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;180;;2008;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SENADO FEDERAL;00.530.279/0001-15;DF;BRASILIA
2 DE FEVEREIRO;B2100056300000;05/02/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;1,5;;2021;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);NÃO;TEM DENDÊ PRODUÇÕES LTDA;15.128.758/0001-87;BA;SALVADOR
2021: O ANO QUE NÃO COMEÇOU;B2100064900000;18/02/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;43,5;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ANGELICA PARTICIPACOES E PRODUCOES ARTISTICAS LTDA;65.693.681/0001-66;RJ;RIO DE JANEIRO
24HORAS PRA REDECORAR - 4ª TEMPORADA;B2100471800000;27/10/2021;DEFERIDO;VARIEDADES;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;192;8;2021;2021;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;CASA DE VÍDEO E CRIAÇÃO LTDA;63.053.185/0001-12;SP;SAO PAULO
25 ANOS SEM ASFALTO;B2100424600000;04/10/2021;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;15;;2021;;OUTROS MERCADOS;NÃO;FUÊ FILMES E PRODUÇÕES LTDA;33.224.374/0001-40;SP;SAO PAULO
2DE1 - EMERSÃO;B2100349300000;18/08/2021;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3,8;;2021;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;ASMANA FILM PRODUCTION LTDA;34.022.402/0001-09;SP;SAO PAULO
30 SEGUNDOS;B2100460300000;20/10/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;250;5;2021;2021;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;RADAR CINEMA E TELEVISÃO LTDA;02.947.857/0001-49;SP;COTIA
33421;B2100343000000;16/08/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;3;;2021;;OUTROS MERCADOS - AUDIOVISUAL EM CIRCUITO RESTRITO;NÃO;BRUNO MARTINS FELIPE GONCALVE - ME;33.523.400/0001-30;SP;SAO PAULO
4 POR 4;B2100548000000;21/12/2021;DEFERIDO;VÍDEOMUSICAL;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;2,7;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ENMERSON PAIXAO GOMES;PESSOA FÍSICA;MA;SAO LUIS
4 QUARTOS;B2100046300000;01/02/2021;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;87,2;;2021;;OUTROS MERCADOS;NÃO;ETHOS FILMES PRODUÇÃO CINEMATOGRÁFICA LTDA;07.564.691/0001-03;SP;PAULINIA
4,2 CALORIAS POR MINUTO;B2100233400000;04/06/2021;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;32,3;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;DIVERSITY COMUNICAÇÃO E PRODUÇÃO DE CONTEÚDO EIRELI;27.514.037/0001-94;SP;SAO PAULO
45 DO SEGUNDO TEMPO;B2100362100000;25/08/2021;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;107,7;;2021;;SALAS DE EXIBIÇÃO;NÃO;BOSSA NOVA FILMS CRIACOES E PRODUCOES S/A;07.477.471/0001-34;SP;SAO PAULO
4XSK8 3ª TEMPORADA;B2100161800000;22/04/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM MÚLTIPLAS TEMPORADAS;325;13;2019;2019;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
5 ESTRELAS;B2100012300000;11/01/2021;DEFERIDO;FICÇÃO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;14,6;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SINESTESIA PRODUÇAO CINEMATOGRAFICA LTDA;09.020.063/0001-84;SP;SAO PAULO
520;B2100426700000;05/10/2021;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;4,3;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;ALLAN PORCIÚNCULA PAULÃO;PESSOA FÍSICA;RJ;RIO DE JANEIRO
5G E O FUTURO DO BRASIL;B2100182900000;30/04/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;27;;2020;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;SENADO FEDERAL;00.530.279/0001-15;DF;BRASILIA
5º TEMPO CBP;B2100434300000;07/10/2021;DEFERIDO;MANIFESTAÇÕES E EVENTOS ESPORTIVOS;;COMUM;SERIADA DE DURAÇÃO INDETERMINADA;480;20;2021;2021;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;TUNNA ENTRETENIMENTO E AUDIOVISUAL LTDA;14.807.981/0001-98;RS;NOVO HAMBURGO
60 ANOS DO 1º ESQUADRÃO DE HELICÓPTEROS DE EMPREGO GERAL - NO AR, OS HOMENS DO MAR!;B2100335000000;10/08/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;24,6;;2021;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;DRUIDA FILMES LTDA;40.494.289/0001-67;RJ;CABO FRIO
7 CUMES - EVEREST;B2100315900000;28/07/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;SERIADA EM TEMPORADA ÚNICA;75;3;2021;2021;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
7 CUMES: ESPECIAL COTOPAXI;B2100061400000;11/02/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;25;;2020;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
7 LIÇÕES DO JAPÃO;B2100262300000;18/06/2021;DEFERIDO;DOCUMENTÁRIO;;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;12;;2018;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
