TITULO_ORIGINAL;CPB;DATA_EMISSAO_CPB;SITUACAO_OBRA;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO_OBRA;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;QUANTIDADE_EPISODIOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO_DESTINACAO_INICIAL;COPRODUCAO_INTERNACIONAL;REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""BOA SORTE/GOOD LUCK""";B0700706700000;20/06/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;3,9;;2007;;INDEFINIDO;NÃO;GUDI VAIBE PRODUÇÕES ARTÍSTICAS LTDA.;08.325.891/0001-68;RJ;RIO DE JANEIRO
"""EM COMUM"" - PGM 2";B0700781100000;16/10/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;55,0;;2007;;INDEFINIDO;NÃO;FUNDAÇÃO ROBERTO MARINHO;29.527.413/0001-00;RJ;RIO DE JANEIRO
"""G.A.B.I.""";B0700678000000;26/04/2007;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;4,6;;2007;;INDEFINIDO;NÃO;VÍDEO DIGITAL WORKS PRODUTORA LTDA.;04.777.861/0001-31;RS;SAO LEOPOLDO
"""HISTÓRIAS DO MAR""";B0700789400000;06/11/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;SERIADA;78;6;2006;2006;INDEFINIDO;NÃO;USYNA PRESS VÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;80.434.566/0001-60;SC;FLORIANOPOLIS
"""RETRATOS BRASILEIROS - SYLVIO BACK""";B0700773800000;02/10/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;26;;2006;;INDEFINIDO;NÃO;USYNA PRESS VÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;80.434.566/0001-60;SC;FLORIANOPOLIS
"""SALVE A LAGOA""";B0700789300000;06/11/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;13;;2005;;INDEFINIDO;NÃO;USYNA PRESS VÍDEO PRODUÇÕES CINEMATOGRÁFICAS LTDA.;80.434.566/0001-60;SC;FLORIANOPOLIS
"""VOCÊ ME FAZ TÃO BEM""";B0700637300000;19/01/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;3,7;;2006;;INDEFINIDO;NÃO;CECILIA MELO RODRIGUES;PESSOA FÍSICA;RJ;RIO DE JANEIRO
00FROTA;B0700811500000;19/12/2007;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;130;;2007;;INDEFINIDO;NÃO;AMAZONAS FILMES LTDA.;62.017.553/0001-04;SP;ARUJA
100 ANOS DE CARLOS DRUMMOND DE ANDRADE;B0700767400000;25/09/2007;DEFERIDO;DOCUMENTÁRIO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;18;;2002;;INDEFINIDO;NÃO;SETCOM - SET DE COMUNICAÇÃO LTDA;04.736.316/0001-05;SC;ITAJAI
100 MANEIRAS;B0700770800000;01/10/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;30;;2007;;INDEFINIDO;NÃO;CANAIS ABRIL DE TELEVISAO LTDA.;04.946.947/0001-40;SP;SAO PAULO
100%PEIXE;B0700664700000;28/03/2007;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;55;;2006;;INDEFINIDO;NÃO;SOM DE PEIXE PRODUÇÕES LTDA ME;05.878.886/0001-94;BA;SALVADOR
12 PRINCIPAIS MOTIVOS QUE LEVAM UM CASAMENTO AO FRACASSO;B0700672300000;13/04/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;55;;2003;;INDEFINIDO;NÃO;EDITORA CENTRAL GOSPEL LTDA;03.147.650/0001-52;RJ;RIO DE JANEIRO
14 BIS;B0700666900000;29/03/2007;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;24;;2006;;INDEFINIDO;NÃO;LATINAMERICA ENTRETENIMENTO LTDA;04.768.987/0001-40;SP;RIBEIRAO PRETO
14 BIS AO VIVO;B0700662400000;26/03/2007;DEFERIDO;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;110;;2007;;INDEFINIDO;NÃO;SONY MUSIC ENTERTAINMENT BRASIL LTDA;43.203.520/0001-04;RJ;RIO DE JANEIRO
15 ANOS CANTO DA CIDADE;B0700787600000;01/11/2007;DEFERIDO;VÍDEOMUSICAL;Registro de Eventos;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;72;;2007;;INDEFINIDO;NÃO;GLOBO COMUNICACAO E PARTICIPACOES S/A;27.865.757/0001-02;RJ;RIO DE JANEIRO
28 ANOS;B0700632900000;09/01/2007;DEFERIDO;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;NÃO SERIADA;1;;2004;;INDEFINIDO;NÃO;SETEMBRO PRODUÇÕES CULTURAIS LTDA - ME;07.718.924/0001-77;PR;CURITIBA
3 EFES;B0700778300000;11/10/2007;DEFERIDO;FICÇÃO;NÃO INFORMADO;BRASILEIRA INDEPENDENTE CONSTITUINTE DE ESPAÇO QUALIFICADO;NÃO SERIADA;97;;2007;;INDEFINIDO;NÃO;CASA DE CINEMA DE PORTO ALEGRE LTDA.;94.625.829/0001-23;RS;PORTO ALEGRE
4 MANEIRAS DE ENGANAR SEU MARIDO;B0700734300000;26/07/2007;DEFERIDO;FICÇÃO;Erótico/Pornográfica;COMUM;NÃO SERIADA;152;;2007;;INDEFINIDO;NÃO;AMAZONAS FILMES LTDA.;62.017.553/0001-04;SP;ARUJA
