TITULO_OBRA;TIPO_OBRA;PERIODO_PRODUCAO;EMPRESA_BRASILEIRA;UF;EMPRESA_ESTRANGEIRA;PAIS;NR_TECNICOS_ARTISTAS_ESTRANGEIROS;LOCAL_FILMAGEM_UF
FACEBOOK STORIES - THE SETREET POET;Publicitária;13/01/2014 a 20/01/2014;Southside Produções Ltda.;SP;Already Alive Ltd.;EUA;04;
JOHNY IN ORANGE;Documentário;12/02/2014 a 24/02/2014;Moises Zeferino ME;SP;Talpa Producties BV.;Holanda;05;
MIRACLE BODY - BRAZIL;Documentário;19/01/2014 a 05/02/2014;Xes Projetos Visuais Ltda;SP;NHK - Japan Broadcasting Co.;Japão;03;
"GALILEO (""GERMANY MEETS & THE ORANGE JUICE PRODUCTION OF BRAZIL)";Documentário;18/01/2014 a 26/01/2014;Aura Filme Produções Ltda;RJ;Maximus Film GmbH;Alemanha;02;
RISE AS ONE MATCH FOR PEACE;Documentário;23/01/2014 a 29/01/2014;Zona de Produção e Comunicação Ltda;BA;Tarras Productions;EUA;04;
RIO WC TITLES;Chamadas;22/01/2014 a 28/01/2014;Union Filmes Ltda;PR;ITV Sport;Reino Unido;04;
GAP YEAR;Documentário;14/02/2014 a 06/04/2014;Zona de Produção e Comunicação Ltda;BA;RK Productions;Austrália;09;
CLEAR LAURA;Publicitária;02/02/2014 a 06/02/2014;Conspiração Filmes Entretenimento 3º Milênio Ltda.;RJ;-;-;01;
WATERFRONT CITIES OF THE WORLD IV;Documentário;02/02/2014 a 02/04/2014;Embaúba Produções;RJ;DBC2 / Dbcom Media;Canadá;06;
VERIZON DOCU-SERIES;Publicitária;15/01/2014 a 15/02/2014;Zohar Cinema e Comunicação Ltda;RJ;RD Independent Productions LLC;EUA;04;
WE ARE ONE;Videoclipe;20/01/2014 a 05/02/2014;Conspiração Filmes S/A;RJ;Black Dog Films;EUA;02;
OFF THE GRID;Documentário;16/01/2014 a 16/03/2014;Francisco Ferreira Pinto Filho (Amazon Film Productions);AM;Amazon Tv Limited;Reino Unido;18;
TOT UND HARRY INTERNATIONAL;Documentário;25/01/2014 A 02/02/2014;Sol Entertainment Ltda;RJ;Sony Pictures Film und Fernseh Produktions GmbH;Alemanha;02;
HUMAN;Documentário;03/02/2014 A 21/02/2014;Bonfilm Produção e Distribuição Audiovisual Ltda;RJ;Humankind Production;França;02;
BIGGER THANK A BANK;Publicitária;20/01/2014 a 30/01/2014;Sweet Produções Ltda;SP;Finch Company;Austrália;03;
JAPONESES QUE VIVEM EM TERRAS DISTANTES;Documentário;06/02/2014 a 20/02/2014;Urutau Filmes Ltda;SP;Wave Inc. / Keisuke Sawachi;Japão;08;
QUEST: THE MOVIE - PARTE II;Documentário;25/02/2014 a 15/03/2014;Neon Rio Ltda;RJ;Quest Unlimited Ltd;Reino Unido;11;
SOCCER PLANET;Documentário;05/02/2014 a 21/02/2014;Urutau Filmes Ltda;SP;NHK - Enterprises Inc.;Japão;02;
VIDEO SAA;Documentário Institucional;11/02/2014 a 13/02/2014;Stadium Pa Áudio e Vídeo Ltda Epp;SP;Paul Anthony Childs Kroeker;Equador;02;
THE WORLD HERITAGE 4K PREMIUM EDITION;Documentário;05/02/2014 a 20/03/2014;Sango Productions Ltda;SP;TBS Vision Ltda;Japão;05;
ENGESSADO/ IS THIS LOVE;Publicitária;15/01/2014 a 21/01/2014;Zulu Filmes Ltda.;SP;-;-;02;
UHD TV;Publicitária;21/01/2014 a 21/02/2014;Zohar Cinema e Comunicação Ltda;RJ;Keystone Films;França;19;
PROGRAMA 60 MINUTES;Documentário;14/02/2014 a 28/02/2014;Neon Rio Ltda;RJ;Nine Network Australia;Austrália;04;
DER MAINZER STADTSCHREIBER;Documentário;14/02/2014 a 25/02/2014;Sol Entertainment Ltda;RJ;Zweites Deutsches Fernsehen;Alemanha;02;
DESERTO;Ficção;27/01/2014 a 08/03/2014;Bananeira Filmes Ltda;RJ;-;-;01;
PLANET UFO;Documentário;16/02/2014 a 4/03/2014;Brian M. Sewell Produções Cinematográficas;RJ;Pioneer Productions;Reino Unido;04;
FISHING ADVENTURER / MORDU DE LA PÊCHE;Documentário;16/02/2014 a 07/03/2014;Francisco Ferreira Pinto Filho (Amazon Film Productions);AM;Fishing Adventurer Productions 4 Inc.;Canadá;02;
LIFESAVER;Publicitária;06/02/2014 a 17/02/2014;Paranoid Brasil Ltda;SP;-;-;01;
EIN REISE MIT EINEM STUTTGARTER KABARETTISTEN, DER IN BRASILIEN GEBOREN IST;Documentário;16/02/2014 a 16/03/2014;Sol Entertainment Ltda;RJ;Südwestrundfunk;Alemanha;02;
WATIKINS GROUP;Documentário;07/03/2014 a 13/03/2014;Aura Filme Produções Ltda;RJ;BenchMark Incentives;Alemanha;02;
IBEROSTAR RESORTS;Publicitária;13/02/2014 a 24/02/2014;Davies & Luzzi Ltda/ME;SP;Cuba Film Productions;Canadá;02;
CAIPIRINHA SUNRISE;Ficção;14/02/2014 a 03/04/2014;Tambellini Filmes;RJ;Redrum S.A de C.V.;México;12;
SEKAI NIHONJIN TSUMA WA MITA - O MUNDO SEGUNDO AS JAPONESAS;Documentário;06/02/2014 a 09/03/2014;Xes Projetos Visuais Ltda;SP;IVS Television Corporation;Japão;7;
ING WK (THE PRODUCTION);Publicitária;11/02/2014 a 22/02/2014;CaradeCão Produções Ltda;RJ;Brenninkmeijer & Isaacs BV;Holanda;05;
FOOT & BRAIN - O BRASIL NA COPA 2014;Documentário;13/02/2014 a 25/02/2014;Xes Projetos Visuais Ltda;SP;Tv Tokyo Holdings Corporation;Japão;03;
NHK ESPECIAL - O FUTURO DA ENERGIA DOS PAÍSES EMERGENTES;Documentário;20/03/2014 a 09/04/2014;Xes Projetos Visuais Ltda;SP;NHK - Japan Broadcasting Corporation;Japão;03;
SEKAI ITTEMITARA HONTO HÁ KONNA TOKO DATTA!? - BRASIL PARTE I;Documentário;27/02/2014 a 20/03/2014;BDT Planejamento e Comunicação Ltda;SP;TvBox Inc.;Japão;05;
LIEVEN VAN BAELEN;Publicitária;15/02/2014 a 21/02/2014;Sol Entertainment Ltda;RJ;Lander Engels;Bélgica;02;
BITTE MELDE DICH;Documentário;21/02/2014 a 04/03/2014;Aura Filme Produções Ltda;RJ;Endemol Deutschland GmbH;Alemanha;06;
LILYHAMMER 3;Ficção;06/03/2014 a 19/03/2014;Goritizia Filmes Ltda;RJ;Rubicon Tv As;Noruega;22;
NZZ FORMAT;Documentário;03/03/2014 a 14/03/2014;Utopia Films Produção Artística Ltda;RJ;Neu Zurcher Zeiting;Suíça;02;
TRIP FLIP;Documentário;24/02/2014 a 01/03/2014;Brian M. Sewell Produções Cinematográficas;RJ;High Noon Productions LLC;EUA;;
THE WORLD FROM ABOVE - BRAZIL;Documentário;25/02/2014 a 08/03/2014;Mango Films Brasil Ltda;SP;Skyworks Ltd.;Reino Unido;;
CONVOCAÇÃO;Publicitária;16/02/2014 a 26/03/2014;Videographica Serviços e Participações Ltda.;SP;-;-;;
KANDIDAT - REMA 1000;Publicitária;22/02/2014 a 20/03/2014;Ocean Produção de Filmes Ltda;SC;Kandidat;Noruega;;
BMW SÃO PAULO;Publicitária;01/03/2014 a 30/03/2014;Ocean Produção de Filmes Ltda;SC;Radical Media;Alemanha;;
HOUSE HUNTERS SÃO PAULO;Documentário;04/03/2014 a 10/03/2014;Mango Films Brasil Ltda;SP;Leopard Films USA;EUA;;
TA BOM;Documentário;26/02/2014 a 16/03/2014;HK Brasil Produtora Midia & Eventos Ltda;SP;PAM Media Co., Ltd;Coréia do Sul;;
FRANK IN BRAZIL;Documentário;24/02/2014 a 05/04/2014;Neon Rio Ltda;RJ;Molinos De Papel Producciones;Espanha;;
AS SETE MARAVILHAS DO BRASIL;Documentário;23/02/2014 a 28/03/2014;Viva Filmes Ltda;RJ;Crescent Films;Reino Unido;;
COPA DO MUNDO 2014;Documentário;23/02/2014 a 01/08/2014;Sol Entertainment Ltda;RJ;Zweites Deutsches Fernsehen;Alemanha;;
MC DONALDS;Publicitária;05/03/2014 a 31/03/2014;Planeta Film Ltda;SP;Smuggler;EUA;;
SMS GERMANY - PRODUCTION PLANTS IN BRAZIL;Documentário;09/03/2014 a 02/04/2014;Aura Filme Produções Ltda;RJ;Bachhausen Visual Production GmbH & Co. KG;Alemanha;;
SEKAI ITTEMITARA HONTO HA KONNA TOKO DATTA!? - BRASIL PARTE II;Documentário;06/03/2014 a 17/03/2014;BDT Planejamento e Comunicação Ltda;SP;TvBox Inc.;Japão;;
",, DIE REIMANNS À KONNY'S WM CHECK""";Documentário;05/03/2014 a 16/03/2014;Sol Entertainment Ltda;RJ;Constantin Entertainment GmbH;Alemanha;;
TOUR DE BRASIL 2;Documentário;19/03/2014 a 03/04/2014;Sol Entertainment Ltda;RJ;Südwestrundfunk;Alemanha;;
CULTURA E FUTEBOL NO BRASIL;Documentário;06/03/2014 a 12/03/2014;Neon Rio Ltda;RJ;Manoto 1/ Marjan TV;Reino Unido;;
ADIDAS SAMBA TOUR;Documentário;22/02/2014 a 28/02/2014;Sol Entertainment Ltda;RJ;ARL HVH Films;França;;
GOL TRIP;Publicitária;14/03/2014 a 20/03/2014;JKR Produções Artísticas Ltda;RJ;Believe Media;EUA;;
TELEVISA WITH MONTSERRAT;Documentário;10/03/2014 a 30/03/2014;Nation & Nação Produções Artísticas Ltda. ME;SP;Televisa;México;;
SHELL INTERNATIONAL ;Documentário Institucional;27/02/2014 a 20/05/2014;Utopia Films Produção Artística Ltda;RJ;DSP Ltd.;Reino Unido;;
STRONGBOW;Publicitária;23/02/2014 a 28/02/2014;Mango Films Brasil Ltda;SP;Contented Digital Media;Reino Unido;;
LIEFDE OP Z'N ZUID AMERIKAANS;Documentário;10/03/2014 a 18/03/2014;L&P Produção de Filmes e Vídeo Ltda;BA;Beeman Productions;Nicarágua;;
SCIENCE MYSTERY;Documentário;28/02/2014 a 20/03/2014;Town Network Filmagens Ltda;SP;Oi Corporation Ltd.;Japão;;
THIS MORNING;Documentário;16/03/2014 a 24/03/2014;Utopia Films Produção Artística Ltda;RJ;ITV Studios Limited;Reino Unido;;
SUPERSPORT WORLD CUP;Publicitária;05/03/2014 a 09/03/2014;Utopia Films Produção Artística Ltda;RJ;Seven Films;África do Sul;;
GURUTO BRASIL 5500KM PELAS CIDADES PORTUÁRIAS BRASILEIRAS;Documentário;08/03/2014 a 06/05/2014;Xes Projetos Visuais Ltda;SP;Temjin Co. Ltd.;Japão;;
24 HOURS IN RIO;Publicitária;16/02/2014 a 05/03/2014;Ocean Produção de Filmes Ltda;SC;Blur Producciones S.L.;Espanha;;
NEWS PROGRAM FROM BRAZIL;Documentário;17/03/2014 a 06/04/2014;Sol Entertainment Ltda;RJ;Danish Broadcasting Corp. (DR);Dinamarca;;
HITACHI PV;Cobertura de Evento;09/03/2014 a 16/03/2014;WaSabi JB Comunicação Ltda;RJ;Max Contact Co. Ltd.;Japão;;
LEI DA SELVA;Reality Show;10/03/2014 a 27/03/2014;HK Brasil Produtora Midia & Eventos Ltda;SP;SBS - Seoul Broadcasting System;Coréia do Sul;;
VIAGEM GASTRONÔMICA;Documentário;13/03/2014 a 30/05/2014;Ioio Produções Cinematográficas Eireli;SP;-;-;;
BACK TO BEAUTIFUL;Documentário;10/03/2014 a 02/04/2014;Neon Rio Ltda;RJ;Gundog Media Limited.;Reino Unido;;
BRUXELLES-RIO EXPRESS;Documentário;25/03/2014 a 03/04/2014;Sol Entertainment Ltda;RJ;RTL-TVI;Bélgica;;
NOTÍCIA QUE SE ESPALHA;Publicitária;06/06/2014 a 09/06/2014;Matrec Produções Cinematográficas Ltda.;SP;-;-;;
BBC WORL CUP;Institucional;16/03/2014 a 23/03/2014;Mr. Pixel Filmes Ltda.;SP;Red Bee Media Limited;Reino Unido;;
SKY MOVIES RIO 2 TV;Documentário;16/03/2014 a 18/03/2014;AVIVA - Serviços de Produção Cinematográfica e Videofonográfica Ltda.;PA;Global Media Desk;EUA;;
MILK;Documentário;25/03/2014 a 23/04/2014;Sol Entertainment Ltda;RJ;2221607 Ontario Limited;Canadá;;
OS MISTÉRIOS DA AMAZÔNIA;Documentário;18/03/2014 a 20/04/2014;Urutau Filmes Ltda;SP;NHK - Nippon Hoso Kyokai;Japão;;
,, THE HUMAN TOUCH'' (WT);Documentário;31/03/2014 a 06/04/2014;Sol Entertainment Ltda;RJ;Filmpunkt GmbH;Alemanha;;
URBAN AMAZONE;Documentário;15/03/2014 a 25/03/2014;Jorge Felipe Henry;SP;Berenice Production;França;;
THE OTHER WORLD CUP;Documentário;23/03/2014 a 07/04/2014;Union Filmes Ltda;PR;Watershed TV;Reino Unido;;
MOBOROSHI NO SOKOKU BRASIL;Documentário;28/03/2014 a 25/05/2014;Town Network Filmagens Ltda;SP;Temjin TV Production;Japão;;
SAKARA IN BRAZIL: THE ORIGIN OF MMA;Documentário;20/03/2014 a 20/04/2014;Cinema Contágio Produção Audiovisual Ltda;RJ;Red Carpet Sport & Management;Itália;;
LUGARES VAZIOS;Publicitária;18/03/2014 a 18/04/2014;Paranoid Brasil Ltda;SP;-;-;;
MAYA JAMA'S WORLD CUP CITIES;Documentário;16/03/2014 a 14/04/2014;Big Bonsai Brasilis Ltda.;SP;Big Balls Films;Reino Unido;;
WORLD CUP BRAZIL;Publicitária;08/04/2014 a 20/04/2014;JKR Produções Artísticas Ltda;RJ;Caviar Amsterdan;Holanda;;
DUETO;Publicitária;02/04/2014 a 28/04/2014;Paranoid Brasil Ltda;SP;-;-;;
KUMON GLOBAL;Institucional;06/04/2014 a 13/04/2014;Master Cine Vídeo Ltda;SP;FIX Co., Ltd..;Japão;;
BAH;Publicitária;20/03/2014 a 10/04/2014;Ocean Produção de Filmes Ltda;SC;Filmagaus Wien Universa GmbH;Alemanha;;
N&A;Reality Show;11/05/2014 a 07/06/2014;Neon Rio Ltda;RJ;Battle Beat Productions;EUA;;
SAMSUNG SOCCER;Publicitária;16/04/2014 a 26/04/2014;Ricardo Gonçalves Produções Cinematográficas;SP;Vagabond Films;EUA;;
SEKAINO KAIDOU O YUKU;Documentário;30/03/2014 a 23/04/2014;Urutau Filmes Ltda;SP;Telecom Staff Inc.;Japão;;
SCHOOL LIKE NO OTHERS;Documentário;04/04/2014 a 09/04/2014;Utopia Films Produção Artística Ltda;RJ;Eureka Productions;Canadá;;
SISGRAPH;Institucional;27/03/2014 a 06/04/2014;Ricardo Gonçalves Produções Cinematográficas;SP;Cramer Productions Inc;EUA;;
ESPEDIÇÃO PELA SNS, PRIMEIRA PARTE: BRASIL;Reality Show;25/03/2014 a 09/04/2014;Aura Filme Produções Ltda;RJ;SBS;Coréia do Sul;;
",,HALLO DEUTSCHLAND - AUTNAH BRASILIEN""";Documentário;25/03/2014 a 10/04/2014;Aura Filme Produções Ltda;RJ;ZDF - Zweites Deutsches Fernsehen;Alemanha;;
BACH NO BRASIL;Ficção;30/03/2014 a 05/06/2014;Conspiração Filmes Entretenimento 3º Milênio Ltda.;RJ;Forseesense;Alemanha;;
TEMPLO DAS EMOÇÕES - O ESTÁGIO DO MARACANÃ NO RIO DE JANEIRO;Documentário;05/04/2014 a 05/07/2014;Tambke Filmes Ltda (Plural Filmes);RJ;Bildersturn Filmproduktion GmbH;Alemanha;;
ASAHI GLASS NOS ESTÁDIOS BRASILEIROS;Documentário;20/04/2014 a 15/07/2014;Town Network Filmagens Ltda;SP;NHK Global Media Services, Inc.;Japão;;
BEING GEORGE CLOONEY;Documentário;29/03/2014 a 11/04/2014;FSR Produções Artísticas Ltda;RJ;Gravitas Docufilms;EUA;;
BITTE MELDE DICH - EXTRAS;Documentário;01/04/2014 a 05/04/2014;Aura Filme Produções Ltda;RJ;Endemol Deutschalnd GmbH;Alemanha;;
ESTREITO DE BREVES;Documentário;02/04/2014 a 09/04/2014;Aura Filme Produções Ltda;RJ;Maximus Film GmbH;Alemanha;;
ONCE UPON A TIME IN ROCINHA;Documentário;01/04/2014 a 25/04/2014;Connection Filmes e Produções Artísticas Ltda;RJ;TVE;Reino Unido;;
BT SUPPORTERS CLUB FILMS;Documentário;26/03/2014 a 03/04/2014;Connection Filmes e Produções Artísticas Ltda;RJ;Here We Go Films;Reino Unido;;
FIGHT FOR LIFE;Documentário;14/04/2014 a  26/04/2014;Sol Entertainment Ltda;RJ;Danish Broadcasting Corp.;Dinamarca;;
CRISPY BRAND;Documentário;25/03/2014 a 20/04/2014;Connection Filmes e Produções Artísticas Ltda;RJ;Swerve Entertainment;Emirados Árabes;;
HAMBURG SÜD FILME IMAGEM;Documentário;18/04/2014 a 25/04/2014;Sol Entertainment Ltda;RJ;Hamburg Suedamerikanische Dampfschiffahrts-Gesellschaft;Alemanha;;
LH-MAGAZIN/BRASILIEN;Documentário;02/04/2014 a 12/04/2014;Sol Entertainment Ltda;RJ;G+J Corporate Editors GmbH;Alemanha;;
BUREAU SPORT;Programa de Entrevistas;17/04/2014 a 28/04/2014;Brian M. Sewell Produções Cinematográficas;RJ;The Media Brothers;Holanda;;
DIVÃ 2;Ficção;28/03/2014 a 15/05/2014;Total Entertainment Ltda;RJ;Aleph Media AS;Argentina;;
BRASIL X JAPÃO EM DRIBLES E EMBAIXADINHAS;Documentário;12/04/2014 a 24/04/2014;Alfixit Produções Culturais e Artísticas Ltda;SP;TYO Productions;Japão;;
DON'T DRIVE HERE - 2ª TEMPORADA;Documentário;02/05/2014 a 14/05/2014;Leonardo Henrique Pereira Branco;SP;CC II Productions Inc.;Canadá;;
LIFESTYLE;Banco de Imagens;13/04/2014 a 04/05/2014;Sol Entertainment Ltda;RJ;Funnelbox Production Studios;EUA;;
WHAT IS EXPERIAN;Institucional;06/04/2014 a 10/04/2014;Revival Company Ltda;SP;Viewfinder UK;Reino Unido;;
GO BRAZIL GOAL;Documentário;15/04/2014 a 20/07/2014;Town Network Filmagens Ltda;SP;Beijing Zgengnneng Culture Development Company Lts.;China;;
FIAT MONDIALI;Publicitária;20/03/2014 a 11/04/2014;Zohar Cinema e Comunicação Ltda;RJ;Mercurio Cinematográfica;Itália;;
LIFE IN BRAZIL;Documentário;04/04/2014 a 23/04/2014;Sol Entertainment Ltda;RJ;SRF Swiss National TV;Suíça;;
BEGEGNUNG MIT BRASILIEN;Documentário;20/04/2014 a 06/05/2014;Sol Entertainment Ltda;RJ;Beckground Tv GbmH;Alemanha;;
MODELAGENTURCHEFIN LOUISA;Documentário;14/04/2014 a 18/04/2014;Aura Filme Produções Ltda;RJ;InfoNetwork;Alemanha;;
SEKAI HOT JOURNAL;Programa de Notícias;18/04/2014 a 07/05/2014;Xes Projetos Visuais Ltda;SP;Staff Labb Co. Ltd.;Japão;;
BLOCK WORKOUT;Reality Show;04/04/2014 a 13/04/2014;Leonardo Henrique Pereira Branco;SP;C-Saw Media ZA;África do Sul;;
UNTO ALL THE WORLD: THE MINISTRY IN BRAZIL;Documentário Institucional;14/05/2014 a 26/05/2014;Leonardo Henrique Pereira Branco;SP;Corporation of the Presiding Bishop of the Church of Jesus Christ of Latter-Day Saints;EUA;;
CRAZY JOBS;Reality Show;16/04/2014 a 23/04/2014;Sol Entertainment Ltda;RJ;Story House Productions GmbH;Alemanha;;
ADENÍSIA - BAUERFEIND;Documentário;11/04/2014 A 16/04/2014;Primitivo Produção de Vídeo e Filmes Ltda;SP;Lanterna Mágica Filmproduktion GmbH;Alemanha;;
UDON - KEN JAPAN;Documentário;14/04/2014 a 17/04/2014;Business & Arts Filmes Ltda;SP;RKS Sanyo Broadcasting Co. Ltd.;Japão;;
GRANDE AVENTURA;Documentário;24/04/2014 a 01/05/2014;HK Brasil Produtora Midia & Eventos Ltda;SP;SM Culture & Contents Co. Ltd.;Coréia do Sul;;
,, FOOTBALL STADIUM'';Documentário;14/04/2014 a 24/04/2014;Sol Entertainment Ltda;RJ;NOS Sport TV;Holanda;;
DAi AMAZON TANSUI SUIZOKUKAN;Documentário;05/05/2014 a 23/05/2014;BDT Planejamento e Comunicação Ltda;SP;Den-Em Kobo D'Z Ltd;Japão;;
PALMOLIVE RODA DE SAMBA;Publicitária;20/04/2014 a 24/04/2014;Conspiração Filmes Entretenimento 3º Milênio Ltda.;RJ;-;-;;
SERGIO ECHIGO & YOSHINO ANA NO SOCCER OKOKU BRAZIL TABI;Ficção;23/04/2014 a 06/05/2014;WaSabi JB Comunicação Ltda;RJ;Tv Asahi Corporation;Japão;;
VERMIST;Documentário;27/04/2014 a 05/05/2014;Mares Produções Ltda;RJ;Tros Broadcasting Company;Holanda;;
SKATISTAS;Documentário;19/04/2014 a 03/05/2014;Neon Rio Ltda;RJ;Shadowplay Films;Bélgica;;
HOUSE HUNTERS EM SÃO PAULO II;Documentário;22/04/2014 a 28/04/2014;Mango Films Brasil Ltda;SP;Leopard Films;EUA;;
MY BRAZIL;Publicitária;15/04/2014 a 20/05/2014;Ocean Produção de Filmes Ltda;SC;Caviar Content;EUA;;
"""SOARIN AROUND THE WORLD"" REALIZAÇÃO DE FILMAGEM PARA DOCUMENTÁRIO EM FOZ DO IGUAÇU";Documentário;18/08/2014 a 10/09/2014;Francisco Ramalho Junior Filmes Ltda (Ramalho Filmes);SP;CDI Virtual Films Inc.;EUA;;
VW BRAZIL;Programa de Variedades;23/04/2014 a 16/05/2014;Sol Entertainment Ltda;RJ;MHoch4 GbmH & CO. KG.;Alemanha;;
HUMAN THE MOVIE (HUMANOS - O FILME);Documentário;20/05/2014 a 15/06/2014;Neon Rio Ltda;RJ;Humankind Production;França;;
REAL SPORT;Documentário;21/04/2014 a 28/04/2014;Connection Filmes e Produções Artísticas LTDA;RJ;HBO Sports;EUA;;
PUNKT 12;Programa de Notícias;29/04/2014 a 12/05/2014;Aura Filme Produções Ltda;RJ;InfoNetwork;Alemanha;;
DISCOVERY JAPAN;Documentário;06/05/2014 a 17/05/2014;Urutau Filmes Ltda;SP;V Vision Studio;Japão;;
SUNDAY BIG VARIETY - NIPPON DAYOH, OKKASAN;Documentário;30/04/2014 a 07/05/2014;Xes Projetos Visuais Ltda;SP;Tokyo Tyranosaurus;Japão;;
FIFA WORLD CUP TITLES;Sequência de Títulos;01/05/2014 a 09/05/2014;FSR Produções Artísticas Ltda;RJ;BBC Sport;Reino Unido;;
TIMELAPSE;Publicitária;29/04/2014 a 03/05/2014;RPJ Produtores Associados;SP;-;-;;
ZOOM;Ficção;05/05/2014 a 30/09/2014;O2 Cinema Ltda;SP;Rhombus Media Inc.;Canadá;;
STRONGBOW - RIO CHALLENGE;Documentário;02/05/2014 a 11/05/2014;Brian M. Sewell Produções Cinematográficas;RJ;Contented Digital Media;Reino Unido;;
GO BRAZIL GOAL;Documentário;15/04/2014 a 20/07/2014;Town Network Filmagens Ltda;SP;Beijing Zgengnneng Culture Development Company Lts.;China;;
GO BRAZIL GOAL;Documentário;15/04/2014 a 20/07/2014;Town Network Filmagens Ltda;SP;Beijing Zgengnneng Culture Development Company Lts.;China;;
DUPONT MINI DOC;Documentário;04/05/2014 a 07/05/2014;Parasol Broadcast - RB Produção Cinematográfica;RJ;Two Four Digital Limited;Reino Unido;;
CHEFS BRAZIL - UNILEVER;Institucional;05/05/2014 a 07/05/2014;Story Produções Ltda. ME;SP;VCCP KIN;Reino Unido;;
SEKAI SUMMER RESORT - BRASIL;Documentário;13/05/2014 a 23/05/2014;Fundação Fórmula Cultural;SP;G-YAMA INC.;Japão;;
TURNE IN BRAZIL;Documentário;05/05/2014 a 13/05/2014;Neon Rio Ltda;RJ;Fulwell 73 Production;Reino Unido;;
BRAZIL;Publicitária;20/05/2014 a 15/06/2014;JKR Produções Artísticas Ltda;RJ;COMRAD;Holanda;;
HÍBRIDOS;Documentário;25/05/2014 a 25/09/2014;Samba Filmes Ltda;RJ;-;-;;
BEATS BY DRE;Publicitária;06/05/2014 a 20/05/2014;Ocean Produção de Filmes Ltda;SC;Czar Film GmbH;Alemanha;;
VELO DO BRASIL;Documentário;15/05/2014 a 13/07/2014;Focus Films Ltda;RJ;PLAYPROD S.A.R.L.;França;;
PROMO CLIP ONE DIRECTION;Documentário;06/05/2014 a 14/05/2014;Embaúba Produções;RJ;Fullwell 73 Productions;Reino Unido;;
BRAZIL 2014 - HISTÓRIAS DAS RUAS;Documentário;12/05/2014 a 19/05/2014;Viva Filmes Ltda;RJ;BBC New Broadcasting House;Reino Unido;;
COPPER;Publicitária;07/05/2014 a 22/05/2014;Zohar Cinema e Comunicação Ltda;RJ;Park Pictures NY;EUA;;
EDUCATING JOEY ESSEX;Documentário;14/05/2014 a 22/05/2014;Neon Rio Ltda;RJ;Lime Pictures Limited;Reino Unido;;
SHARE;Publicitária;21/05/2014 a 27/05/2014;Delicatessen Produção de Filmes Ltda;SP;Philote Factory Inc,/ TYO Inc. - MONSTER Division;Japão;;
LOGO!;Documentário;14/05/2014 a 26/05/2014;Sol Entertainment Ltda;RJ;Zweites Deutsches Fernsehen;Alemanha;;
WORLD CUP HELMET;Publicitária;15/05/2014 a 06/06/2014;Ocean Produção de Filmes Ltda;SC;The Directors Bureau;EUA;;
TRÊS GERAÇÕES DE UMA FAMÍLIA NIKKEI NO BRASIL;Documentário;15/05/2014 a 24/05/2014;Xes Projetos Visuais Ltda;SP;TBS - Tokyo Broadcasting System Television, Inc.;Japão;;
RIO HEAT;Ficção;01/06/2014 a 10/04/2015;Filmes do Serro Ltda;RJ;Canazil Entertainment Goup Inc.;Canadá;;
COOL KIDS ON THE BLOCK;Documentário;28/05/2014 a 02/06/2014;HK Brasil Produtora Midia & Eventos Ltda;SP;Korean Broadcasting System;Coréia do Sul;;
PIXOTE1S GAME;Documentário;18/05/2014 a 13/05/2014;Elimar Produções Artísticas Ltda;RJ;40Acres & A Mule Filmeworks;EUA;;
KIKA-KINDERKANAL;Documentário;22/05/2014 a 28/05/2014;Aura Filme Produções Ltda;RJ;E+U TV Film-u Fersehproduktion;Alemanha;;
DIDI BABY CREAM;Publicitária;26/05/2014 a 15/06/2014;Ricardo Gonçalves Produções Cinematográficas;SP;CDI Virtual Films Inc.;EUA;;
IMAGEFILM;Vídeo Corporativo;18/05/2014 a 22/05/2014;Ricardo Gonçalves Produções Cinematográficas;SP;Fabrikfilms GmbH;Alemanha;;
COPA DO MUNDO DE FUTEBOL 2014;Documentário;01/06/2014 a 13/07/2014;Xes Projetos Visuais Ltda;SP;NTV International;Japão;;
MIRAI;Documentário;26/05/2014 a 07/06/2014;Urutau Filmes Ltda;SP;Non Production Co., Ltda.;Japão;;
COPA DO MUNDO 2014 - EXTRA;Documentário;03/06/2014 a 17/07/2014;Sol Entertainment Ltda;RJ;Zweites Deutsches Fernsehen;Alemanha;;
DAR UM JEITO;Videoclipe;23/05/2014 a 29/05/2014;Buena Estudios Produção e Entretenimento Ltda;RJ;And Films, INC;EUA;;
REAL SEKAI KUN;Documentário;10/06/2014 a 07/07/2014;Town Network Filmagens Ltda;SP;MBS - Mainichi Broadcasting System INC.;Japão;;
BOUNCE BRAZIL;Documentário;10/06/2014 a 18/06/2014;Blue Eyes Empreendimentos e Produções Audiovisuais.;RJ;Merge LLC;EUA;;
TV NEWS;Documentário;07/06/2014 a 14/06/2014;Sol Entertainment Ltda;RJ;RTL-TVI;Bélgica;;
IRAN IN THE WORLD CUP;Documentário;11/06/2014 a 28/06/2014;Neon Rio Ltda;RJ;Manoto1/ Marjan Television Network;Reino Unido;;
ACTIVE LIFE;Publicitária;21/05/2014 a 19/09/2014;Videographica Serviços e Participações Ltda.;SP;-;-;;
MEDÍOCRE - VIDEOCLIPE TI FEAT IGGY AZALEA;Videoclipe;25/05/2014 a 30/05/2014;Buena Estudios Produção e Entretenimento Ltda;RJ;DNA, INC;EUA;;
