"""Valores Recolhidos por Programadora - Art. 39 da MP 2.228-1/01 - Em Reais (R$) - 2003 a 2017""";;
;;
"""Ano de Recolhimento""";"""Programadora Estrangeira""";"""Valor (R$)"""
"""2012""";"""BLOOMBERG L.P.""";"""561,32"""
"""2012""";"""BRASIL DISTRIBUTION, L.L.C.""";"""18179589,41"""
"""2012""";"""BUENA VISTA INTERNATIONAL, INC""";"""731099,21"""
"""2012""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""6139524,64"""
"""2012""";"""DLA, INC.""";"""586651,87"""
"""2012""";"""EUROCHANNEL""";"""15767,84"""
"""2012""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""6052808,92"""
"""2012""";"""KABUSHIKI GAISHA NIPPON KOKUSAI HOSO""";"""14882,07"""
"""2012""";"""MTV NETWORKS LATIN AMERICA INC.""";"""1002605,1"""
"""2012""";"""NHK GLOBAL MEDIA SERVICE""";"""9183,52"""
"""2012""";"""PRAMER SCA""";"""7353,76"""
"""2012""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""8639080,09"""
"""2012""";"""TV5 MONDE""";"""15825,33"""
"""2011""";"""ALL TV COMMUNICATIONS S.A.""";"""8465,26"""
"""2011""";"""AMC NETWORKS LATIN AMERICA LLC""";"""320432,2"""
"""2011""";"""BLOOMBERG L.P.""";"""988,58"""
"""2011""";"""BRASIL DISTRIBUTION, L.L.C.""";"""13875213,5"""
"""2011""";"""BUENA VISTA INTERNATIONAL, INC""";"""1021532,19"""
"""2011""";"""DISCOVERY LATIN AMERICA, L.L.C""";"""4458248,73"""
"""2011""";"""DLA, INC.""";"""393174,16"""
"""2011""";"""EUROCHANNEL""";"""18930,67"""
"""2011""";"""FOX LATIN AMERICAN CHANNEL, INC""";"""5022813,51"""
"""2011""";"""MTV NETWORKS LATIN AMERICA INC.""";"""734241,61"""
"""2011""";"""NHK GLOBAL MEDIA SERVICE""";"""24540,28"""
"""2011""";"""PRAMER SCA""";"""3285,04"""
"""2011""";"""TURNER BROADCASTING SYSTEM LATIN AMERICA, INC.""";"""6810971,74"""
"""2011""";"""TV5 MONDE""";"""20868,27"""
"""2010""";"""ALL TV COMMUNICATIONS S.A.""";"""8380,77"""
