Listagem de Projetos Contemplados e Valores - Editais de Coprodução Internacional - 2005 a 2016;;;;;;;;;;
;;;;;;;;;;
Ano do Edital;Edital;Modalidade;CPB;Título;Direção;CNPJ;Empresa Produtora Brasileira;UF;Empresa Coprodutora Estrangeira;Investimento
2010;Brasil-Itália;Linha C - Desenvolvimento de Projeto de Autor não iniciante; -;Rosselini amou a pensão de Dona Bombom;Paulo Maurício Germany Caldas;08.991.631/0001-21;99 Produções Artísticas Ltda.;PE; -;"""50000"""
2013;Brasil-Itália;Linha A - autores iniciantes; -;Contato;Gabriela Amaral Almeida;09.261.668/0001-67;Acere Produções Artísticas;SP; -;"""25000"""
2013;Brasil-Itália;Linha A - autores iniciantes; -;Flores do Cerrado;Adriana Nery Silva da Fonseca/Maria Angélica Angelucci/Gilda Nogueira Macedo/Anahí Silva Borges;16.841.842/0001-06;Aranhas Films Produções;SP; -;"""25000"""
2013;Brasil-Itália;Linha A - autores iniciantes; -;Imigrantes Anônimos;Elzemann Loureiro Neves Jr;07.372.049/0001-14;Filmes de Abril Produções Audiovisuais;SP; -;"""25000"""
2013;Brasil-Itália;Linha B - autores não-iniciantes; -;Bravo!;Ariane Porto Costa Rimoli;05.462.807/0001-60;TAO Produções Artísticas;SP; -;"""30000"""
2015;Brasil-Itália;Linha A - autores iniciantes; -;Praça Vermelha;Rossana Elisa Foglia;58.496.571/0001-49;Confeitaria de Cinema Comunicações Ltda.;SP; -;"""25000"""
2015;Brasil-Itália;Linha A - autores iniciantes; -;Song to the Siren / Filme da Sereia;Indira Dominici Cunha;01.125.538/0001-95;"DM Filmes e Produções Artísticas 
Ltda.";RJ; -;"""25000"""
2015;Brasil-Itália;Linha B - autores não-iniciantes; -;Relato de um Certo Oriente;"Marcelo Ferreira de Oliveira 
Gomes";04.939.205/0001-98;Matizar Produções Artísticas Ltda.;RJ; -;"""30000"""
2016;Brasil-Itália;Linha A - autores iniciantes; -;A Mesma Parte de um Homem;Ana Johann;09.437.566/0001-50;Grafo Audiovisual Ltda;PR; -;"""25000"""
2016;Brasil-Itália;Linha A - autores iniciantes; -;Morcego Negro - As Vidas e Mortes de PC Farias;Chaim Litewski;09.260.004/0001-83;Terra Firme Produções Cinematográficas;SP; -;"""25000"""
2016;Brasil-Itália;Linha B - autores não-iniciantes; -;Até que a Música Pare;Cristiane Oliveira;08.267.476/0001-03;Okna Produções Culturais Ltda.;RS; -;"""30000"""
