Condecine - Valores Arrecadados por Mês - Em Reais (R$) - 2014;;;;;;;;;;;;;
;;;;;;;;;;;;;
;Valor Total Arrecadado;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;136.603,91;2.446.444,40;799.720,48;222.941,43;2.177.936,66;150.742,79;151.007,24;162.799,16;2.527.619,43;143.943,10;146.203,35;167.383,21;9.233.345,16
Condecine-Títulos;6.114.798,91;5.397.609,41;7.628.990,66;9.574.828,68;8.574.156,03;7.622.072,40;8.443.565,81;8.674.539,61;7.823.346,98;7.907.597,79;8.450.014,75;7.366.270,16;93.577.791,19
Condecine-Teles;4.755,19;9.104,45;876.710.131,99;753.931,78;57.213,36;29.440,80;64.861,51;98.923,80;15.040,56;45.881,13;23.823,11;32.046,20;877.845.153,88
Dívida Ativa;2.184,20;15.770,80;6.985,39;8.449,90;9.471,86;4.109,88;10.798,76;52.242,05;5.709,63;6.028,14;3.752,33;8.681,70;134.184,63
;;;;;;;;;;;;;
;Valor Após Abatimento da DRU;;;;;;;;;;;;
;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Total
Condecine-Remessa;109.283,13;1.957.155,52;639.776,38;178.353,14;1.742.349,33;120.594,23;120.805,79;130.239,33;2.022.095,54;115.154,48;116.962,68;133.906,57;7.386.676,12
Condecine-Títulos;4.891.839,13;4.318.087,53;6.103.192,53;7.659.862,94;6.859.324,82;6.097.657,92;6.754.852,65;6.939.631,69;6.258.677,58;6.326.078,23;6.760.011,80;5.893.016,13;74.862.232,95
Condecine-Teles;3.804,15;7.283,56;701.368.105,59;603.145,42;45.770,69;23.552,64;51.889,21;79.139,04;12.032,45;36.704,90;19.058,49;25.636,96;702.276.123,10
Dívida Ativa;1.747,36;12.616,64;5.588,31;6.759,92;7.577,49;3.287,90;8.639,01;41.793,64;4.567,70;4.822,51;3.001,86;6.945,36;107.347,70
;;;;;;;;;;;;;
Notas:;;;;;;;;;;;;;
1. A Contribuição para o Desenvolvimento da Indústria Cinematográfica Nacional (CONDECINE) é estabelecida na Medida Provisória 2228-1/2001 em três modalidades, com diferentes fatos geradores: Condecine-Títulos (incisos I e II do Art. 33), Condecine-Remessa (Parágrafo 2º do Art. 33) e Condecine-Teles (inciso III do Art. 33).;;;;;;;;;;;;;
"2. O cálculo do “Valor Total Arrecadado” foi feito por estimativa dos valores da Desvinculação das Receitas da União (DRU), com a seguinte metodologia: até o exercício 2015, o valor destinado ao Fundo Setorial do Audiovisual (FSA) foi dividido por oito e multiplicado por dez; a partir do exercício 2017, o valor destinado ao FSA foi dividido por sete e multiplicado por dez.  A opção por estimar os valores da DRU é necessária, pois na consulta por fontes, na qual pode-se ver os valores efetivos da DRU, não há distinção na codificação entre as três modalidades da Condecine, desde a reformulação da classificação por Natureza de Receita em 2016.";;;;;;;;;;;;;
3. O “Valor Total Arrecadado” da Dívida Ativa não pode ser alcançado pelo método de estimativa, pois há outras regras - além da DRU - de destinação referentes a honorários advocatícios. Por outro lado, podemos consultar o valor exato “Valor Total Arrecadado” pela conta contábil, pois ela permanece discriminada da Condecine.  ;;;;;;;;;;;;;
4. Os valores disponíveis nesse arquivo são valores correntes do ano de referência.;;;;;;;;;;;;;
Fonte: Tesouro Gerencial, dados extraídos em 13/05/2019. Valores de Condecine-Remessa: Sistema Integrado de Administração Financeira do Governo Federal (SIAFI). Gerência de Planejamento, Orçamento e Finanças/ANCINE. Dados extraídos em 28/04/2015.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Elaboração: Coordenação de Edição e Publicação de Conteúdo - CEC/SAM/ANCINE. Publicado em 27/06/2019.;;;;;;;;;;;;;
Informações retificadas em 10/10/2025.;;;;;;;;;;;;;
