Valores Captados por Projeto Incentivado - Em Reais (R$) - 2002 a Julho de 2020;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Ano de Captação;Salic;Nome do Projeto;CNPJ do Proponente;Proponente;UF;Tipo ou segmento;Gênero;"Lei 8.313/91
(Lei Rouanet)";"Art. 1º 
Lei 8.685/93";"Art. 1º A
Lei 8.685/93";"Art. 3º 
Lei 8.685/93*";"Art. 3º A
Lei 8.685/93*";"Art. 39 
MP 2228-1/01*";Funcines;Total Captado no Ano
2002;971348;Bendito Fruto (Ex. Maria Vinte Polegadas);01.702.147/0001-96;TRÓPICOS ARTE E COMUNICAÇÃO LTDA. ME;RJ;Produção Cinematográfica;Ficção;0;384.109,00;0;0;0;0;0;384.109,00
2002;993387;Benjamim;27.872.415/0001-01;DUETO PRODUÇÕES E PUBLICIDADES LTDA;SP;Produção Cinematográfica;Ficção;0;750.000,00;0;0;0;0;0;750.000,00
2002;12008;Bens Confiscados;66.876.707/0001-74;DEZENOVE SOM E IMAGENS PRODUÇÕES LTDA - EPP;SP;Produção Cinematográfica;Ficção;250.000,00;100.000,00;0;0;0;0;0;350.000,00
2002;11942;Brasil Oceânico;04.350.398/0001-47;CANAL AZUL CONSULTORIA AUDIOVISUAL - EIRELI;SP;Produção Cinematográfica;Documentário;0;0;0;116.809,83;0;0;0;116.809,83
2002;984747;Brazilian Cinema - GNCTV;16.592.099/0001-06;GNCTV - PRODUCOES DE CINEMA E TV LTDA;RJ;Difusão; -;280.000,00;33.500,00;0;0;0;0;0;313.500,00
2002;23650;Cabra Cega;01.605.800/0001-07;OLHAR IMAGINÁRIO LTDA;SP;Produção Cinematográfica;Ficção;0;419.100,00;0;0;0;0;0;419.100,00
2002;984868;Cafundó ( Ex: João de Camargo );49.079.395/0001-59;PROLE DE ADÃO PRODUÇÃO ARTÍSTICAS LTDA.;RJ;Produção Cinematográfica;Ficção;300.000,00;5.000,00;0;0;0;0;0;305.000,00
2002;993565;Caminho das Nuvens (O);73.619.637/0001-34;FILMES DO EQUADOR LTDA.;RJ;Produção Cinematográfica;Ficção;1.150.000,00;926.000,00;0;0;0;0;0;2.076.000,00
2002;984582;Cangaceiro - a Série (O);44.182.046/0001-44;CINEARTE PRODUÇÕES CINEMATOGRÁFICAS LTDA;SP;Produção Cinematográfica;Programa TV;0;50.683,00;0;0;0;0;0;50.683,00
2002;201;Canta Maria (ex: Os Desvalidos);52.308.558/0001-32;FRANCISCO RAMALHO JUNIOR FILMES LTDA;SP;Produção Cinematográfica;Ficção;0;450.000,00;0;0;0;0;0;450.000,00
