TITULO_ORIGINAL;TITULO_BRASIL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;SITUACAO_CRT;CPB_ROE;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO;PAIS;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO;REDUCAO_ISENCAO;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""A DRAG A GOZAR""";;04030036763520085;05/03/2008;18/03/2008;EXPIRADO;B0800827000000;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;5,0;2007;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;ARTE ANIMADA LTDA;54;61.652.830/0001-98;SP;SÃO PAULO
"""AZYLLO MUITO LOUCO""";;02010038930920080;29/05/2008;04/06/2008;EXPIRADO;B0500240500000;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;83;1969;;VIDEO DOMÉSTICO;OBRA AUDIOVISUAL BRASILEIRA;REGINA FILMES LTDA;1119;42.164.699/0001-75;RJ;RIO DE JANEIRO
"""AZYLLO MUITO LOUCO""";;03010038810320088;26/05/2008;04/06/2008;EXPIRADO;B0500240500000;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;83;1969;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);OBRA AUDIOVISUAL BRASILEIRA;REGINA FILMES LTDA;1119;42.164.699/0001-75;RJ;RIO DE JANEIRO
"""ET DIEU...CREA LA FEMME""";...E DEUS CRIOU A MULHER;02010036909220086;12/03/2008;31/03/2008;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;FRANCA;NÃO SERIADA;92;1956;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;REPRESENTAÇÕES ARRAIS LTDA;2695;05.546.064/0001-06;CE;FORTALEZA
"""SONHOS CONTRÁRIOS""";;01030036911220086;12/03/2008;10/06/2008;EXPIRADO;B0800831800000;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;5,0;2008;;SALAS DE EXIBIÇÃO;OBRA AUDIOVISUAL BRASILEIRA;CARMELA CONTÉUDOS PRODUÇÕES LTDA;1474;02.882.274/0001-87;SP;SÃO PAULO
007: QUANTUM OF SOLACE;007: QUANTUM OF SOLACE;02010044526220084;10/12/2008;29/12/2008;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;106;2008;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;FOX FILM DO BRASIL LTDA;1171;33.110.420/0009-37;SP;SÃO PAULO
1 GIANT LEAP;1 GIANT LEAP;04040041303320083;22/08/2008;12/09/2008;EXPIRADO;E1300000100000;NÃO CLASSIFICADA;;NÃO INFORMADO;REINO UNIDO;SERIADA;210;2008;2008;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
1-800 FETISH;1-800 FETISH;04010041268820085;21/08/2008;11/09/2008;EXPIRADO;E1300000100000;FICÇÃO;Erótico/Pornográfica;NÃO INFORMADO;ESPANHA;NÃO SERIADA;88;2005;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;PB BRASIL ENTRETENIMENTO LTDA;13263;08.844.841/0001-97;RJ;RIO DE JANEIRO
10 ITEMS OR LESS;ASTRO EM MINHA VIDA, UM;04010036308620085;15/02/2008;10/03/2008;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;80,6;2006;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;TELECINE PROGRAMACAO DE FILMES LTDA;39;00.252.848/0001-08;RJ;RIO DE JANEIRO
10.000 BC;;01010035576320080;08/01/2008;29/01/2008;EXPIRADO;E1500332100000;FICÇÃO;;ESTRANGEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;ESTADOS UNIDOS;NÃO SERIADA;109;2008;;SALAS DE EXIBIÇÃO;SEM REDUÇÃO E ISENÇÃO;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28;SP;BARUERI
