TITULO_ORIGINAL;TITULO_BRASIL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;SITUACAO_CRT;CPB_ROE;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO;PAIS;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO;REDUCAO_ISENCAO;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""DIBOB- 1 X 0 EU""";;04030002946920045;15/06/2004;25/03/2011;EXPIRADO;;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;0;2004;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;ELIMAR PRODUÇÕES ARTÍSTICAS LTDA;506;28.026.565/0001-67;RJ;RIO DE JANEIRO
"""LOUCURA BEM RESOLVIDA""";;04030068027020111;08/07/2011;18/07/2011;EXPIRADO;B1101448200000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;4,7;2011;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""MUITO EM MIM""";;04030068027320115;08/07/2011;18/07/2011;EXPIRADO;B1101448300000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;3,4;2011;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""V""";V - VISITANTES;03040064451120119;16/02/2011;15/03/2011;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;SERIADA;720;2009;2009;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);SEM REDUÇÃO E ISENÇÃO;TVSBT CANAL 4 DE SAO PAULO S/A;101;45.039.237/0001-14;SP;OSASCO
#PRASEMPREFENOMENO;;02020074027520119;15/12/2011;21/12/2011;EXPIRADO;B1101522900000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;45;2011;;VIDEO DOMÉSTICO;OBRA AUDIOVISUAL BRASILEIRA;UNIFILMES DISTRIBUIDORA DE FILMES LTDA;17810;12.452.477/0001-97;SP;BARUERI
(500) DAYS OF SUMMER;(500) DIAS COM ELA;04010070368820110;06/10/2011;01/11/2011;EXPIRADO;E1300000100000;FICÇÃO;;ESTRANGEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;ESTADOS UNIDOS;NÃO SERIADA;95,3;2009;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;TELECINE PROGRAMACAO DE FILMES LTDA;39;00.252.848/0001-08;RJ;RIO DE JANEIRO
.45;.45 - A VITÓRIA É A VINGANÇA;02010028427820073;03/04/2007;04/08/2011;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;101;2006;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49;SP;BARUERI
007 - QUANTUM OF SOLACE;007 - QUANTUM OF SOLACE;05010067310020114;09/06/2011;30/06/2011;IRREGULAR;E1300000100000;NÃO CLASSIFICADA;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;106;2008;;OUTROS MERCADOS;SEM REDUÇÃO E ISENÇÃO;MPLC BRASIL EMPRESA BRASILEIRA DE LICENCIAMENTO DE AUDIOVISUAIS LTDA;5283;07.722.379/0001-92;RJ;RIO DE JANEIRO
1 A MINUTE;1 POR MINUTO: TODOS CONTRA O CÂNCER DE MAMA;04010070328620110;05/10/2011;31/10/2011;EXPIRADO;E1300000100000;NÃO CLASSIFICADA;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;90;2010;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
1,99;;02010003362820044;11/08/2004;12/01/2011;EXPIRADO;;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;0;2004;;VIDEO DOMÉSTICO;OBRA AUDIOVISUAL BRASILEIRA;ANTONIO FERNANDES FILMES LTDA;532;02.668.665/0001-01;SP;SÃO BERNARDO DO CAMPO
