TITULO_ORIGINAL;TITULO_BRASIL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;SITUACAO_CRT;CPB_ROE;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO;PAIS;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO;REDUCAO_ISENCAO;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""SÃO JOÃO VIVO""";;02010026124020066;15/12/2006;27/12/2006;EXPIRADO;B0600625300000;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;180;2006;;VIDEO DOMÉSTICO;OBRA AUDIOVISUAL BRASILEIRA;WARNER MUSIC BRASIL LTDA.;734;42.470.112/0001-56;RJ;RIO DE JANEIRO
$ 100,000 FOR RINGO;CEM MIL DÓLARES PARA RINGO;02010018106820063;28/03/2006;07/06/2006;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESPANHA;NÃO SERIADA;110;1965;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;NORDESTE DISTRIBUIDORA DE FITAS DE VÍDEO E DVDS LTDA;2749;06.944.183/0001-80;CE;FORTALEZA
(S)EXPLORATIONS;A TRADUZIR;04040017717020065;15/03/2006;25/04/2006;EXPIRADO;E1300000100000;NÃO CLASSIFICADA;;NÃO INFORMADO;CANADÁ;SERIADA;0;2005;2005;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
10 FAIRY TALES;DEZ CONTOS DE FADA;04040024054320069;04/10/2006;24/10/2006;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;DINAMARCA;SERIADA;100;2004;2004;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;SYNAPSE PRODUÇÕES LTDA;278;40.271.140/0001-19;RJ;RIO DE JANEIRO
10 SECRETS TO GREAT SEX;10 SECRETS TO GREAT SEX ¿ 10 SEGREDOS PARA UMA RELAÇÃO SEXUAL MARAVILHOSA;02010022808520068;24/08/2006;06/09/2006;EXPIRADO;E1300000100000;FICÇÃO;Erótico/Pornográfica;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;60;2000;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;DKT DO BRASIL PRODUTOS DE USO PESSOAL LTDA;5982;38.756.680/0001-40;SP;SÃO PAULO
10,000 DOLLARS FOR A MASSACRE;10,000 DÓLARES PARA DJANGO;02010024010220060;04/10/2006;06/12/2006;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ITALIA;NÃO SERIADA;100;1967;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;NORDESTE DISTRIBUIDORA DE FITAS DE VÍDEO E DVDS LTDA;2749;06.944.183/0001-80;CE;FORTALEZA
10.5;10.5 O DIA QUE A TERRA NÃO AGUENTOU;03010019571420064;12/05/2006;18/05/2006;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;240;2004;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);SEM REDUÇÃO E ISENÇÃO;TVSBT CANAL 4 DE SAO PAULO S/A;101;45.039.237/0001-14;SP;OSASCO
10.5 APOCALYPSE;O APOCALYPSE;02010023496620060;15/09/2006;27/09/2006;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;167,9;2005;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;ACTIVITY FILMES DO BRASIL LTDA.;309;04.268.162/0001-66;SP;BARUERI
100 MILE RULE;REGRAS DA TRAIÇÃO;02010018106120061;28/03/2006;29/05/2006;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;98;2002;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;NORDESTE DISTRIBUIDORA DE FITAS DE VÍDEO E DVDS LTDA;2749;06.944.183/0001-80;CE;FORTALEZA
11 MULHERES E NENHUM SEGREDO;;04010014531720050;29/11/2005;02/01/2006;EXPIRADO;B0500422500000;FICÇÃO;Erótico/Pornográfica;COMUM;BRASIL;NÃO SERIADA;140;2005;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;FALLMS DISTRIBUIÇÃO DE FITAS LTDA;4704;02.341.697/0001-90;SP;BARUERI
