TITULO_ORIGINAL;TITULO_BRASIL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;SITUACAO_CRT;CPB_ROE;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO;PAIS;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO;REDUCAO_ISENCAO;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""BOA SORTE/GOOD LUCK""";;03030030455020071;20/06/2007;03/07/2007;EXPIRADO;B0700706700000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;3,9;2007;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);OBRA AUDIOVISUAL BRASILEIRA;GUDI VAIBE PRODUÇÕES ARTÍSTICAS LTDA.;12350;08.325.891/0001-68;RJ;RIO DE JANEIRO
"""BOA SORTE/GOOD LUCK""";;04030030455820070;20/06/2007;03/07/2007;EXPIRADO;B0700706700000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;3,9;2007;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;GUDI VAIBE PRODUÇÕES ARTÍSTICAS LTDA.;12350;08.325.891/0001-68;RJ;RIO DE JANEIRO
"""TONY BENNETT - LIVE IN CONCERT""";"""TONY BENNETT - LIVE IN CONCERT""";02020030742320070;02/07/2007;24/07/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;48;2001;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;LW EDITORA DISTRIBUIDORA E ASSESSORIA DE COMUNICAÇÃO LTDA;2308;02.254.727/0001-20;SP;BARUERI
"""VOCÊ ME FAZ TÃO BEM""";;04030026832920078;22/01/2007;24/01/2007;EXPIRADO;B0700637300000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;3,7;2006;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;CECILIA MELO RODRIGUES;11802;PESSOA FÍSICA;RJ;RIO DE JANEIRO
* IONIE LUVCOXXX 01 (I ONLY LOVE... SPUNK);IONIE LUVCOXX: A RAINHA DO SUPER GONZO;02040026226720060;20/12/2006;12/01/2007;EXPIRADO;E1300000100000;FICÇÃO;Erótico/Pornográfica;NÃO INFORMADO;ESPANHA;NÃO SERIADA;90;2005;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;CIGOLDD MULTIMÍDIA LTDA;2761;06.191.005/0001-25;SP;SÃO PAULO
.45;.45 - A VITÓRIA É A VINGANÇA;04010034295920076;19/11/2007;12/12/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;89,5;2006;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;TELECINE PROGRAMACAO DE FILMES LTDA;39;00.252.848/0001-08;RJ;RIO DE JANEIRO
0 KM;;02010025397620069;23/11/2006;31/08/2007;EXPIRADO;B0600613400000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;86;2006;;VIDEO DOMÉSTICO;OBRA AUDIOVISUAL BRASILEIRA;SIGLA SISTEMA GLOBO DE GRAVAÇÕES AUDIOVISUAIS LTDA;2422;28.114.122/0001-28;RJ;RIO DE JANEIRO
10 CENTAVOS;;04030029467620078;11/05/2007;15/06/2007;EXPIRADO;B0500431700000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;1;2005;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;UM MINUTO PRODUCOES CULTURAIS LTDA.;455;66.708.900/0001-04;SP;SÃO PAULO
10 ITEMS OR LESS;UM ASTRO EM MINHA VIDA;02010028443020078;03/04/2007;20/04/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;85;2006;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32;SC;SÃO JOSÉ
100%PEIXE;;02010028257320075;28/03/2007;01/10/2007;EXPIRADO;B0700664700000;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;55;2006;;VIDEO DOMÉSTICO;OBRA AUDIOVISUAL BRASILEIRA;SOM DE PEIXE PRODUÇÕES LTDA ME;7120;05.878.886/0001-94;BA;SALVADOR
101 RENT BOYS;101 GAROTOS DE ALUGUEL;04010029389420070;09/05/2007;01/06/2007;EXPIRADO;E1300000100000;NÃO CLASSIFICADA;;NÃO INFORMADO;REINO UNIDO;NÃO SERIADA;52,2;2006;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
102;CAÇADA IMPLACAVEL;02010031670220078;08/08/2007;16/08/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;TAILÂNDIA;NÃO SERIADA;90;2006;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;RJ DISTRIBUIDORA DE FILMES LTDA;5963;00.146.442/0001-40;SP;BARUERI
10TH & WOLF;ESQUINA DA MORTE;02010033551920072;22/10/2007;29/10/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;108;2006;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;RJ DISTRIBUIDORA DE FILMES LTDA;5963;00.146.442/0001-40;SP;BARUERI
11 CAMERAS;11 CAMERAS;04040030981620079;11/07/2007;02/08/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;CANADÁ;SERIADA;616;2006;2006;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
11 MULHERES E NENHUM SEGREDO;;01010026673320074;12/01/2007;19/01/2007;EXPIRADO;B0500422500000;FICÇÃO;Erótico/Pornográfica;COMUM;BRASIL;NÃO SERIADA;140;2005;;SALAS DE EXIBIÇÃO;OBRA AUDIOVISUAL BRASILEIRA;FALLMS DISTRIBUIÇÃO DE FITAS LTDA;4704;02.341.697/0001-90;SP;BARUERI
12 DAYS OF TERROR;12 DIAS DE TERROR;03010027318520073;13/02/2007;27/02/2007;EXPIRADO;E1300000100000;ANIMAÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;91;2003;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);SEM REDUÇÃO E ISENÇÃO;FOX FILM DO BRASIL LTDA;256;33.110.420/0001-80;SP;SÃO PAULO
12 HOURS TO LIVE;HORA MARCADA PARA MORRER;04010030915920074;09/07/2007;01/08/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;51,7;2006;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;GLOBOSAT PROGRAMADORA LTDA (BAIXADA);50;00.811.990/0001-48;RJ;RIO DE JANEIRO
12 ON ONE;12 MULHERES E 1  GARANHÃO;01010026738620077;16/01/2007;22/01/2007;EXPIRADO;E1300000100000;FICÇÃO;Erótico/Pornográfica;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;135;2004;;SALAS DE EXIBIÇÃO;OBRA AUDIOVISUAL DESTINADA AO SEGMENTO DE SALAS DE EXIBIÇÃO EXPLORADAS EM ATÉ 6 (SEIS) CÓPIAS/SALAS;ALBERTO BITELLI INTERNATIONAL FILMS LTDA;136;54.881.404/0001-60;SP;SÃO PAULO
14 BIS AO VIVO;;02010028213420074;26/03/2007;09/04/2007;EXPIRADO;B0700662400000;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;110;2007;;VIDEO DOMÉSTICO;OBRA AUDIOVISUAL BRASILEIRA;SONY MUSIC ENTERTAINMENT BRASIL LTDA;2624;43.203.520/0001-04;RJ;RIO DE JANEIRO
14 HOURS;14 HORAS;04010027752020070;06/03/2007;23/03/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;88,0;2005;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;TELECINE PROGRAMACAO DE FILMES LTDA;39;00.252.848/0001-08;RJ;RIO DE JANEIRO
1408;1408;01010030490220079;21/06/2007;28/06/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;120;2007;;SALAS DE EXIBIÇÃO;SEM REDUÇÃO E ISENÇÃO;AB INTERNACIONAL ENTRETENIMENTO LTDA. (BAIXADA);1071;57.695.371/0001-52;SP;BARUERI
1408;1408;02010033465220076;18/10/2007;29/10/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;120;2007;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32;SC;SÃO JOSÉ
16 BLOCKS;16 QUADRAS;03010028492320074;04/04/2007;17/04/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;110;2006;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);SEM REDUÇÃO E ISENÇÃO;RADIO E TELEVISAO RECORD S.A;251;60.628.369/0001-75;SP;SÃO PAULO
16 BLOCKS;16 QUADRAS;04010027901720078;12/03/2007;29/03/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ALEMANHA;NÃO SERIADA;110;2006;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;TELECINE PROGRAMACAO DE FILMES LTDA;39;00.252.848/0001-08;RJ;RIO DE JANEIRO
18 ANS APRES;TRES SOLTEIROS E UM BEBE - 18 ANOS DEPOIS;03010031502120072;01/08/2007;06/08/2007;EXPIRADO;E1300000100000;NÃO CLASSIFICADA;;NÃO INFORMADO;FRANCA;NÃO SERIADA;90;2003;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);SEM REDUÇÃO E ISENÇÃO;CANNES PRODUÇÕES LTDA;2250;72.672.017/0001-04;SP;BARUERI
18 FINGERS OF DEATH;18 DEDOS DE VOLÊNCIA;04010034331420074;19/11/2007;23/11/2007;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;87;2004;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;MARES FILMES EIRELI;6418;07.257.887/0001-47;SP;BARUERI
18 FINGERS OF DEATH !;18 DEDOS DE VIOLÊNCIA;02010020540920066;09/06/2006;10/10/2007;IRREGULAR;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;0;2006;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;NEW STAR DISTRIBUIDORA DE FILMES LTDA.;3840;06.315.795/0001-03;SP;BARUERI
