TITULO_ORIGINAL;TITULO_BRASIL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;SITUACAO_CRT;CPB_ROE;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO;PAIS;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO;REDUCAO_ISENCAO;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
!;;03030011729720052;14/09/2005;27/09/2005;EXPIRADO;;ANIMAÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;0;2005;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);OBRA AUDIOVISUAL BRASILEIRA;ROTOMUSIC PRODUÇÕES E EVENTOS LTDA;4625;00.878.771/0001-86;MG;BELO HORIZONTE
!;;04030011730020053;14/09/2005;28/09/2005;EXPIRADO;;ANIMAÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;0;2005;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;ROTOMUSIC PRODUÇÕES E EVENTOS LTDA;4625;00.878.771/0001-86;MG;BELO HORIZONTE
$100 TAXI RIDE  II;$100 TAXI RIDE II;03040008817020057;23/06/2005;05/07/2005;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;CANADÁ;SERIADA;0;2002;2002;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);SEM REDUÇÃO E ISENÇÃO;RADIO E TELEVISAO RECORD S.A;251;60.628.369/0001-75;SP;SÃO PAULO
$100 TAXI RIDE I;$100 TAXI RIDE I;03040008816520056;23/06/2005;05/07/2005;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;CANADÁ;SERIADA;0;2001;2001;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);SEM REDUÇÃO E ISENÇÃO;RADIO E TELEVISAO RECORD S.A;251;60.628.369/0001-75;SP;SÃO PAULO
...E PER TETTO UN CIELO DI STELLE;POR TETO UM CÉU DE ESTRELAS;02010011283620051;31/08/2005;22/11/2005;IRREGULAR;E1300000100000;FICÇÃO;;NÃO INFORMADO;ITALIA;NÃO SERIADA;100;1968;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;NORDESTE DISTRIBUIDORA DE FITAS DE VÍDEO E DVDS LTDA;2749;06.944.183/0001-80;CE;FORTALEZA
1 É POUCO, 2 É BOM DEMAIS!!!;;04010008155320050;06/06/2005;27/06/2005;EXPIRADO;;FICÇÃO;Erótico/Pornográfica;NÃO INFORMADO;BRASIL;NÃO SERIADA;90;2004;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;VAN BLAD COMUNICAÇÃO E ENTRETENIMENTO LTDA.;2805;04.604.233/0001-54;SP;SÃO PAULO
1,99 UM SUPERMERCADO QUE VENDE PALAVRAS;;04010007642620051;24/05/2005;07/06/2005;EXPIRADO;;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;72;2002;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;RESERVA CULTURAL DE CINEMA LTDA.;2336;05.924.151/0001-50;SP;SÃO PAULO
1,99 UM SUPERMERCADO QUE VENDE PALAVRAS;;03010015291620052;16/12/2005;22/12/2005;EXPIRADO;;FICÇÃO;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;72;2002;;RADIODIFUSÃO DE SONS E IMAGENS (TV ABERTA);OBRA AUDIOVISUAL BRASILEIRA;RESERVA CULTURAL DE CINEMA LTDA.;2336;05.924.151/0001-50;SP;SÃO PAULO
10 THINGS I HATE ABOUT YOU;;02010004310820041;15/12/2004;14/01/2005;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;97;1999;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;VIDEOLAR S/A;166;04.229.761/0001-70;AM;MANAUS
100% ANAL;;01010011064120050;25/08/2005;31/08/2005;EXPIRADO;;FICÇÃO;Erótico/Pornográfica;NÃO INFORMADO;BRASIL;NÃO SERIADA;115;2001;;SALAS DE EXIBIÇÃO;OBRA AUDIOVISUAL BRASILEIRA;INTRODUCTION SERVIÇOS DE DISTRIBUIÇÃO DE FILMES LTDA;3865;02.740.650/0001-07;SP;BARUERI
