TITULO_ORIGINAL;TITULO_BRASIL;CRT;DATA_REQUERIMENTO_CRT;DATA_EMISSAO_CRT;SITUACAO_CRT;CPB_ROE;TIPO_OBRA;SUBTIPO_OBRA;CLASSIFICACAO;PAIS;ORGANIZACAO_TEMPORAL;DURACAO_TOTAL_MINUTOS;ANO_PRODUCAO_INICIAL;ANO_PRODUCAO_FINAL;SEGMENTO;REDUCAO_ISENCAO;REQUERENTE;REGISTRO_ANCINE_REQUERENTE;CNPJ_REQUERENTE;UF_REQUERENTE;MUNICIPIO_REQUERENTE
"""AZYLLO MUITO LOUCO""";;04010079874620120;23/07/2012;07/08/2012;EXPIRADO;B0500240500000;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;83;1969;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;REGINA FILMES LTDA;1119;42.164.699/0001-75;RJ;RIO DE JANEIRO
"""COMEÇO""";;04030077558220129;09/04/2012;16/04/2012;EXPIRADO;B1101499900000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;3,9;2011;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""EL JUSTICEIRO""";;04010079874320127;23/07/2012;07/08/2012;EXPIRADO;B0500240400000;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;80;1966;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;REGINA FILMES LTDA;1119;42.164.699/0001-75;RJ;RIO DE JANEIRO
"""MANDACARU VERMELHO""";;04010079621420123;09/07/2012;16/07/2012;EXPIRADO;B0500239800000;FICÇÃO;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;76;1960;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;REGINA FILMES LTDA;1119;42.164.699/0001-75;RJ;RIO DE JANEIRO
"""NINFA""";;04030085184520120;14/11/2012;23/11/2012;EXPIRADO;B1201681000000;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;3,2;2012;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""NÃO CUSTA TENTAR""";;04030084501820120;16/10/2012;24/10/2012;EXPIRADO;B1101499300000;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;4,0;2010;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""REGGAE A PAIXÃO""";;04030077876420121;23/04/2012;08/05/2012;EXPIRADO;B1101500500000;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;3,6;2011;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""SEM SE ENTREGAR""";;04030085708920121;05/12/2012;12/12/2012;EXPIRADO;B1201683400000;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;4,0;2012;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""SIMPLES ASSIM""";;04030084500720121;16/10/2012;26/10/2012;EXPIRADO;B1101521500000;VÍDEOMUSICAL;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;NÃO SERIADA;3,9;2010;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""TUDO QUE EU SINTO""";;04030078596820128;23/05/2012;04/06/2012;EXPIRADO;B1201599500000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;2,8;2011;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
"""VAI CHORAR COMO EU""";;04030068329220113;21/07/2011;05/06/2012;EXPIRADO;B1101460000000;NÃO CLASSIFICADA;NÃO INFORMADO;NÃO INFORMADO;BRASIL;NÃO SERIADA;2,6;2011;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA;LIBERTÀ FILMES LTDA (BAIXADA);18419;09.109.643/0001-42;SP;SÃO PAULO
$5 A DAY;DE GOLPE EM GOLPE;04010079628920121;09/07/2012;10/08/2012;EXPIRADO;E1300000100000;ANIMAÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;100;2008;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;TELECINE PROGRAMACAO DE FILMES LTDA;39;00.252.848/0001-08;RJ;RIO DE JANEIRO
'NIGHT, MOTHER;NOITE DE DESAMOR;04010078289620122;10/05/2012;05/06/2012;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;96;1986;;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);SEM REDUÇÃO E ISENÇÃO;TELECINE PROGRAMACAO DE FILMES LTDA;39;00.252.848/0001-08;RJ;RIO DE JANEIRO
1, 2, 3 AGORA É SUA VEZ;;04040085604320122;30/11/2012;12/12/2012;REGISTRADO;B1201691400000;VARIEDADES;NÃO INFORMADO;BRASILEIRA CONSTITUINTE DE ESPAÇO QUALIFICADO;BRASIL;SERIADA;642,5;2008;2008;COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA (TV PAGA);OBRA AUDIOVISUAL BRASILEIRA PRODUZIDA POR PROGRAMADORA DO SEGMENTO DE MERCADO DE COMUNICAÇÃO ELETRÔNICA DE MASSA POR ASSINATURA, PARA COMUNICAÇÃO PÚBLICA EM SEU PRÓPRIO SEGMENTO DE MERCADO;FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS;1125;61.914.891/0001-86;SP;SÃO PAULO
10.000 BC;10.000 AC;02010067423720113;14/06/2011;13/11/2012;EXPIRADO;E1300000100000;FICÇÃO;;NÃO INFORMADO;ESTADOS UNIDOS;NÃO SERIADA;116;2008;;VIDEO DOMÉSTICO;SEM REDUÇÃO E ISENÇÃO;VIDEOLAR S/A;166;04.229.761/0001-70;AM;MANAUS
