Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2024;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira ;UF2;Distribuidora;Máximo de Salas;Público acumulado;Renda (R$) acumulada;
1995;B0400064200000;A Causa Secreta;Sérgio Bianchi;Ficção;Agravo Produções Cinematográficas;SP;-;-;Riofilme;ND;3.000;15.000,00;
1995;B0500310700000;Carlota Joaquina, Princesa Do Brazil;Carla Camurati;Ficção;Copacabana Filmes E Produções;RJ;-;-;Elimar;33;1.286.000;6.430.000,00;
1995;B0500264600000;Carmen Miranda - Bananas Is My Business;Helena Solberg;Documentário;Radiante Filmes;RJ;-;-;Riofilme;ND;15.470;90.000,00;
1995;-;Cinema De Lágrimas;Nelson Pereira Dos Santos;Ficção;Meta Vídeo Produções;RJ;-;-;Riofilme;ND;1.575;7.500,00;
1995;B0300012900000;Efeito Ilha;Luiz Alberto Pereira;Ficção;Lapfilme;SP;-;-;Riofilme;ND;3.000;15.000,00;
1995;B0500311400000;Louco Por Cinema;André Luiz Oliveira;Ficção;Asacine Produções;DF;-;-;Riofilme;ND;12.991;60.000,00;
1995;B0700675000000;Menino Maluquinho - O Filme;Helvécio Ratton;Ficção;Grupo Novo De Cinema E Tv;RJ;-;-;S. Ribeiro/Riofilme;32;397.072;1.533.032,80;
1995;B1101392800000;O Mandarim;Julio Bressane;Ficção;Julio Bressane;RJ;-;-;Riofilme;ND;7.616;35.000,00;
1995;B0500309200000;O Quatrilho;Fábio Barreto;Ficção;Filmes Do Equador;RJ;-;-;S. Ribeiro;64;1.117.154;4.513.302,00;
1995;B0500434300000;Perfume De Gardênia;Guilherme De Almeida Prado;Ficção;Star Filmes;SP;-;-;Riofilme;ND;9.077;55.000,00;
1995;-;Super Colosso;Luiz Ferré;Ficção;Play Vídeo Produções Para Cinema E Televisão;SP;-;-;Paris;216;154.762;506.027,00;
1995;B0500277600000;Sábado;Ugo Giorgetti;Ficção;Iguana Filmes;SP;-;-;Mais Filmes;ND;155.000;906.750,00;
1995;B0500310300000;Terra Estrangeira;Daniela Thomas/Walter Salles;Ficção;Videofilmes;RJ;-;-;Riofilme;ND;112.840;500.000,00;
1995;B0400073200000;Yndio Do Brasil;Sylvio Back;Documentário;Usina De Kyno;RJ;-;-;Riofilme;ND;3.000;15.000,00;
1996;"B0400061500000/
B0400085400000/
B0400057300000/
B0400051000000";A Felicidade É...;José Roberto Torero/Cecílio Neto/Jorge Furtado/José Pedro Goulart;Ficção;Casa De Cinema De Porto Alegre/Superfilmes/Zeppelin Filmes;RS/SP/RS;-;-;Riofilme;ND;3.000;15.000,00;
1996;B0400052400000;As Meninas;Emiliano Ribeiro;Ficção;Ipê Artes;RJ;-;-;Riofilme;3;13.527;49.957,00;
1996;-;Cassiopéia;Clóvis Vieira;Animação;N.D.R. Filmes Produções;SP;-;-;Riofilme;34;14.224;60.359,00;
1996;B0500289500000;Como Nascem Os Anjos;Murilo Salles;Ficção;Cinema Brasil Digital;RJ;-;-;Riofilme;2;41.945;200.000,00;
1996;B0500310500000;Corisco E Dadá;Rosemberg Cariry;Ficção;Cariri Filmes;CE;-;-;Riofilme;ND;13.863;62.904,70;
1996;B0500311200000;Doces Poderes;Lucia Murat;Ficção;Taiga Filmes E Vídeo;RJ;-;-;Riofilme;ND;13.809;60.000,00;
1996;B0700789100000;Fica Comigo;Tizuka Yamasaki;Ficção;Ponto Filmes/Quanta-Rio/Scena Filmes/Skylight;RJ/RJ/RJ/RJ;-;-;Riofilme;ND;2.866;13.000,00;
1996;B0500298800000;Jenipapo;Monique Gardenberg;Ficção;Dueto Filmes;RJ;-;-;Riofilme;ND;72.133;350.000,00;
1996;-;Mil E Uma;Suzana De Moraes;Ficção;1001 Filmes;RJ;-;-;Riofilme;ND;2.403;12.000,00;
1996;B0600547500000;O Cego Que Gritava Luz;João Batista De Andrade;Ficção;Raiz Produções;SP;-;-;Riofilme;ND;1.647;8.500,00;
1996;B0500255000000;O Corpo;José Antônio Garcia;Ficção;Olympus Filme;SP;-;-;Riofilme;ND;26.984;120.000,00;
1996;B0400090100000;O Guarani;Norma Bengell;Ficção;Nb Produções;RJ;-;-;Riofilme;ND;26.190;120.000,00;
1996;B0400102700000;O Judeu;Jom Tob Azulay;Ficção;Aeb Produçôes/Tatu Filmes;RJ/SP;-;-;Riofilme;1;11.817;62.630,00;
1996;B0700798500000;O Monge E A Filha Do Carrasco;Walter Lima Junior;Ficção;Jbr Filmes;RJ;-;-;Riofilme;9;16.824;72.173,00;
1996;B0500444400000;Quem Matou Pixote?;José Joffily;Ficção;Coevo Filmes;RJ;-;-;Riofilme;57;32.220;148.534,00;
1996;B0500274700000;Sombras De Julho;Marco Altberg;Ficção;M. Altberg Cinema E Vídeo;RJ;-;-;Riofilme;ND;767;5.000,00;
1996;B0500263900000;Tieta Do Agreste;Cacá Diegues;Ficção;Skylight;RJ;-;-;Columbia;133;511.954;2.380.586,00;
