"ano";"ipca_pct";"fator_real_2024"
"2008";"5,9";"2,454812"
"2009";"4,31";"2,353382"
"2010";"5,91";"2,222058"
"2011";"6,5";"2,086439"
"2012";"5,84";"1,971315"
"2013";"5,91";"1,861311"
"2014";"6,41";"1,749188"
"2015";"10,67";"1,580544"
"2016";"6,29";"1,487011"
"2017";"2,95";"1,444401"
"2018";"3,75";"1,392194"
"2019";"4,31";"1,33467"
"2020";"4,52";"1,276952"
"2021";"10,06";"1,160232"
"2022";"5,79";"1,096731"
"2023";"4,62";"1,0483"
"2024";"4,83";"1"
